type_id	ref_term
9	Basque
9	Bulgarian
9	Burmese
9	Catalan
9	Congolese
9	Czech
9	Estonian
9	Finnish
9	French
9	Frisian
9	German
9	Greek
9	Indian
9	Irish
9	Italian
9	Japanese
9	Jewish
9	Karelian
9	Lappish
9	Macedonian
9	Malaysian
9	Maltese
9	Mayan
9	Mexican
9	Mordvinian
9	Moroccan
9	Namibian
9	North African
9	Norwegian
9	Ossetian
9	Palestinian
9	Polish
9	Portuguese
9	Puerto Rican
9	Sardinian
9	Serbian
9	Siberian
9	Slovakian
9	South African
9	Spanish
9	Sri Lankan
9	Sudanese
9	Swedish
9	Tadzhik
9	Tanzanian
9	Turkish
9	Yakut
10***	Algerian
10***	Indian
10***	Moroccan
10***	Norwegian
10***	Rumanian
10***	Serbian
10***	Spanish
10***	Tuva
15	African American
15	Algerian
15	Bulgarian
15	Byelorussian
15	Cape Verdian
15	Catalan
15	Central African
15	Cheremis/Mari
15	Chuvash
15	Congolese
15	Dominican
15	Dutch
15	East African
15	Egyptian
15	Eritrean
15	Estonian
15	Faeroese
15	Finnish
15	Flemish
15	French
15	Frisian
15	Georgian
15	German
15	Greek
15	Indian
15	Irish
15	Italian
15	Japanese
15	Jewish
15	Karelian
15	Lappish
15	Latvian
15	Lithuanian
15	Livonian
15	Macedonian
15	Mordvinian
15	Norwegian
15	Oman
15	Ossetian
15	Portuguese
15	Puerto Rican
15	Rumanian
15	Russian
15	Scottish
15	Slovene
15	Sorbian
15	South African
15	Spanish
15	Sudanese
15	Swedish
15	Syrjanian
15	Tadzhik
15	US-American
15	Ukrainian
15	Walloon
15	Wepsian
15	West Indies
15	Wotian
15	Yakut
15*	Catalan
15*	Estonian
15*	Finnish
15*	Flemish
15*	French
15*	Greek
15*	Indian
15*	South African
15*	South American
15*	Swedish
15*	Syrian
20A	Abkhaz
20A	Bulgarian
20A	Buryat
20A	Cheremis/Mari
20A	Croatian
20A	Dagestan
20A	Estonian
20A	Finnish
20A	Frisian
20A	Georgian
20A	German
20A	Greek
20A	Hungarian
20A	Irish
20A	Jewish
20A	Kalmyk
20A	Kara-Kalpak
20A	Karelian
20A	Kazakh
20A	Kurdish
20A	Lappish
20A	Latvian
20A	Lithuanian
20A	Livonian
20A	Mexican
20A	Mordvinian
20A	Moroccan
20A	Ossetian
20A	Palestinian
20A	Portuguese
20A	Rumanian
20A	Russian
20A	Serbian
20A	Slovene
20A	Turkish
20A	US-American
20A	Ukrainian
20A	Votyak
20A	Wepsian
20A	West Indies
20C	Australian
20C	Bosnian
20C	Bulgarian
20C	Cambodian
20C	Catalan
20C	Chinese
20C	Cuban
20C	Danish
20C	East African
20C	English
20C	Estonian
20C	Finnish
20C	Flemish
20C	Frisian
20C	Georgian
20C	German
20C	Greek
20C	Guinean
20C	Gypsy
20C	Indian
20C	Irish
20C	Italian
20C	Kazakh
20C	Latvian
20C	Lithuanian
20C	Mexican
20C	Mongolian
20C	Mordvinian
20C	Norwegian
20C	Ossetian
20C	Ostyak
20C	Palestinian
20C	Portuguese
20C	Puerto Rican
20C	Russian
20C	Scottish
20C	Slovene
20C	South African
20C	South American
20C	Spanish
20C	Sudanese
20C	Tadzhik
20C	Tibetian
20C	Turkish
20C	US-American
20C	Wepsian
20D*	Algerian
20D*	Basque
20D*	Bulgarian
20D*	Byelorussian
20D*	Catalan
20D*	Danish
20D*	Egyptian
20D*	Frisian
20D*	Georgian
20D*	German
20D*	Greek
20D*	Indian
20D*	Iranian
20D*	Italian
20D*	Jewish
20D*	Jordanian
20D*	Kurdish
20D*	Macedonian
20D*	Niger
20D*	Polish
20D*	Russian
20D*	Serbian
20D*	Slovene
20D*	Spanish
20D*	Syrian
20D*	Tadzhik
20D*	Turkish
20D*	Ukrainian
21	Abkhaz
21	Algerian
21	Bulgarian
21	Buryat
21	Byelorussian
21	Cheremis/Mari
21	Chinese
21	Eskimo
21	Estonian
21	Finnish
21	Frisian
21	Georgian
21	German
21	Greek
21	Gypsy
21	Hungarian
21	Indian
21	Indonesian
21	Jewish
21	Kalmyk
21	Kara-Kalpak
21	Karachay
21	Kazakh
21	Kurdish
21	Laotian
21	Latvian
21	Lithuanian
21	Malagasy
21	Mongolian
21	Mordvinian
21	Moroccan
21	Norwegian
21	Ostyak
21	Russian
21	Siberian
21	South African
21	Spanish
21	Tadzhik
21	Tuva
21	Ukrainian
21	Votyak
21	Wepsian
23*	Chuvash
23*	Croatian
23*	Eritrean
23*	Hungarian
23*	Qatar
23*	Serbian
23*	Siberian
30	Abkhaz
30	Buryat
30	Byelorussian
30	Catalan
30	Cheremis/Mari
30	Chinese
30	Estonian
30	Finnish
30	French
30	German
30	Greek
30	Guinean
30	Gypsy
30	Hungarian
30	Iranian
30	Irish
30	Italian
30	Jewish
30	Kurdish
30	Latvian
30	Macedonian
30	Malaysian
30	Mongolian
30	Moroccan
30	Portuguese
30	Russian
30	South African
30	Spanish
30	Swedish
30	Ukrainian
30	Vietnamese
31	African American
31	Algerian
31	Bulgarian
31	Catalan
31	Chad
31	Dutch
31	Estonian
31	Finnish
31	French
31	German
31	Greek
31	Gypsy
31	Hungarian
31	Indian
31	Indonesian
31	Iraqi
31	Irish
31	Jewish
31	Lappish
31	Latvian
31	Livonian
31	Macedonian
31	Malaysian
31	Moroccan
31	Namibian
31	Norwegian
31	Palestinian
31	Russian
31	Slovene
31	South African
31	Spanish
31	Swedish
31	Turkmen
31	Vietnamese
31	Zimbabwen
32	African American
32	Algerian
32	Brazilian
32	Bulgarian
32	Catalan
32	Chilean
32	Czech
32	Danish
32	Dutch
32	Estonian
32	Finnish
32	Flemish
32	French
32	Frisian
32	German
32	Greek
32	Gypsy
32	Hungarian
32	Icelandic
32	Iranian
32	Irish
32	Italian
32	Jewish
32	Karelian
32	Mexican
32	Moroccan
32	Slovene
32	South African
32	Spanish
32	Swedish
32	US-American
32	Ukrainian
33	Albanian
33	Bulgarian
33	Byelorussian
33	Chad
33	East African
33	Egyptian
33	Estonian
33	Finnish
33	Greek
33	Hawaiian
33	Indian
33	Indonesian
33	Irish
33	Karelian
33	Kurdish
33	Latvian
33	Lithuanian
33	Macedonian
33	North African
33	Portuguese
33	Russian
33	South American
33	Spanish
33	Sudanese
33	Tunisian
33	Turkish
33	Turkmen
33	Ukrainian
34	African American
34	Basque
34	Bulgarian
34	Catalan
34	Central African
34	Chilean
34	Chinese
34	Costa Rican
34	Croatian
34	Czech
34	Dominican
34	Dutch
34	East African
34	English
34	Estonian
34	Finnish
34	Flemish
34	French
34	Frisian
34	German
34	Greek
34	Guatemalan
34	Gypsy
34	Hungarian
34	Indian
34	Italian
34	Jewish
34	Latvian
34	Mayan
34	Mexican
34	Moroccan
34	Nigerian
34	North American Indian
34	Norwegian
34	Polish
34	Puerto Rican
34	Rumanian
34	Serbian
34	Slovakian
34	Slovene
34	Sorbian
34	Spanish
34	Swedish
34	Ukrainian
34	West Indies
34A	Bulgarian
34A	Czech
34A	Dutch
34A	Egyptian
34A	Estonian
34A	Filipino
34A	Finnish
34A	French
34A	Frisian
34A	Georgian
34A	German
34A	Greek
34A	Hungarian
34A	Indian
34A	Iranian
34A	Irish
34A	Jewish
34A	Lithuanian
34A	Mongolian
34A	Moroccan
34A	Ossetian
34A	Portuguese
34A	Siberian
34A	South African
34A	Spanish
34A	Turkish
34A	Ukrainian
34A	Vietnamese
34C	Danish
34C	Indian
35A*	Latvian
35A*	Ukrainian
35B*	Dagestan
35B*	Georgian
35B*	German
35B*	Greek
35B*	Iranian
35B*	Kara-Kalpak
35B*	Kazakh
35B*	Kurdish
35B*	Latvian
35B*	Lithuanian
35B*	Russian
35B*	South African
35B*	Sudanese
35B*	Tadzhik
35B*	Turkish
35B*	Ukrainian
36	Argentine
36	Bosnian
36	Bulgarian
36	Burmese
36	Chilean
36	Dutch
36	Estonian
36	Finnish
36	Flemish
36	French
36	Georgian
36	Hungarian
36	Indian
36	Kazakh
36	Latvian
36	Livonian
36	Mayan
36	Mexican
36	Mongolian
36	Oman
36	Ossetian
36	Portuguese
36	Russian
36	South American
36	Spanish
36	Swedish
36	Tadzhik
36	Tibetian
36	Turkish
36	Ukrainian
37	African American
37	Byelorussian
37	Chechen-Ingush
37	Chilean
37	Congolese
37	Costa Rican
37	East African
37	Estonian
37	Finnish
37	Georgian
37	German
37	Guinean
37	Hungarian
37	Indian
37	Indonesian
37	Iranian
37	Karelian
37	Latvian
37	Lithuanian
37	Malagasy
37	Namibian
37	Nicaraguan
37	North American Indian
37	Norwegian
37	Ossetian
37	Polish
37	Russian
37	Siberian
37	South American
37	Spanish
37	Swedish
37	Syrjanian
37	Tuva
37	Ukrainian
37	Uzbek
37	Wepsian
38	Algerian
38	Basque
38	Bulgarian
38	Cambodian
38	Chinese
38	Czech
38	Dutch
38	Estonian
38	Finnish
38	Flemish
38	French
38	Frisian
38	Georgian
38	Greek
38	Gypsy
38	Hungarian
38	Indian
38	Indonesian
38	Iraqi
38	Irish
38	Italian
38	Jewish
38	Lappish
38	Latvian
38	Lithuanian
38	Mayan
38	Mexican
38	Moroccan
38	North African
38	Norwegian
38	Polish
38	Puerto Rican
38	Slovakian
38	Slovene
38	South African
38	Spanish
38	Sudanese
38	Swedish
38	Swiss
38	Tadzhik
38	Turkish
38	US-American
38	Ukrainian
40A*	Catalan
40A*	Croatian
40A*	Finnish
40A*	French
40A*	Italian
40A*	Livonian
40A*	Moroccan
40A*	Spanish
41	Algerian
41	Cameroon
41	Chinese
41	Dutch
41	East African
41	Egyptian
41	Estonian
41	Flemish
41	French
41	Frisian
41	German
41	Greek
41	Gypsy
41	Hawaiian
41	Hungarian
41	Indian
41	Iranian
41	Iraqi
41	Irish
41	Jewish
41	Ladinian
41	Lappish
41	Latvian
41	Lithuanian
41	Livonian
41	Moroccan
41	Norwegian
41	Polish
41	Portuguese
41	Russian
41	Sardinian
41	Slovene
41	South African
41	Spanish
41	Swedish
41	Syrian
41	Tadzhik
41	Tunisian
41	Turkish
41	Ukrainian
41	Walloon
41	West Indies
41	Wotian
43	Bulgarian
43	Burmese
43	Byelorussian
43	Estonian
43	Finnish
43	French
43	Greek
43	Indian
43	Jewish
43	Latvian
43	Lithuanian
43	Mordvinian
43	Russian
43	Slovene
43	Syrjanian
43	Ukrainian
43	Votyak
43	Wotian
44	Algerian
44	Bulgarian
44	Byelorussian
44	Chechen-Ingush
44	Chinese
44	Croatian
44	Egyptian
44	French
44	Greek
44	Hungarian
44	Iranian
44	Iraqi
44	Italian
44	Latvian
44	Lithuanian
44	Moroccan
44	North African
44	Palestinian
44	Slovene
44	Syrian
44	Ukrainian
44	Uzbek
47A	Argentine
47A	Basque
47A	Brazilian
47A	Byelorussian
47A	Catalan
47A	Chilean
47A	Chinese
47A	Dutch
47A	East African
47A	Estonian
47A	Finnish
47A	French
47A	Frisian
47A	German
47A	Greek
47A	Hungarian
47A	Indian
47A	Iranian
47A	Irish
47A	Italian
47A	Japanese
47A	Karelian
47A	Korean
47A	Lappish
47A	Latvian
47A	Mayan
47A	Moroccan
47A	Namibian
47A	North American Indian
47A	Norwegian
47A	Polish
47A	Portuguese
47A	Russian
47A	Slovakian
47A	South African
47A	South American
47A	Spanish
47A	Sri Lankan
47A	Sudanese
47A	Swedish
47A	Syrian
47A	Tibetian
47A	Ukrainian
47A	West Indies
47B	Albanian
47B	Algerian
47B	Argentine
47B	Armenian
47B	Basque
47B	Bosnian
47B	Byelorussian
47B	Chilean
47B	Chinese
47B	Croatian
47B	Czech
47B	Dagestan
47B	Danish
47B	Dutch
47B	Egyptian
47B	Estonian
47B	Ethiopian
47B	Finnish
47B	Flemish
47B	French
47B	Frisian
47B	Georgian
47B	German
47B	Greek
47B	Gypsy
47B	Hungarian
47B	Iranian
47B	Iraqi
47B	Irish
47B	Italian
47B	Japanese
47B	Jewish
47B	Jordanian
47B	Kara-Kalpak
47B	Kurdish
47B	Lappish
47B	Latvian
47B	Lebanese
47B	Lithuanian
47B	Mongolian
47B	Moroccan
47B	Ostyak
47B	Polish
47B	Rumanian
47B	Russian
47B	Scottish
47B	Serbian
47B	Slovene
47B	Sorbian
47B	Spanish
47B	Syrian
47B	Tadzhik
47B	Tibetian
47B	Tunisian
47B	Turkish
47B	Tuva
47B	Ukrainian
47B	Uzbek
47B	Walloon
47B	West Indies
47D	Argentine
47D	Bolivian
47D	Bulgarian
47D	Byelorussian
47D	Catalan
47D	German
47D	Greek
47D	Indian
47D	Kalmyk
47D	Kazakh
47D	Kurdish
47D	Latvian
47D	Lithuanian
47D	Mayan
47D	Mexican
47D	Moroccan
47D	Polish
47D	Russian
47D	Spanish
47D	Sri Lankan
47D	Tadzhik
47D	Tibetian
47D	Ukrainian
48*	Catalan
48*	Dutch
48*	Estonian
48*	Flemish
48*	Frisian
48*	German
48*	Jewish
48*	Latvian
48*	Portuguese
48*	Spanish
49	Argentine
49	Chinese
49	Flemish
49	French
49	Frisian
49	Indian
49	Irish
49	Kenyan
49	Lappish
49	Mayan
49	Mexican
49	Namibian
49	North American Indian
49	Norwegian
49	Peruvian
49	Polish
49	Slovene
49	South African
49	South American
49	Spanish
49	Swedish
49	Vietnamese
49A	Burmese
49A	Cambodian
49A	Indian
49A	Indonesian
49A	Malaysian
49A	Namibian
49A	South African
49A	Spanish
49A	Vietnamese
50	Algerian
50	Cameroon
50	Cape Verdian
50	Catalan
50	Dutch
50	East African
50	Estonian
50	Finnish
50	Flemish
50	French
50	Georgian
50	German
50	Greek
50	Hungarian
50	Indian
50	Iranian
50	Irish
50	Italian
50	Jewish
50	Latvian
50	Lebanese
50	Lithuanian
50	Mayan
50	Mexican
50	Moroccan
50	Namibian
50	Norwegian
50	Slovene
50	South African
50	Spanish
50	Sudanese
50	Tadzhik
50	Ukrainian
50	Walloon
50A	African American
50A	Catalan
50A	Dutch
50A	Egyptian
50A	Eritrean
50A	Estonian
50A	Ethiopian
50A	Finnish
50A	French
50A	Frisian
50A	German
50A	Hungarian
50A	Indian
50A	Iranian
50A	Irish
50A	Jewish
50A	Latvian
50A	Lithuanian
50A	Mexican
50A	Moroccan
50A	Namibian
50A	South African
50A	Spanish
50A	Sudanese
50A	Turkmen
50A	Ukrainian
50A	West Indies
50B	Dutch
50B	French
50B	Jewish
50B	Spanish
50C	Chinese
50C	Dutch
50C	Estonian
50C	French
50C	Latvian
50C	Spanish
51	Afghan
51	African American
51	Argentine
51	Bulgarian
51	Catalan
51	Central African
51	Chad
51	Chilean
51	Chinese
51	Dagestan
51	Dutch
51	East African
51	Egyptian
51	Estonian
51	Ethiopian
51	Flemish
51	French
51	Frisian
51	Georgian
51	German
51	Greek
51	Hungarian
51	Indian
51	Iranian
51	Iraqi
51	Irish
51	Italian
51	Jewish
51	Kurdish
51	Latvian
51	Lebanese
51	Lithuanian
51	Moroccan
51	Namibian
51	Persian Gulf
51	Sardinian
51	Saudi Arabian
51	Slovene
51	Somalian
51	South African
51	Spanish
51	Sudanese
51	Syrian
51	Tadzhik
51	Turkmen
51	Uighur
51	Ukrainian
51	Yemenite
51A	Burmese
51A	Catalan
51A	Dutch
51A	Estonian
51A	Finnish
51A	French
51A	Frisian
51A	German
51A	Greek
51A	Hungarian
51A	Indian
51A	Jewish
51A	Latvian
51A	Polish
51A	Spanish
51A	Tadzhik
51A	Tunisian
51***	Algerian
51***	Bulgarian
51***	Chinese
51***	Croatian
51***	Dutch
51***	Egyptian
51***	Estonian
51***	Filipino
51***	Frisian
51***	German
51***	Greek
51***	Gypsy
51***	Hungarian
51***	Indian
51***	Irish
51***	Japanese
51***	Jewish
51***	Kurdish
51***	Macedonian
51***	Mexican
51***	Moroccan
51***	Slovene
51***	Spanish
51***	Syrian
52	Afghan
52	Algerian
52	Druze
52	Egyptian
52	Ethiopian
52	French
52	German
52	Indian
52	Iraqi
52	Jewish
52	Kalmyk
52	Kara-Kalpak
52	Kazakh
52	Kirghiz
52	Kurdish
52	Lebanese
52	Moroccan
52	Niger
52	Pakistani
52	Qatar
52	Spanish
52	Sri Lankan
52	Syrian
52	Tunisian
53	Estonian
53	Frisian
53	German
53	Hungarian
53	Latvian
53	South African
53*	Bulgarian
53*	French
53*	Georgian
53*	Indian
53*	Latvian
53*	Ukrainian
55	Central African
55	Chinese
55	East African
55	Finnish
55	French
55	Guinean
55	Latvian
55	Lithuanian
55	Namibian
55	Polish
55	Slovene
55	South African
55	Spanish
55	Sudanese
55	Ukrainian
56	Byelorussian
56	Ethiopian
56	Greek
56	Irish
56	Karelian
56	Kazakh
56	Livonian
56	Macedonian
56	Nenets
56	Niger
56	Portuguese
56	Slovene
56	Spanish
56	Uzbek
56	Yakut
56A	Algerian
56A	Basque
56A	Brazilian
56A	Buryat
56A	Byelorussian
56A	Catalan
56A	Cheremis/Mari
56A	Chinese
56A	Dagestan
56A	East African
56A	Egyptian
56A	Eritrean
56A	Eskimo
56A	Estonian
56A	Ethiopian
56A	Finnish
56A	Frisian
56A	Georgian
56A	German
56A	Greek
56A	Gypsy
56A	Hawaiian
56A	Hungarian
56A	Indian
56A	Iranian
56A	Kalmyk
56A	Karelian
56A	Kurdish
56A	Lappish
56A	Latvian
56A	Macedonian
56A	Mongolian
56A	Mordvinian
56A	Moroccan
56A	Nenets
56A	Ossetian
56A	Portuguese
56A	Qatar
56A	Russian
56A	Siberian
56A	Slovene
56A	South African
56A	South American
56A	Spanish
56A	Sudanese
56A	Swedish
56A	Tadzhik
56A	Turkish
56A	Turkmen
56A	Tuva
56A	Udmurt
56A	Yakut
56B	Algerian
56B	Argentine
56B	Basque
56B	Brazilian
56B	Byelorussian
56B	Catalan
56B	Chechen-Ingush
56B	Chinese
56B	Dagestan
56B	Danish
56B	East African
56B	Estonian
56B	Finnish
56B	French
56B	Frisian
56B	Greek
56B	Guinean
56B	Icelandic
56B	Indian
56B	Italian
56B	Jewish
56B	Kalmyk
56B	Latvian
56B	Lithuanian
56B	Mongolian
56B	Moroccan
56B	Namibian
56B	Ossetian
56B	Portuguese
56B	Russian
56B	Scottish
56B	South African
56B	South American
56B	Spanish
56B	Swedish
56B	Syrian
56B	Tanzanian
56B	Ukrainian
56B	Uzbek
56B	Yakut
56D	Algerian
56D	Croatian
56D	Faeroese
56D	Frisian
56D	Georgian
56D	German
56D	Greek
56D	Latvian
56D	Moroccan
56D	Namibian
56D	Slovakian
56D	Slovene
56D	South African
56D	Ukrainian
56D	West Indies
56A*	Basque
56A*	Catalan
56A*	Dutch
56A*	East African
56A*	Estonian
56A*	Filipino
56A*	Finnish
56A*	Flemish
56A*	Hungarian
56A*	Icelandic
56A*	Lithuanian
56A*	Mordvinian
56A*	Norwegian
56A*	Portuguese
56A*	South American
56A*	Spanish
57	Albanian
57	Algerian
57	Altaic
57	Aramaic
57	Bulgarian
57	Catalan
57	Chinese
57	Croatian
57	Czech
57	Dutch
57	English
57	Estonian
57	Ethiopian
57	Faeroese
57	Filipino
57	Finnish
57	French
57	Frisian
57	Georgian
57	Greek
57	Hungarian
57	Indian
57	Irish
57	Italian
57	Jewish
57	Korean
57	Lappish
57	Latvian
57	Lithuanian
57	Livonian
57	Malagasy
57	Maltese
57	Mexican
57	Nigerian
57	North American Indian
57	Norwegian
57	Oman
57	Russian
57	Sardinian
57	Slovakian
57	Slovene
57	South African
57	Spanish
57	Swedish
57	Syrjanian
57	Ukrainian
58	Cambodian
58	Chilean
58	Chinese
58	Filipino
58	Indian
58	Indonesian
58	Japanese
58	Kenyan
58	Malaysian
58	Pakistani
58	Sri Lankan
58	Sudanese
58	Tadzhik
58	Vietnamese
58	West African
58	Yakut
59	Algerian
59	Basque
59	Bosnian
59	Bulgarian
59	Burmese
59	Catalan
59	Dutch
59	Estonian
59	Finnish
59	French
59	Frisian
59	Georgian
59	German
59	Greek
59	Hungarian
59	Indian
59	Iraqi
59	Irish
59	Italian
59	Jewish
59	Latvian
59	Lithuanian
59	Maltese
59	Mayan
59	Moroccan
59	Portuguese
59	Russian
59	Saudi Arabian
59	Serbian
59	Slovene
59	South African
59	Spanish
59	Sudanese
59	Swedish
59	Ukrainian
59	Uzbek
59*	African American
59*	Algerian
59*	Burmese
59*	Buryat
59*	Cambodian
59*	Catalan
59*	Chinese
59*	Filipino
59*	German
59*	Hungarian
59*	Indian
59*	Malagasy
59*	Mongolian
59*	Moroccan
59*	Sri Lankan
59*	Sudanese
59*	Tunisian
60	Albanian
60	Basque
60	Bulgarian
60	Byelorussian
60	Cape Verdian
60	Catalan
60	Central African
60	Chilean
60	Chuvash
60	Czech
60	Danish
60	Dutch
60	Egyptian
60	Eritrean
60	Estonian
60	Finnish
60	Flemish
60	French
60	Frisian
60	Georgian
60	German
60	Greek
60	Guinean
60	Indian
60	Iranian
60	Iraqi
60	Irish
60	Italian
60	Japanese
60	Jewish
60	Karelian
60	Kurdish
60	Lappish
60	Latvian
60	Lithuanian
60	Lydian
60	Macedonian
60	Malagasy
60	Mayan
60	Moroccan
60	North American Indian
60	Norwegian
60	Puerto Rican
60	Russian
60	Sardinian
60	Saudi Arabian
60	South African
60	South American
60	Spanish
60	Sudanese
60	Swedish
60	Tadzhik
60	Ukrainian
60	Yakut
61	Brazilian
61	Bulgarian
61	Catalan
61	Chinese
61	Croatian
61	Czech
61	Dagestan
61	Danish
61	Dutch
61	Ecuadorian
61	Estonian
61	Faeroese
61	Flemish
61	French
61	German
61	Greek
61	Irish
61	Italian
61	Korean
61	Latvian
61	Lithuanian
61	Mexican
61	Norwegian
61	Ossetian
61	Portuguese
61	Russian
61	Scottish
61	Slovene
61	South African
61	Spanish
61	Swedish
61	Syrian
61	Tadzhik
61	Turkish
61	Uzbek
61	Walloon
61B	Bulgarian
61B	Czech
61B	Estonian
61B	Finnish
61B	German
61B	Indian
61B	Lappish
61B	Latvian
61B	Lithuanian
61B	Lydian
61B	Mordvinian
61B	Russian
61B	Slovakian
61B	Ukrainian
61B	Wepsian
