D94.	Transformation: man to ogre.
A50.	Conflict of good and evil creators.   ## p. 277 (#295) ############################################  G. Ogres 277
G11.0.1.2.	Father of goddess as cannibal. Hawaii: Beckwith Myth 141.
G11.1.	Cannibal dwarfs. *Basset 1001 Contes I 190; N. A. Indian (Zuñi): Benedict II 335.
F451.	Dwarfs.
G11.2.	Cannibal giant. (Cf. G82, G83,
G84.	) Irish myth: *Cross; Missouri French: Carrière; Icelandic: Arnason Legends of Iceland (tr. Powell, London, 1864) I 122, 125, 133, *Boberg; India: *Thompson-Balys; Chi- nese: Werner 387; Easter Island: Métraux Ethnology 377. F531, Glant.
G100.	Giant ogre.
H1289.3.1.	Quest to land of cannibal giants.
S262.	Periodic sacrifices to a monster.
G11.2.1.	Giant devours any person who fails to do his bidding. India: Thompson-Balys.
G11.3.	Cannibal witch. Kittredge Witchcraft 166, 485 nn. 28, 29. Eng- land: Baughman; Icelandic: *Boberg; Lithuanian: Balys Index No. *2027B; Italian: Basile Pentamerone IV No. 6; India: *Thompson- Balys; Hindu: Tawney I 162, II 450; Japanese: Ikeda; Eskimo (Green- land): Rasmussen I 85, II 25, III 50f., 168f., Rink 48, 440, Holm 80, (West Hudson Bay): Boas BAM XV 198, 598, (Smith Sound): Kroeber JAFL XII 180, (Central Eskimo): Boas RBAE VI 599; Africa (Ekoi): Talbot 233.
G200.	Witch.
G262.0.1.	Lamia: witch who eats children.
G262.1.	Witch sucks blood.
G11.4.	Negro cannibal. Malone PMLA XLIII 412.
G11.5.	Water cannibal. Spanish: Espinosa Jr. No. 104; N. A. Indian (Cherokee): Alexander N. Am. 68.
G11.6.	Man-eating woman. India: *Thompson-Balys; Hindu: Tawney II 616; Tuamotu: Stimson MS (z-G. 13/249, 1110, z-G. 3/1276); Hawaii: Beckwith Myth 194; Tahiti: Beckwith Myth 197; Easter Island: Métraux Ethnology 370; Maori: Clark 39.
G11.6.1.	Female ogre changes men into tigers and eats women. Chinese: Graham.
G11.6.2.	Woman who marries tiger is fed human nails regularly. India: Thompson-Balys.
G11.6.3.	Old woman calls beasts together to join her in feast on human flesh. Africa (Duala): Lederbogen Fables 61.
G11.6.4.	Woman devours her husband. Buddhist myth: Malalasekera II 838; S. A. Indian (Toba): Métraux MAFLS XL 60ff.
G11.7.	Cannibalistic king. Malone PMLA XLIII 403; Missouri French: Carrière; India: *Thompson-Balys; Buddhist myth: Malalasekera I 581.
P12.	Character of kings.
G11.8.	Cannibal meteor. N. A. Indian (Luiseño, Diegueño, Mohave): Kroeber JAFL XXI 224.
G11.8.1.	Stars as cannibals. Philippine (Tinguian): Cole 109, 111; Tuamotu: Stimson MS (T-G. 3/931).
G11.9.	Ogre schoolmaster. Girl sees schoolmaster eat human flesh. Refuses to tell him what she saw. He persecutes her. *Cosquin Contes indiens 112ff.
G11.10.	Cannibalistic spirits.   ## p. 278 (#296) ############################################  278 Motif-Index of Folk-Literature
G11.10.1.	Cannibalistic spirits in upper world. India: Thompson-Balys.
G11.11.	Cannibal with extraordinary features. (Cf.
G88.	) India: *Thomp- son-Balys.
F540.	Remarkable physical organs.
G360.	Ogres with monstrous features.
G11.11.1.	Albino twins with cannibal appetite. Tonga: Gifford 192.
G11.11.2.	Hairless cannibal. Hawaii: Beckwith Myth 344.
G11.12.	Cannibal with winnowing tray and pestle. N. A. Indian (Cali- fornia): Gayton and Newman 73.
G11.13.	Gambling cannibal. Icelandic: Boberg; N. A. Indian (California): Gayton and Newman 69.
G101.	Giant gambler as ogre. Ni. Gamblers.
N3.	Supernatural adversa- ry in gambling (witch, giant).
G11.14.	Jungle-man as cannibal. India: Thompson-Balys.
G11.15.	Cannibal demon. India: *Thompson-Balys; Chinese: Graham; Alu: Wheeler 8, 44, 48, 50, 56.
G262.0.1.	Lamia. Witch who eats children.
G11.16.	Army of cannibal monsters. India: Thompson-Balys.
G11.17.	Seven-mouthed cannibal ogre. India: Thompson-Balys.
B11.2.3.1.	Seven-headed dragon.
B15.1.2.6.	Seven-headed animal. Seven-headed witch.
G215.1.	
G11.18.	Cannibal tribe. Jewish: Neuman.
G11.18.1.	Cannibal people driven from land. Hawaii: Beckwith Myth 341.
G12.	Transformation in order to eat own kind. Man transforms self to animal and eats men. India: Thompson-Balys; Africa (Mpongwe): Nassau 71 No. 15.
G13.	Spiritual exaltation from eating human flesh. Penzer II 198 n. 1.
D1335.1.2.	Heart of enemy eaten produces magic strength.
D2161.4.13.	Eating of human hearts as cure for insomnia.
E714.4.1.	Eaten heart gives one the owner's qualities.
G13.1.	Ritual cannibalism: corpse of hero (demigod) eaten to acquire his strength. India: Thompson-Balys.
D1830.	Magic strength.
V30.1.	The eaten god.
G13.2.	Ogre eats beautiful girl hoping to have her beauty. India: Thompson-Balys.
G15.	Human being devoured daily. India: *Thompson-Balys.
G15.1.	Giant eats men on New Year's Day. India: Thompson-Balys.
G17.	Ogre seduces sleeping girl in order to devour her. India: Thomp- son-Balys.
G18.	Haunts of cannibals.
G18.1.	Cannibals live at cemetery. India: Thompson-Balys.
G20.	Ghouls. Persons eat corpses. Type 363; Chauvin VI 198 No. 371; Icelandic: MacCulloch Eddic 276, 281; India: *Thompson-Balys,   ## p. 279 (#297) ############################################  G. Ogres 279 *Penzer II 202; Eskimo (Greenland): Rasmussen I 104, III 104; Africa (BaRonga): Einstein 262. E251, Vampire.
E256.	Ghosts eat corpse.
G312.1.	Pišāca, Drinks blood and eats human flesh. Eats corpses and makes living waste away.
K374.	Grave robbing to secure obols in mouth of dead.
G20.1.	Devil as husband eats corpses. Lithuanian: Balys Legends No. 369.
G303.12.5.1.	The girl married to a devil.
G21.	Female eater of corpses. India: Thompson-Balys.
G23.	People who eat their parents when they die, saying: they carried us in their bodies when we were born; now we shall do the same for them. India: Thompson-Balys.
G25.	Abandoned infant lives by eating corpse of murdered father. (Cf.
S350.	) Easter Island: Métraux Ethnology 385.
G27.	Moon made to eat wife's corpse by mother-in-law. S. A. Indian (Viracocha): Steward-Métraux BBAE CXLIII (3) 550.
G30.	Person becomes cannibal. MacCulloch Childhood 297. Tahiti: Beckwith Myth 197; Maori: Clark 152; Koryak: Jochelson JE VI 295, 302; Eskimo (Greenland): Rink 128, 258, (West Hudson Bay): Boas BAM XV 260; N. A. Indian: *Thompson Tales 357 n. 287c.
G31.	Children flee from father who turns cannibal. Cosquin RTP XXX 79.
R200.	Escapes. So. Cruel relatives.
G33.	Child born as cannibal. *Type 406*; *Fb "menneskeæder” II 580.
G33.1.	Cannibal disenchanted by overcoming it. Becomes maiden. Type 406*; Russian: Andrejev No. 406.
D716.	Disenchantment by overcoming enchanted person in fight (con- test).
G34.	Human child brought up by ogress becomes a man-eater. Buddhist myth: Malalasekera I 943.
G36.	Taste of human flesh leads to habitual cannibalism. Buddhist myth: Malalasekera II 573.
G36.1.	Husband becomes cannibal from eating wife's breast. She cuts off her breasts and cooks them to feed her family. The husband thus acquires a longing for human flesh. *Type 450.
F561.1.	People who prefer raw flesh.
F565.1.1.	Amazons cut off left breast of daughters so that they can handle bow.
G36.2.	Human blood (flesh) accidentally tasted: brings desire for human flesh. India: *Thompson-Balys.
G36.2.1.	People fear that boy who eats raw birds will eat them when he grows older. Chinese: Graham.
G37.	Girl seduced by brother becomes cannibal ogre. N. A. Indian (Cali- fornia): Gayton and Newman 59.
T415.	Brother-sister incest. G50_
G79.	OCCASIONAL CANNIBALISM
G50.	Occasional cannibalism.
S183.1.	Person forced to eat hearts (flesh) of relatives (drink blood).   ## p. 280 (#298) ############################################  280 Motif-Index of Folk-Literature
G51.	Person eats own flesh. Jewish: Neuman; Buddhist myth: Malala- sekera II 597; Mono-Alu: Wheeler 45; N. A. Indian (Seneca): Curtin- Hewitt RBAE XXXII 232 No. 46.
G51.1.	Person eats self up. Eskimo (Greenland): Rasmussen I 186; N. A. Indian: *Thompson Tales 304 n. 109m, (California): Gayton and Newman 92; Africa (Togo): Einstein 12f.
F1035.	Disintegration: man eats himself up or dismembers himself. .
G55.	People who eat child become supernatural. Eskimo (West Hudson Bay): Boas BAM XV 258, (Greenland): Rink 466.
G60.	Human flesh eaten unwittingly. Penzer II 113; English: Wells 151 (Richard Coer de Lyon); Italian Novella: Rotunda; India: Thompson- Balys.
K2392.	Man sells pastries made of human flesh.
N300.	Unlucky accidents,
Q478.1.	Adulteress is caused unwittingly to eat her lover's heart. 5183, Frightful meal.
X21.	Accidental cannibalism.
G61.	Relative's flesh eaten unwittingly. *Type 720; BP I 412ff.; *Mac- Culloch Childhood 283ff.; *Cosquin Études 394; *Fb “menneskekjød" II 579b. Irish myth: *Cross; Spanish Exempla: Keller; Greek: Fox 70, 119, 120 (Prokne and Tereus, Tantalus, Thyestes); Jewish: Neu- man; India: *Thompson-Balys; Buddhist myth: Malalasekera II 573; Chinese: Graham; Japanese: Ikeda; Oceanic (Indonesia, New Zea- land, Molucca): Dixon 58, 195, 229f.; Indonesian: DeVries's list Nos. 227, 228; Eskimo (Greenland): Rink 106, 128, 160, 286, 447, Holm 43, 90, (Bering Strait): Nelson RBAE XVIII 215, (Central Eskimo): Boas RBAE VI 627, (West Hudson Bay): Boas BAM XV 229; N. A. Indian: *Thompson Tales 300 nn. 97, 98 and 340 n. 226; S. A. Indian (Baikairi): Alexander Lat. Am. 303; Africa (Zulu): Callaway 20, (Ila, Rhodesia): Smith and Dale II 402 No. 2, 405 No. 4, (Kaffir): Theal 100, (Angola): Chatelain 191 No. 24, (Thonga): Junod 217, (Fjort): Dennett 82 No. 19, (Benga): Nassau 105 No. 8, (Basuto): Jacottet 260 No. 38, 276 No. 41; American Negro (Georgia): Harris Nights 314 No. 54, Remus 165 No. 34; Cape Verde Islands: Parsons MAFLS XV (1) 73 n. 3.
K492.	Girl serves her father with piece of her own flesh in place of chicken.
K940.	Deception into killing own children or animals.
N325.2.	Women, driven mad, devour their infants' flesh.
G61.1.	Child recognizes relative's flesh when it is served to be eaten. India: Thompson-Balys; Africa (Angola): Chatelain 167, 173, (Kaffir): Theal 100, (Basuto): Jacottet 260 No. 38; American Negro (Georgia): Harris Nights 314 No. 54.
K1000.	Deception into self-injury.
N271.6.	Murder revealed by child.
G61.1.1.	Girl avoids eating her mother's flesh by spilling the meat and the soup in the pen. Chinese: Graham.
G61.2.	Mother recognizes child's flesh when it is served to be eaten. In- dia: Thompson-Balys.
G62.	Murderer caused to eat victim's flesh unwittingly. Sickens and dies. India: Thompson-Balys.
G63.	Unwitting cannibalism: scavenger in wedding feast finds basket of noses put there by hero and thinks it full of meat. India: Thompson- Balys.
G64.	Human flesh being cooked speaks out. India: Thompson-Balys.
D1316.	Magic objects reveal truth.
D1318.5.4.	Speaking blood reveals murder.
E631.0.4.	Speaking and bleeding trees. "Reincarnated persons.
E632.1.	Speaking bones of murdered person reveal murder.   ## p. 281 (#299) ############################################  G. Ogres 281
G70.	Occasional cannibalism-deliberate.
T215.3.	Husband nourishes starving wife with his own flesh and blood.
G70.1.	Hungry seamen eat human flesh. Fb “menneskekjød” II 579b.
G71.	Unnatural children eat parent. *Cox Cinderella 499; MacCulloch Childhood 295; India: Thompson-Balys; Japanese: Ikeda.
S110.	Murders.
G71.1.	Girl attempts to eat parents but they escape. Eskimo (Smith Sound): Kroeber JAFL XII 179, (Greenland): Holm 53, (Mackenzie Area): Jenness 81, Rasmussen III 159.
G72.	Unnatural parents eat children. MacCulloch Childhood 293ff.; Spanish: Espinosa Jr. Nos 148, 216; Greek: *Frazer Apollodorus I 8 n. 2 (Zeus and Kronos); Jewish: Gaster Exempla 198f. No. 69; India: Thompson-Balys; New Zealand: Dixon 85; Hawaii: Beckwith Myth 199; Eskimo (Greenland): Holm 89, Rasmussen III 121, 305; N. A. In- dian (Seneca): Curtin-Hewitt RBAE XXXII 232 No. 46; S. A. Indian (Toba): Métraux MAFLS XL 31; Africa (Angola): Chatelain 99 No. 6, (Ila, Rhodesia): Smith and Dale II 413 No. 12, (Kaffir): Theal 140, (Zulu): Callaway 47, (Fang): Tessman 108, (Pangwe): Tessman 365.
G262.0.1.	Witch eats children.
K2116.1.1.	Innocent woman accused of eating her new-born children.
S10.	Cruel parents.
G72.1.	Woman plans to eat her children. *Type 450; Grimm No. 143a; BP III 151.
G72.2.	Starving woman abandoned in cave eats newborn child. India: *Thompson-Balys.
L71.	Only youngest of group of imprisoned women refuses to eat her new-born child.
T581.2.	Child born of woman abandoned in pit.
G72.3.	Girl child fed on infant boys' flesh to make her grow faster. Irish myth: *Cross.
G72.4.	Voice of slain and eaten child comes from the heart of cannibal. (Cf.
F911.1.	) Jewish: Neuman.
G73.	Girls eat their sister. Cox Cinderella 499; India: Thompson-Balys.
G73.1.	Brothers eat their sister. India: *Thompson-Balys.
G73.2.	Brother eats brother. Mono-Alu: Wheeler 22.
G74.	Man eats friend. Eskimo (Greenland): Rink 121.
G75.	Father takes his daughter to cannibal to be eaten. Africa (Basuto): Jacottet 116 No. 27.
G76.	Aged person eaten. Icelandic: Boberg; Africa (Zulu): Callaway 168.
G77.	Husband eats wife. Buddhist myth: Malalasekera I 886; Eskimo (Greenland): Rasmussen III 157, Rink 106; S. A. Indian (Moré): Métraux BBAE CXLIII (3) 406, (Toba): Métraux MAFLS XL 161.
G78.	Cannibalism during plague. Irish myth: *Cross; Jewish: Neuman.
G78.1.	Cannibalism in time of famine. Irish myth: Cross; Jewish: *Neuman; Eskimo (Greenland): Holm 92.
G79.	Occasional cannibalism-deliberate-miscellaneous.
G79.1.	Animal-wife devours her husband. India: Thompson-Balys.   ## p. 282 (#300) ############################################  282 Motif-Index of Folk-Literature
G79.2.	Woman eats daughter-in-law. S. A. Indian (Moré): Métraux BBAE CXLIII (3) 406.
G80.	Other motifs dealing with cannibals.
G81.	Unwitting marriage to ca ibal *Type 311; *MacCulloch Child hood 291ff.; Italian: Basile Pentamerone I No. 5; India: Thompson- Balys; Chinese: Graham; Eskimo (Greenland): I 262; West Indies: Flowers 440.
T110.	Unusual marriage.
T118.	Girl married to (enamored of) a monster.
G81.1.	Cannibal marries wife by force. Chinese: Graham.
G82.	Cannibal fattens victim. *Type 327, 314, *BP I 115ff.; Chauvin VII 19 No. 373D; Italian: Basile Pentamerone I No. 9; India: *Thompson- Balys; Japanese: Ikeda; Eskimo (Greenland): Rink 107, Holm 11; N. A. Indian (Kaska): Teit JAFL XXX 448 No. 8.
K553.	“Wait till I get fat.” Captured person (animal) persuades his cap- tor to wait and fatten him before eating him.
G82.1.	Cannibal cuts captive's finger to test fatness. *Type 327; BP I 115ff.; Fb "slagte”, “finger".
G82.1.1.	Captive sticks out bone instead of finger when cannibal tries to test his fatness. *Type 327; BP I 115ff.; *Fb “hale” I 537, "lysepile" II 487; Korean: Zong in-Sob 147 No. 65.
K500.	Escape from death or danger by deception.
G83.	Cannibal sharpens knife to kill captive. German: Grimm No. 41; Lithuanian: Balys Index No. 3910; Japanese: Ikeda; Jamaica: *Beck- with MAFLS XVII 270f. Nos. 82, 83.
G83.1.	Ogress whets teeth to kill captive. Köhler-Bolte Zs. f. Vksk. VI 64 (to Gonzenbach No. 13); Irish myth: Cross (G153); Italian: Basile Pentamerone IV No. 8, V No. 4.
G84.	Fee-fi-fo-fum. Cannibal returning home smells human flesh and makes exclamation. (Cf.
G11.8.1.	) *Type 327; *Fb "kristenblod” II 300a. — Swiss: Jegerlehner Oberwallis 304 No. 29, 312 No. 67; French Canadian: Barbeau JAFL XXIX 12; Breton: Sébillot "chair"; Jewish: bin Gorion Born Judas 2 I 230; India: *Thompson-Balys; Chinese: Graham; Korean: Zong in-Sob 89, 168; Philippine (Tinguian): Cole 111, 184; Maori: Clark 39, 100; Tonga: Gifford 168; Tuamotu: Stimson MS (T-G. 3/931, z-G. 3/1276); N. A. Indian: *Thompson Tales 357 n. 287h; Africa: Werner African 233, (Kaffir): Theal 80, 118, 124, 138, (Zanzibar): Bateman 133, (Ekoi): Talbot 56, 63, (Basuto): Jacottet 4, 206, 218, 234, (Angola): Chatelain 117, (Zulu): Callaway 40.
G532.	Hero hidden and ogre deceived by his wife (daughter) when he says that he smells human blood.
G85.	Ungrateful cannibal. Eats offered food and then threatens hosts. *Jochelson JE VI 376.
G86.	Cannibals cut off parts of children's bodies. Dickson Valentine and Orson 41 n. 41; Japanese: Ikeda.
G86.1.	Cannibal ogress gives finger of one girl to her frightened sister. Chinese: Graham.
G87.	Cannibal crunching human bone says noise is only eating of peas. India: Thompson-Balys.
K2010.	Hypocrite pretends friendship but attacks.   ## p. 283 (#301) ############################################  G. Ogres 283
G88.	Cannibal has long tooth and long nail. Africa (Basuto): Jacottet 210 No. 31.
F531.1.6.1.	Giant with nails like claws.
F531.1.6.2.	Giant with teeth like those of saw.
F544.3.	Remarkable teeth.
G214.	Witch with extraordinary teeth.
G219.3.	Witch has long nails.
G88.1.	Men with iron claws eat girl. Eskimo (Greenland): Rasmussen III 79.
F552.1.3.	Extraordinary fingernails.
G88.2.	Man-eater with two great tusks on which he hangs the carcasses of the dead. India: Thompson-Balys.
G91.	Cannibalism brings madness. Fb “menneskekjød” II 580a.
G91.1.	Man forced to eat dead father's heart goes mad. Irish myth: Cross; Welsh: MacCulloch Celtic 108.
G91.1.1.	Man forced to eat dead father's heart struck dumb. Irish myth: *Cross.
G91.2.	Cannibalism causes death. India: Thompson-Balys.
G92.	Cannibal hard to lift. N. A. Indian (California): Gayton and New- man 70.
G93.	Cannibal breaks wind as means of attack. N. A. Indian (Cali- fornia): Gayton and Newman 69.
G94.	Cannibal's gigantic meal.
G94.1.	Ogress takes travelers out of cave and devours them one by one. Hawaii: Beckwith Myth 264.
G100.	Giant ogre. Polyphemus.
G94.2.	Cannibal ogres eat daily ten men, ten women, ten children from the same tribe. Africa (Fang): Einstein 65.
G95.	Old man says his arm is getting thin-indicates desire for human flesh. Eskimo (Greenland): Rasmussen III 86. G100
G199.	Giant ogres.
G100.	Giant ogre. Polyphemus. (For motifs concerning giants who are not malevolent but merely large, see
F531.	) *Types 304, 311, 312, 313, 314, 314*, 327, 327*, 328, 518, 531, 545A, 1137, 1148*, 1165*; *Hack- man Die Polyphemsage; *BP III 375ff.; *Clouston Tales I 133ff.; Arill Polyphemosmotivet i bohuslänsk folkdiktning (Bohuslänska Folk- minnen (Uddevalla, 1922] 54); *Chauvin VII 17 No. 373C, VIII 205, IX 93; Saintyves Perrault 281 ff.; Dickson 130—135 passim. English: Wells 17 (Guy of Warwick), 22 (Sir Beues of Hamtoun), 32 (Layamon's Brut), 80 (Sir Tristem), 88 (Roland and Vernagu), 117 (Sir Torrent of Portyngale); Irish myth: *Cross; Breton: Sébillot Incidents S. v. "geant”; Lappish: Qvigstad FFC LX 47 Nos . 69–73; Icelandic: Mac- Culloch Eddic 275ff.; French Canadian: Barbeau JAFL XXIX 12, 20; India: *Thompson-Balys; Africa (Angola): Chatelain 85 No. 5.
A969.1.	Mountain from buried giant.
A1724.	Animals from different parts of body of slain giant.
A2001.	Insects from body of slain monster.
B292.6.	Black cat as servant of giant.
D429.1.2.1.	Transformation: man- eating giantess to stone.
D950.0.1.1.	Magic tree guarded by giant ogre.
D1385.4.	Silver bullet protects against giants.
D1402.3.1.	Magic serpent heart kills giant.
D1402.24.1.	Giant kills people by sprinkling water on their heads.
D1421.4.1.	Magic hairs summon giant.
F122.	Journey to land of giants.
F420.1.4.9.	Water-giants.
F661.1.	Skillful marksman shoots meat from giant's hands.
F771.5.2.	Castle guarded by giants.
G11.2.	## p. 284 (#302) ############################################  284 Motif-Index of Folk-Literature Cannibal giant.
G94.1.	Ogress takes travelers out of caves and devours them one by one. G 200. Witch. G304, Troll as ogre.
G310.	Ogres with characteristic methods.
G400.	Person falls into ogre's power. Ru.3. Abduction by giant.
R111.1.4.	Rescue of princess (maiden) from giant.
R164.	Rescue by giant.
R211.1.	Glant breaks from tower prison. 2312.2. Giant ogre can be killed only with iron club he carries.
G100.1.	Giant ogre (Fomorian). Irish myth: *Cross.
A1659.1.	Origin of Fomorians.
G101.	Giant gambler as ogre. N. A. Indian (Navaho): Alexander N. Am. 163.
G11.13.	Gambling cannibal. Ni. Gamblers.
G105.	Valley of the one hundred giants. India: Thompson-Balys.
G110.	Possessions of giant ogres. Irish myth: Cross.
G111.	Giant ogres possess castle. *Types 304, 545A; *BP III 113 n. 4; Eng- lish: Wells 66 (Ywain and Gawain); Irish myth: Cross.
F771.4.1.	Castle inhabited by ogres.
G304.3.1.	Troll's castle.
G112.	Giant's fields fertile; others arid. French Canadian: Barbeau JAFL XXIX 21.
D1664.	Summer and winter garden.
D2081.	Land made magically sterile.
G120.	Physical characteristics of giant ogres.
G121.	Blind giant ogre. *Type 1165*; *Hackman Polyphemsage; Icelan- dic: *Boberg; Lappish: Qvigstad FFC LX 57.
F531.1.1.3.	Blind giant.
G501.	Stupid ogre.
G511.	Ogre blinded.
G121.1.	Three giants with one eye. They pass it around. Type 328*.
F512.1.2.	Three women have but one eye among them. They pass it around.
F531.1.1.	Eyes of giant.
G151.	Two giants with one axe. They throw it back and forth to each other.
G612.	The one eye of the three giants stolen.
G121.1.1.	One-eyed giant (ogre). Irish myth: *Cross.
A128.2.	One-eyed god.
G122.	Giant's hair grows into rock. He is thus kept from falling from cliff. N. A. Indian (Navaho): Alexander N. Am. 163.
G321.	Cliff-ogre. Kicks victims over cliff.
G123.	Giant ogress with breasts thrown over her shoulder. Van Gennep Formation des Légendes 47; Finnish: Holmberg Finno-Ugric 183.
F232.2.	Fairies have breasts long enough to throw over their shoulders.
F441.2.1.2.	Wood-nymph with breasts so long that she throws them over her shoulder.
F460.1.2.	Mountain-wife has breasts so long that she throws them over her shoulder.
F531.1.5.1.	Giantess throws her breasts over her shoulders.
G124.	Skeleton giant. N. A. Indian (California): Gayton and Newman 91.
G125.	Fire-spewing giantess. Icelandic: *Boberg.
B11.2.11.1.	Dragon spews venom.
F582.2.	Man spews venom.
G363.1.	Ogre with flaming mouth.
H41.4.	Flame issuing from mouth as sign of royalty.
G126.	Giant ogre in shape of animal.
G126.1.	Giant ogre in the shape of a cat. India: Thompson-Balys.
G126.2.	Giant ogre in shape of horse. India: Thompson-Balys.
G130.	Customs of giant ogres.   ## p. 285 (#303) ############################################  G. Ogres 285
G131.	Giant ogre never crosses water. French Canadian: Barbeau JAFL XXIX 12.
G273.4.	Witch powerless to cross stream.
G150.	Giant ogres-miscellaneous.
G151.	Two giants with one axe. They throw it back and forth to each other. *Fb "økse” III 1171b. Lithuanian: Balys Index No. 3711.
G121.1.	Three giants with one eye. They pass it around.
G152.	Giant herdsman. Hideous beastlike giant guards a herd of wild fighting animals. Herdsman can seize one of them in such a way as to make rest beg mercy. *Brown Iwain 7ff.; Irish myth: *Cross; Ice- landic: Boberg.
B575.1.	Wild animals kept as dogs.
B845.	Wild animals herded.
F531.3.	Gargantuan feats.
G249.1.	Witches drive herds of deer.
H1112.	Task: herding rabbits.
H1154.2.	Task: capturing deer from herd watched by giant.
G152.1.	Giant with tree for herding-stick. German: Dümke Havensagen (Leipzig, 1924) 72 No. 56, Haas Pommersche Sagen (Berlin, 1912) 54 No. 106.
F614.2.	Strong man uproots tree and uses it as weapon.
F621.	Strong man: tree-puller.
H1562.1.	Test of strength: pulling up tree by roots.
G154.	Giant hacked so that a staircase is made up his body. Hero climbs up and kills him. Scottish: Campbell-McKay No. 17.
G156.	King of the giants. India: Thompson-Balys.
G157.	Giant ogre's prodigious speed. India: Thompson-Balys.
G158.	Giant's shriek heard five miles away. India: Thompson-Balys.
G161.	Giant issues out of tiny vessel. India: Thompson-Balys.
G162.	Giant lives in a castle in the air. India: Thompson-Balys.
F771.2.1.	Castle in the air.
G171.	Giant roasts camels, elephants for food on crater of volcano. India: Thompson-Balys. G200/
G299.	Witches.
