A1541.	Origin of religious feasts.
V1.6.1.	Worship of earth. (Cf.
A400.	) India: Thompson-Balys.
V1.6.1.1.	Worship of mountains and hills. (Cf.
A495.	) Danish: Kristensen Danske Sagn III (1895) 65ff., (1931) 47ff.
V1.6.2.	Worship of water. (Cf.
A420.	)
V1.6.2.0.1.	Worship of water-goddess. India: Thompson-Balys.
V1.6.2.1.	Sacred rivers and lakes. (Cf.
A425.	)
V1.6.2.2.	Worship of sea. (Cf.
A421.	) Irish myth: Cross.
V1.6.3.	Worship of fire. (Cf.
A493.	) Encyc. Rel. Ethics Index 202c; Pen- zer III 160; Irish myth: *Cross; Jewish: *Neuman.
V1.6.3.1.	Sacred fire. *Encyc. Rel. Ethics Index 202b; Penzer I 260, II 247-55; Irish myth: *Cross.
V1.6.3.1.1.	(Sacrificial) fire from which all others must be lighted. Irish myth: *Cross.
V1.6.4.	Worship of minerals and metals. (Cf.
A492.	)
V1.6.4.1.	Sacred stones. Irish myth: *Cross; Icelandic: Corpus Poeticum Boreale I 322, Boberg, Schmidt DF XXXIX 86ff.; Hawaii: Beckwith Myth 88ff.; Tahiti: Henry Ancient Tahiti (Honolulu, 1928) 382.
V1.6.4.2.	Sacred shells. Tonga: Gifford 52; Tahiti: Henry 391.
V1.7.	Worship of trees and plants. (Cf. A430,
C51.2.2.	) *Encyc. Rel. Ethics Index 611b; *Penzer II 96 n. 1, VII 162 n. 1; Schmidt Brand- trær og Ulykkestrær Danske Studier (1928) 54ff.; Irish myth: *Cross; Icelandic: MacCulloch Eddic 214; S. A. Indian (Antilles): Alexander Lat. Am. 25f.
V1.7.1.	Sacred tree. *Encyc. Rel. Ethics Index 611a; *Fb “træ” III 866a; Wimberly 156; Irish myth: *Cross; Jewish: Neuman.
V1.7.1.1.	Sacred oak. Irish myth: *Cross; Jewish: Neuman.
V1.7.1.2.	Sacred ash. Irish myth: *Cross.
V1.7.1.3.	Sacred yew. Irish myth: *Cross.
V1.7.1.4.	Sacred bo-tree. India: Thompson-Balys.   ## p. 430 (#434) ############################################  430 Motif-Index of Folk-Literature
V1.8.	Worship of animals. *Encyc. Rel. Ethics Index 28a; Jewish: *Neu- man.
B811.	Sacred animals.
Q228.	Punishment for trying to harm sacred animal.
V1.8.1.	Cow worship. Encyc. Rel. Ethics Index 142bc; **Burnell FL LVIII 377ff.; *Penzer II 240; Icelandic: Boberg.
V1.8.1.1.	Bull worship. Irish myth: Cross; Jewish: *Neuman.
V1.8.2.	Horse worship. Penzer II 57; Icelandic: MacCulloch Eddic 216, *Boberg.
V1.8.3.	Dog worship. Encyc. Rel. Ethics Index 167b; Jewish: Neuman; Chinese: Werner 422.
V1.8.4.	Swine worship. Irish myth: Cross; Icelandic: MacCulloch Eddic 109, *Boberg.
M114.3.	Vows taken on holy swine.
V1.8.5.	Wolf worship. Icelandic: Boberg.
V1.8.6.	Serpent worship. *Encyc. Rel. Ethics Index 539a; *Penzer III 142; Jewish: *Neuman.
V1.8.7.	Bird worship. (Cf.
A132.6.1.	) Irish myth: Cross; Jewish: Neuman; Easter Island: Métraux Ethnology 313f.
V1.8.8.	Dragon worship. Jewish: Neuman; Chinese: Eberhard FFC CXX 103f.
V1.8.9.	Lion worship. Jewish: Neuman.
V1.8.10.	Ass worship. Jewish: Neuman.
V1.8.11.	Fish worship. Marquesas: Handy 104; Hawaii: Beckwith Myth 129.
V1.9.	Worship of tools and implements.
V1.9.1.	Plow worship. (Cf.
A432.	) Irish myth: *Cross.
V1.9.2.	Worship of weapons. Irish myth: *Cross.
V1.9.3.	Worship of hammer (axe). Tahiti: Henry Ancient Tahiti (Hono- lulu, 1928) 147.
V1.10.	Worship of fetish. (Cf.
D1274.	) *Encyc. Rel. Ethics Index 200a; Irish myth: *Cross; Jewish: *Neuman; Africa (Fjort): Dennett 96.
V1.10.1.	Man worships a cake which from time to time he eats. *Chau- vin V 24 No. 13 n. 1.
V1.10.2.	Cult of heads. Irish myth: Cross.
V1.10.3.	Sacred feather. Tuamotu: Beckwith Myth 289.
V1.11.	Worship of idols. (Cf.
Q558.	12,
V11.10.	) Irish myth: *Cross; Jewish: *Neuman.
V1.11.1.	Worship of golden calf. Jewish: Neuman.
V1.11.2.	Worship of stone idols. Jewish: Neuman.
V1.11.3.	Worship of wooden idol. Icelandic: *Boberg; Hawaii: Beckwith Myth 16.   ## p. 431 (#435) ############################################  V. Religion 431
V4.	Value of religious exercises.
V4.1.	Religious exercises weighed in balance. A son doubts whether the words spoken by the priests to whom his father has willed a sum of money is worth so much. The words are put on paper and are found to outweigh the money. Pauli (ed. Bolte) No. 465; Irish: O'Suilleabhain 65, 113, Beal XXI 325, 335.
V5.	Negligence in religious exercise. (Cf.
Q223.	)
V5.1.	Virgin Mary reproves a monk who sleeps at altar. Alphabet No. 284.
V5.2.	Negligent priests buried under bags filled with words omitted from service. *Crane Vitry 141 No. 19.
V5.3.	Devils cause monk to perspire and stay away from church service. Pauli (ed. Bolte). No. 260.
V10.	Religious sacrifices. *Encyc. Rel. Ethics Index 511b; *Hdwb. d. Abergl. IX Nachträge 19-54, 496-547; Irish: *Cross, Beal XXI 329; Jewish: *Neuman.
A751.1.3.	Man in moon as punishment for disdainful sacrifice (Cain).
A1545.	Origin of sacrifices.
B811.	Sacred animals.
C92.1.0.1.	Tabu: killing animals for sacrifice.
D1654.17.	Throne of goddess's idol is lifted only after goat has been sacrificed.
D1766.2.	Magic results produced by sacrifices.
D2107.1.	Horse and weapons needed by hero are provided after incense is offered to Nandia, the bull.
E382.	Ghost summoned by pouring blod of sacrifices into trench.
E433.	Ghosts placated by sacri- fices.
K231.3.	Refusal to make sacrifice after need is past.
P427.1.	Druid performs sacrifice.
Q21.	Reward for religious sacrifice.
Q223.3.	Neglect to sacrifice punished.
S260.	Sacrifices.
V10.1.	Goddess prevents suicide of man despairing of ability to make sacrifice. India: Thompson-Balys.
V10.2.	God dislikes offerings beyond one's ability. India: Thompson- Balys.
V11.	Power to which sacrifice is made.
V11.1.	Sacrifice to tree. (Cf.
V1.1.	) *Encyc. Rel. Ethics Index 611a; Fb "træ" III 866a.
V11.2.	Sacrifice to sea. *Penzer II 72 n. 1, VII 146 n. 1; Irish myth: *Cross; Icelandic: Boberg; India: Thompson-Balys.
V11.2.1.	Sacrifice to river. India: Thompson-Balys.
V11.3.	Sacrifice to stone. *Encyc. Rel. Ethics Index 570; *Fb "sten" III 553a; Irish myth: *Cross; Icelandic: MacCulloch Eddic 225, *Boberg; Danish: Schmidt DF XXXIX 90ff.
V11.4.	Sacrifices to Confucius. Encyc. Rel. Ethics IV 13f.; Chinese: Werner 102.
V11.5.	Sacrifice to wind. Encyc. Rel. Ethics Index 645b; Icelandic: *Bo- berg; Swiss: Jegerlehner Oberwallis 307 No. 29; Greek: Euripides Iphigenia at Aulis.
V11.6.	Sacrifice to the dead. (Cf.
A108.1.	) *Encyc. Rel. Ethics Index 512b; Irish myth: *Cross.
V11.6.1.	Human sacrifice in connection with funeral. (Cf.
S260.1.	) Irish myth: *Cross.   ## p. 432 (#436) ############################################  432 Motif-Index of Folk-Literature
V11.6.2.	Animal sacrifice in connection with funeral. Irish myth: *Cross.
V11.7.	Sacrifice to animal. Jewish: Neuman.
V11.7.1.	Sacrifice to serpent. India: Thompson-Balys.
V11.8.	Sacrifice to saint. Irish: O'Suilleabhain 89.
V11.9.	Sacrifice to deity. Jewish: Neuman.
V11.9.1.	Sacrifice to unknown god. Hawaii: Beckwith Myth 70.
V11.10.	Sacrifice to idols. (Cf.
V1.11.	) Jewish: *Neuman.
V12.	Nature of sacrifice.
V12.1.	Blood as sacrifice. Irish: O'Suilleabhain 90.
V12.2.	Jewels as sacrifice to sea. (Cf.
V11.2.	) *Penzer II 72 n. 1.
V12.3.	Skulls as sacrifice to a god. India: Thompson-Balys.
V12.4.	Animals as sacrifice. Irish myth: *Cross; Jewish: *Neuman; India: Thompson-Balys.
B2.	Animal totems.
B11.10.0.1.	Sacrifice of animals to dragon.
V16.1.	Sacrifices of animals at Passover.
V12.4.0.1.	Sacrifice of animals at the edification of a temple. Jewish: Moreno Esdras (
V17.	8).
V12.4.1.	Dog as sacrifice. Irish myth: Cross; Chinese: Eberhard FFC CXX 218 No. 167.
V12.4.2.	Cat as sacrifice. Irish myth: *Cross.
V12.4.3.	Pig as sacrifice. Irish myth: *Cross; Jewish: Neuman; Chinese: Eberhard FFC CXX 218 No. 167.
V12.4.3.1.	Hog as sacrifice. Icelandic: Boberg; Greek: Homer Odyssey XIV 435; Hawaii: Beckwith Myth 123.
V12.4.4.	Ox (bull) as sacrifice. Irish myth: Cross; Icelandic: *Boberg: Greek: Homer passim; Jewish: Neuman.
V12.4.4.1.	Cow as sacrifice. Cheremis: Sebeok-Nyerges.
V12.4.4.1.1.	Heifer as sacrifice. Greek: Homer passim.
V12.4.4.2.	Calf as sacrifice. Jewish: *Neuman.
V12.4.5.	Goat as sacrifice. Icelandic: *Boberg; Jewish: Neuman.
V12.4.6.	Sheep (ram) as sacrifice. Cheremis: Sebeok-Nyerges; Jewish: Neuman.
V12.4.7.	Hare as sacrifice. Cheremis: Sebeok-Nyerges.
V12.4.8.	Ass as sacrifice. *Krappe Classical Philology XLII (1947) 223— 34; Jewish: *Neuman.
V12.4.9.	Horse as sacrifice. *Encyc. Rel. Ethics Index 262b; *Howey 185ff.; Icelandic: *Boberg.
V12.4.10.	Fish as sacrifice. Hawaii: Beckwith Myth 19, 420; Tahiti: Henry Ancient Tahiti (Honolulu, 1928) 241.
V12.4.11.	Bird as sacrifice. Jewish: *Neuman.   ## p. 433 (#437) ############################################  V. Religion 433
V12.5.	Gold as sacrifice to false wooden god. Icelandic: *Boberg.
V12.6.	Thrall as sacrifice. Icelandic: *Boberg.
S260.1.	Human sacrifice.
V12.7.	Eyes (human or animal) as sacrifice. Marquesas: Handy 134; Ha- waii: Beckwith Myth 130, 497.
V12.8.	Flowers as sacrifice. Hawaii: Beckwith Myth 16.
V12.9.	Libations. Drink poured out to the gods. Greek: Homer passim; Chinese: Graham.
V12.10.	Incense as sacrifice. Jewish: *Neuman.
V13.	Sacrifice made when treasure is found. Fb "skat" III 235b.
V14.	Sacrifice must be without blemish. Greek: Homer passim; Jewish: Neuman.
V15.	Sacrifice: olive branch laid on altar of Mercy. Greek: Frazer Apollodorus I 375 n. 2.
V16.	Sacrifice at religious festivals. Jewish: Neuman.
V16.1.	Sacrifices at Passover. Jewish: Moreno Esdras, *Neuman.
V17.	Purpose of sacrifice.
V17.0.1.	Sacrifice to deity in order to obtain favors. India: Thompson- Balys.
V17.1.	Sacrifice for a good year, crops. Icelandic: *Boberg.
V17.2.	Sacrifice after committing a sin. Jewish: Neuman.
V17.3.	Sacrifice to get help in danger. Icelandic: *Boberg.
V17.4.	Sacrifice for good weather. (Cf.
V17.1.	) Icelandic: Örvar-Odds saga 38f.
V17.4.1.	Sacrifice to get snow and good conditions for skiing. Icelandic: Flateyjarbók I 21f., Boberg.
V17.5.	Sacrifice to get knowledge.
V17.5.1.	Sacrifice to find out where abducted daughter is. Icelandic: Flateyjarbók I 219, Boberg.
V17.6.	Sacrifice in order that king may live 300 years. (Cf.
F571.7.	) Ice- landic: Boberg.
V17.7.	Sacrifice to deity for return of abducted persons. India: Thomp- son-Balys.
V17.8.	Sacrifice at edification of temple. (Cf.
V12.4.0.1.	) Jewish: Neuman.
V17.9.	Sacrifice by women at childbirth. Jewish: Neuman.
V18.	Ceremony of sacrifice. Jewish: *Neuman.
V19.	Religious sacrifices—miscellaneous.
V19.1.	Rising smoke as sign of acceptance of sacrifice. Jewish: *Neuman.
V20.	Confession of sins. *Encyc. Rel. Ethics Index 133b; *De Vooys 28   ## p. 434 (#438) ############################################  434 Motif-Index of Folk-Literature Middelnederlandse Legenden en Exempelen (Den Haag, 1926) 241ff.; *R. Pettazzoni La confessione dei peccati (Bologna, 1929); Jewish: *Neuman; Tahiti: Henry Ancient Tahiti (Honolulu, 1928) 143.
E411.0.2.	Unquiet dead sinner taken to priest for absolution.
E501.3.4.	Wild huntsman wanders because of unshriven death.
F1051.1.	Barrel filled miraculously with penitent's tears.
J1545.2.	Husband disguises as a priest to hear his wife's confession.
K443.8.	Priest induced to betray secrets of confessional: money then exacted from him for silence.
K1528.	Wife confesses to disguised husband.
M292.	Wife un- dertakes man's penances for him: also to go to heaven for him?
Q224.	Punishment for betraying confessional.
T257.4.	Husband jealous of wife who goes to confession is punished by priest.
U11.1.1.2.	Penitent in confessional worries about little sins and belittles the big ones.
V468.	Priest bribed into betraying a confessional.
V20.1.	Protection of sinners by confession. *Crane Vitry 245 No. 261, 246f. No. 263; Spanish Exempla: Keller.
V20.1.1.	A man without a confessor is a body without a head. Irish myth: *Cross.
V20.1.2.	Confessor as "soul-friend”. Irish myth: *Cross.
V21.	Confession brings forgiveness of sin. Nouvelles de Sens No. 15; Spanish: Keller, Espinosa Jr. No. 182.
V21.1.	Sincere confession miraculously obliterated as sign of forgiveness. *Crane Vitry 266f. Nos. 301, 302; Alphabet Nos. 205, 209; Scala Celi 44b, 46a, 55a, 56b, 85b, 104a Nos. 251, 258, 308, 316, 493, 561; Ward II 663 No. 12; Herbert III 259, 380, 432, 469.
V21.2.	Woman confesses murder: unharmed by execution fire. Alphabet No. 466; Scala Celi 47a No. 265; Wright Latin Stories 66.
R175.	Rescue at the stake.
V21.3.	Confession of monk who intended to rob monastery brings for- giveness. Eventually elected prior. Italian Novella: Rotunda.
V21.4.	Prior pardons sinning friar who has confessed. Italian Novella: Rotunda.
V21.5.	Sinner confesses before sinning and thus is pardoned. Spanish Exempla: Keller.
V21.6.	Sinner's tearmarks on written confession cause bishop to pardon his sins. Spanish Exempla: Keller.
V22.	Condemnation because of death without confession. (Cf.
Q223.4.	) Alphabet Nos. 231, 455; Spanish: Boggs FFC XC 89 No. 760A*, Keller.
V23.	Miracle to permit confession.
V23.1.	Unshriven man restored to life in order to confess. (Cf.
V251.	) Herbert III 14; *Crane Vitry 267 No. 303; *Crane Miraculis 93 No. 27; English: Wells 167 (Vernon Miracles).
V23.2.	Dumb man recovers speech in order to confess. *Fb "stum".
F954.	Dumb person brought to speak.
V24.	Miraculous manifestation at confession.
V24.1.	Confession of sins of a pilgrim calms a great storm at sea. Alpha- bet No. 174.
V25.	Easy confession not effective.
V25.1.	Man returns from dead to protest against priest who has been too easy with him at confession. Pauli (ed. Bolte) No. 303.   ## p. 435 (#439) ############################################  V. Religion 435
V25.2.	Confession without giving up sin punished. Scala Celi 55a No. 309.
V27.	Penance magically concluded by confession. Type 756B; *Andrejev FFC LXIX 136ff.
V29.	Confession—miscellaneous motifs.
V29.1.	Search for confessor. Great sinner sent from one confessor to another. All say that his sins are too great for forgiveness. Finally he succeeds. *Type 756C; **Andrejev FFC LIV 28ff.; Irish: O'Suillea- bhain 46, 48, Beal XXI 317.
V29.2.	Monks shrive selves clean under threat of complete exposure of their sins by brother possessed of fiend. Alphabet No. 171.
V29.3.	Miracle attests fact that man does not need to confess. He hangs his sack on a sunbeam. Spanish: Boggs FFC XC 146 No. 1805A.
F1011.1.	Clothes hung on sunbeam.
V43.	Holy man has his own mass. When upbraided for not coming to mass, he hangs his coat on a sunbeam.
V29.4.	Sodomist makes sport of confession. Italian Novella: Rotunda.
V29.5.	Unnecessary for husband to confess as his wife has already done it for him. Italian Novella: Rotunda.
V29.6.	Penitent brings manuscript of sins to confession. Italian Novella: Rotunda.
V29.6.1.	
T257.4.1.	Jealous husband writes down wife's sins and hands list to confessor. List of sins: schedule is returned miraculously cleansed of all his sins. *Loomis White Magic 131.
V29.7.	Confessor and penitent exchange confidences. Balance sins and cancel wrongs. Italian Novella: Rotunda.
V29.8.	The devil goes to confession. Performs very severe penance, but cannot bear to humble himself and to stoop before the altar. (Cf.
G303.16.9.	) Lithuanian: Balys Index No. 818*.
V29.9.	Extortionate confessor demands golden statue. India: Thomp- son-Balys.
V30.	Sacrament. *Encyc. Rel. Ethics Index 510; DeVooys Middelneder- landse Legenden en Exempelen (Den Haag, 1926) 230ff.; Irish myth: *Cross.
B259.4.	Bees build church of wax to contain consecrated host.
D1031.1.1.	Consecrated bread as magic object.
G281.	Consecrated wafer kept in mouth in order to be a witch.
J1261.2.	Disrespect for the sacrament.
J1824.	Fatal bread. Numskull refuses communion because his sister died shortly after eating the bread.
V30.1.	The eaten god. *Encyc. Rel. Ethics V 136-39.
G13.1.	Ritual cannibalism: corpse of hero (demigod) eaten to acquire his strength.
V30.1.1.	Flesh of Artemis eaten as quail or bear. Greek: Fox 183.
V31.	Unconsecrated host.
V31.1.	Host taken away from sinful priest. Alphabet Nos 689, 691; 28*   ## p. 436 (#440) ############################################  436 Motif-Index of Folk-Literature Scala Celi 40b, 41a Nos. 229-36; Herbert III 398, 399, 465, 480, 483, 609, 709; Lithuanian: Balys Legends No. 409; Italian Novella: Ro- tunda.
V31.2.	Unconsecrated host ineffective. Alphabet No. 162.
V31.3.	Unconsecrated host refused. Alphabet Nos. 161, 310.
V31.4.	Altar casts away host with louse baked in it. Alphabet No. 690.
V31.5.	Devil eats unblessed bread. Scala Celi 64b No. 353.
V32.	Host miraculously given when it is refused a man by the priest. Pauli (ed. Bolte) No. 129; Alphabet Nos. 160, 420; Spanish Exempla: Keller; Icelandic: Boberg.
V33.	Incredulity as to sacredness of host punished. Pauli (ed. Bolte) No. 687; Alphabet No. 309.
V33.1.	Incredulity as to sacredness of host confounded by miraculous appearance. Scala Celi 42a, 65b, 66a Nos. 239, 357-60, 364; Herbert III 539.
V33.1.1.	Incredulity of true transformation of host banished by actual appearance of Jesus's body and blood. Spanish Exempla: Keller.
V34.	Miraculous working of the host.
D1031.1.1.	Consecrated bread as magic object.
N533.4.	Consecrated wine used to discover treasure.
V34.1.	Host cures disease. Alphabet No. 164.
V34.2.	Princess sick because toad has swallowed her consecrated wafer. *Type 613; **Christiansen FFC XXIV 83f.; *BP I 322ff.
V34.3.	
C55.	Tabu: losing consecrated wafer.
C940.1.	Princess's secret sickness from breaking tabu
D2064.1.	Magic sickness because girl has thrown away her consecrated wafer. Man who has received sacrament overcomes enemy, a blasphe- mer. Alphabet No. 163; Pauli (ed. Bolte) No. 535.
V34.4.	Clothes of knight who kneels in mud before host as it passes miraculously kept clean. Alphabet No. 492; Spanish Exempla: Keller.
V35.	The stolen sacrament.
C55.3.	Bee-master puts consecrated host into beehive. Has success with his bees. When he dies his spirit haunts the place.
V35.1.	Jews bribe woman to steal host for them: miraculous manifesta- tions. Scala Celi 64a No. 350.
V35.1.1.	Horse kneels before stolen sacrament. Pauli (ed. Bolte) No. 556; Mensa Philosophica No. 59; Scala Celi 64a Nos. 349f.
B250.	Religious animals.
V35.1.2.	Sacred image miraculously appears on stolen sacrament. (Cf.
V39.5.	) Pauli (ed. Bolte) No. 557.
V35.2.	Stolen sacred hosts put into coffin. Before death, a woman asks to put a bag into coffin. It is filled with hosts. (Cf. C55,
D1031.1.1.	) Lithuanian: Balys Legends Nos. 628ff.
V39.	Sacrament-miscellaneous motifs.
V39.1.	Man considering self unworthy to receive host given it by God himself. Pauli (ed. Bolte) No. 687.   ## p. 437 (#441) ############################################  V. Religion 437
V39.2.	Wicked woman unable to endure presence of host at mass. Eng- lish: Wells 151 (Richard Coer de Lyon).
V39.3.	Sacrament effective even from unworthy priest. Man who has refused such a sacrament shown a vision of a leper giving men good water without harm. Alphabet No. 687; Irish: O'Suilleabhain 126, Beal XXI 334, 337.
V39.4.	Vision of sacrament in form of young child. Alphabet No. 694; Scala Celi 66a Nos. 360-64; Toldo IV 49ff.; Irish: O'Suilleabhain 109.
V39.5.	Sacred image appears on host. Woman who has vowed not to use make-up or ornaments thus rewarded. (Cf.
V35.1.2.	) Italian No- vella: Rotunda.
V39.6.	Host given as pledge to keep one's word. Italian Novella: Ro- tunda.
V39.7.	Voice from grave asks that it be opened. Corpse spits out host because he has missed confession. Italian Novella: Rotunda.
G285.1.	At communion witches spit out wine over shoulder.
V39.8.	Sick men die and go to hell because they hesitate to take sacrament. Spanish Exempla: Keller.
V39.9.	Woman who eats before communion cannot swallow the wafer. Irish myth: *Cross.
V40.	Mass. *Encyc. Rel. Ethics Index 368a; Irish myth: *Cross.
K1961.1.2.1.	Parody sermon (mass).
Q521.6.	Penance: holding midnight mass until someone will make responses.
V255.2.	Virgin gives private mass to devout lady unable to attend.
Z140.3.	Symbolism of colors in mass vestments.
Z176.	Symbolism of the mass.
V41.	Masses work miracles. *Herbert III 273ff. passim; Scala Celi 130b, 131a Nos. 712-16.
D1766.5.	Magic produced by saying mass.
V41.1.	Imprisoned miner kept alive by masses performed by his wife. Ward II 675; Herbert III *85, 284, 324, 365; Alphabet No. 499.
V41.2.	Hearing masses causes triumph in tournament. Angel takes absent knight's place. He is delayed by going to mass. *Liebrecht 29; Alphabet No. 462; Scala Celi 130b No. 714; *Ward II 662; Spanish Exempla: Keller.
V42.	Masses release souls from hell (purgatory). Herbert III 284 Nos. 54ff. passim, 473; Alphabet Nos. 613, 652; Scala Celi 111b No. 620; Pauli (ed. Bolte) No. 228; Irish: O'Suilleabhain 99, Beal XXI 332; English: Wells 172 (Trentalle Sancti Gregorii); Swiss: Jegerlehner Oberwallis 298 No. 11; Spanish: Espinosa Jr. Nos. 192-97.
V43.	Holy man has his own mass. (Cf.
F1011.	1,
V29.3.	) When upbraided for not coming to mass, he hangs his coat on a sunbeam. Swiss: Jegerlehner Oberwallis 309 No. 10; Spanish: Boggs FFC XC 147 No. 1805B.
V44.	Faithful attendance at mass outweighs evil deeds. *Crane Vitry Nos. 223ff. passim; Irish: O'Suilleabhain 98, Beal XXI 331.
V45.	Mass said for dead; they arise and say "Amen". Scala Celi 133a No. 732.
V46.	Pebble put in box each time mass is heard. Irish: O'Suilleabhain 127.   ## p. 438 (#442) ############################################  438 Motif-Index of Folk-Literature
V48.	The canonical hours. Irish myth: *Cross.
B252.2.	Birds (in otherworld) call at canonical hours.
V49.	Mass-miscellaneous motifs.
V49.1.	Werwolves hold mass. (Cf.
D113.1.	1, E492,
G243.	) Köhler-Bolte I 134; Gascon: Bladé Contes pop. de Gascogne II 360 No. 4.
V49.2.	Angel holds mass in church on the day that the king absents himself for sake of hunting trip. Spanish Exempla: Keller.
V50.	Prayer. *Encyc. Rel. Ethics Index 470a; Irish myth: *Cross; Mis- souri French: Carriére; Jewish: *Neuman.
D781.	
C713.1.	Tabu: merman's wife not to stay till church benediction. Disenchantment by prayer (mass) of pope.
D2163.5.	Saint's prayer wins battle.
D2176.3.	Evil spirit exorcised.
E341.3.	Dead grateful for prayers.
E443.2.	Ghost laid by prayer.
E754.1.1.	Condemned soul saved by prayer.
J1269.7.	Man while praying refuses to salute superior.
Q223.1.	Neglect to pray punished.
V51.	Learning to pray. Jewish: Neuman.
V51.1.	Man who does not know how to pray so holy that he walks on water. *Pauli (ed. Bolte) No. 332; **Andrejev "Tri Starca" Novoje Delo (Kazan, 1922) (see Anderson Zs. f. Vksk. XXX-XXXII 171); Lithuanian: Balys Index No. 827*; Russian: Andrejev No. 827*.
V51.2.	Worldly-minded learn to pray by thinking of their usual business. Pauli (ed. Bolte) Nos. 334, 338; Scala Celi 37b No. 209.
V51.3.	Woman shows that the Lord's Prayer is the best. Pauli (ed. Bolte) No. 333.
V51.4.	Woman taught that it is better to pray before Christ's image than before a saint's. Wesselski Arlotto I 201 No. 26.
V51.5.	"Beatus" best prayer for saving condemned souls. (Cf.
E754.1.1.	) Irish myth: *Cross.
V52.	Miraculous power of prayer. Irish: *Cross, Beal XXI 334, O'Suilleabhain 112; Spanish Exempla: Keller; West Indies: Flowers 579. Cf. Nouvelles de Sens No. 26.
D1273.0.2.	Magic spells mixed with Christian prayers.
D1766.1.	Magic results produced by prayer.
D2105.1.	Provisions provided in answer to prayer.
D2143.1.3.	Rain produced by prayer.
E63.	Resuscitation by prayer. V243, Angel answers mortal's prayer.
V52.1.	Man saved from lechery through prayer. Alphabet No. 65; Spanish Exempla: Keller.
V52.2.	Continuous prayer sustains man through frightful vigil. *Type 307; *BP III 534; *Köhler-Bolte II 213ff.; Irish: Beal XXI 313, 319, O'Suilleabhain 37, 53; Japanese: Ikeda.
E251.1.1.	Vampire's power overcome by endurance and prayer.
H1450.	Vigilance test.
V52.3.	Prayer before battle brings victory. Scala Celi 151b No. 833; Irish myth: *Cross; Spanish Exempla: Keller; Jewish: *Neuman.
V52.4.	Objects supplied through prayer. Irish myth: Cross.
V52.5.	Prayer restores shattered vessel. Irish myth: Cross.
D1565.4.	Saint's breath restores shattered vessel.   ## p. 439 (#443) ############################################  V. Religion 439
V52.6.	Mariners saved from maelstrom through prayer. Irish myth: Cross.
V52.7.	Prayer at saint's flagstone averts trouble. Irish myth: Cross.
V52.8.	Prayer brings death to enemy. Irish myth: *Cross; Spanish Ex- empla: Keller; Hawaii: Beckwith Myth 105, 345.
V52.9.	Prayer for protection on journey to land of dead. Irish myth: Cross.
