A521.	Culture hero as dupe or trickster.
B236.0.1.	Animal king chosen as result of contest.
H331.5.	Suitor contest: race.
H331.5.1.1.	Apple thrown in race with bride. Distracts girl's atten- tion, and as she stops to pick it up, suitor passes her (Atalanta).
H331.5.1.1.1.	Hero's confederate slows down princess with his breath, so that she loses race.
H1594.	Foot-racing contest.
K1171.	Ogre induced to sit on reversed harrow.
K11.1.	Race won by deception: relative helpers. One of the contestants places his relatives (or others that resemble him) in the line of the race. The opponent always thinks the trickster is just ahead of him. (Told of animals or of men; often of the hare and the turtle.) *Type 1074; *Dh IV 48; Chauvin III 32; *Parsons JAFL XXI 221 n. 2; BP III 340ff., *343. North Carolina: Brown Collection I 703; Finnish- Swedish: Hackman FFC VI No. 275*; Lithuanian: Balys Index No. 92*; Spanish: Espinosa III 457f. India: *Thompson-Balys; Chinese: Basset Contes Berbères 139; Japanese: Ikeda. Indonesia: *Dixon 192, 334 n. 18, DeVries's list No. 120; Philippine: Fansler MAFLS XII 445, (Tinguian): Cole 198. N. A. Indian: *Boas BBAE LIX 307, (Oaxaca, Mexico): Boas JAFL XXV 214; S. A. Indian (Araucanian): Lehman-Nitsche Int. Cong. Americanists XIV 686, (Amazon): Alex- ander Lat Am. 288. Africa (Cameroons): Mansfield 224, (Benga): Nassau 95 No. 5, (Kaffir): Kidd 239 No. 8, (Ila, Rhodesia): Smith and Dale II 390 No. 15, (Suk): Mervin The Suk 38, (Ibo, Nigeria): Basden 274, Thomas 153, (Vai): Ellis 199 No. 16; Bahama: Edwards MAFLS III 69; Cape Verde Islands: *Parsons MAFLS XV (1) 308 n. 1; Jamaica: *Beckwith MAFLS XVII 261 No. 60, Jekyll 39ff.; American Negro (Georgia): Harris Remus 86 No. 18, (Virginia): Parsons JAFL XXXV 271, (North Carolina): Backus JAFL XI 284, Parsons JAFL XXX 174, (South Carolina): Stewart JAFL XXXII 394, Parsons MAFLS XVI 79, (Florida): Parsons JAFL XXX 225f. - - - - -
K3.1.	Relative substitutes in contest.
K81.2.	Deceptive eating contest: relative helpers. Trickster wins with the aid of substitutes.
K82.2.	De- ceptive drinking contest: relative helpers.
K1840.	Deception by sub- stitution.
K11.2.	Race won by deception: riding on the back. One contestant rides on the other's back. (Cf.
K25.1.	) *Types 221, 250, 275; *Dh IV 72ff., 91, 160ff.; Wienert FFC LVI *54 (ET 139), 114 (ST 248); BP III 278, *339. Italian Novella: Rotunda; Chinese: Graham; Japanese: Ikeda; In- donesia: DeVries's list Nos. 102, 121; N. A. Indian: Thompson CColl II 441, (Kalispel): Curtis N. A. Indian VII iii, (Jicarilla Apache): Goddard PaAM VIII 236 No. 45; Africa (Vai): Ellis 189 No. 5, (Gold Coast): Barker and Sinclair 155 No. 30; Jamaica: Beckwith MAFLS XVII 261 No. 60; American Negro (Virginia): Parsons JAFL XXXV 270f., (Pennsylvania): ibid. XXX 209, (North Carolina): ibid. XXX 189.
B236.0.1.	Animal king chosen as result of a contest.   ## p. 236 (#240) ############################################  236 Motif-Index of Folk-Literature
K11.3.	Hare and tortoise race: sleeping hare. In a race between the fast and the slow animal, the fast animal sleeps on the road and allows the slow animal to pass him. *Dh IV 66ff.; *BP III 341ff.; Jacobs Aesop 162 No. 68; Haupt Zs. f. deutsches Altertum XII (1865) 527; *Wienert FFC LVI 44 (ET 22), 135 (ST 412); Halm Aesop No. 420. Japanese: Ikeda; Ainu: Chamberlain, B. Aino Folktales (Lon- don, 1888) No. 14; N. A. Indian (Ojibwa): Schoolcraft Algic Researches 181, (Cherokee): Mooney RBAE XIX 290 No. 43; Africa (West Africa): Cronise and Ward Cunnie Rabbit, Mr. Spider and the Other Beef (London, 1903) 155f.; West Indies: Flowers 494; Bahama: Parsons MAFLS XIII 102; American Negro (Pennsylvania): Parsons JAFL XXX 214, (North Carolina): Parsons JAFL XXX 174, (South Carolina): Parsons MAFLS XVI 79, (Florida): Parsons JAFL XXX 226.
K11.4.	Race won by deception: chariot disabled. A rival in a chariot race inserts linchpins of wax instead of those of bronze in the hero's chariot. The latter is dragged to death. Greek: *Frazer Apollodorus II 161 n. 3.
K11.5.	Race won by deception: sham-sick trickster. The trickster feigns lameness and receives a handicap in the race. He then returns and eats up the food which is the prize. N. A. Indian: *Thompson Tales 298 n. 90.
K1810.	Deception by disguise.
K11.6.	Race won by deception: rabbit as "little son" substitute. A man challenged by an ogre to a running race persuades the ogre to race with his little son instead. By this he means a rabbit. (Cf.
K12.	2,
K15.1.	) *Type 1072; *Köhler-Bolte I 58, 477ff.
G500.	Ogre defeated.
K11.7.	Race won by deception: blinding opponent by spitting pepper into face. Africa (Bankon ): Ittman 97.
K621.	Blinding the guard.
K11.8.	Race won by deception: bow and arrow. Certain goal to be touched. Man shoots arrow and wins. India: Thompson-Balys.
K11.9.	Obstacle race between deer and hare. Hare accused of removing obstacles from his course. India: Thompson-Balys.
K12.	Wrestling match won by deception. **Hackman En Finländsk- Svensk Saga av Östeuropeiskt Ursprung (Brages Årsskrift IV, Hel- singfors 1910); Icelandic: Boberg; N. A. Indian: *Thompson Tales 314 n. 137a.
K12.1.	Wrestling match won by deception: where to throw the ogre. The ogre squeezes the man so that his eyes bulge out. The ogre: "Why do you glare so?" "I am looking to see where to throw you." The ogre flees (Cf.
K18.1.	) *Type 1070; Hdwb. d. Märchens I 193b. n. 9; *Hackman cf.
K12.	
G570.	Ogre overawed.
K1700.	Deception through bluffing. -
K12.2.	Wrestling match won by deception: bear as “grandfather.” A man challenged by an ogre persuades the latter to wrestle with his old grandfather instead. By this he means a bear. (Cf.
K11.	6,
K15.1.	) *Type 1071; Köhler-Bolte I 477ff.; *Hackman cf.
K12.	
K12.3.	Wrestling match: Antaeus. Giant invincible in wrestling because with each contact with earth his strength is renewed. Greek: *Frazer Apollodorus I 222 n. 2.
D1778.	Magic results from contact with earth.
D1830.	Magic strength.
F531.	Giant.   ## p. 237 (#241) ############################################  K. Deceptions 237
K12.4.	Wrestling match of man with fever. Man places stone image at wrestling-place; fever enters image and shatters it. India: Thomp- son-Balys.
K12.5.	Wrestling between porcupine and deer. Deer defeated but always pleads illness. India: Thompson-Balys.
K13.	Boxing match: fatal boxer defeated. All comers are challenged and all are killed until the hero defeats the challenger. (Argonauts and Amycus.) *Hackman cf. K12; *Frazer Apollodorus I 102 n. 2.
K14.	Rowing contest won by deception. The boat is already sawed through. Type 1087.
K1431.	Trickster saws legs of table so that it collapses.
K14.1.	Rowing contest won by deception: magic boat. India: Thompson- Balys.
D1121.	Magic boat.
K15.	Climbing match won by deception. *Hackman cf. K12; N. A. Indian: *Thompson Tales 314 n. 135.
K15.1.	Climbing match won by deception: squirrel as “child”. The ogre agrees to contest against the man's young one, i. e., a squirrel. (Cf.
K11.	6,
K12.2.	) *Type 1073; Köhler-Bolte I 477ff.
K16.	Diving match won by deception. Indonesia: DeVries's list No. 123.
H1543.	Contest in remaining under water.
K16.1.	Diving match won by deception: breathing under brush. Trickster comes up and breathes under some floating brush, where he is not detected. N. A. Indian: *Thompson Tales 314 n. 136.
K1800.	Deception by disguise or illusion.
K16.2.	Diving match: trickster eats food while dupe is under water. Africa (Kaffir): Theal 101, (Angola): Chatelain 205; Jamaica: *Beckwith MAFLS XVII 239; American Negro (Georgia): Harris Nights 373 No. 67, (South Carolina): Stewart JAFL XXXII 394, Parsons MAFLS XVI 40.
K330.	Means of hoodwinking the guardian or owner.
K17.	Jumping contest won by deception. Philippine: Fansler MAFLS XII 51; N. A. Indian: *Thompson Tales 302 n. 104.
K17.1.	Contest: jumping into the ground. A hole is already dug and covered with boughs. *Type 1086.
K61.	Contest in pushing hole in tree: hole prepared beforehand.
K17.1.1.	Contest: who can go deepest into the earth? Wren goes into mouse hole. *Type 221; *BP III 278; *Dh IV 169.
K17.2.	Contest in jumping from the church tower. The devil is not to look behind him. The man runs downstairs (or otherwise cheats). Type 1075*; *Bolte Frey 222 No. 19.
G303.	The devil.
K17.3.	Contest in jumping into a trap. Indonesia: DeVries's list No. 134.
K17.4.	Jumping frog contest. Frog filled with shot. Anonymous Historia de Pedro Urdemales (Yungay, Chile, 1885) No. 11. Literary treat- ment by Mark Twain.
K18.	Throwing contest won by deception. *Fb "kaste" II 103a; French Canadian: Barbeau JAFL XXIX 21; Africa (Bankon): Ittman 88.   ## p. 238 (#242) ############################################  238 Motif-Index of Folk-Literature
K18.1.	Throwing contest: trickster shouts. He is trying to warn the people beyond the sea with his cry. The ogre is intimidated. (Cf.
K12.1.	) Köhler-Bolte I 64; U.S.: Baughman.
G570.	Ogre overawed.
K1710.	Ogre (large animal) overawed.
K18.1.1.	Throwing contest: trickster addresses Angel Gabriel. Offers him the ogre's cane. The ogre is intimidated. N. A. Indian (Penobscot): Speck JAFL XXVIII 56.
K18.1.2.	Throwing contest: trickster addresses Angel Gabriel or St. Peter, warns him to get out of way of missle trickster is about to throw. U.S.: *Baughman.
K18.2.	Throwing contest: golden club on the cloud. Trickster shows the ogre the club he has thrown. (Really only a bright spot on the cloud.) (Cf.
K1746.	) *Type 1063; French Canadian: Barbeau JAFL XXIX 22.
K18.3.	Throwing contest: bird substituted for stone. The ogre throws a stone; the hero a bird which flies out of sight. *Type 1062; BP I 148; Lappish: Qvigstad Lappiske Eventyr II 237, 251; French Ca- nadian: Barbeau JAFL XXIX 95; Philippine: Fansler MAFLS XII 51; N. A. Indian: Thompson CColl II 431ff., (Navaho): Matthews MAFLS V 84; Africa: Meinhof Afrikanische Märchen 178, (Jaunde): Nekes 252.
K31.3.	Shooting contest won by deception: bird substituted for arrows.
K1840.	Deception by substitution.
K22.	Deceptive tug-of-war. Small animal challenges two large animals to a tug-of-war. Arranges it so that they unwittingly pull against each other (or one end of rope is tied to a tree). Africa (Mpongwe): Nassau 37 No. 5, (Ibo, Nigeria): Basden 277, Thomas 145, (Ila, Rhodesia): Smith and Dale II 377 No. 2; American Negro (Georgia): Harris Remus 124 No. 26; Bahama: Parsons MAFLS XIII 74 No. 34, Edwards MAFLS III 65; South American Negro: C. F. Hartt Ama- zonian Tortoise Myths (Rio de Janeiro, 1875) 20, Cape Verde Islands: Parsons MAFLS XV (1) 83 No. 27; West Indies: Flowers 495ff.
K23.	Deceptive shinny match. N. A. Indian: *Thompson Tales 314 n. 141, (California): Gayton and Newman 74.
K24.	Deception in swinging contest. Indonesia: DeVries's list No. 24.
K855.	Fatal swinging game.
K25.	Flying contest won by deception.
K25.1.	Flying contest won by deception: riding on the other. Wren hides in eagle's wings. (Cf.
K11.2.	) *Type 221.
B236.0.1.	Animal king chosen as result of a contest.
K1892.	Deception by hiding.
K25.2.	Contest in flying with load. One animal chooses cotton; the other, seeing that a rain is coming, chooses salt and wins. Dh III 142.
J1612.	The lazy ass repaid in kind. Loads of salt and of sponges.
K26.	Blowing contest won by deception. Hdwb. d. Märchens I 194a n. 17.
K27.	Riding contest won by substitution. Icelandic: Boberg.
K28.	Tournament won by deception on borrowed horse. Icelandic: Bo- berg.
K30.	Hunting contest won by deception.   ## p. 239 (#243) ############################################  K. Deceptions 239
K31.	Shooting contest won by deception. Philippine: Fansler MAFLS VII 137; N. A. Indian: *Thompson Tales 314 n. 142.
H217.	Decision made by contest.
N55.	Shooting contest on wager.
K31.1.	Contest: shooting an unheard-of bird. The man sends his wife on all fours in tar and feathers. The ogre has never heard of such a bird. *Type 1092.
G501.	Stupid ogre.
K216.2.	Bringing the devil an unknown animal.
Q475.	Tar and feathers as punishment.
K31.2.	Shooting test won by deception: proof of good sight. A man puts a dead hare under a tree and shows it to his dog. He tells people to look at the hare under the tree. At the distance no one can see it. He tells them that he will shoot it. He shoots and has his dog bring the hare. *Wesselski Hodscha Nasreddin II 207 No. 417.
K31.3.	Shooting contest won by deception: bird substituted for arrows. N. A. Indian: *Boas RBAE XXXI 721, 944.
K18.3.	Throwing contest: bird substituted for stone.
K1840.	Deception by substitution.
K32.	Trapping contest won by deception. N. A. Indian: Thompson Tales 328 n. 187.
K33.	Harpooning contest won by deception. N. A. Indian: *Thompson Tales 314 n. 134.
K40.	Labor contest won by deception.
K41.	Plowing contest.
K41.1.	Plowing contest won by deception: hare exchanged for horse. God and the devil contest in plowing. The devil plows with a horse, God with a hare. While the devil is asleep, God takes the devil's horse and plows the field. When he wakes, the devil thinks the hare has plowed so much and gladly trades his horse for the hare. Dh I 192f.
K42.1.	
G501.	Stupid ogre.
K100.	Deceptive bargain.
K1840.	Deception by sub- stitution.
K41.2.	Pig and dog as plowmen. Pig plows while dog sleeps. Then dog runs back and forth in furrow to claim victory. India: Thompson- Balys.
K42.	Harvesting contest.
K42.0.1.	Contest: harvesting the hay. The man calls out, "The wolves are coming!" The ogre is intimidated. Type 1053*.
G570.	Ogre overawed.
K1710.	Ogre (large animal) overawed. Threshing contest. Type 1089*; Lithuanian: Balys Index No. 1089*; Russian: Andrejev No. 1089.
K42.2.	Mowing contest won by trickery. The man takes the center of the field. The ogre is given a dull sickle and mows around the out- side of the field. *Type 1090; Danish: Kristensen Danske Sagn I (1892) 456ff., (1928) 284ff.
G501.	Stupid ogre.
K42.2.1.	God cheats devil at mowing. God mows with a chisel, the devil with a scythe. God deceives devil into changing scythe for chisel. Lithuanian: Balys Legends No. 138.
K44.	Deceptive contest in chopping. Type 1065*.   ## p. 240 (#244) ############################################  240 Motif-Index of Folk-Literature
K44.1.	Deceptive contest in chopping: iron in bamboo. Hero challenged to cut down bundles of bamboo suspended in air but a strip of iron is treacherously inserted in each. Buddhist myth: Malalasekera II 266.
K46.	Tree-pulling contest. N. A. Indian: *Thompson Tales 330 n. 191f.
K47.	Sewing contest won by deception.
K47.1.	Sewing contest won by deception: the long thread. The ogre sews with the whole length of the thread. When he returns from the first stitch, the tailor has his task finished. *Type 1096; India: Thompson- Balys.
G501.	Stupid ogre.
K48.	Contest in bridge-building won by deception. India: Thompson- Balys.
K50.	Endurance contest won by deception.
H1540.	Contests in endurance.
K51.	Waking contest won by deception. Indonesia: DeVries's list No. 25; cf. DeVries FFC LXXIII 400ff.
A2256.	Animal characteristics from contest in watching.
D1960.	Magic sleep.
H1450.1.	Waking contest.
K51.1.	Waking contest won by giving opponent soporific. Tuamotu: Stimson MS (z-G. 3/1142).
K52.	Contest in seeing sunrise first.
K52.1.	Contest in seeing sunrise first: sun on the trees. The fox places himself on a hill facing the east; the hog in a lower place facing the high trees to the west. The sun shines on the top of the trees, and the hog wins. (Sometimes told with human actors.) *Type 120; Dh III 147ff., 150ff.; *Pauli (ed. Bolte) No. 269; Irish: Jackson FL XLVII 285; Japanese: Ikeda. Cf. Harris Friends 3 No. 1.
K52.2.	Contest in seeing sunrise first: sleeper wins. One keeps awake, the other sleeps. The first thinks that he sees the sun and cries out prematurely, thus waking the other, who wins. *Dh III 147f.
K53.	Deceptive contest in fasting. Irish myth: *Cross; Louisiana Creole: Fortier MAFLS II 34ff.; Indonesia: DeVries's list No. 133; Africa (Nigeria): Dayrell 153ff.; Bahama: Parsons MAFLS XIII 97 No. 51; Jamaica: *Beckwith MAFLS XVII 261f. No. 61; American Negro (Georgia): Harris Nights 370 No. 66.
P623.	Fasting as a means of distraint.
K60.	Absurd contest won by deception.
K61.	Contest in pushing hole in tree: hole prepared beforehand. Hero and ogre to vie in pushing a hole in a tree with their heads. *Type 1085, 1640; BP I 163; Köhler-Bolte I 86.
G501.	Stupid ogre.
K17.1.	Contest: jumping into ground.
K1733.1.	Giant persuaded hero has pushed hole in wall with bare hand. Hole bored before.
K62.	Contest in squeezing water from a stone. The ogre squeezes a stone; the trickster a cheese or egg. *Types 1060, 1640; *BP I 148; *Fb "sten" III 554a, "ost" II 763a; Danish: Kristensen Danske Sagn I (1892) 438; Philippine: Fansler MAFLS XII 51; Caucasian: Dirr Kaukasische Märchen 7 No. 2; Malay: Hambruch Malaiische Märchen 109; Africa: Frobenius Atlantis IX 289; American Negro (Georgia): Harris Remus 146 No. 30.
K1840.	Deception by substitution.   ## p. 241 (#245) ############################################  K. Deceptions 241
K63.	Contest in biting a stone. The ogre bites a stone; the man a nut. *Types 1061, 1640; BP I 68 n. 1, II 528; India: Thompson-Balys; Africa (Ila, Rhodesia): Smith and Dale II 387 No. 13.
G501.	Stupid ogre.
K212.	Devil cheated by being frightened.
K63.1.	Hero to eat iron grains. Substitutes soft food. India: Thompson- Balys.
K64.	Contest: pulling on steak with teeth. Two men take an end of a steak in their teeth; each attempts to pull it away from the other. After each has a good hold, the Irishman says (with clenched teeth) "Noo're ready?" The Dutchman says, “Yah!", loses the steak. (Cf. K22,
K561.1.	) U.S.: *Baughman.
K66.	Dream contests. U.S.: *Baughman.
K69.	Absurd contest won by deception—miscellaneous.
K69.1.	Contest with magician in bringing grain out of closed bamboo: trickster brings culm-borers to make holes. India: Thompson-Balys.
K5.	Contest with magician won by deception.
K70.	Contest in strength won by deception.
H331.14.	Suitor contest: trial of strength.
K71.	Deceptive contest in carrying a tree: riding. The trickster has the dupe carry the branches of a tree while he carries the trunk. He rides on the trunk. *Type 1052; *BP I 149; Africa (Dzalamo): Meinhof ZSES XI 280. Cf. Type 1640.
K72.	Deceptive contest in carrying a horse. The ogre carries it on his back and soon tires; the man carries it between his legs (rides). *Type 1082; Köhler-Bolte I 473.
K73.	Deceptive contest in squeezing hands. The man has an iron glove on. Type 1060*; Russian: Andrejev No. 1060*.
K74.	Deceptive contest in pulling fingers. The man has an iron finger. Type 1064*.
K80.	Contests in other physical accomplishments won by deception.
K81.	Deceptive eating contest. Koryak: Jochelson JE VI 128; N. A. Indian: *Thompson Tales 314 n. 137b; Eskimo (West Hudson Bay): Boas BAM XV 313, (Greenland): Rink 108.
K81.1.	Deceptive eating contest: hole in bag. The hero slips his food into a bag and makes the ogre believe that he is the greater eater. (In many versions the hero cuts open the bag; the ogre imitates and kills himself.) (Cf.
K82.1.	) *Type 1088; Saintyves Perrault 282; Krohn Tutkimuksia Suomalaisten Kansansatujen alalta 220ff.; Köhler- Bolte I 86; *Fb "æde" III 1139b. Icelandic: Flateyjarbók I 211, MacCulloch Eddic 93, Boberg; Danish: Kristensen Danske Sagn I (1892) 439; French Canadian: Barbeau JAFL XXIX 21; India: Thompson-Balys; N. A. Indian: *Thompson Tales 330 n. 191b; Africa: Frobenius Atlantis IX 368, XII 349. ―
G524.	Ogre deceived into stabbing himself. He imitates the hero who has stabbed a bag of blood.
J2401.	Fatal imitation.
K1875.	Deception by sham blood.
K81.2.	Deceptive eating contest: relative helpers. Trickster wins with the aid of substitutes. (Cf.
K82.2.	) N. A. Indian (California): Gayton and Newman 69; Africa (Congo): Weeks 214 No. 10.
K11.1.	Race won by deception: relative helpers.
K1840.	Deception by substitution. 16   ## p. 242 (#246) ############################################  242 Motif-Index of Folk-Literature
K81.3.	Deceptive eating contest: inexhaustible food. Hero can produce unlimited food which opponents must eat. India: Thompson-Balys.
K1652.1.	Inexhaustible food.
K81.4.	Contest: who will eat least. Food secretly furnished one, but plan detected and foiled. Lithuanian: Balys Index No. 1568A*.
K82.	Deceptive drinking contest.
F633.	Mighty drinker.
G522.	Ogre persuaded to drink pond dry bursts.
H1142.2.	Task: drinking the sea dry.
K82.1.	Deceptive drinking contest: hole for water. The trickster lets the water run out through a hole; the dupe drinks himself to death. (Cf.
K81.1.	) *Type 1088; Icelandic: MacCulloch Eddic 93; Indonesia: De Vries's list Nos. 49, 94.
K82.1.1.	Deceptive drinking contest: rising and falling tide. Buffalo and heron wager as to which can drink the sea until the water falls. The buffalo drinks as the tide is coming in; the heron drinks in the falling tide and wins. Indonesia: DeVries's list No. 98.
K82.1.2.	Attempted intoxication avoided by boring a hole in the bottom of cup. Marquesas: Handy 119.
K871.	Fatal intoxication.
K82.2.	Deceptive drinking contest: relative_helpers. (Cf.
K81.2.	) Africa (Mpongwe): Nassau 66 No. 14; Icelandic: Boberg.
K82.3.	Deceptive contest in drinking whisky. The man drinks water, the devil is given vinegar. Lithuanian: Balys Index No. 1089*.
K82.4.	Deceptive drinking contest: pretended swallowing. One bullock keeps mouth in water. Other drinks self to death. India: *Thomp- son-Balys.
K83.	Deceptive scratching contest. N. A. Indian: *Thompson Tales 306 n. 109ee.
K83.1.	Scratching contest: man's wife shows wounds. The man sends his wife to meet the ogre with whom he is to have a scratching contest. She tells the ogre that her husband has gone to have his nails sharpened. She shows him deep wounds that her husband has scratched on her body (obscene). The ogre leaves in terror. *Type 1095; BP III 356, 363; *Penzer III 34; *Bolte Zs. f. vgl. Litgsch. n. F. VII 456; Danish: Kristensen Danske Sagn I (1892) 454.
K212.	Devil cheated by being frightened.
K1710.	Ogre (large animal) overawed.
K1755.	Ogre terrified by woman's legs.
K83.1.1.	Scratching contest with devil: man's wife shows scratches in her oak table. Hdwb. d. Märchens I 193b.
K83.2.	Contest in scratching skin off each other: covering self with several ox-hides. Lithuanian: Balys Index No. 1098*.
K84.	Deceptive vocal contests.
K84.1.	Contest in shrieking or whistling. *Type 1084; Indonesia: DeVries's list No. 107.
K85.	Contest in seeing. *Type 238.
F642.	Person of remarkable sight.
K86.	Contest in hearing. *Type 238.
F641.	Person of remarkable hearing.   ## p. 243 (#247) ############################################  K. Deceptions 243
K87.	Deceptive laughing contest. Type 42*; Russian: Andrejev No. 42.
K87.1.	Laughing contest: dead horse winner. The ogre tries to laugh as long as the dead horse with a grinning mouth. Laughs till he dies. Type 1080*; Russian: Andrejev No. 1080.
K90.	Other contests won by deception.
K91.	Cursing contest. Arrow sent as a curse. Aarne FFC III 44 No. 1094.
H507.	Wit combat. Test in repartee.
H548.	Riddle contests.
K92.	Gambling contest won by deception. N. A. Indian: *Thompson Tales 354 n. 276. NO. Wagers and gambling.
K92.1.	Gambling contest: coin which attracts fly first to win. Winning coin had been rubbed on a pear. Italian Novella: Rotunda.
K92.2.	Game won with loaded dice. Italian Novella: Rotunda.
K92.3.	Girl distracts opponent's attention so that gambling lover wins. India: Thompson-Balys.
K774.	Capture by sight of women's breasts.
T26.1.	Finger cut because of absorption in the charms of beloved.
K95.	Finger-drying contest won by deception. Three daughters are to wet hands; the first to have hands dry is to be the first to marry. The youngest waves her hands, exclaiming, "I don't want a man!" She wins. *Pauli (ed. Bolte) No. 14; U.S.: Baughman; North Carolina: Brown Collection I 701; Italian Novella: Rotunda.
H360.	Bride test.
K263.	Agreement not to scratch. In talking the trickster makes gestures and scratches without detection.
L50.	Victorious young- est daughter.
K97.	Duel won by deception.
K97.1.	Boar in duel with tiger cakes mud on body: defeats tiger. India: *Thompson-Balys.
A2257.1.	Why tiger does not attack wild boar until latter is old: result of duel.
K97.2.	Combat won by means of substituted weapons. Zs. f. d. Phil. XXVI 12-13; Icelandic: *Boberg.
K1617.	Substituted arrows. Hero given arrows with soft points and sent after dangerous enemies. The deception discovered and the enemy dis- comfited.
K1840.	Deception by substitution.
K98.	Beauty contest won by deception.
H1596.	Beauty contest.
K98.1.	Beauty contest won by deception: other contestants covered with leaves. Tonga: Gifford 186. K100-
K299.	Deceptive bargains.
K100.	Deceptive bargains. Icelandic: Boberg.
F1041.1.3.4.	Priest dies from having been duped into deceptive bargain.
J2080.	Foolish bargains.
K441.3.	Fee from two persons for the same mo- nopoly.
K944.	Deceptive agreement to kill wives (children).
K1359.1.	Seduction by deceptive bargain.
K1581.10.	Lover's gift regained: payment with worthless money.
K1732.	Wages: as much as he can carry.
K2034.	Same reward promised to host of helpers.
K2213.11.	Treacherous queen tricks king into bestowing kingdom for a year upon her son by former marriage. At end of year son retains crown on ground that both seller and buyer must abide by contract.
K2310.	Deception by equivocation.
M200.	Bargains and promises. 16*   ## p. 244 (#248) ############################################  244 Motif-Index of Folk-Literature K110-
K149.	SALE OF WORTHLESS ARTICLES
K110.	Sale of pseudo-magic objects. French Canadian: Barbeau JAFL XXIX 23; Missouri French: Carrière.
K135.	Pseudo-magic animals sold.
K1963.	Sham magician.
K111.	Pseudo-magic treasure-producing objects sold. India: Thompson- Balys; Korean: Zong in-Sob 178f.
D1450.	Magic object furnishes treasure.
K111.1.	Alleged gold-dropping animal sold. *Type 1539; BP II 10ff.; Penzer V 5-13; Italian Novella: Rotunda; India: *Thompson-Balys; Indonesia: Coster-Wijsman 26 No. 5.
K111.2.	Alleged bill-paying hat sold. *Type 1539; BP II 10; *Fb "hat" IV 202b; India: Thompson-Balys; Philippine: Fansler MAFLS XII 196, 443.
D1455.	Magic clothing furnishes treasure.
K111.3.	Pseudo-magic wealth-providing bag sold. India: Thompson- Balys.
K111.4.	Pseudo-magic formula for making gold sold to king. Gold required for its manufacture carried off by manufacturer. Spanish Exempla: Keller.
B103.1.1.	Gold producing ass. Droppings of gold.
K249.3.	Pseudo-magic money-dropping ass beaten to death by buyer; cheat says: "Return my ass, I shall return your money."
K1668.	Banker sells "golden" goose to shoemaker.
K112.1.	
K112.	Pseudo-magic food-producing object sold.
D1472.	Food and drink from magic object. Alleged self-cooking kettle sold. *Type 1539; BP II 10; Italian Novella: Rotunda.
K112.2.	"Soup stone" sold. It needs only the addition of a few vegetables and a bit of meat. *Type 1548; *Prato RTP IV 168; Italian Novella: Rotunda.
K112.3.	77.
