B278.	Captured animal ransoms self.
P19.2.1.	King abducts woman to be his paramour.
Q213.	Abduction punished.
R110.	Rescue of captive.
R161.1.	Lover rescues his lady from abductor.
R225.	Elopement.
W153.12.	Miser is kidnapped and held for ransom. -
R10.1.	Princess (maiden) abducted. (Cf.
R11.	1,
R12.	1,
R13.	1,
R16.	1,
R17.	1,
R25.	1,
R31.	) *Types 301, 302, 311, 312; *Hdwb. d. Märchens I 553b nn. 296-315; Feilberg Bjærgtagen (København, 1910). Irish myth: *Cross; Icelandic: *Boberg; Breton: Sébillot Incidents s.v. "princesse"; Spanish: Espinosa II No. 133-135; Italian Novella: Rotunda; Greek: Grote I 156; India: *Thompson-Balys; Chinese: Graham; Indonesia: DeVries's list No. 220.
H1219.3.	Quest assigned as punishment by father of abducted girl.
K1310.	Seduction by disguise or substitution.
K1321.	Seduction by man disguising as woman.
K1321.2.	Man disguised as woman abducts princess.
K1332.	Seduction by taking aboard ship to inspect wares.
K1333.	Seduction by having maiden placed in floating chest.
K1334.	Seduction (or wooing) on an aerial journey.
K1371.	Bride-stealing.
K1831.2.2.	Lover in disguise as duke's son takes service by king with his followers in order to abduct his sister.
K1914.	Abductor pretends to have been sent to fetch princess by lover.
P15.2.	King demands subject's wife for himself.
R111.	Rescue of captive princess.
T151.0.1.	Respite ruse. Captive maiden assigns quest, agreeing to marry when it is accomplished.
R10.1.1.	Maiden abducted by soldiers. Italian Novella: *Rotunda.
R10.1.2.	Lover abducts maiden from cruel father and brother. Italian Novella: Rotunda.
K2211.	Treacherous brother.
R225.	Elopement.
S11.	Cruel father.
R10.2.	Pretended abduction. Adulterous wife plots own abduction by paramour. Irish myth: Cross.
R10.3.	Children abducted. Icelandic: Boberg.
R10.4.	Hero abducted by witch who loves him. Icelandic: Boberg.
R10.4.1.	Abduction of bridegroom and killing of his bride planned as giantess's revenge. Icelandic: Lagerholm 56-58, Boberg.
R11.	Abduction by monster (ogre). (Cf.
G440.	) **Feilberg Bjærgtagen (København, 1910); Spanish: Espinosa II Nos. 133-135, III Nos. 141f.; India: *Thompson-Balys; Buddhist myth: Malalasekera II 129, 1060; S. A. Indian (Toba): Métraux MAFLS XL 39.
R11.1.	Princess (maiden) abducted by monster (ogre). (Cf.
R10.1.	) *Types 301, 302, 311, 312; *BP I 398, 404, II 301, 317, III 434; Hdwb. d. Märchens I 544b, 547a nn. 60-79, 140-174; *Fb "brud" IV 64b. Irish myth: *Cross; Icelandic: *Boberg; Missouri French: Carrière; India: *Thompson-Balys; Chinese: Graham; Korean: Zong in-Sob 221 No. 98; Japanese: Dixon 215 n. 17; Eskimo (Smith Sound):   ## p. 270 (#274) ############################################  270 Motif-Index of Folk-Literature Kroeber JAFL XII 167; N. A. Indian: *Thompson Tales 341f. nn. 228, 228a, 231, 235.
B81.4.	Mermaid captures a maiden.
B82.1.1.	Merman demands prin- cess.
F531.5.7.0.3.	Giantess daughter of giant and abducted maiden (therefore helps hero).
G535.	Ogre's captive princess hero's helper.
R151.1.	Husband rescues stolen wife.
R11.1.1.	Abduction of girl by half bestial man (hair on body, nails of dog). India: *Thompson-Balys.
R11.2.	Abduction by devil.
R11.2.1.	Devil carries off wicked people. Scala Celi 6b, 43a, 54b, 77b Nos. 39, 246, 306, 441; Fb "fanden" I 267a; Irish: O'Suilleabhain 55, Beal XXI 322; Finnish-Swedish: Wessman 13 Nos. 116, 118; Spanish Exempla: Keller; West Indies: Flowers 571.
Q267.1.	Devil comes for hypocrite.
Q273.1.	Devil comes for usurer.
Q281.1.1.	Devils carry off girl who abuses her mother.
Q312.2.	Devil carries off fault-finding people.
Q387.1.	Devil carries off jester.
Q554.1.	Punishment: devil carries off thief.
R11.2.1.1.	Devil carries off emperor because of his many murders. Spanish Exempla: Keller.
R11.2.2.	Abduction by demon. India: *Thompson-Balys; Buddhist myth: Malalasekera II 507, 1053; Tuamotu: Stimson MS (z-G. 3/1386).
R11.2.2.1.	Abduction by Echo. India: Thompson-Balys.
A497.	Echo.
D2065.6.	Person abducted by Echo crazed and dumb.
R11.3.	Abduction by giant. (Cf. F531,
G100.	) English romance: Malory V 5; Icelandic: *Boberg; India: *Thompson-Balys; Korean: Zong in-Sob 166 No. 72; N. A. Indian (Zuñi): Benedict II 334.
R12.	Abduction by pirates.
R12.1.	Maiden abducted by pirates (robbers). (Cf.
R10.1.	) *Reinhard PMLA XXXVIII 465; Irish myth: *Cross; Italian Novella: *Rotunda; India: *Thompson-Balys; Buddhist myth: Malalasekera I 981.
R12.2.	Man abducted by pirates. French Canadian: Sister Marie Ursule; Italian Novella: *Rotunda.
R12.2.1.	Child abducted by robbers and brought up in their ways. Later becomes wealthy and law-abiding. Irish myth: Cross.
R12.3.	Lovers abducted by pirates. Italian Novella: *Rotunda.
R12.4.	Girl enticed into boat and abducted. India: *Thompson-Balys.
K1332.	Seduction by taking aboard ship to inspect wares.
R13.	Abduction by animal. Chinese: Graham.
B11.6.8.	Dragon flies to its nest with human being.
C986.	Abduction by animal for breaking tabu.
N312.	Separation of twins through being carried off by beast.
R13.0.1.	Children carried off by animals. *Hibbard 270 n. 10, 276; Irish myth: *Cross.
B535.	Animal nourishes abandoned child.
R13.1.	Abduction by wild beast.
R13.1.1.	Baboons abduct boy. Africa (Hottentot): Bleek 42.
R13.1.2.	Lion carries off child. Italian Novella: *Rotunda.   ## p. 271 (#275) ############################################  R. Captives and fugitives 271
R13.1.3.	Rhinoceros carries off man. India: Thompson-Balys.
R13.1.4.	Abduction by tiger.
R13.1.4.1.	Tiger abducts man. India: Thompson-Balys.
R13.1.4.2.	Abduction of woman by tiger. India: *Thompson-Balys; Chinese: Graham; S. A. Indian (Chiriguano): Métraux RMLP XXXIII 142.
R13.1.4.2.1.	Tigers abduct princess to be wife of their human ward. India: *Thompson-Balys.
B535.	Animal nurse.
T50.	Wooing.
R13.1.5.	Wolf abducts person. Irish myth: *Cross.
R13.1.6.	Girl abducted by bear and made his wife. India: Thompson- Balys.
R13.1.7.	
B635.1.	The Bear's Son. Abduction by monkey.
R13.1.7.1.	Girl carried off by monkeys. India: Thompson-Balys.
R13.1.8.	Abduction by rabbit. India: Thompson-Balys.
R13.1.9.	Abduction by leopard. India: Thompson-Balys.
R13.1.10.	Abduction by elephant. India: Thompson-Balys.
R13.1.11.	Abduction by fox. India: Thompson-Balys. R.13.2. Abduction by domestic beast.
R13.2.1.	Girl carried off by ram. (Cf.
R10.1.	) Breton: Sébillot Incidents S.V. "bélier".
R13.2.2.	Bull carries off devil after he has tried to deceive God. (Cf.
A60.	) Dh I 35.
R13.2.3.	Abduction by cat. Irish myth: *Cross.
R13.2.3.1.	Abduction by goddess's cat. India: Thompson-Balys.
R13.3.	Person carried off by bird. German: Grimm No. 51; India: *Thompson-Balys; Philippine (Tinguian): Cole 183, 201; N. A. Indian (California): Gayton and Newman 79; Africa (Yoruba): Frobenius Atlantis X 222ff. No. 14.
R13.3.1.	Abduction by ravens. Irish myth: Cross.
R13.3.2.	Eagle carries off youth. Greek: Fox 240 (Ganymede); Japanese: Ikeda.
R13.4.	Abduction by reptile.
R13.4.1.	Abduction by snake. India: *Thompson-Balys.
R14.	Deity (demigod) abducts person. Greek: Grote I 35, 83, 261; India: *Thompson-Balys; Philippine (Tinguian): Cole 183.
R16.	Abduction by transformed person.
R16.1.	Maiden abducted by transformed hero. (Cf. D658,
D2121.	7,
R10.1.	) *Type 516; Rösch FFC LXXVII 112; Spanish: Boggs FFC XC 57 No. 425.   ## p. 272 (#276) ############################################  272 Motif-Index of Folk-Literature
R16.2.	Child carried off by werwolf. (Cf.
D113.1.1.	) Hibbard 216.
R16.3.	Woman abducted by (transformed) fairy. Irish myth: *Cross.
R16.4.	Abduction by tiger-man. India: Thompson-Balys.
R16.5.	Abduction by elephant-man. India: Thompson-Balys.
R17.	Abduction by whirlwind. (Cf.
D1520.28.	) Hartland Science 175; Ice- landic: Boberg; Japanese: Ikeda; Africa (Basuto): Jacottet 160 No. 23.
R17.1.	Whirlwind carries princess away. (Cf.
R10.1.	) *Fb "hvirvelvind" I 708.
R18.	Abduction by rejected suitor. Irish myth: *Cross; Icelandic: *Bo- berg.
T75.2.1.	Rejected suitor's revenge.
T92.9.	Rival in love killed.
T104.1.	Rejected suitor wages war.
R22.	Abduction by giving soporific. Irish myth: Cross.
D1964.3.	Magic sleep induced by abductor.
K776.	Capture by intoxica- tion (or narcotic).
R22.1.	Abduction by giving soporific and rolling up in a cloak. *Chauvin V 23 No. 13 n. 2.
R22.2.	Abduction by means of sleep-giving music. Irish myth: Cross.
R23.	Abduction with aid of magic mask which renders invisible. (Cf.
D1361.32.	) Irish myth: Cross.
R24.	Abductor in disguise. (Cf.
K1310.	) India: Thompson-Balys.
R24.1.	Prince disguised as holy man abducts princess. India: Thomp- son-Balys.
R24.2.	Princely suitor in minstrel disguise carries princess away. India: Thompson-Balys.
R25.	Abduction through underground passage.
R25.1.	Princess abducted through underground passage. (Cf.
R10.1.	) *Type 516; Rösch FFC LXXVII 102; BP I 46ff.; Icelandic: Boberg.
R31.	Light extinguished and woman stolen. (Cf.
R10.1.	) Icelandic: *Bo- berg; N. A. Indian: *Thompson Tales 343 n. 237.
R32.	Abduction by stealing clothes of bathers. Africa (Cameroon): Lederbogen Märchen II 122f. No. 9.
K1335.	Seduction (or wooing) by stealing clothes of bathing girl.
R4.1.	Enemy surprised while bathing; taken.
R33.	Fairy physician abducted to heal wounded mortals. (Cf.
F344.	) Irish myth: Cross.
R35.	Abducted princess gives birth to child. Icelandic: *Boberg.
R39.	Abduction-miscellaneous.
R39.1.	Abduction by magician. India: Thompson-Balys.
R39.2.	Abduction by old woman. India: Thompson-Balys.
R40.	Places of captivity. Missouri French: Carrière.
B11.10.1.	Dragon keeps maiden tied with golden chain.
D2177.	Imprison- ment by magic.
D2177.1.	Demon enclosed in bottle.
F165.6.1.	Other-   ## p. 273 (#277) ############################################  R. Captives and fugitives 273 world (fairyland) as place of sorrowful captivity.
F375.	Mortal im- prisoned in otherworld (fairyland).
J229.12.	Prisoners given choice between emasculation and blinding.
K700.	Capture by deception.
Q435.	Magic imprisonment in cleft tree.
Q455.2.1.1.	Adulteress con- fined in room containing corpse of her paramour.
R100.	Rescues.
R210.	Escapes.
T50.1.	Girl carefully guarded from suitors.
R41.	Captivity in tower (castle, prison).
K1931.5.	Impostors throw hero into prison.
Q433.	Punishment: imprison- ment.
R121.	Means of rescue from prison.
R211.	Escape from prison.
R41.1.	Captivity in castle. *Type 400; English: Wells 66 (Ywain and Gawain); Irish myth: *Cross; India: *Thompson-Balys.
R41.1.1.	Captivity in subterranean palace. India: Thompson-Balys.
R41.2.	Captivity in tower. *Type 310; Dickson 198 n. 8; Irish myth: *Cross; Italian: Basile Pentamerone II No. 1, IV No. 6, Rotunda; India: *Thompson-Balys.
R41.2.1.	
F772.2.1.	Brazen tower.
M372.	Confinement in tower to avoid fulfill- ment of prophecy.
T381.	Imprisoned virgin to prevent knowledge of men, marriage, impregnation. Usually kept in a tower. Slandered wife is locked in tower for forty days. If no cham- pion appears, she is to be burned. Former suitor rescues her. Spanish: Childers.
R41.2.2.	Captivity in bower. Irish myth: *Cross.
R41.3.	Captivity in dungeon. Irish myth: *Cross; English: Wells 22 (Sir Beues of Hamtoun); Jewish: Neuman.
R41.3.1.	
Q544.	Penance: being locked in cellar with key thrown into water. Prison filled with snakes. (Cf.
Q465.1.	) *Boje 92; Hdwb. d. Märchens I 436b nn. 183-198; Irish myth: Cross; Jewish: Neuman.
R41.3.2.	Prison with stream of water in it. Boje 93.
R41.3.3.	Prison floor with spikes in it. Boje 91ff.
R41.3.4.	Captivity in well. India: Thompson-Balys.
R41.4.	Groom as prisoner in his and giantess's bridal chamber. (Cf.
R41.5.	) Icelandic: *Boberg.
R41.5.	Abducted princess fettered in hall with 100 doors. Bridal bed for her and giant in the midst. (Cf.
R111.2.3.	) Icelandic: Boberg.
R41.5.1.	Queen kept in palace of forty doors, each of them watched by a dog. Africa (Dahome): Einstein 25.
R41.6.	Captivity in a pillar. Cheremis: Sebeok-Nyerges.
R41.7.	Captivity in cages. (Cf.
Q433.1.	) Cheremis: Sebeok-Nyerges; Jew- ish: Neuman.
R42.	Captivity in sunken valley. Irish myth: *Cross.
R43.	Captivity on island. Irish myth: *Cross; India: *Thompson-Balys.
R45.	Captivity in mound (cave, hollow hill). *Type 870; *BP III 443ff., 450; *Fb "höj" I 740b, 741; **Liungman Traditionsstudie över sagan om prinsessan i jordkulan (Göteborg, 1925). Irish myth: *Cross; Icelandic: *Boberg; Spanish: Boggs FFC XC 54 No. 405*A; India: *Thompson-Balys; Chinese: Graham. -
F721.2.	Habitable hill.
R112.	Magic rescue of prisoner from mound. 18   ## p. 274 (#278) ############################################  274 Motif-Index of Folk-Literature
R45.1.	Man confined under roots of tree. N. A. Indian (Seneca): Curtin- Hewitt RBAE XXXII 705 No. 135.
R45.2.	Imprisonment in lion's den. Italian: Basile Pentamerone III No. 5; Missouri French: Carrière; Spanish Exempla: Keller; Jewish: Neuman.
R45.3.	Captivity in cave.
R45.3.1.	Bear keeps human wife captive in cave with stone at entrance. India: *Thompson-Balys.
R46.	Captivity under water. India: *Thompson-Balys.
F420.5.2.1.1.	Water-maiden enamors man and draws him under water.
R47.	Captivity in lower world. India: Thompson-Balys.
R49.	Other places of captivity.
R49.1.	Captivity in tree. India: Thompson-Balys.
R49.2.	Captivity in an oven. Cheremis: Sebeok-Nyerges.
R49.3.	Ogre seizes girl and puts her in a drum. Africa (Luba): DeClerq ZsKS IV 225.
R50.	Conditions of captivity.
R51.	Mistreatment of prisoners. Irish myth: Cross.
A185.2.2.	God makes man's hand rigid so he can no longer torment captive.
Q450.	Cruel punishments.
R51.1.	Prisoners starved. Irish myth: Cross; Jewish: Neuman.
Q465.2.	Prisoners put into pit filled with corpses in order to starve.
S123.4.	Avenger plans to let Atilla starve in mountain chamber.
R51.2.	Prisoners confined in chains. Irish myth: *Cross; Jewish: Neu- man.
R51.3.	Prisoners mutilated. Irish myth: Cross; Jewish: Neuman.
R51.4.	Prisoner massacred. Jewish: Neuman.
R53.	Captivity as refuge for the captive. Type 870.
R53.1.	Woman hidden in underground chamber or mud cabin. (Cf.
R45.	) Icelandic: *Boberg.
R53.2.	Woman hidden in sacred place which her lover is not supposed to dare to enter. Icelandic: *Boberg.
R53.3.	Girl locked up in order to postpone wedding. Icelandic: Göngu-Hrólfs saga 306.
R53.4.	Faithful servant locks his master and his friend up in a little house built from wood from their wrecked ships; they falsely think themselves betrayed. Icelandic: Boberg.
H1556.	Tests of fidelity.
P361.	Faithful servant.
R169.4.	Hero rescued by servant.
R54.	Hero locked up while his father is murdered. Icelandic: Boberg.
R61.	Person sold into slavery. *Types 506, 888; Italian Novella: *Rotunda; Jewish: Neuman; Africa (Fang): Einstein 151.
K1812.11.	Incognito prince (king) sold into slavery.
P173.	Captive king's sons made slaves.
Q42.4.	Man frees slave (incognito prince).
Q437.1.	Criminal's wife and children sold into slavery.
R111.1.6.	Princess ran- somed from slavery.
R152.2.	Woman disguised as man sells herself into slavery in order to ransom (free) her husband (lover).
S210.1.	Child sold into slavery.   ## p. 275 (#279) ############################################  R. Captives and fugitives 275
R70.	Behavior of captives. Irish myth: *Cross.
R71.	
F848.1.	Girl's long hair as ladder into tower.
J861.1.	Consoled by a drop of honey. Man in pit surrounded by perils thus comforts himself.
Q54.2.	Captive knight freed for keeping his word. Captive prince joins captor out of gratitude for his freedom. (He had refused to promise that he would not fight again.) (Cf.
W27.	) Italian Novella: *Rotunda.
R72.	Defiant prisoners refuse to accept grace even from their father unless it is granted them all. (Cf.
M165.	) Hdwb. d. Märchens II "Gnade ausbitten"; Icelandic: Boberg.
R74.	Defeated warriors go into the conqueror's service. Icelandic: *Bo- berg.
M161.5.	Rather die than go in the enemy's service.
R74.1.	Defeated enemy turns conqueror's best friend. Icelandic: *Boberg.
R74.2.	Defeated enemy's son turns conqueror's man. Icelandic: *Boberg.
R74.3.	Defeated enemy holds rank and country when he promises to pay tax to conqueror. Icelandic: *Boberg.
R74.3.1.	Imprisoned king's son released when he promises to be a faithful subject and pay tax. Icelandic: *Boberg.
R75.	Surrendering.
K777.	Capture of castle by pretending to surrender and entering.
R75.1.	Defeated surrender their city. Icelandic: *Boberg.
R75.2.	Warriors surrender after chief's death. Icelandic: Boberg.
R75.2.1.	Warriors flee after chief's death. Icelandic: Boberg.
R81.	Woman suckles imprisoned relative through prison wall. **Köhler- Bolte I 373, II 387; *Fb "datter" IV 94b; *DeCock Studien en Essays 23ff.; *Crane Vitry 232f. No. 238; *Oesterley No. 215; Herbert III 220; Alphabet No. 166; Scala Celi 39a No. 220; *Krappe Bulletin Hispanique XXXIX 28. Spanish: Keller, Espinosa II No. 17; Jew- ish: Neuman. ―
H807.	Formerly I was daughter, now I am mother; I have a son who was the husband of my mother. (Girl has suckled her imprisoned father through a crack in the prison wall.)
T215.2.	Wife offers starving husband milk from her breasts.
R81.1.	Woman suckles husband isolated on rock. Irish myth: Cross.
R82.	Captive sends secret message outside (in orange or on handker- chief). India: *Thompson-Balys.
R83.	Baker, disguised as old woman, substitutes for princess in cell when he brings bread to her. India: Thompson-Balys.
R84.	Prisoner's sustenance from outside prison. (Cf.
R81.	) Jewish: *Neu- man.
R85.	Captive protected by angel from abductor. Jewish: *Neuman.
R100.	Rescues. R100-
R199.	Rescues.
B360.	Animals grateful for rescue from peril of death. B370, Animal grateful to captor for release.
B544.	Animal rescues captive.
D795.	Maiden disenchanted, deserted, and refound.
D1390.	Magic object rescues person.
D1391.	Magic object saves person from execution.
D1393.	Magic object helps fugitive.
D1395.	Magic object frees person from prison.
D1421.5.1.	Magic horn summons army for rescue.
F913.	Vic- tims rescued from swallower's belly.
G671.	Wild man released from 18*   ## p. 276 (#280) ############################################  276 Motif-Index of Folk-Literature captivity aids hero.
P21.	Queen intervenes for condemned courtiers.
Q42.1.2.	Man who divides food with beggar is later released from captivity by him.
Q53.	Reward for rescue.
R110.	Rescue of captive.
R110.1.	Goddess delivers and restores goods of man thrown into jail. India: Thompson-Balys.
R111.	Rescue of captive maiden. (Cf.
H1385.	1,
R10.1.	) *Sparnaay 45ff.; Hdwb. d. Märchens I 550a nn. 219, 220, 554b; Breton: Sébillot In- cidents s.v. "princesse"; French Canadian: Barbeau JAFL XXIX 18; Spanish: Espinosa II Nos. 133-35, III Nos. 140, 143; India: *Thomp- son-Balys; N. A. Indian: Thompson CColl II 334ff.
R111.0.1.	All man's property offered to rescuer of stolen daughter. In- dia: Thompson-Balys.
R111.1.	Princess (maiden) rescued from captor. India: *Thompson- Balys.
T68.	Princess offered as prize.
R111.1.1.	Rescue of princess from ogre. See references to
R11.1.	Type 590; BP III 1; *Basset RTP III 562; English: Wells 64 (The Avowynge of King Arthur), 66 (Ywain and Gawain), 70 (Libeaus Disconus); Irish myth: *Cross: Spanish: Espinosa III No. 143; Italian: Basile Pentamerone IV No. 3; India: *Thompson-Balys; Japanese: Anesaki 307, 359; N. A. Indian (Zuñi): Benedict II 341.
B82.1.2.	Harp music makes merman restore stolen bride.
G550.	Rescue from ogre.
R111.1.2.	Princess rescued from robbers. *Types 506B, 970**; *BP III 490ff.; *Liljeblad Tobiasgeschichte; Icelandic: Boberg; Italian: Basile Pentamerone I No. 7; India: *Thompson-Balys.
R111.1.3.	Rescue of princess (maiden) from dragon. *Types 300, 303; *Hartland Perseus III 1-65 passim; **Ranke FFC CXIV; *BP I 534; *Loomis White Magic 119. See also references to
B11.	10 and
B11.11.	Icelandic: *Boberg; Missouri French: Carrière; Spanish: Espinosa II Nos. 133-135, Espinosa Jr. Nos. 68f.; Greek: *Frazer Apollodorus I 158 n. 3; India: *Thompson-Balys; Japanese: Ikeda, —
B11.10.	Sacrifice of human being to dragon.
B11.11.	Fight with dragon.
R111.1.4.	Rescue of princess (maiden) from giant (monster). (Cf.
G100.	) *Dickson 132 n. 106; *Brown Iwain 50 n. 1; Irish myth: *Cross; English: Wells 117 (Sir Torrent of Portyngale); Icelandic: *Boberg; India: Thompson-Balys; Japanese: Ikeda.
R111.1.5.	Rescue of woman from snake-husband. (Cf.
B604.1.	) Jamaica: *Beckwith MAFLS XVII 272 No. 85.
R111.1.6.	Princess ransomed from slavery. (Cf.
R61.	) *Type 506A; India: Thompson-Balys.
R111.1.6.1.	Queen rescued from slavery. Irish myth: Cross.
R111.1.7.	Rescue of princess (maiden) from magician. (Cf.
D1711.	) Irish myth: *Cross; Icelandic: *Boberg.
R111.1.8.	Rescue of maidens from witches. (Cf.
G200.	) Icelandic: *Boberg.
R111.1.9.	Princess rescued from undesired suitor. Icelandic: *Boberg.
H217.2.	Decision by single combat or holmgang as to who is going to marry girl.
H335.4.4.	Suitor task: to kill (defeat) unwelcome suitor.
K1371.1.	Lover steals bride from wedding with unwelcome suitor.   ## p. 277 (#281) ############################################  R. Captives and fugitives 277
Q411.2.1.	
M149.2.	Vow rather to die than marry unwelcome suitor. Undesired suitor killed asleep in his tent.
T320.	Escape from undesired lover.
R111.1.10.	Rescue of princess (queen, maiden) from supernatural being who has won her at game of chance. Irish myth: *Cross.
R111.1.11.	Maiden rescued from rakshasa. India: *Thompson-Balys.
R111.1.12.	Princess rescued from captivity of elephant. India: Thomp- son-Balys.
R111.1.13.	Rescue of girl from tigers. Chinese: Graham.
R111.1.13.1.	Rescue of woman from bear's cave. Cheremis: Sebeok- Nyerges; India: Thompson-Balys.
R111.2.	Princess rescued from place of captivity. India: Thompson- Balys.
R111.2.1.	Princess(es) rescued from lower world. *Type 301; *BP II 300; French Canadian: Barbeau JAFL XXIX 25; Missouri French: Car- rière; Spanish: Espinosa II 133-135; India: Thompson-Balys; In- donesia: Dixon 215.
F81.1.	Orpheus.
F101.	Return from lower world.
R111.2.1.1.	Stolen woman rescued from lower world. India: Thompson- Balys.
R111.2.2.	Rescue of princess from mountain. *Type 530; *BP_III 111; Icelandic: De la Saussaye 143, 144 (Siegfried and Brunhilde).
D1330.1.	Waberlohe.
H331.1.1.	Suitor contest: riding up glass moun- tain.
R111.2.3.	Princess rescued from giant's cave where she is fettered to a chair by the hair. (Cf.
R41.5.	) Icelandic: *Boberg.
R111.2.3.1.	Rescue of earl's daughter from giant's cave where she is chained to the wall (a pillar). Icelandic: *Boberg.
R111.2.4.	Princess rescued from temple where she is imprisoned. Ice- landic: Bósa saga 30ff ch. 8, 114ff ch. 12, Boberg.
R111.2.5.	Girl rescued from tree. Chinese: Graham.
R111.3.	Means of rescuing princess.
R111.3.1.	Girl rescued by traveling through air. Jones PMLA XXIII 563; India: *Thompson-Balys.
D2135.	Magic air journey.
R215.	Escape from execution pyre by means of wings.
R111.4.	Hero returns rescued princess to her betrothed. Type 506; BP III 490ff.
R111.5.	Nobleman rescues lady from treacherous servant. Italian No- vella: Rotunda.
R111.6.	Girl rescued and then abandoned. Types 300, 303; *Ranke FFC CXIV.
R111.7.	Joint rescuers quarrel over rescued princess. Type 653; India: Thompson-Balys; Africa (Konde): Gemuseus und Berger ZsES XXIII 1ff., (Tanga): Nassau JAFL XXVIII 30ff. No. 5, (Vai): Ellis 200f. No. 18.
H621.	Skillful companions create woman: to whom does she belong?
R166.	Brothers having extraordinary skill rescue princess.
R111.8.	Rescued person stolen from rescuer.   ## p. 278 (#282) ############################################  278 Motif-Index of Folk-Literature
R111.8.1.	Rescued woman stolen from rescuer by demon. India: Thomp- son-Balys.
R111.8.2.	Rescued woman stolen from rescuer by other men. India: Thompson-Balys.
R112.	Magic rescue of prisoner from mound. (Cf.
R45.	) *Fb "höj" I 740b; Irish myth: Cross; Spanish: Espinosa III No. 140; India: Thomp- son-Balys.
R112.1.	Three blasts on horn before sunrise to rescue prisoner from mound. *Fb "höj" I 740b.
R112.2.	Riding three times around hill to free captive confined within. Fb "ride" III 52b.
R112.3.	
D1791.	Magic power by circumambulation. Rescue of prisoners from fairy stronghold. Irish myth: *Cross.
R115.	King transformed to parrot frees captured parrots (Cf.
D641.	) *Fischer-Bolte 209.
R115.1.	Husband transformed into mouse so he can enter cave-prison of his wife. India: Thompson-Balys.
R116.	Rescue from robbers' den. (Cf.
R111.1.2.	) *Type 851; BP I 188ff.; French Canadian: Sister Marie Ursule; Jewish: Neuman; India: *Thompson-Balys.
R117.	Rescue from being burned. (Cf.
R175.	) Icelandic: Lagerholm 117 -18, *Boberg; Jewish: *Neuman.
R121.	Means of rescue from prison.
F848.1.	Girl's long hair as ladder into tower.
K500.	Escape from death or danger by deception.
K521.4.	5, Adulteress escapes disguised as an old woman.
K655.	Prisoner kills his watchers who enter to torture him.
R152.1.	Disguised wife helps husband escape from prison.
R211.	Escape from prison.
R121.1.	Princess pulled through prison window by hand and freed. Cape Verde Islands: Parsons MAFLS XV (1) 280 No. 91, 283 No. 92.
R121.2.	Rescuer impersonates captive and deceives blind guardian while captive escapes. Mangaia (Cook Group): Dixon 75.
D1611.	Magic object answers for fugitive.
R121.3.	House burned (torn) down to deliver man imprisoned in it. *Chauvin VI 74 No. 239.
R121.4.	Ants carry silk threads to prisoner, who makes rope and escapes. They have thread tied to their feet. Fischer-Bolte 212.
B544.	Animal rescues captive.
H506.4.	Test of resourcefulness: putting thread through coils of snail shell. Thread tied to ant who pulls it through.
