A1313.	Origin of sex-organs.
M151.2.1.	Vow not to reign and to starve to death unless picture's original is found.
T11.2.0.1.	Ugly picture of suitor makes girl refuse him. Icelandic: Bo- berg.
T11.2.1.	Love through sight of statue. *Type 516; *Rösch FFC LXXVII 99; Köhler-Bolte I 520 ff., 527; Icelandic: Boberg; India: Thomp- son-Balys.
T11.2.1.1.	Youth makes statue of girl and seeks a girl like the statue. Icelandic: Boberg; India: Thompson-Balys; Buddhist myth: Mala- lasekera I 63, 76, II 476, 1090; Chinese: Chavannes 500 Contes I 374 No. 107.
D435.1.1.	Statue comes to life. Galateia.
T11.3.	Love through dream. Falling in love with a person seen in a dream. *Type 516; *BP I 45; *Rösch FFC LXXVII 100; *Chauvin V 132 No. 112; *Penzer III 82 n. 2, IX 36 n. 1; *Moore PMLA XXIX 527f.; Rohde Griechische Roman 45ff.; Dunlop-Wilson II 258; Bédier Fabliaux (1895) 113ff.; *Krappe Revue Hispanique LXXXI 5ff. Irish: MacCulloch Celtic 78, *Cross; Icelandic: M. Moe in Edda 1914 p. 245, *Boberg; Arabian: Basset 1001 Contes I 136, II 68; India: *Thompson-Balys; Korean: Zong in-Sob 73 No. 40, 136 No. 63; In-   ## p. 334 (#338) ############################################  334 Motif-Index of Folk-Literature donesia: J. Brandes Tijdschrift voor Indische Taal-, Land-, en Volkenkunde XLI 295f., 469, Jeynboll Supplement Catalogus Jav. Madoereesche Handschriften I 53ff.; Hawaii: Beckwith Myth 231; N. A. Indian (Yana): Curtin Creation Myths 425ff.; Africa: Fro- benius Atlantis III 247; Cape Verde Islands: Parsons MAFLS XV (1) 211f. No. 73, 220 No. 74.
T11.3.1.	
D1812.3.3.9.	Future husband (wife) revealed in dream.
D1976.2.	Future spouse met during magic sleep.
H24.	Recognition through dream. Lovers meet in their dreams. Irish myth: Cross; Persian: Carnoy 341; India: Thompson-Balys; Hindu: Penzer III 82.
T11.3.2.	Dream about a marriage with another's wife. India: Thompson- Balys.
T11.4.	Love through sight of something belonging to unknown princess. Hdwb. d. Märchens II 103b. nn. 169-76; India: Thompson-Balys.
T11.4.1.	Love through sight of hair of unknown princess. **Golther Die Jungfrau mit den goldenen Haaren (Leipzig, 1893); *Cosquin Contes indiens 50 n. 2, 351ff.; Köhler-Bolte II 328ff.; Chavannes III 258 No. 470; Icelandic: Boberg; India: *Thompson-Balys; Japanese: Ikeda; Philippines: Dixon 169.
D1355.5.	Magic hair produces love.
H75.	Identification by a hair.
H1213.1.1.	Quest for princess caused by sight of one of her hairs dropped by a bird (or floating on river).
T11.4.1.1.	Love through sight of hair of unknown hero. India: *Thomp- son-Balys; N. A. Indian (Shasta): Thompson Tales 196.
T11.4.2.	Love through sight of slipper of unknown princess. *Cosquin Études 8; Saintyves Perrault 115; India: *Thompson-Balys.
T11.4.3.	Love through finding lady's wreath. Cowell Jātaka IV 144; Buddhist myth: Malalasekera I 586.
T11.4.3.1.	Love through seeing bouquet. India: Thompson-Balys.
T11.4.4.	Love through seeing marks of lady's teeth in fruit which she has bitten. Indonesia: DeVries Volksverhalen II 89ff. No. 110.
T11.4.5.	Love through finding lady's handkerchief. India: Thompson- Balys.
H113.	Identification by handkerchief.
H35.3.	Recognition by unique needlework.
T11.4.6.	Love through finding lady's ornament (ring, comb, etc.). India: Thompson-Balys.
T11.4.7.	Falling in love at receipt of girl's amulet. Jewish: Neuman.
T11.5.	Falling in love with reflection in water. Princess thus first sees prince. Malone PMLA XLIII 400; India: Thompson-Balys; Japanese: Ikeda.
R351.	Fugitive discovered by reflection in water.
T11.5.1.	Falling in love with one's own reflection in water. (Narcissus.) Italian Novella: Rotunda; Ovid Metamorphoses Bk. 3.
T11.6.	Wish for wife red as blood, white as snow, black as raven. Italian: Basile Pentamerone IV No. 9, V No. 9.
Z65.1.	Red as blood, white as snow.
T11.7.	Love through sight in magic mirror. (Cf.
D1163.	) Icelandic: *Bo- berg.   ## p. 335 (#339) ############################################  T. Sex 335
T11.8.	Falling in love with beautiful voice. India: *Thompson-Balys; Buddhist myth: Malalasekera II 1185.
T12.	Love through prophecy that prince shall marry the fairest. *Type 516; *Rösch FFC LXXII 100.
H1301.1.	Quest for the most beautiful bride.
T13.	Woman falls in love as result of husband's praise of her suitor. Italian Novella: *Rotunda.
K1544.	Husband unwittingly instrumental in wife's adultery.
T15.	Love at first sight. Irish myth: *Cross; Icelandic: *Boberg; Italian Novella: Rotunda; Jewish: *Neuman; India: *Thompson-Balys; Buddhist myth: Malalasekera I 614, II 355, 1369.
T15.1.	Princess so lovely that everyone falls in love with her. India: Thompson-Balys.
T16.	Man falls in love with woman he sees bathing. Jewish: *Neuman; India: *Thompson-Balys.
D361.1.	Swan Maiden.
K1335.	Seduction (or wooing) by stealing clothes of bathing girl.
N716.	Lover sees beloved first while she is bathing.
T16.0.1.	Woman falls in love with man she sees bathing. India: *Thomp- son-Balys.
T16.0.2.	Bathing woman sees hero and falls in love with him. India: Thompson-Balys.
T16.1.	Man falls in love by the sight of woman's white arms. Icelandic: MacCulloch Eddic 110f.
T16.2.	
T21.	Man falls in love on seeing dead body of beautiful girl. (Cf.
T466.	) India: Thompson-Balys. Mutual love through accidental drinking of love philtre. Schoepperle II 587a s.v. "potion"; English: Wells 80 (Sir Tristrem).
D1355.	Love-producing magic object.
D1425.	Magic object draws lover (husband) to woman.
D1426.	Magic object draws woman to man.
D1900.	Love induced by magic.
T22.	Predestined lovers. Future wife or husband assigned by destiny. (Cf.
T54.	) India: *Thompson-Balys.
T22.1.	
D1825.1.2.	Magic view of future lover. Lovers mated before birth. Fate compels their union as soon as they meet. Chinese: Chavannes 500 Contes I 377 No. 108.
T22.2.	Predestined wife. (Cf.
M312.1.	) Basset 1001 Contes II 208 n. 1; Finnish-Swedish: Hackman FFC VI No. 930*; Lithuanian: Balys Index No. 934A*; Chinese: Eberhard FFC CXX 202 No. 149, FFC CXXVIII 179 No. 95; Japanese: Ikeda.
T22.3.	Predestined husband. Icelandic: Hdwb. d. Märchens I 450a n. 534; Italian: Basile Pentamerone, Introduction; Japanese: Ikeda.
T22.4.	Lovers fated to marry each other born at same time; identical prophecies for both. (Cf.
T61.5.	) Jewish: Neuman; India: Thompson- Balys.
T24.	The symptoms of love. *Penzer VII 139 n. 2; *Rohde Der griechische Roman 157ff.; Irish myth: Cross; India: *Thompson-Balys.
T24.1.	Love-sickness. *Penzer II 9 n. 2, 10 n., III 68 n. 1; Irish myth: *Cross'; Icelandic: *Boberg; Breton: Sébillot Incidents S.V.   ## p. 336 (#340) ############################################  336 Motif-Index of Folk-Literature "amoureux"; Italian Novella: *Rotunda; Jewish: *Neuman; Japanese: Ikeda.
D1355.0.1.	Spear produces love-sickness.
D2064.0.1.	Magic love-sickness.
T82.	Bath of blood of beloved to cure love-sick empress.
T24.1.1.	Night emissions from lusting after certain woman bring man near death. India: Thompson-Balys.
T24.2.	Swooning for love. *Type 516; *Rösch FFC LXXVII 98; India: *Thompson-Balys; Hindu: Penzer II 10 n.; Chinese: Graham.
T24.2.1.	Fainting away for love (or sexual desire). (Cf.
F1041.1.6.1.	) India: Thompson-Balys.
T24.2.2.	Swooning for fright that lover shall be killed. Icelandic: Bo- berg.
T24.2.3.	Fainting away from seeing an extraordinary beauty. India: *Thompson-Balys.
T24.3.	Madness from love. *Chauvin VI 51 No. 217 n. 2; Irish myth: *Cross; Icelandic: Göngu-Hrólfs saga 300; Italian Novella: *Rotunda; India: *Thompson-Balys.
T24.4.	Woman takes on lover's deformity (while conversing with him). Irish myth: *Cross.
T24.5.	Boy turns red and white from love. Icelandic: *Boberg.
T24.6.	Lover refuses food and drink. India: *Thompson-Balys.
T24.7.	Waiting for twenty-two years to see a beauty. India: *Thomp- son-Balys.
T24.8.	Man promises to sacrifice self in order to marry beloved. India: Thompson-Balys.
T25.	Miraculous healing from a passionate love. *Loomis White Magic 124; Irish myth: *Cross. (
T24.3.	1).
T26.	Attention distracted by sight of beloved.
N8.	Gambler's attention distracted by women.
T26.1.	Finger cut because of absorption in the charms of beloved. The person cutting food cannot take his eyes off the man (woman) opposite him. *Köhler-Bolte I 579, II 79ff., 83ff.; Jewish: *Neuman.
H331.6.1.1.	Princess wins wrestling match with suitor by revealing her breast. He looks and is beaten,
K92.3.	Girl distracts opponent's atten- tion so that gambling lover wins.
K774.	Capture by sight of women's breasts. Women with uncovered breasts meet hero. He averts his face and is captured.
T27.	Unusual success in love. *Loomis White Magic 82.
F112.1.	Man on Island of Fair Women overcome by loving women.
T27.1.	Thirty young girls fall in love with a young man. *Loomis White Magic 82.
T27.2.	Seventy princesses in love with hero. He loves only the youngest one. India: Thompson-Balys.
T27.3.	Hundred rajas fall in love with one woman. India: Thompson- Balys.
T28.	Princess falls in love with a man disguised as a woman. India: Thompson-Balys.
K1321.	Seduction by man disguising as woman.   ## p. 337 (#341) ############################################  T. Sex 337
T29.	Falling in love-miscellaneous.
T29.1.	Boy and girl fall in love when curtain is pulled aside. India: Thompson-Balys.
T30.	Lovers' meeting. Italian Novella: Rotunda.
D1965.	Guardian magically made to sleep while girl goes to lover.
K1826.1.1.	Lover disguised as monk or friar meets sweetheart.
N455.4.	King overhears girl's boast as to what she should do as queen. Marries her.
N710.	Accidental meeting of hero and heroine.
N831.	Girl as helper.
T31.	Lovers' meeting: hero in service of heroine. As page, or the like. Dickson 143. Cf. Folie Tristan.
T31.1.	Lovers' meeting: hero in service of lady's father. *Type 314; Malone PMLA XLIII 421; Boccaccio Decameron II No. 6; Missouri French: Carrière; Italian Novella: Rotunda.
T32.	Lovers' meeting: heroine heals hero's wounds. (Cf.
T67.2.	) *Dick- son 148 n. 158; Icelandic: *Boberg.
T32.1.	Lovers' meeting: hero in heroine's father's prison from which she helps him to escape. Icelandic: *Boberg.
R162.	Rescue by captor's daughter (wife, mother).
T91.6.4.1.	Sultan's daughter in love with captured knight,
T33.	Man transformed to animal kept as pet by heroine. (Cf.
D658.	) Malone PMLA XLIII 401f.
T34.	Lovers meet at social gathering.
T34.1.	Sudden love as woman pours drink for man at festival. Icelandic: *Boberg.
T34.2.	Falling in love while playing game.
T34.2.1.	Falling in love while playing draughts. Danish: Grundtvig No. 238; Icelandic: Boberg.
T35.	Lovers' rendezvous. (Cf.
R315.1.	) Irish myth: *Cross; Missouri French: Carrière.
T35.0.1.	Lover late at rendezvous; detained by incessant talker. Chauvin V 155 No. 78 n. 1.
D1964.2.	Magic sleep induced by disappointed suitor.
D1972.	Lover's magic sleep at rendezvous. A lover (husband) is to meet his mistress but magically oversleeps.
N391.	Lover who is detained away beyond stipulated time returns to find sweetheart married.
T35.0.2.	Magic sleep causes lover to miss appointment with mistress. Irish myth: Cross.
T35.1.	Fountain (well) as lovers' rendezvous. Malone PMLA XLIII 402; Nouvelles de Sens No. 3; Irish myth: Cross; Missouri French: Car- rière; Jewish: Neuman.
T35.2.	Pavilion as lovers' rendezvous. *Dickson 61 n. 4.
T35.3.	Girl intoxicates nurse to keep rendezvous with lover. Italian Novella: Rotunda.
T35.4.	Hesitation in making up mind spoils lovers' rendezvous. (Cf.
J2166.	) Cent Nouvelles Nouvelles No. 81; Italian Novella: *Rotunda.
T35.5.	Lover goes to see his beloved in her husband's (or her father's) house, defiant of the danger. Icelandic: *Boberg. 22   ## p. 338 (#342) ############################################  338 Motif-Index of Folk-Literature
T36.	Girl sleeps in garden to meet lover. Discovered next morning and married. Boccaccio Decameron V No. 4; von der Hagen II *xi, 71 No. 25; Italian Novella: *Rotunda.
T37.	Lover finds lady in tomb apparently dead. She revives and marries him. Boccaccio Decameron X No. 4 (Lee 313ff.); Italian Novella: *Rotunda.
K522.0.1.	Death feigned to avoid unwelcome marriage.
K1538.	Death feigned to meet paramour.
K1862.	Death feigned to meet lover.
N694.	Apparently dead woman revives as she is being prepared for burial.
T37.0.1.	"Poisoned" woman revives. Husband tries to poison wife. Stu- dent substitutes sleeping potion for poison, takes her from the tomb. When she revives he claims her as his own. Italian Novella: *Rotunda.
K512.	Compassionate executioner.
K1856.	Sleeping potion substituted for poison.
T37.1.	Despairing lover at lady's tomb takes poison. She revives to learn of his fatal error and shares his fate. (Romeo and Juliet.) Italian Novella: *Rotunda.
N343.	Lover kills self believing his mistress dead.
T41.	Communication of lovers.
K1549.5.	Unfaithful wife communicates with lover by pouring milk into stream.
T41.1.	Communication of lovers through hole in wall. Italian Novella: *Rotunda; Greek: Fox 201 (Pyramus and Thisbe); Japanese: Ikeda; N. A. Indian (Malecite): Mechling GSCan VI No. 21, (Fox): Jones PAES I 145 (the last two tell of sexual relations through hole in a tent).
T41.2.	
K1561.	The husband meets the paramour in the wife's place. Beats him (or cuts off privates). Communication of lovers through hole in floor. India: Thomp- son-Balys.
T41.3.	Lovers' signal. Informs lover when he must come. Irish myth: Cross; India: Thompson-Balys.
T42.	Conversation of lovers.
T42.1.	Unacquainted lovers converse in sign language. Penzer VI 247f.
T42.2.	Lovers converse in figures of speech not understood by others. Irish myth: *Cross.
T45.	Lover buys admission to woman's room. *Type 900; BP I 446; *Philippson FFC L 26f.; *Fb "guldrok" I 514b, "guldhaspe" I 513b.
K1330.	Girl tricked into man's room (or power).
K1340.	Entrance into girl's (man's) room (bed) by trick.
K1361.	Beggar buys right to sleep before the girl's door, at foot of bed, in the bed.
K1361.2.	Pro- gressive purchase of favors: the anatomical progression.
K1581.8.	Lover's gift regained: refusal to leave bed. Woman fearing exposure, returns his money.
T46.	Suitor outwits watchman to meet lady.
T46.1.	To reach beauty young man climbs eight fences watched by one hundred guards. Tonga: Gifford 187.
T47.	Heroine hidden by stepmother when suitor comes. *Roberts 222.
T50.	Wooing. India: Thompson-Balys.
A753.1.	Moon as wooer.
A1550.	Origin of customs of courtship and   ## p. 339 (#343) ############################################  T. Sex 339
T50.1.	marriage.
D642.3.1.	Pursued sweetheart becomes tree.
D1310.4.2.	Magic plant bears fruit to indicate that heroine is ready to marry.
D1314.1.3.	Magic arrow shot to determine where to seek bride.
H310.	Suitor tests.
H316.	Apple thrown indicates princess's choice.
H360.	Bride test.
H511.1.	Three caskets. Princess offered to man who chooses correctly from three caskets,
J642.1.	Lion suitor allows his teeth to be pulled and his claws to be cut. He is then killed.
K1300.	Seduction.
K1372.	Woman engaged by trick.
M217.	Devil bargains to help man win woman.
R13.1.4.2.1.	Tigers abduct princess to be wife of their human ward.
R225.	Elopement.
X760.	Jokes on courtship. Girl carefully guarded from suitors. Hdwb. d. Märchens I 551a nn. 228-36; Irish myth: *Cross; Icelandic: *Boberg; Jewish: Neuman; India: *Thompson-Balys; West Indies: Flowers 577.
T381.	Imprisoned virgin to prevent knowledge of men.
T50.1.1.	Girl carefully guarded by mother. (Cf.
K1349.4.	) Irish myth: Cross; S. A. Indian (Chiriguano): Métraux RMLP XXXIII 151, 165.
T50.1.2.	Girl carefully guarded by father. Irish myth: *Cross; Africa (Togo): Einstein 12f.
T50.1.3.	Girl carefully guarded from suitors by hag. Irish myth: *Cross.
T50.1.4.	Cat and dog as guards of imprisoned beauty. (Cf.
B576.1.	) India: Thompson-Balys.
T50.2.	King likes his daughter so much that he does not wish to marry her to anyone. Icelandic: *Boberg.
T50.2.1.	King unwilling to marry his daughter to a man not her equal. Icelandic: *Boberg.
T50.3.	Mythical being asks for girl in marriage. (Cf.
T111.	) S. A. Indian (Chiriguano): Métraux RMLP XXXIII 158f.
T51.	Wooing by emissary. *Schoepperle I 188 n. 3, 202; Icelandic: Hálf saga ok Hálfsrekka 69, *Boberg; Missouri French: Carrière; India: Thompson-Balys.
H1381.3.1.1.	Quest for bride for king.
T133.2.	Royal bride conducted by embassy to husband's kingdom.
T51.1.	Wooing emissary wins lady's love for himself. *Köhler-Bolte II 328ff.; Schoepperle passim; English: Wells 43 (Arthour and Merlin); Icelandic: *Boberg; Missouri French: Carrière; India: *Thompson- Balys; S. A. Indian (Chiriguano): Métraux RMLP XXXIII 159; Africa (Zulu): Callaway 210.
T51.1.1.	
H492.2.	Husband has friend woo his wife for him (as test). She is seduced.
K1094.	Treacherous counselor persuades king's son to woo his father's young bride.
K1371.1.	Lover steals bride from wedding with unwelcome suitor.
K1952.5.	Wooing emissary poses as king and suitor but is refused. Wooing emissary admitted to woman's room. Elopes with her. (Cf.
K1349.1.5.	) Icelandic: Boberg.
T51.2.	King wooes through his daughter and the princess's maiden. Icelandic: Boberg.
T51.3.	Match arranged by means of pictures of both parties. India: Thompson-Balys.
T51.3.1.	Messengers seek wife for hero to resemble image they carry with them. Buddhist myth: Malalasekera II 354.
T52.	Bride purchased. *Type 890 (Christiansen Norske Eventyr 113); *Fb "brud" IV 64a; Irish: MacCulloch Celtic 130, *Cross; Icelandic: *Bo- 22*   ## p. 340 (#344) ############################################  340 Motif-Index of Folk-Literature berg; Jewish: *Neuman; Greek: *Grote I 157, 163; India: *Thompson- Balys; Chinese: Graham; Philippine (Tinguian): Cole 57; Africa (Fang): Tessman 175f.
A1555.2.	Origin of custom of purchasing wives.
F343.8.	Fairy leaves goats as purchase price for girl he has carried off.
H317.	Long term of service imposed on suitor.
H318.	Suitor preferred who will pay enormous sum for bride.
T52.1.	Prince buys twig (flower) (enchanted girl) from her mother. (Cf. D212,
D215.	) Type 652; BP II 125; Italian: Basile Pentamerone I No. 2.
T52.2.	Purchase money instead of bride given to suitor to settle dispute. Africa (Fjort): Dennett 74ff. No. 16.
T52.3.	Bride purchased for her weight in gold. East Africa: Rochemon- teix Quelques Contes Nubiens (Cairo, 1888) 48ff. No. 4.
T52.4.	Dowry given at marriage of daughter. Icelandic: Boberg; Jewish: *Neuman; India: Thompson-Balys.
T52.4.1.	Amount of dowry fixed by custom in bride's family. India: Thompson-Balys.
T52.5.	Attempt to purchase wife. Chinese: Graham.
T52.6.	Rich girl gives poor suitor necklace with which to pay her bride-price. India: Thompson-Balys.
T52.7.	Princess asked for in return for sparing palace. (Cf.
S222.	) India: Thompson-Balys.
T52.8.	Absent man's wife demanded in law court in payment of debt by creditor. India: Thompson-Balys.
T52.9.	Village given to bride-to-be as part of her dowry. Buddhist myth: Malalasekera I 698.
T53.	Matchmakers. India: Thompson-Balys.
T53.0.1.	Matchmakers arrange weddings. India: *Thompson-Balys.
T53.1.	Incognito prophet as matchmaker. Jewish: bin Gorion Born Ju- das2 I 177f., 374.
K1811.	Gods (saints) in disguise visit mortals.
N810.	Supernatural helpers.
T53.2.	Christ as matchmaker. *Type 822. See references for
T125.	
T125.	Lazy boy and industrious girl matched, Jesus (incognito) as matchmaker.
T53.3.	Saint as matchmaker. Irish myth: *Cross.
T53.4.	God occupied with matchmaking. Jewish: *Neuman.
T53.5.	Barber as matchmaker. India: Thompson-Balys.
T54.	Choosing bride by horoscope. (Cf.
B152.	2,
M302.	4,
T22.	) Chinese: Chavannes 500 Contes I 376 No. 108.
T55.	Girl as wooer. Forthputting woman. *Cross MPh XII 612 n. 3; Hibbard 208 n. 18; Irish myth: *Cross; Icelandic: *Boberg; Italian Novella: Rotunda; Jewish: Neuman; India: Thompson-Balys.
C192.	Tabu: refusing to elope with woman who desires it.
C901.1.3.1.	Tabu imposed by forthputting woman.
C929.1.	"Shame and disgrace" threatened for refusing love of forthputting woman.
F302.3.	Fairy woos mortal man.
H316.	Suitor test: apple thrown indicates princess's choice.
H607.3.	Princess declares her love through sign language.   ## p. 341 (#345) ############################################  T. Sex 341
K778.2.	Amazonian woman disguised as leper seduces and binds ene- mies.
K1336.	Man won over by woman's obscene trick.
K1393.	Woman seduces boy by feigning illness.
T146.	Polyandry.
T55.1.	Princess declares her love for lowly hero. *Type 314; *Dickson 144 n. 146; Missouri French: Carrière; Jewish: *Neuman; Africa (Ibo, Nigeria): Thomas 120.
L162.	Lowly heroine marries prince (king).
Q87.2.	Reward for resisting princess's advances.
T121.	Unequal marriage.
T55.1.1.	Princess declares love for courtier. Italian Novella: *Rotunda.
T55.2.	Servant-girl helps prince if he will make her chief wife. Malone PMLA XLIII 400.
T55.3.	Lady in love with ruler enlists friend's aid. Rendezvous arranged. Italian Novella: Rotunda.
T55.4.	Little girl will give prince marvelous objects if he promises to marry her later. India: Thompson-Balys.
T55.4.1.	Gift made by bride to husband. Irish myth: *Cross.
T55.5.	Princess feigns sickness to woo hero. Only marriage to him will cure her. India: Thompson-Balys.
H1212.	Quest assigned because of feigned illness.
K1818.	Disguise as sick man.
T55.6.	Person (man, woman) exhibits figure. Irish myth: *Cross; Jewish: Neuman.
C312.1.	Tabu: man looking at nude woman.
F397.	Fairy woman exhibits her figure to warriors.
H1596.	Beauty contest.
K774.2.	Sight of un- clothed women calms rage of youthful hero.
Q411.4.2.	Woman who disrobes to attract attention of hostile fighter killed.
T55.6.1.	Maidens (women) request hero to exhibit figure. Irish myth: *Cross.
T55.7.	Princess elects herself husband from the young men present. (Cf. H311, H362,
T131.0.1.	) Type 530.
T55.8.	Princess declares love by presenting cup of drink at feast. Krappe Revue Hispanique LXXXI (1933); Irish myth: Cross.
T55.9.	Harper as love messenger sent by girl. Irish myth: *Cross.
T55.10.	Princess offers reward for securing prince as husband for her. India: Thompson-Bays.
T55.11.	Princess transforms self to woo. (Cf.
D658.	) India: Thompson- Balys.
T56.	Means of attracting sweetheart.
D1426.1.	Magic flute compels woman to come to man.
K1335.	Seduction (or wooing) by stealing clothes of bathing girl.
T56.1.	Bride attracted by music. India: *Thompson-Balys.
T56.1.1.	Bride attracted by flute. India: Thompson-Balys; Chinese: Eberhard FFC CXX 209 No. 157; Japanese: Ikeda; N. A. Indian: Kroeber JAFL XXI 224; West Indies: Flowers 577.
T56.2.	Image of God of Love sent to fetch bride. (Cf.
A475.	) *Penzer I 77 n. 1.   ## p. 342 (#346) ############################################  342 Motif-Index of Folk-Literature
T56.3.	Forgotten fiancée sends lover false diamond inscribed with Christ's last words: "Oh Lord why hast Thou forsaken me?" Lover returns. (Cf.
D2003.	) Italian Novella: *Rotunda.
T56.4.	Beautiful woman enticed by wonderful flower. India: Thompson- Balys.
T57.	Declaration of love.
T57.1.	Lover declares himself by showing her own reflection to his beloved. (Cf.
T91.6.1.1.	) Heptameron No. 24.
T58.	Wooing the strong and beautiful bride. *Type 519; Icelandic: *Boberg.
G519.1.3.	Ogress lured into bridal bed and killed.
H345.	Suitor test: overcoming princess in strength.
T61.	Betrothal. Irish myth: Cross; Icelandic: Boberg; Jewish: *Neu- man.
M146.	Vow only to marry a certain woman.
T69.2.	Parents affiance children without their knowledge.
T135.	Wedding ceremony.
Z151.	Ring broken as token of broken engagement.
T61.1.	Betrothal by lovers' drinking each other's blood. *Fb "blod" IV 46b.
C165.	Tabu: marriage with person whose blood one has drunk.
E714.1.	Soul (life) in the blood.
P312.	Blood-brotherhood. Friends take oath of brotherhood by means of mixing their blood.
T61.2.	Parting lovers pledge not to marry for seven years. Child V 488 s.v. "Marriage".
T61.3.	At betrothal maid makes shirt for her lover. Child V 496 s.v. "Shirt"; Icelandic: *Boberg.
T61.4.	Betrothal ceremony.
T61.4.1.	Liquor brewed for betrothal. India: Thompson-Balys.
T61.4.2.	At betrothal ceremony both parties drink out of the loving- cup. India: Thompson-Balys.
T61.4.3.	Engagement ritual: intermediary sprinkles girl with flour. In- dia: Thompson-Balys.
T61.4.4.	Token of betrothal sent to parents of a proposed bridegroom; acceptance means agreement to proposed match. India: Thompson- Balys.
T61.4.5.	Betrothal by gold ring. Icelandic: *Boberg.
T61.4.5.1.	Dying lover sends his sweetheart his ring. (Cf.
T81.	) Icelandic: Boberg.
T61.5.	Children born on same night betrothed. (Cf. B311,
T22.4.	) Irish myth: Cross.
