W2.	Good inclinations enter body at puberty. Jewish: Neuman.
W11.7.	Nobleman's generosity enables impoverished lover to entertain his lady. Italian Novella: Rotunda.
W11.7.1.	Impoverished nobleman offers wife to ruler. Latter spares her honor and aids the couple. Italian Novella: Rotunda.
W11.8.	General sends for king so that the latter may get credit for victory. Italian Novella: Rotunda.
W11.9.	Prince donates all including a tooth. When he has nothing left he is asked for a gift. He allows man to extract a tooth from his mouth. (Father had offered reward to anyone persuading his son to have it extracted.) Italian Novella: Rotunda.
W11.10.	Ruler protects thief. Asks for the stolen plate and hides it so that it will not be found on the culprit. Italian Novella: Rotunda.   ## p. 483 (#487) ############################################  W. Traits of character 483
W11.11.	Ruler rewards man who would curb him. Italian Novella: Rotunda.
W11.12.	The generous correction. Ruler asks treasurer to give man 200 crowns. Treasurer makes error and puts down 300. Ruler raises sum to 400. "I can't allow your pen to be more liberal than I." Italian Novella: *Rotunda.
W11.12.1.	King rewards knight with large sum of money. Chancellor: "If you saw such a sum it would seem large to you." King answers that it looks small and doubles it. Italian Novella: *Rotunda.
W11.13.	Novel sign of death. It is the first time that what he has given away seems too much. Italian Novella: Rotunda.
W11.14.	Youngest brother shares wealth with older brothers who foolish- ly lost theirs. (Cf.
L31.	) Africa (Jaunde): Heepe 262.
W11.15.	Generous person refuses no man anything. (Cf.
C871.	) Irish myth: *Cross.
W11.16.	Generous king gives away his only eye. Irish myth: *Cross.
W12.	Hospitality as a virtue. (Cf.
P320.	) Irish myth: Cross.
W12.1.	Man (king) prefers death to loss of reputation for hospitality. Irish myth: *Cross.
W12.2.	Man looks for strangers so as to bestow hospitality on them. Jewish: Neuman.
W15.	Woman shelters son's murderer out of charity. Spanish: Boggs FFC XC 86 No. 756D*; Italian Novella: *Rotunda.
W15.1.	Murderer goes to victim's son and asks to be killed. The son aids him to escape. Italian Novella: Rotunda.
W16.	Bishop exchanges places with prisoner so as to have him return to his mother. Italian Novella: Rotunda.
R121.6.	Rescue from prison by saint, who enters and breaks fetters.
W18.	Envious man sets out to kill one who is noted for his generosity. He is won over by the generosity of his intended victim. Italian Novella: *Rotunda.
W20.	Other favorable traits of character.
W21.	Emperor friendly to everyone. Would act as he should like an emperor to act toward him if he were a common man. Pauli (ed. Bolte) No. 166.
W23.	Man never listens to scandal. Irish myth: *Cross.
W24.	Man speaks no evil. Irish myth: Cross.
W25.	Equanimity of the comedian. When he sees his house carried off by a flood, he fiddles the whole time. Type 944*.
W25.1.	Equanimity of the enslaved unfortunate. Does not complain when beset by a series of misfortunes. (Cf.
N251.1.	) Italian Novella: Rotunda.
W25.2.	Minister always says, “It is for the best," when anything hap- pens. India: Thompson-Balys. 31*   ## p. 484 (#488) ############################################  484 Motif-Index of Folk-Literature
W26.	Patience. Spanish Exempla: Keller; Jewish: Neuman.
H461.	Test of wife's patience. Griselda.
H1553.	Tests of patience.
W27.	Gratitude.
B350.	Grateful animals.
B361.	Animals grateful for rescue from pit.
B380.	Animal grateful for relief from pain.
D817.	Magic object received from grateful person.
D1658.	Grateful objects.
E341.	The grateful dead.
F420.4.4.	Water-spirits are grateful.
H1565.	Tests of gratitude.
R71.	Cap- tive prince joins captor out of gratitude for his freedom.
V331.6.	Con- version to Christianity out of gratitude.
W27.1.	Man weeps with gratitude to God because He did not make him hideous as toad. Spanish Exempla: Keller.
W28.	Self-sacrifice. Irish myth: Cross.
W28.1.	Woman drinks poison that son may be king. Irish myth: Cross.
P231.	Mother and son.
W28.2.	Woman sacrifices life for son's honor. Irish myth: Cross.
W28.3.	Man leaps from vessel into jaws of sea-beast so as to save remaining passengers. Irish myth: Cross.
W28.4.	Saint threatens to take place of homicide in hell unless soul is released. Irish myth: Cross.
W31.	Obedience.
H386.	Bride test: obedience.
H473.	Test of wife's obedience.
H1557.	Tests of obedience.
T251.2.	Taming the shrew. By outdoing his wife in shrewishness the husband renders her obedient.
W126.	Disobedience.
W32.	Bravery. Irish myth: *Cross.
W32.1.	King Richard leads host to victory by leaping his horse over- board. Spanish Exempla: Keller.
W33.	Heroism. Irish myth: *Cross; Icelandic: *Boberg.
W33.1.	Badly wounded warrior continues fighting. Irish myth: *Cross; Icelandic: Boberg.
W33.2.	Warrior refuses to delay battle in return for promise of long, happy life. Irish myth: Cross.
W34.	Loyalty. Irish myth: Cross.
W34.1.	Man constrained to flee with leader's fiancée resists her blandishments. Irish myth: *Cross.
T331.	Man unsuccessfully tempted by woman.
W34.2.	Loyal friends refuse to fight against disgraced comrade. (Cf.
P310.	) Irish myth: Cross.
W34.3.	Cowardly to leave battle while lord is alive. Irish myth: *Cross.
W34.4.	Fakir rewarded by prince with a life of luxury in city chooses to return to his monkey friends in jungle. India: Thompson-Balys.
W35.	Justice. Irish myth: Cross; Jewish: *Neuman.
U10.	Justice and injustice.
W35.1.	Man picked to judge bull-fight because he is "no fairer to his friend than to his foe." Irish myth: Cross.   ## p. 485 (#489) ############################################  W. Traits of character 485
W35.2.	Upright judge refuses a bribe: he is responsible to a higher tri- bunal called Conscience. India: Thompson-Balys.
J1192.	The bribed judge.
W37.	Conscientiousness.
W37.0.1.	Man never breaks his word. Irish myth: *Cross.
W37.1.	Oil well digger runs out of money, leaves the country, forgetting to tell his driller. He returns fifty years later, finds the driller still drilling away. U.S.: Baughman.
W37.2.	Man keeps promise to return to be eaten by tiger: let go without harm. India: Thompson-Balys.
W37.3.	Rabbi returns jewel found with bought ass. He had not paid for it. Jewish: Neuman.
W43.	Peacefulness. Jewish: *Neuman.
W45.	Honor.
W45.1.	Prostrate soldier asks his enemy to stab him in the chest in- stead of the back in order to save his honor. The captor frees him and the two become friends. Spanish: Childers. W100-
W199.	Unfavorable traits of character
W100.	Unfavorable traits of character.
A1375.	Origin of jealousy and selfishness.
J455.	Harm of association with flatterers.
J2074.	Twice the wish to the enemy. (The covetous and the envious.)
K1637.	Flattering foreman tricked by his master.
L435.	Self- righteousness punished.
W110.	Unfavorable traits of character-personal.
W111.	Laziness. Types 368*, 675, 822, 843*, 1370*, 1405, 1454*, 1561, 1950; *Chauvin IX 33f. Nos. 25, 26; *Krappe Bulletin Hispanique XXXIX 30; Missouri French: Carrière; S. A. Indian (Chiriguano): Métraux RMLP XXXIII 175; West Indies: Flowers 581.
W111.1.	
H382.	Bride test: industry.
Q321.	Laziness punished. Contest in laziness. Each cites instances of his laziness. *Type 1950; *BP III 207; Wesselski Märchen 213 No. 21; Pauli (ed. Bolte) No. 261; Oesterley No. 91; Fb "doven" IV 102b. Spanish Exempla: Keller; India: Thompson-Balys.
J1486.	Listening to the debate.
L114.	1 Lazy hero. -
W111.1.1.	Man lets legs burn in fire rather than move them. Wesselski Märchen 213 No. 21; Pauli (ed. Bolte) No. 261; India: Thompson- Balys.
W111.1.1.1.	Man is burned to death because he is too lazy to put out spark. Italian Novella: Rotunda; India: Thompson-Balys.
W111.1.1.2.	Lazy man's belongings burn. He is too lazy to stop rats from playing with lighted candle. Italian Novella: Rotunda.
W111.1.1.3.	Man too lazy to open eyes to see where fire is burning. In- dia: Thompson-Balys.
W111.1.1.4.	Three lazy beggars burn alive rather than run away from burning castle. India: Thompson-Balys.   ## p. 486 (#490) ############################################  486 Motif-Index of Folk-Literature
W111.1.1.5.	Mother calls to daughter to tell her that she (daughter) is standing on a live coal. The daughter asks which foot the coal is under. U.S.: Baughman.
W111.1.2.	Man will not lift knife to cut rope about to hang him. Wes- selski Märchen 213 No. 21; Pauli (ed. Bolte) No. 261.
W111.1.3.	Man will not move in bed when water drops in his eyes. Wesselski Märchen 213 No. 21; Spanish Exempla: Keller; Italian Novella: Rotunda.
W111.1.4.	Man so lazy that he will not wipe his running nose. This causes him to lose prospective bride. Spanish Exempla: Keller.
W111.1.5.	Man floating in river too lazy to drink. His voice is damaged. Spanish Exempla: Keller.
W111.1.6.	Man too lazy to pick up berries (dates). India: *Thompson- Balys.
W111.2.	The lazy servant. India: Thompson-Balys; West Indies: Flowers 581.
W111.2.0.1.	Lazy servant gets others to perform his duties
W111.2.1.	Servant to call his master at daybreak: looks into dark closet to see if it is yet light. They sleep till noon. Pauli (ed. Bolte) No. 263.
W111.2.2.	Servant to close door at night: leaves it open so that he will not have to open it next morning. Wesselski Mönchslatein 54 No. 47; *Crane Vitry 216 No. 204.
W111.2.3.	"If it is day, give me food; if it is night, let me sleep." The master has told the servant to go to work. Wesselski Mönchslatein 54 No. 47.
W111.2.4.	Boy to see whether it is raining: calls dog (cat) in and feels of his paws. Wesselski Mönchslatein 54 No. 47; *Crane Vitry 216 No. 204; Spanish Exempla: Keller; India: *Thompson-Balys.
W111.2.5.	Boy to see whether there is fire in the house: feels of cat to see if she is warm. Wesselski Mönchslatein 54 No. 47; *Crane Vitry 216 No. 204.
W111.2.6.	The boy eats breakfast, dinner, and supper one immediately after the other; then lies down to sleep. *Type 1561.
W125.3.	New son-in-law, given choice of meals, eats all.
W111.2.7.	Lazy boy always says that it is raining. The peasant and the boy sleep during the rain in the hay barn. When the peasant asks, the boy always says that it is still raining. Type 1560**.
W111.2.8.	Lazy boy says he cannot walk. Cheremis: Sebeok-Nyerges.
W111.2.9.	Servant tells master to cover his face: no need to put out lamp. India: *Thompson-Balys.
W111.3.	The lazy wife.
W111.3.1.	Lazy wife in soiled dress thinks husband is bringing her a new dress from market. He is bringing a goose. Type 1371*.
W111.3.2.	Cat beaten for not working. Lazy wife must hold cat and is scratched. Type 1370*; Russian: Andrejev No. 1370.   ## p. 487 (#491) ############################################  W. Traits of character 487
W111.3.3.	Lazy wife throws bread out of window instead of putting it back into oven. Spanish: Boggs FFC XC 126 No. 1389.
W111.3.4.	Why he beats her. Lazy wife beaten by husband maintains that she has done nothing. That is why he is beating her. Wessel- ski Bebel I 206 No 90.
W111.3.5.	Wife too lazy to spin. Supposed dead husband comes back to life and gives his wife a beating, because there was no shirt even in the event of death. Lithuanian: Balys Index No. 1370B*; Russian: Andrejev No. 1370B*.
W111.3.6.	
K1860.	Deception by feigned death. "Who will not work, shall not eat." Idle daughter-in-law learns work. Lithuanian: Balys Index No. 1370A*.
W111.4.	Lazy husband. Fansler MAFLS XII 236.
W111.5.	Other lazy persons. Chinese: Graham.
W111.5.1.	Lazy mother given shoes of cotton; son knows that she will not wear them out. *Wesselski Hodscha Nasreddin II 204 No. 406.
W111.5.2.	Lazy girl does not know where the spring is. Type 1453*.
W111.5.3.	Lazy man asked direction only points with his foot. *Dh_II 115ff.; England: Baughman.
W111.5.4.	Lazy dog wakes only for his meals. Wienert FFC LVI 73 (ET 381), 126 (ST 348); Halm Aesop No. 413.
W111.5.5.	Man in mud too lazy to take hand extended to help him up. Scala Celi 5a No. 26.
W111.5.6.	Lazy son-in-law: afraid of a dog. India: Thompson-Balys.
W111.5.7.	Ruler is too lazy to stop quarrels. They lead to his death. Italian Novella: Rotunda (
W111.	6).
W111.5.8.	Man with stolen fig in his mouth submits to having cheek lanced rather than open his mouth (Cf.
J1842.2.	) Italian Novella: Rotunda (
W111.	7).
W111.5.8.1.	Man is so lazy that he starves rather than open his mouth for food to fall in when it falls from trees. U.S.: Baughman.
W111.5.9.	Learning a trade in bed. Working independently, the lazy fellow spoils the materials received-starts making something big, which at the end turns to nothing. For example, begins with forging a plough: this becomes an axe, the axe a knife, and knife a needle, the needle -nothing. (Cf.
J2080.	) Lithuanian: Balys Index No. 2446*.
W111.5.10.	Lazy man asks if wood is split before he accepts it as a gift. U.S.: Baughman.
W111.5.10.1.	Lazy man is being taken to poorhouse or out of town or to cemetery to be buried alive. The group take pity on him, offer him various articles to help him get started again. One offers a bushel of corn. The lazy one rises up from the bottom of the wagon or coffin where he has been lying: "Is the corn shelled?" Canada, U.S.: *Baughman.
W111.5.11.	Lazy man misses seeing the sheriff's funeral; he is facing the wrong way as the procession passes. U.S.: Baughman.   ## p. 488 (#492) ############################################  488 Motif-Index of Folk-Literature
W111.5.12.	Man digs three potatoes in one day: one dug, one being dug, one about to be dug. U.S.: Baughman.
W111.5.13.	Man weeds garden from cushioned rocking chair, using fire tongs to reach weeds. U.S.: Baughman.
W115.	Slovenliness. (Cf.
Q322.	)
W115.1.	The slovenly fiancée. Type 1453**.
W115.2.	
H383.1.1.	Bride test: bread-making - dough under fingernails. Woman becomes clean only after three washings and the use of three pounds of soap. Type 1447*.
W115.3.	Rancher is not recognized by his wife and family after he has cleaned up in town at hotel. U.S.: Baughman.
W116.	Vanity. Irish myth: Cross; India: Thompson-Balys.
W116.1.	Old woman reaches town before vain fop who stops to adjust clothes. India: Thompson-Balys.
W116.2.	Expenditure of money for vanity. India: Thompson-Balys.
W116.3.	Plain people made rulers have vain display. India: Thompson- Balys.
W116.4.	Peacock admires self in mirror. India: Thompson-Balys.
W116.5.	Wasp seeking fame stings courtiers: killed. India: Thompson- Balys.
W116.6.	Wealthy man pretends enjoyment of good music. Told when to applaud. India: Thompson-Balys.
W116.7.	Use of strange language to show one's high education. India: Thompson-Balys.
W116.8.	Jackal forces all animals who come to drink to praise him like a king. India: *Thompson-Balys.
W117.	Boastfulness.
W117.1.	Neglected wife given trifle boasts of it. India: Thompson-Balys.
J2331.	Numskull with unimportant office boasts of it.
W121.	Cowardice. Irish myth: *Cross; Missouri French: Carrière; Ice- landic: *Boberg.
J1488.	What the bear whispered in his ear.
J2600.	Cowardly fool.
K2320.	Deception by frightening.
T251.6.	The browbeaten husband from under the table: "The man always has a man's heart."
W121.1.	Hunter wants to be shown lion tracks, not lion himself. Wienert FFC LVI 67 (ET 314), 101 (ST 143); Halm Aesop No. 114.
W121.2.	Coward boasts when there is no danger. (Cf. J974,
J978.	)
W121.2.1.	Ass insults dying lion. Wienert FFC LVI 56 (ET 166), 112 (ST 233); Jacobs Aesop 202 No. 9; Spanish Exempla: Keller.
W121.2.2.	Fox insults caged lion. Wienert FFC LVI 56 (ET 160), 112 (ST 232); Halm Aesop No. 40.
W121.2.3.	Crow sits on sheep's back; afraid to sit on dog's. Wienert FFC LVI 55 (ET 154), 106 (ST 188).   ## p. 489 (#493) ############################################  W. Traits of character 489
W121.2.4.	Dogs tear up lion skin: fear living lion. Wienert FFC LVI 55 (ET 153), 112 (ST 235); Halm Aesop No. 219.
W121.2.5.	Coward gloats over robber slain by another person. Wienert FFC LVI 82 (ET 483), 101, 126 (ST 144, 350).
W121.2.6.	Monkey safe in tree insults gorilla as "broken face". Africa (Fang): Nassau 233 No. 1.
W121.3.	Cowardly soldier turns back when he hears raven's croak. Wienert FFC LVI 73 (ET 385), 137 (ST 425); Halm Aesop No. 379.
W121.4.	Queen mother shames cowardly son and companions. "In truth, gentlemen, you do well in weeping; for since you didn't fight like men to defend your land, it is suitable that now you weep like women on leaving it." Spanish: Childers.
J87.	Men shamed for their cowardice by women.
W121.5.	Cowardly spider rushes at fly but hides when wasp appears. Spanish Exempla: Keller.
W121.6.	Coward gives his purse to thief with lame excuse. India: Thompson-Balys.
W121.7.	Cowardly bridegroom flees elephant and loses bride. India: Thompson-Balys.
J2462.	Foolish bridegroom follows instructions literally.
W121.8.	Illness from fear. India: Thompson-Balys.
F1041.1.11.	Death from fear.
W121.8.1.	Swooning from cowardice. India: Thompson-Balys.
W123.	Indecision. (Cf.
J1040.	) West Indies: Flowers 581.
W123.1.	The man who only tasted wine. Will not drink but gets drunk nevertheless by frequent tasting. Pauli (ed. Bolte) No. 246.
W125.	Gluttony. Jewish: *Neuman; India: *Thompson-Balys; N. A. Indian (California): Gayton and Newman 67.
W125.1.	Greedy animal eats poisoned fruit in spite of warning. India: Thompson-Balys.
W125.2.	Gluttonous wife eats all the meal while cooking it. India: *Thompson-Balys.
W125.3.	New son-in-law given choice of meals eats all. India: Thomp- son-Balys.
W111.2.6.	Boy eats breakfast, dinner and supper, one immediately after the other.
W125.4.	Pupil eats cakes given as alms for his master. India: Thomp- son-Balys.
W125.5.	Husband eats wife's share of food as well as his own. India: *Thompson-Balys.
W126.	Disobedience. Missouri French: Carrière; Spanish Exempla: Kel- ler; Jewish: Neuman.
H473.	Test of wife's obedience.
H1557.	Tests of obedience.
Q325.	Dis- obedience punished.
T254.	The disobedient wife.
W31.	Obedience.
W126.1.	Monk obedient only as long as work is agreeable. Always says that unpleasant work is beneath his dignity. Pauli (ed. Bolte) No. 367.   ## p. 490 (#494) ############################################  490 Motif-Index of Folk-Literature
W127.	Petulance. Irish myth: Cross.
W128.	Dissatisfaction. Irish myth: *Cross.
A2232.	Animal characteristics: punishment for immoderate request.
A2723.1.	Discontented pine tree: cause of pine needles.
J217.2.	Dis- contented ass longs for death but changes mind when he sees skins of dead asses at fair.
Q312.	Fault-finding punished.
W128.1.	Hog tired of his daily food. Goes to the judge and gets better food assigned to him, but the fox cheats him out of it. Type 211*.
W128.2.	Dissatisfied fox. In kingdom of lions laments that he always gets the worst bits of food. *Wienert FFC LVI 34.
W128.3.	Dissatisfied rivers complain against sea. Say that it makes their water unusable. Wienert FFC LVI *75 (ET 408), 125 (ST 344); Halm Aesop No 380.
W128.4.	Peacock dissatisfied with his voice. Wienert FFC LVI 78 (ET 441), 133 (ST 388).
W128.5.	Monk dissatisfied with things as he has them is admonished to take what he receives from God. Spanish Exempla: Keller.
W128.6.	Sparrow dissatisfied with pond water wants to go to sea. India: Thompson-Balys.
W131.	Profligacy. India: Thompson-Balys.
W131.1.	Profligate wastes entire fortune before beginning his own ad- ventures. *Chauvin V 77 No. 22 n. 1.
Q42.1.	Spendthrift knight. Divides his last penny. He is later helped by the grateful person.
W133.	Inconsistency.
W133.1.	Prince penalizes cursing, although he himself curses. Wesselski Bebel I 167 No. 2.
W133.2.	Woman admires marvelous shot of hero which kills deer, but angers him when she begs mercy for the deer. Fischer-Bolte 203ff.
W136.	False modesty.
K2051.	Adulteress feigns unusual sensitiveness.
K2052.	The oversensitive bride.
W136.1.	Look! look! she cries from the barrel. A nobleman has arranged for a peasant girl to become his mistress. When he comes to take her away he cannot find her. Disappointed, he is about to depart when the girl, who has hidden in a barrel, calls out "Look!" She really wants to be found. Pauli (ed. Bolte) No. 13.
V465.1.2.1.	Nun hidden by abbess from pursuing knight betrays her own hiding place to him.
W137.	Curiosity. Missouri French: Carrière; Jewish: *Neuman; Ice- landic: Boberg.
J1546.	Overcurious wife learns of the senate's deliberations.
Q341.	Curio- sity punished.
T258.	The curious wife.
W141.	Talkativeness. Jewish: Neuman.
W150.	Unfavorable traits of character-social.
W151.	Greed. Irish myth: Cross; Jewish: *Neuman; Icelandic: *Boberg; West Indies: Flowers 582.
J514.	One should not be too greedy.
P446.2.	Barbers are cunning and greedy.   ## p. 491 (#495) ############################################  W. Traits of character 491
W151.0.1.	Cauldron of greed. Irish myth: *Cross
W151.1.	Harlot weeps when her impoverished lover leaves her to think that she has left him his coat. *Crane Vitry 214 No. 200; Herbert III 16; *Pauli (ed. Bolte) No. 10; Scala Celi 87b No. 512; Italian Novella: Rotunda.
W151.2.	Visiting friends take everything from house of dying man. Pauli (ed. Bolte) No. 496.
W151.2.1.	Visitors of sick stag eat up all his provisions so that he starves. Wienert FFC LVI *60 (ET 227), 122 (ST 311); Halm Aesop No. 131.
W151.2.2.	Hospitable man impoverished by greedy guests. Irish myth: *Cross.
W151.3.	Wolves devour an ox without leaving a share for the rightful owner. Pauli (ed. Bolte) No. 495.
W151.4.	Snake and weasel stop fighting in order to catch mouse. Wienert FFC LVI 49 (ET 80), 134 (ST 396); Halm Aesop No. 345.
W151.5.	Father-in-law sued for breach of contract because he does not die in two years as he has predicted. Nouvelles Récréations No. 49.
W151.6.	Hog with broken leg refuses to tell another where peas are to be found. "I intend to go there myself as soon as I get well again." Lithuanian: Balys Index No. 215*.
W151.7.	Eats up the money. Old man before dying eats his money. In church, son wants to cut corpse open and get the money. The devil: "Don't spoil the skin." Shakes money out of the corpse's throat and takes the skin. Lithuanian: Balys Index No. 3621, Legends No. 638.
G303.18.3.	Devil blows skin off man who belongs to him.
Q272.3.	Avaricious miser tries to eat his money.
W151.8.	Thieves quarrel over booty: owner comes. (Cf.
J2136.5.2.	) India: Thompson-Balys.
W151.9.	Greedy person (animal) gets hand (head) stuck in food jar. India: *Thompson-Balys.
W151.10.	Greedy man tries to stuff food into his nostrils as well as into his mouth. Africa (Fang): Tessman 140.
W152.	Stinginess. Irish myth: *Cross; Icelandic: *Boberg; India: *Thompson-Balys.
J1334.	Beggar tells stingy to go beg.
J1340.	Retorts from hungry persons.
J2199.4.	Shortsighted economy.
K341.13.	Tailor throws piece of cloth out of window.
K343.2.1.	The stingy parson and the slaughtered pig.
Q276.	Stinginess punished.
W152.1.	Fox spoils his food rather than divide with ape. Wienert FFC LVI 58 (ET 193), 133 (ST 393).
W152.2.	Man had rather be burned alive than to share food with a guest. Penzer V 165ff.
W152.3.	Stingy dead woman raises her head to correct account of laundress, who is overcharging her daughter. Spanish: Boggs FFC XC 128 No. 1482.
W152.4.	Stingy man forced to share his money when he lies and says he has none. Pauli (ed. Bolte) No. 707.   ## p. 492 (#496) ############################################  492 Motif-Index of Folk-Literature
W152.5.	Stingy woman will not give soup to man until she spills it. Then she says he may have the soup. Pauli (ed. Bolte) No. 321.
W152.6.	Stingy king will not hire soldiers: defeated. Pauli (ed. Bolte) No. 181.
W152.7.	Spider in stingy woman's house grows thin. Type 286*.
W152.8.	Stingy horse refuses ass little feed, though he promises much for later time. Wienert FFC LVI *58 (ET 196), 133 (ST 394); Hervieux II 142.
W152.9.	Stingy man cancels invitations to his guests. "It is better that they speak ill of me on an empty stomach than on a full one." Italian Novella: Rotunda.
W152.10.	Drummer drums for own wedding so as to save expense. Nouvelles Récréations No. 49.
W152.11.	
T133.3.	Drummer beats drums before bride on way to wedding. Stingy men love possessions so much that they wear out their feet to save shoes. Spanish Exempla: Keller.
W152.12.	Stingy man and his servants. India: Thompson-Balys.
J1340.	Retorts from hungry persons.
W152.12.1.	Farmer gets help up early in morning for a light breakfast: a glass of water and a lantern. Canada: Baughman.
W152.12.2.	Stingy farmer encourages help by promise of hot lunch. The servant discovers that the hot lunch is a mustard sandwich. Canada: Baughman.
W152.12.3.	Master insists that maid whistle when she brings in the des- sert. He is afraid she will eat the raisins out of the cakes. U.S.: Baughman.
W152.12.4.	Master insists that servants whistle as they pick strawberries so that they cannot eat any. U.S.: Baughman.
W152.13.	The stingy man and his animals.
W152.13.1.	A stranger notices that man's cows need feed, feeds them. They die of the shock of being fed. U.S.: Baughman.
W152.14.	Man who insists on using everything that is useful.
W152.14.1.	Man finds a bunghole lying around loose, has cooper build a barrel around it. U.S.: Baughman.
W152.14.2.	Man saves sausage skins, sends them back for refilling. U.S.: Baughman.
W152.15.	Stingy man does not eat butter; only looks at it and enjoys the thought. India: Thompson-Balys.
W152.16.	Wife of stingy man prays that her husband become sick so that she can get better food. India: Thompson-Balys.
W152.17.	Wife keeps half of the money she plans to give for a shrine. India: Thompson-Balys.   ## p. 493 (#497) ############################################  W. Traits of character 493
W153.	Miserliness. Spanish Exempla: Keller; India: *Thompson-Balys.
J1061.3.	Foolish dog finds treasure and dies rather than leave it.
J1061.4.	Miser's treasure stolen. Advised to imagine that his treasure is still there: he will be as well off as before.
Q272.0.1.	Miserliness punished.
W153.1.	Miser's heart found in his strong-box. Chauvin II 152 No. 14.
W153.2.	Miserly husband spies on wife to see that she does not eat too much. Gets burned in the chimney and beaten in the bed where he hides. Type 1407; U.S.: Baughman.
W153.2.1.	Miserly husband spies on wife, lest she cook too much. Italian Novella: Rotunda.
W153.3.	Miserly wife exposed to guests by her husband. Russian: An- drejev No. 1454.
W153.4.	Man is so miserly that he never drinks wine until it becomes strong. Gets full benefit from it. Italian Novella: Rotunda.
W153.5.	Friar so miserly that he stays in ditch three days before "lend- ing" a hand to his rescuers. Italian Novella: Rotunda.
W153.6.	Miser dreams that he spends some money. Strangles himself in his sleep. Italian Novella: Rotunda.
W153.7.	Miser decides not to commit suicide. Does not want the expense of a rope. Italian Novella: Rotunda.
W153.7.1.	Miser is given rope to hang himself. Miser annoys merchant so much over the price of a rope that the latter gives it to him provided he will hang himself as he plans to do. Spanish: Childers.
W153.8.	Miser appoints himself as the sole heir of his own estate. Italian Novella: Rotunda.
W153.9.	Miser decides to kill his pigs himself. Refuses to pay fee. Chain of circumstances make it infinitely more expensive. Italian No- vella: Rotunda.
W153.10.	Miser is rebuked by friend. "You get no benefit from your wealth." Proves his folly. Italian Novella: Rotunda.
W153.11.	Miser dies because he will not buy a candle. Italian Novella: Rotunda.
W153.11.1.	Dying miser tells son to extinguish candle just as soon as he dies. Spanish: Childers.
W153.11.2.	Miser runs back home to put out lamp left burning. India: Thompson-Balys.
W153.12.	Miser is kidnapped and held for ransom. Italian Novella: Rotunda.
W153.13.	Wood dealer prays for raja's death so that he can sell sandal wood for funeral pyre. India: Thompson-Balys.
