rownum	motif_id	text
104	A52.0.8	God created angels by striking one small stone with another. Lucifer created devils by imitation.
105	A52.1	Creation of individual angels.
106	A52.1.1	Angel of death created by God.
107	A52.1.2	Angel Michael created from fire.
108	A52.1.3	Angel Gabriel created from snow.
109	A52.1.4	Angel Raphael created from water.
110	A52.1.5	Angel of destruction created from hail and fire.
111	A52.2	Time of creation of the angels.
112	A52.2.1	Angels created on first day of creation.
113	A52.2.2	Angels created on second day of creation.
114	A52.2.3	Angels created on third day of creation.
115	A52.2.4	Archangels created on first, angels on third day of creation.
116	A52.2.5	Angels created on fifth day with other winged creatures.
117	A52.3	Material of which angels are created (fire, water and snow).
118	A54	Rebel angels.
119	A54.1	Angel of sea rebels at world's creation; put to death by God.
120	A60	Marplot at creation. An evil opponent attempts to undo or mar the work of the creator.
121	A61	Coyote as marplot at creation.
122	A63	Devil as marplot at creation.
123	A63.1	Devil works during God's sleep at creation.
124	A63.2	Devil plans to drown God at time of creation.
125	A63.3	Devil and God wrestle at time of creation.
126	A63.4	Devil and God create animals. Wolf created as God's dog. The devil creates goats to destroy things.
127	A63.4.1	God and the devil torment each other with their creations. Devil pesters God with gnats. God makes a fire and safeguards himself; God plagues the devil with fleas devil is unable to find means of protecting himself.
128	A63.5	Lucifer causes fall of man.
129	A63.5.1	Satan seduces Adam to sin because he is jealous of him.
130	A63.6	Devil in serpent form tempts first woman (Satan and Eve).
131	A63.7	Rebel god is author of all poisonous things.
132	A63.7.1	Poisonous water created by the devil.
133	A63.8	Satan attempts to create another world.
134	A67	God makes things and tosses them into the air; what he catches is good for mankind, what opponent catches is bad.
135	A70	Creator: miscellaneous motifs.
136	A71	Creator tries to devour his son, the culture hero.
137	A72	Original creator followed by transformers. These demigods change the original creation into the present forms.
138	A73	Lonely creator. The creator is tired of solitude and therefore inaugurates the creation.
139	A74	Reluctant creator.
140	A74.1	Creation on condition that Israel accept Tora.
141	A74.2	Creator repents of creating certain things.
142	A75	Creator as ancestor of heaven and earth.
143	A76	Creator's death.
144	A77	Creator's works survive him.
145	A78	Creator goes to make afterworld.
146	A81	Creator goes to sky.
147	A84	Creator of animals.
148	A84.1	Creator of buffaloes.
149	A85	Creation match between goddess-wife, god-husband.
150	A87	Creator drunk from beverage he invents.
151	A100	Deity.
152	A101	Supreme god. One god chief of all other gods. (Often not worshipped as other gods are.)
153	A101.1	Supreme god as creator  .
154	A102	Characteristics of deity.
155	A102.1	Omniscient god.
156	A102.2	All-seeing god.
157	A102.3	Immutable god.
158	A102.4	Omnipotent god.
159	A102.5	Omnipresent god.
160	A102.6	Eternal god.
161	A102.7	Holy god.
162	A102.8	Sleepless god.
163	A102.9	Invisible god.
164	A102.10	Unity of God.
165	A102.11	Purity of God.
166	A102.12	Perfect God.
167	A102.13	Loving kindness of God.
168	A102.14	Goodness of God.
169	A102.15	Modesty of God.
170	A102.16	Justice of God.
171	A102.17	Anger of God.
172	A102.18	Imperfect god, subject to death and rebirth.
173	A102.19	Conflict between God's justice and mercy.
174	A103	Father-god.
175	A104	The making of gods.
176	A104.1	Living person becomes god.
177	A104.2	Dead body becomes god.
178	A104.3	Miscellaneous objects become gods.
179	A104.4	Spirits become gods.
180	A106	Opposition of good and evil gods.
181	A106.0.1	Gods and the demons quarrel over supremacy.
182	A106.1	Revolt of bad gods against good.
183	A106.1.1	Goddess rebels against her father for forbidding her marriage.
184	A106.2	Revolt of evil angels against God.
185	A106.2.1	Revolting devil banished to hell.
186	A106.2.1.1	Banished devil appears on earth only on day of dark moon.
187	A106.2.1.2	Demon (opposed to God) allowed to earth four times a year (but must let people know who he is and not deceive them).
188	A106.2.2	Satan's fall from heaven.
189	A106.3	Created beings rebel against God.
190	A107	Gods of darkness and light. Darkness thought of as evil, light as good.
191	A108	God of the living and the dead in the otherworld.
192	A108.1	God of the dead.
193	A109	Deity: miscellaneous motifs.
194	A109.1	God as a triad.
195	A109.2	Goddess as mother of Pacific Ocean.
196	A110	Origin of the gods.
197	A111	Parents of the gods.
198	A111.1	Mother of the gods.
199	A111.2	Father of the gods.
200	A111.3	Ancestor of the gods.
201	A111.3.0.1	God of double sex carries within him seed of gods.
202	A12	Hermaphroditic creator.
203	A111.3.1	God dwells with his grandfathers.
204	A111.3.2	Sea creatures as ancestors of goddess.
205	A111.3.3	Great bird as ancestor of gods.
206	A112	Birth of gods.
207	A112.1	God from incestuous union.
208	A112.1.1	God from father-daughter incest. Adonis.
209	A112.1.1.1	Goddess of music and dance born of incestuous union (Brahma and daughter).
210	A112.2	Male and female creators beget gods.
211	A112.3	Gods born from various parts of creator's body.
212	A112.4	God as son of giant.
213	A112.4.1	God as son of giantess.
214	A112.4.2	Goddess as daughter of giant.
215	A112.5	God as son of nine giantesses.
216	A112.6	Gods as sons of supreme god.
217	A112.7	God born from peculiar part of parent's body.
218	A112.7.1	God born from mother's ear.
219	A112.7.2	God born from mother's armpit.
220	A112.7.3	Goddess born from mother's eyes.
221	A112.7.4	God born after prematurely short pregnancy.
222	A112.8	God from adulterous union.
223	A112.9	Gods borne by human woman.
224	A112.9.1	Elementary spirits borne by human woman.
225	A112.10	Divine child cast out at birth.
226	A112.11	Child born from union of God with hen.
227	A113	Totemistic gods. Gods which have animal associations; e.g., Athena with the owl, Venus with the sparrow.
228	A114	Gods born from object.
229	A114.1	Deity born from sea-foam. Aphrodite.
230	A114.1.1	Goddess born from sweat of rock washed by sea.
231	A114.1.1.1	God born of another god's sweat.
232	A114.1.1.2	Origin of lesser gods from spittle of great god.
233	A114.2	God born from egg.
234	A114.2.1	Deity born in shape of egg.
235	A114.3	Deity born from skull.
236	A114.4	Deity born from tree.
237	A115	Emergence of deity.
238	A115.1	First deity grows out of primeval chaos.
239	A115.2	God issues from earth.
240	A115.3	Deity arises from mist.
241	A115.4	Deity emerges from darkness of underworld. Mangia (Cook Is.)
242	A115.5	Emergence of gods from above and below.
243	A115.6	Deity arises from shell of darkness where he has been for million ages.
244	A115.7	Gods emerge from hole in tree.
245	A116	Twin gods.
246	A116.1	Twin gods one mortal, other immortal.
247	A116.2	Twin goddesses (or trinity of goddesses).
248	A116.2.1	Twin daughters of a god.
249	A117	Mortals become gods.
250	A117.1	First men created with eternal life become gods.
251	A117.2	Mortal translated to heaven and deified.
252	A117.3	In extreme old age spirits become gods.
253	A117.4	Mortal transfigured to god on mountain top.
254	A117.5	Gods are spirits of deified dead.
255	A118	Self-created deity.
256	A119	Origin of gods miscellaneous.
257	A119.1	God made by magic.
258	A119.2	Goddess produced by heat of earth.
259	A119.3	Arrival of the gods in particular country.
260	A120	Nature and appearance of the gods.
261	A120.1	God as shape-shifter.
262	A120.2	Size-changing god.
263	A120.3	Incorporeal god.
264	A120.4	Formless gods.
265	A121	Stars as deities.
266	A121.1	Moon as deity.
267	A121.2	Sun as deity.
268	A122	God half mortal, half immortal. Hair, skin, flesh, bones and marrow are mortal; mind, voice, breath, eye, and ear are immortal. (prajapati).
269	A123	Monstrous gods.
270	A123.1	God monstrous as to body.
271	A123.1.1	Three-bodied goddess. Hekate has three bodies standing back to back and looking in three directions.
272	A123.1.2	God with two joined bodies.
273	A123.1.3	God with good looking and ugly bodies.
274	A123.1.4	God with body of earthquake (whirlwind, etc. ).
275	A123.1.5	God with body of caterpillars.
276	A123.1.6	God with body of stream of blood.
277	A123.1.7	Goddess with three supernatural bodies: fire, cliff, sea.
278	A123.2	God unusual as to face.
279	A123.2.1	God with many faces.
280	A123.2.1.1	God with two faces.
281	A123.2.1.2	God with three faces.
282	A123.2.1.3	God with four faces.
283	A123.2.1.4	God with five faces.
284	A123.2.1.5	God with six faces.
285	A123.2.2	God's unusual mouth.
286	A123.2.2.1	Maggots squirm from mouth of man-eating god.
287	A123.2.2.2	Goddess with eight mouths.
288	A123.3	God unusual as to eyes.
289	A123.3.1	God with many eyes.
290	A123.3.1.1	Three-eyed god.
291	A123.3.1.2	God with hundred eyes.
292	A123.3.1.3	God with thirteen eyes.
293	A123.3.1.4	God with thousand eyes.
294	A123.3.1.4.1	Goddess with thousand eyes.
295	A123.3.2	God with flashing eyes.
296	A123.4	God monstrous as to head.
297	A123.4.1	God with many heads.
298	A123.4.1.1	God with three heads.
299	A123.4.1.2	God with seven heads.
300	A123.4.1.3	God with eight heads.
301	A123.4.2	God with head of stone.
302	A123.5	God unusual as to arms.
303	A123.5.1	God with many arms. Siva has ten arms.
304	A123.5.2	Marvels concerning God's arm and fingers.
305	A123.6	God unusual at to legs (feet).
306	A123.6.1	God with three legs.
307	A123.7	God unusual as to color.
308	A123.7.1	Many-colored god.
309	A123.7.2	Black god(dess).
310	A123.8	Goddess with one-and-a-half buttocks.
311	A123.9	Lotus plants grow from navel of Vishnu.
312	A123.10	God (deity) girdled with snakes; on his forehead shines the moon.
313	A123.11	God with tail. Mangaia (Cook Is.)
314	A124	Luminous god.
315	A124.0.1	God with luminous countenance.
316	A124.1	God with blazing eye.
317	A124.2	White god.
318	A124.3	Goddess with body full of fire.
319	A124.4	God's radiance upon Moses' face.
320	A124.5	God in form of comet.
321	A125	Deity in human form. (The human form is assumed in most mythologies.)
322	A125.1	Goddess of war in shape of hag.
323	A125.1.1	Goddess of war in shape of (red) woman.
324	A125.2	God with red beard.
325	A125.3	God with gold teeth.
326	A125.4	Beautiful goddess.
327	A128	Mutilated god.
328	A128.1	Blind god.
329	A128.2	One-eyed god. Odin.
330	A128.2.1	God with Evil Eye.
331	A128.2.2	God with single eye, through lid of which passes a polished handle with which lid is lifted.
332	A128.3	Legless and armless deity supported on animal.
333	A128.3.1	God with one leg (foot).
334	A128.4	God with one hand. Hand cut or bitten off.
335	A128.5	Lame god.
336	A128.5.1	God with thick (iron) shoe.
337	A131	Gods with animal features.
338	A131.1	God as part man, part fish.
339	A131.2	God with elephant's face.
340	A131.3	Deity with animal's head.
341	A131.3.1	Deity with cat's head.
342	A131.3.2	Goddess with pig's head.
343	A131.3.3	God with ram's head.
344	A131.4	God in tiger's skin.
345	A131.5	God with goat-feet.
346	A131.6	Horned god.
347	A131.7	Winged god.
348	A131.8	Goddess with pig's teeth.
349	A132	God in animal form.
350	A132.0.1	God in successive animal forms.
351	A132.0.1.1	God takes form successively of ants, scorpion, and cobra.
352	A132.0.1.2	God in three forms: gecho, shark, or priest.
353	A132.1	Snake-god.
354	A132.1.1	Deity has snake-children.
355	A132.2	Monkey as god.
356	A132.3	Equine god (goddess).
357	A132.3.1	Horse-god.
358	A132.3.1.1	Mule-god.
359	A132.3.2	Horse-goddess.
360	A132.3.3	Ass-god.
361	A132.4	Stag-god.
362	A132.5	Bear-god (goddess).
363	A132.6	Bird deity.
364	A132.6.1	Bird-god.
365	A132.6.2	Goddess in form of bird.
366	A132.6.3	Cock-god.
367	A132.6.4	Female deities as fly-catchers.
368	A132.6.5	Pigeon-god.
369	A132.7	Swine-god.
370	A132.8	Dog (wolf)-god.
371	A132.9	Bull-god.
372	A132.9.1	Cow as god.
373	A132.10	Tiger-god.
374	A132.11	Seal-god.
375	A132.12	Eel-god.
376	A132.13	Fish-god.
377	A132.14	Ram-god.
378	A132.15	God as tortoise.
379	A133	Giant god.
380	A133.1	Giant god drinks lakes dry. (Indra).
381	A133.2	Giant goddess bestrides entire land. One foot is in the north of the country and the other is in the south.
382	A133.2.1	Giant god goes with three steps through the world.
383	A133.2.2	Heaven as God's throne, earth His footstool.
384	A133.3	Giant orderly of the gods.
385	A134	Dwarf god.
386	A135	Man-eating god (goddess).
387	A136	Gods with unusual transportation.
388	A136.1	God rides unusual animal.
389	A136.1.1	Deity rides boar.
390	A136.1.2	God rides unusual horse.
391	A136.1.2.1	Sleipnir: eight-legged horse of Odin.
392	A136.1.3	God rides a bull.
393	A136.1.4	God rides bird.
394	A136.1.4.1	God rides swan.
395	A136.1.5	God rides flying elephant.
396	A136.1.6	Deity rides a buffalo.
397	A136.1.7	Deity rides a lion.
398	A136.1.8	Goddess flies in bird's plumage.
399	A136.2	God's (goddess's) wagon drawn by unusual animals.
400	A136.2.1	Goddess has team of sparrows.
401	A136.2.2	Goddess's chariot drawn by one-footed horse.
402	A136.3	God's chariot goes through the air.
403	A136.3.1	Chariot of fire drawn by four steeds of fire.
404	A137	Pictorial representations of gods.
405	A137.1	God with hammer.
406	A137.1.1	God with axe.
407	A137.2	God with club.
408	A137.3	God with wheel.
409	A137.3.1	Wheel symbol.
410	A137.3.1.1	Swastika (hooked cross).
411	A137.4	God (goddess) with basket.
412	A137.4.1	God carries brothers and sisters on his back in basket.
413	A137.5	God (goddess) with cornucopia.
414	A137.6	Squatting god.
415	A137.7	The bull with three cranes.
416	A137.8	Small-pox deity rides nude on an ass with the half of a winnowing fan for an umbrella and with a swing in one hand and a broom in the other.
417	A137.9	Goddess represented as mounted on a drake, attended by eight chief snakes attended by snake jewels.
418	A137.10	God represented as king, world as his kingdom.
419	A137.11	God represented in cloud.
420	A137.12	God represented as bridegroom.
421	A137.13	God represented as priest.
422	A137.14	God represented with weapon.
423	A137.14.1	God represented with bow of fire.
424	A137.14.1.1	God represented with arrow of flames.
425	A137.14.2	God represented with spears as torches.
426	A137.14.3	God represented with clouds as shield.
427	A137.14.4	God represented with lightning flashes as sword.
428	A137.15	God represented on high throne surrounded by angels.
429	A137.16	God represented as meteor.
430	A137.17	God represented as among seven sheaths of fire.
431	A137.18	God with long white beard and white moustache.
432	A138	God's ineffable name.
433	A139	Nature and appearance of the gods miscellaneous.
434	A139.1	Gods (supernatural beings) have many names.
435	A139.2	Tortoise footstool of God.
436	A139.3	Dragon god.
437	A139.4	Vampire goddess.
438	A139.5	God's voice.
439	A139.5.1	God's voice shatters mountain.
440	A139.5.2	God's voice causes thunder.
441	A139.6	God's words.
442	A139.7	Distinctive aroma of gods.
443	A139.8	God appears as an object.
444	A139.8.1	God as a tree trunk.
445	A139.8.2	Goddess appears as coral reef.
446	A139.8.3	Smoldering fire of volcano as head of goddess.
447	A139.8.4	God of the wind in shape of kite.
448	A139.8.5	Goddess in form of tree.
449	A139.8.6	God in shape of an image.
450	A139.9	Extraordinary physical characteristics of gods.
451	A139.9.1	Goddess with red urine.
452	A139.9.2	Gods have ichor, not blood: can be wounded but not killed.
453	A139.9.3	Gods covered with red and yellow feathers.
454	A139.10	God with myriad natures.
455	A139.11	Gods recognized by natural phenomena associated with their worship color, scent, etc.
456	A139.12	Long-suffering God.
457	A139.13	Temperamental goddess.
458	A139.14	Ugly god.
459	A139.15	Greedy god.
460	A140	Gods as workmen.
461	A141	God as craftsman. Hephaistos.
462	A141.1	God makes automata and vivifies them.
463	A141.2	God builds temple in heaven and brings it later to earth.
464	A141.3	God bores hole in Hell to cause great heat on earth.
465	A141.4	God lays foundations of earth.
466	A142	Smith of the gods.
467	A142.0.1	God as blacksmith.
468	A142.1	Brazier of the gods.
469	A143	Carpenter (wright) of the gods.
470	A144	Physician of the gods.
471	A145	Champions of the gods.
472	A147	Gods as fishers.
473	A150	Daily life of the gods.
474	A151	Home of the gods. Elysium, Avalon, earthly paradise.
475	A151.0.1	Home of god where he is the only living one.
476	A151.0.2	God's abode known to none.
477	A151.1	Home of gods on high mountain. Mt. Olympus.
478	A151.1.1	Home of gods inside of hill.
479	A151.1.2	Home of gods in cave.
480	A151.1.3	Home of gods in volcano crater.
481	A151.1.4	Gods live in cloudland.
482	A151.2	Garden of the gods.
483	A151.3	Home of the gods under the sea.
484	A151.3.1	Gods live in spring.
485	A151.3.2	Home of gods on island.
486	A151.4	Palaces of the gods.
487	A151.4.1	God's temple of jewels.
488	A151.4.2	Palace of gods with door at each end for sun's journey.
489	A151.4.3	Golden mansions of gods.
490	A151.4.4	House of god with pillars made of dead chief's bones.
491	A151.5	City of gods (God).
492	A151.6	God's home on heavenly bodies.
493	A151.6.1	God (Indra) has palace on Milky Way.
494	A151.6.2	Sun and moon as habitations of gods.
495	A151.7	Deity lives in forest.
496	A151.7.1	Deity resides in tree.
497	A151.7.1.1	God's home under tree of life.
498	A151.8	God in sea of milk.
499	A151.9	God originally resident among men.
500	A151.10	God dwells at particular point on earth.
501	A151.10.1	Home of God the ark and the temple.
502	A151.11	God's spirit dwells among mortals.
503	A151.12	God's landing place (on island).
504	A151.13	God dwells alone in darkness.
505	A151.14	Various other dwelling places of gods.
506	A152	God's throne.
507	A152.1	God's two thrones (of mercy and of justice).
508	A152.2	Flames surround God's throne.
509	A152.3	God's throne on wheels.
510	A152.4	Attendants around God's throne.
511	A152.5	Heavenly curtain surrounds God's throne.
512	A152.6	Footstool before divine throne.
513	A152.7	Bearers of God's throne.
514	A152.8	Heavenly throne has Jacob's face engraved on it.
515	A152.9	God's throne becomes hot because of activities on earth.
516	A153	Food of the gods. Ambrosia.
517	A153.1	Theft of ambrosia. Food of the gods stolen.
518	A153.2	Magic food gives immortality to gods.
519	A153.2.1	Gods' food gives supernatural growth.
520	A153.3	Banquets of the gods.
521	A153.3.1	Moon steals food from banquet of the gods.
522	A153.3.2	Sun, moon and wind dine with their uncle and aunt, thunder and lightning.
523	A153.4	Magic food rejuvenates the gods.
524	A153.5	"Food of gods: meat of ""cow of plenty""."
525	A153.6	Why gods only accept blood.
526	A153.7	God's preference for cooked food.
527	A153.8	Cannibal gods.
528	A153.9	Gods nourished by air.
529	A154	Drink of the gods.
530	A154.1	Magic drink gives immortality to gods.
531	A154.2	Theft of magic mead by Odin.
532	A154.3	Gods discover liquor.
533	A154.4	Milk of the gods.
534	A155	Animals of the gods (cf.   +A136).
535	A155.1	Cattle of the sun.
536	A155.2	Horses of the gods.
537	A155.3	Birds of the gods.
538	A155.4	Gods keep mosquitoes as pets.
539	A155.5	God's elephant.
540	A155.5.1	God has enormous elephant.
541	A155.6	Goddess sleeps on bed of snakes.
542	A155.7	God has his dairies and buffaloes.
543	A156	Precious properties of the gods.
544	A156.1	Jewels of the gods.
545	A156.2	God's crown.
546	A156.3	God's scepters.
547	A156.4	God's seal.
548	A156.5	Chariot of the gods.
549	A157	Weapons of the gods.
550	A157.1	Thunderweapon. Stone weapons (axes) brought down by thunderbolt (from Thunder God).
551	A157.1.1	Thunderbolt as gods' weapon.
552	A157.2	God's arrows.
553	A157.3	God's spear.
554	A157.4	God's shield.
555	A157.5	God's sword.
556	A157.6	God's bow.
557	A157.7	Hammer of thunder god.
558	A158	Clothing of gods.
559	A159	Daily life of the gods miscellaneous.
560	A159.1	Deity's special drum.
561	A160	Mutual relations of the gods.
562	A161	Hierarchy of gods.
563	A161.1	Division of control of universe among gods.
564	A161.2	King of the gods.
565	A161.3	Queen of the gods.
566	A161.4	God presides over all male spirits.
567	A161.5	Eldest god born in front, younger at back.
568	A162	Conflicts of the gods.
569	A162.1	Fight of the gods and giants.
570	A162.1.0.1	Recurrent battle (everlasting fight).
571	A162.2	Combat between god of light and dragon of ocean.
572	A162.3	Combat between thundergod and devil.
573	A162.3.1	Devil (ogre) steals thunder's instruments.
574	A162.3.2	Thunder and lightning slay devils.
575	A162.4	Brahma cursed by other gods: now has no temples.
576	A162.5	God reborn of human woman to avenge self on giant.
577	A162.6	Battle between God's orderly (giant) and plague.
578	A162.7	Single combat between gods.
579	A162.8	Rebellion of lesser gods against chief.
580	A163	Contests among the gods.
581	A163.1	Game between gods.
582	A163.1.1	Gods play chess.
583	A164	Marriage or liaison of gods.
584	A164.1	Brother-sister marriage of the gods.
585	A164.1.1	Mother-son marriage of the gods.
586	A164.2	Adultery among the gods.
587	A164.3	Polygamy among the gods.
588	A164.3.1	Krishna plays cards with his three wives.
589	A164.4	Matriarchy among the gods.
590	A164.5	Polyandry among the gods.
591	A164.6	God as lover of giantess.
592	A164.7	Jealous wife of god.
593	A165	Attendants and servants of the gods.
594	A165.1	Animals as attendants of god.
595	A165.1.1	Ravens as attendants of god.
596	A165.1.2	Eagle as god's bird.
597	A165.1.3	Red sea-bird god's pet.
598	A165.2	Messenger of the gods.
599	A165.2.0.1	Deity's messenger can assume any guise he wishes.
600	A165.2.1	Animals as messengers of the gods.
601	A165.2.1.1	Wild beasts as messengers of the gods.
602	A165.2.1.1.1	Wolves as god's dogs.
603	A165.2.1.1.2	Tiger as god's messenger.
604	A165.2.1.1.3	Elephant as god's messenger.
605	A165.2.1.1.4	Bears as God's messengers.
606	A165.2.1.1.5	Leopards as God's messengers.
607	A165.2.1.1.6	Lions as God's messengers.
608	A165.2.2	Birds as messengers of the gods.
609	A165.2.2.1	Cock as ambassador of god.
610	A165.2.3	Angels as God's messengers.
611	A165.2.4	Powers of nature (sun, moon, etc.)   as God's messengers.
612	A165.3	Cupbearer of the gods.
613	A165.3.1	Cupbearer of the gods is god of smith-work.
614	A165.3.2	Cupbearer of the gods controls waters.
615	A165.4	Watchman of the gods.
616	A165.4.1	Demons as watchmen of the gods upon earth.
617	A165.5	Doorkeeper of the gods.
618	A165.6	Scribe of the gods.
619	A165.7	Army of the gods.
620	A165.8	Magician of the gods.
621	A165.9	Fisherman of the gods.
622	A166	Dancers of the gods.
623	A167	Assembly of gods.
624	A167.1	Council of the gods.
625	A168	Family of gods.
626	A169	Mutual relations of the gods miscellaneous.
627	A169.1	Judge and tribunal of the gods.
628	A170	Deeds of the gods.
629	A171	Gods ride through air.
630	A171.0.1	God drives chariot over waves.
631	A171.0.2	God ascends to heaven.
632	A171.0.3	God descends from heaven.
633	A171.0.3.1	God descends on rainbow.
634	A171.0.3.2	God descends in form of shooting star.
635	A171.1	God rides through air on wind-swift horse.
636	A171.1.1	God rides through air in chariot.
637	A171.1.2	Valkyries ride through air and water.
638	A171.2	God flies in bird plumage.
639	A171.3	God flies in pillar of floating clouds, thunder, and lightning.
640	A172	Gods intervene in battle.
641	A173	Gods deposed for a time.
642	A173.1	In god's absence his function ceases. Death, reproduction, etc., suspended until the god' s return.
643	A173.2	Gods imprisoned.
644	A175	God reduces the elements to order.
645	A175.1	God supplies reproductive energy to all things.
646	A176	God ordains ceremonies and regulations.
647	A177	God as thief.
648	A177.1	God as dupe or trickster.
649	A178	God as prophet.
650	A179	Deeds of the gods miscellaneous.
651	A179.1	God as rath-builder.
652	A179.2	God given dominion over floating island.
653	A179.3	God deliberately has enemies kill him.
654	A179.4	Head of god bitten off by shark.
655	A179.5	Deity reincarnated.
656	A179.6	God has power to create men.
657	A179.7	God divests self of earthly raiment and clothes self with lightning.
658	A179.8	God hides from sun in shadow of a cloud.
659	A179.9	God plays with leviathan.
660	A180	Gods in relation to mortals.
661	A181	God serves as menial on earth.
662	A181.1	God clears plains.
663	A181.2	God as cultivator.
664	A182	God reveals himself to mortals.
665	A182.0.1	God does not reveal himself; men unable to endure his glory.
666	A182.0.2	Human intellect unable to conceive God's essence.
667	A182.1	God reveals secrets (mysteries) to mortals.
668	A182.1.1	Household gods speak to explain events.
669	A182.2	God gives name to child.
670	A182.3	God (angel) speaks to mortal.
671	A182.3.0.1	God speaks to Moses from bush.
672	A182.3.0.1.1	Angel speaks to Patrick from bush that merely seems to burn.
673	A182.3.0.2	God speaks to saint in prison.
674	A182.3.0.3	Saint speaks with God each Thursday.
675	A182.3.0.3.1	Saint goes to heaven every Thursday (each day) and talks with angels.
676	A182.3.0.4	God does not directly address women; uses interpreter.
677	A182.3.0.5	God speaks from mountain.
678	A182.3.1	God consoles mortal.
679	A182.3.2	God rebukes mortal.
680	A182.3.3	God blesses mortal.
681	A182.3.4	God makes promises to mortal.
682	A182.3.4.1	God in form of fakir visits king and gives him advice.
683	A182.3.4.2	God promises mortal prosperity for man and offspring.
684	A182.3.5	God advises mortal.
685	A182.3.6	Moon-god, overcome in contest with mortal, threatens to withold rain and game.
686	A183	Deity invoked.
687	A183.1	Male god invoked in east; female in west.
688	A184	God as founder and protector of certain peoples.
689	A184.1	God as protector of Israel.
