motif_id	text
A112.4.2.	Goddess as daughter of giant. Boberg.
A112.5.	God as son of nine giantesses. Birth from nine mothers.
A112.6.	Gods as sons of supreme god.
A112.7.	God born from peculiar part of parent's body. Eldest god born in front, younger at back.
A112.7.1.	God born from mother's ear. God born from mother's armpit.
A112.7.3.	Goddess born from mother's eyes.
A112.7.4.	God born after prematurely short pregnancy.
A112.8.	God from adulterous union. Adultery among the gods. Fairies banished for adultery. Adultery.
A112.9.	Gods borne by human woman.
A112.9.1.	Elementary spirits borne by human woman.
A112.10.	Divine child cast out at birth.
A112.11.	Child born from union of God with hen.
A113.	Totemistic gods. Gods which have animal associations; e.g., Athena with the owl, Venus with the sparrow. God with animal features. God in animal form. Animal totems.
A114.	Gods born from object.
A114.1.	Deity born from sea-foam. Aphrodite. Man created from sea-foam.
A114.1.1.	Goddess born from sweat of rock washed by sea. Man from sweat of creator. Man created from sweat.
A114.1.1.1.	God born of another god's sweat.
A114.1.1.2.	Origin of lesser gods from spittle of great god.
A114.2.	God born from egg. So. Am.
A114.2.1.	Deity born in shape of egg.
A114.3.	Deity born from skull.
A114.4.	Deity born from tree. Am.
A115.	Emergence of deity. So.
A115.1.	First deity grows out of primeval chaos. Primeval chaos.
A115.2.	God issues from earth.
A115.3.	Deity arises from mist.
A115.4.	Deity emerges from darkness of underworld.
A115.5.	Emergence of gods from above and below.
A115.6.	Deity arises from shell of darkness where he has been for million ages.
A115.7.	Gods emerge from hole in tree.
A116.	Twin gods. Twin culture heroes. Twins.
A116.1.	Twin gods one mortal, other immortal.
A116.2.	Twin goddesses (or trinity of goddesses). Goddess of war.
A116.2.1.	Twin daughters of a god.
A117.	Mortals become gods.
A117.1.	First men created with eternal life become gods.
A117.2.	Mortal translated to heaven and deified.
A117.3.	In extreme old age spirits become gods.
A117.4.	Mortal transfigured to god on mountain top.
A117.5.	Gods are spirits of deified dead.
A118.	Self-created deity.
A119.	Origin of gods miscellaneous.
A119.1.	God made by magic. So. Am.
A119.2.	Goddess produced by heat of earth.
A119.3.	Arrival of the gods in particular country.
A120.	Nature and appearance of the gods (cf. Magic invisibility of gods. God with form and characteristics of vampire.
A120.1.	God as shape-shifter.
A120.2.	F234. Fairies in disguise.
A120.3.	Incorporeal god.
A120.4.	Formless gods.
A121.	Stars as deities. Creation of the stars.
A121.1.	Moon as deity (cf.
A121.2.	Sun as deity (cf.
A122.	God half mortal, half immortal.
A123.	Monstrous gods. God reincarnated as monster.
A123.1.	God monstrous as to body.
A123.1.1.	Three-bodied goddess. Hekate has three bodies standing back to back and looking in three directions. Person with three bodies.
A123.1.2.	God with two joined bodies.
A123.1.3.	God with good looking and ugly bodies.
A123.1.4.	God with body of earthquake (whirlwind, etc.
A123.1.5.	God with body of caterpillars.
A123.1.6.	God with body of stream of blood.
A123.1.7.	Goddess with three supernatural bodies: fire, cliff, sea.
A123.2.	God unusual as to face. Facial features of wind-goddess reversed.
A123.2.1.	God with many faces.
A123.2.1.1.	God with two faces.
A123.2.1.2.	God with three faces.
A123.2.1.3.	God with four faces.
A123.2.1.4.	God with five faces.
A123.2.1.5.	God with six faces.
A123.2.2.	God's unusual mouth.
A123.2.2.1.	Maggots squirm from mouth of man-eating god.
A123.2.2.2.	Goddess with eight mouths.
A123.3.	God unusual as to eyes.
A123.3.1.	God with many eyes. Argos.
A123.3.1.1.	Three-eyed god.
A123.3.1.2.	Balys.
A123.3.1.3.	God with hundred eyes.
A123.3.1.4.	God with thousand eyes.
A123.3.1.4.1.	Goddess with thousand eyes.
A123.3.2.	God with flashing eyes.
A123.4.	God monstrous as to head.
A123.4.1.	God with many heads.
A123.4.1.1.	God with three heads. Magic head.
A123.4.1.2.	God with seven heads.
A123.4.1.3.	God with eight heads.
A123.4.2.	God with head of stone.
A123.5.	God unusual as to arms.
A123.5.1.	God with many arms. Siva has ten arms. Cf. People with many arms.
A123.5.2.	Marvels concerning God's arm and fingers.
A123.6.	God unusual at to legs (feet).
A123.6.1.	God with three legs.
A123.7.	God unusual as to color.
A123.7.1.	Many-colored god.
A123.7.2.	Black god(dess).
A123.8.	Goddess with one-and-a-half buttocks.
A123.9.	Lotus plants grow from navel of Vishnu.
A123.10.	God (deity) girdled with snakes; on his forehead shines the moon.
A123.11.	God with tail.
A124.	Luminous god. Magic light. Flashing eyes. Luminous person.
A124.0.1.	God with luminous countenance.
A124.1.	God with blazing eye.
A124.2.	White god.
A124.3.	Goddess with body full of fire.
A124.4.	God's radiance upon Moses' face.
A124.5.	God in form of comet.
A125.	Deity in human form. God in guise of mortal.
A125.1.	Goddess of war in shape of hag. Goddess of war. Fairy in form of hag.
A125.1.1.	Goddess of war in shape of (red) woman. Goddess of war. Red fairy. Fairy (goddess) in form of beautiful young woman.
A125.2.	God with red beard.
A125.3.	God with gold teeth. Golden teeth.
A125.4.	Beautiful goddess. So. Am.
A128.	Mutilated god. Resuscitation with missing member. Mutilations.
A128.1.	Blind god. Hödhr.
A128.2.	One-eyed god. Odin. End of world heralded by coming of Antichrist, gigantic destructive one-eyed monster. Evil Eye. Person with one eye. Giant with one eye in middle of forehead (Cyclops). Remarkable eyes. Three giants with one eye.
A128.2.1.	God with Evil Eye. Islands from cow and calf transformed by evil eye of one-eyed god. Evil Eye.
A128.2.2.	God with single eye, through lid of which passes a polished handle with which lid is lifted.
A128.3.	Legless and armless deity supported on animal. Armless people. Person unusual as to his legs.
A128.3.1.	God with one leg (foot). Person without feet.
A128.4.	God with one hand. Hand cut or bitten off. Gods deposed for a time. God of whirlwind. Magic hand. Person unusual as to his hands. Person with compound body. Remarkable hands. King must resign if maimed.
A128.5.	Lame god.
A128.5.1.	God with thick (iron) shoe. Müller Irish myth: Cross.
A131.	Gods with animal features. Alexander Lat. Am. Totemistic gods. Animal totems. Typhon.
A131.1.	God as part man, part fish.
A131.2.	God with elephant's face.
A131.3.	Deity with animal's head.
A131.3.1.	Deity with cat's head. Man with cat's head. Person with cat's snout.
A131.3.2.	F511. Person with cat's ears. Goddess with pig's head.
A131.3.3.	God with ram's head (cf.
A131.4.	God in tiger's skin.
A131.5.	God with goat-feet.
A131.6.	Horned god.
A131.7.	Winged god.
A131.8.	Goddess with pig's teeth.
A132.	God in animal form. Am. Totemistic gods. Animal as culture hero. God assumes form of a wolf. God assumes form of calf. God assumes form of a cat. God assumes form of an eel. Divinity reincarnated as bull. Fairy in form of an animal.
A132.0.1.	God in successive animal forms.
A132.0.1.1.	God takes form successively of ants, scorpion, and cobra.
A132.0.1.2.	God in three forms: gecho, shark, or priest.
A132.1.	Snake-god. Magic serpent.
A132.1.1.	Deity has snake-children.
A132.2.	Monkey as god.
A132.3.	Equine god (goddess).
A132.3.1.	Horse-god. Magic horse. Tabu: entering chariot less than three weeks after eating horse flesh. Fairy in form of horse. Penance for eating horse flesh.
A132.3.1.1.	Mule-god.
A132.3.2.	Horse-goddess.
A132.3.3.	Ass-god.
A132.4.	Stag-god.
A131.6.	Horned god.
A132.5.	Bear-god (goddess).
A132.6.	Bird deity.
A132.6.1.	Bird-god. Soul in form of bird. Fairy in form of bird. Bird worship.
A132.6.2.	Goddess in form of bird.
A132.6.3.	Cock-god.
A132.6.4.	Female deities as fly-catchers.
A132.6.5.	Pigeon-god.
A132.7.	Swine-god.
A132.8.	Dog (wolf)-god.
A132.9.	Bull-god. Transformation: man to bull. God assumes form of calf. Prophetic dream by eating meat of bull. Divinity reincarnated as bull.
A132.9.1.	Cow as god.
A132.10.	Tiger-god.
A132.11.	Seal-god.
A132.12.	Eel-god.
A132.13.	Fish-god.
A132.14.	Ram-god.
A132.15.	God as tortoise.
A133.	Giant god (cf.
A133.1.	Giant god drinks lakes dry.
A133.2.	Giant goddess bestrides entire land. One foot is in the north of the country and the other is in the south. Giant steps prodigious distance.
A133.2.1.	Giant god goes with three steps through the world. Hopkins JAOS XVI Proc. cxlvii.
A133.2.2.	Heaven as God's throne, earth His footstool.
A133.3.	Giant orderly of the gods.
A134.	Dwarf god. God reincarnated as dwarf. Pygmy.
A135.	Man-eating god (goddess).
A136.	Gods with unusual transportation.
A136.1.	God rides unusual animal. Animals of the gods. Unusual animal as riding-horse.
A136.1.1.	Deity rides boar.
A136.1.2.	God rides unusual horse.
A136.1.2.1.	Sleipnir: eight-legged horse of Odin. God rides through air on wind-swift horse. Animals with many legs.
A136.1.3.	God rides a bull.
A136.1.4.	God rides bird.
A136.1.4.1.	God rides swan.
A136.1.5.	God rides flying elephant.
A136.1.6.	Deity rides a buffalo.
A136.1.7.	Deity rides a lion.
A136.1.8.	Goddess flies in bird's plumage.
A136.2.	God's (goddess's) wagon drawn by unusual animals. Unusual draft animal.
A136.2.1.	Goddess has team of sparrows. Sappho Ode to Aphrodite.
A136.2.2.	Goddess's chariot drawn by one-footed horse.
A136.3.	God's chariot goes through the air. Chariot of the sun. Flying carts.
A136.3.1.	Chariot of fire drawn by four steeds of fire.
A137.	Pictorial representations of gods (cf.
A137.1.	God with hammer.
A137.1.1.	God with axe.
A137.2.	God with club.
A137.3.	God with wheel.
A137.3.1.	Wheel symbol. Giant rolls like wheel.
A137.3.1.1.	Swastika (hooked cross).
A137.4.	God (goddess) with basket.
A137.4.1.	God carries brothers and sisters on his back in basket.
A137.5.	God (goddess) with cornucopia. Magic vessel.
A137.6.	Squatting god.
A137.7.	The bull with three cranes (cf.
A137.8.	Small-pox deity rides nude on an ass with the half of a winnowing fan for an umbrella and with a swing in one hand and a broom in the other.
A137.9.	Goddess represented as mounted on a drake, attended by eight chief snakes attended by snake jewels. God represented as king, world as his kingdom.
A137.11.	God represented in cloud.
A137.12.	God represented as bridegroom.
A137.13.	God represented as priest.
A137.14.	God represented with weapon.
A137.14.1.	God represented with bow of fire.
A137.14.1.1.	God represented with arrow of flames.
A137.14.2.	God represented with spears as torches.
A137.14.3.	God represented with clouds as shield.
A137.14.4.	God represented with lightning flashes as sword.
A137.15.	God represented on high throne surrounded by angels.
A137.16.	God represented as meteor (cf.
A137.17.	God represented as among seven sheaths of fire.
A137.18.	God with long white beard and white moustache.
A138.	God's ineffable name. Tabu: uttering name of god. Tabu: uttering name of supernatural creature.
A139.	Nature and appearance of the gods miscellaneous.
A139.1.	Gods (supernatural beings) have many names (cf.
A139.2.	Tortoise footstool of God.
A139.3.	Dragon god. Dragon.
A139.4.	Vampire goddess. Vampire.
A139.5.	God's voice.
A139.5.1.	God's voice shatters mountain.
A139.5.2.	God's voice causes thunder. Origin of thunder.
A139.6.	God's words.
A139.7.	Distinctive aroma of gods.
A139.8.	God appears as an object.
A139.8.1.	God as a tree trunk.
A139.8.2.	Goddess appears as coral reef.
A139.8.3.	Smoldering fire of volcano as head of goddess.
A139.8.4.	God of the wind in shape of kite.
A139.8.5.	Goddess in form of tree.
A139.8.6.	God in shape of an image. I passim.
A139.9.	Extraordinary physical characteristics of gods.
A139.9.1.	Goddess with red urine.
A139.9.2.	Gods have ichor, not blood: can be wounded but not killed.
A139.9.3.	Gods covered with red and yellow feathers.
A139.10.	God with myriad natures.
A139.11.	Gods recognized by natural phenomena associated with their worship color, scent, etc. Hawaii: Beckwith Myth 4.
A139.12.	Long-suffering God.
A139.13.	Tempermental goddess.
A139.14.	Ugly god.
A139.15.	Greedy god.
A140.	Gods as workmen. God serves as menial on earth. make tongs and tools.
A141.	God as craftsman. Hephaistos.
A141.1.	God makes automata and vivifies them. Magic automata.
A141.2.	God builds temple in heaven and brings it later to earth.
A141.3.	God bores hole in Hell to cause great heat on earth.
A141.4.	God lays foundations of earth. Creator of earth.
A142.	Smith of the gods. ; *Krappe Archiv f. d. Studium d. neueren Artisan god. Dwarfs as smiths. Giants as warriors. Disguise as smith. Smith as hero. Smith.
A142.0.1.	God as blacksmith.
A142.1.	Brazier of the gods.
A143.	Carpenter (wright) of the gods. Carpenter.
A144.	Physician of the gods. God of healing. Goddess of healing. Fairy physician. Physician.
A145.	Champions of the gods. Remarkably strong man.
A147.	Gods as fishers (cf.
A150.	Daily life of the gods. Celtic
A151.	Home of the gods. Omnipresent god. Location of otherworld. Fairyland.
A151.0.1.	Home of god where he is the only living one.
A151.0.2.	God's abode known to none.
A151.1.	Home of gods on high mountain. Mt. Olympus. Mountain supports sky. Otherworld on lofty mountain. Extraordinary mountains and valleys.
A151.1.1.	Home of gods inside of hill. Habitable hill.
A151.1.2.	Home of gods in cave.
A151.1.3.	Home of gods in volcano crater.
A151.1.4.	Gods live in cloudland.
A151.2.	Garden of the gods. Garden in otherworld.
A151.3.	Home of the gods under the sea.
A151.3.1.	Gods live in spring.
A151.3.2.	Home of gods on island.
A151.4.	Palaces of the gods.
A151.4.1.	God's temple of jewels.
A151.4.2.	Palace of gods with door at each end for sun's journey. Virgil Aeneid X line 3.
A151.4.4.	Golden mansions of gods. House of god with pillars made of dead chief's bones.
A151.5.	City of gods (God).
A151.6.	God's home on heavenly bodies.
A151.6.1.	God (Indra) has palace on Milky Way.
A151.6.2.	Sun and moon as habitations of gods.
A151.7.	Deity lives in forest.
A151.7.1.	Deity resides in tree.
A151.7.1.1.	God's home under tree of life (cf. Tree of life.
A151.8.	God in sea of milk.
A151.9.	God originally resident among men.
A151.10.	God dwells at particular point on earth.
A151.10.1.	Home of God the ark and the temple.
A151.11.	God's spirit dwells among mortals.
A151.12.	God's landing place (on island).
A151.13.	God dwells alone in darkness.
A151.14.	Various other dwelling places of gods.
A152.	God's throne.
A152.1.	God's two thrones (of mercy and of justice).
A152.2.	Flames surround God's throne.
A152.3.	God's throne on wheels.
A152.4.	Attendants around God's throne.
A152.5.	Heavenly curtain surrounds God's throne.
A152.6.	Footstool before divine throne.
A152.7.	Bearers of God's throne.
A152.8.	Heavenly throne has Jacob's face engraved on it.
A152.9.	God's throne becomes hot because of activities on earth.
A153.	Food of the gods. Ambrosia. Tabu: eating food of gods. Magic food.
A153.1.	Theft of ambrosia. Food of the gods stolen. Theft of fire. Thefts and cheats.
A153.2.	Magic food gives immortality to gods. Food of immortality.
A153.2.1.	Gods' food gives supernatural growth. Supernatural growth.
A153.3.	Banquets of the gods. So. Am.
A153.3.1.	Moon steals food from banquet of the gods (cf.
A153.3.2.	Sun, moon and wind dine with their uncle and aunt, thunder and lightning.
A153.4.	Magic food rejuvenates the gods. Goddess rejuvenates self when old. Goddess of youth.
A153.5.	Food of gods: meat of "cow of plenty".
A153.6.	Why gods only accept blood.
A153.7.	God's preference for cooked food.
A153.8.	Cannibal gods (cf.
A153.9.	Gods nourished by air.
A154.	Drink of the gods. Nectar of immortality.
A154.1.	Magic drink gives immortality to gods (cf. Great age of the gods. Magic drink rejuvenates. Magic rejuvenation. Otherworld people ever young, ever beautiful. Fairies as sprites who have been given immortality.
A154.2.	Theft of magic mead by Odin. Theft of magic mead by Odin. * Life spared in return for poetic mead.
A154.3.	Gods discover liquor.
A154.4.	Milk of the gods.
A155.	Animals of the gods (cf.
A155.1.	Cattle of the sun.
A155.2.	Horses of the gods (cf.
A155.3.	Birds of the gods (cf.
A155.4.	Gods keep mosquitoes as pets.
A155.5.	God's elephant.
A155.5.1.	God has enormous elephant.
A155.6.	Goddess sleeps on bed of snakes.
A155.7.	God has his dairies and buffaloes.
A156.	Precious properties of the gods.
A156.1.	Jewels of the gods.
A156.2.	God's crown.
A156.3.	God's scepters.
A156.4.	God's seal.
A156.5.	Chariot of the gods.
A157.	Weapons of the gods.
A157.1.	Thunderweapon. d. d. God of thunder. Thunderbird. God of lightning. Sacred place where thunderbolt fell down. Death by thunderbolt as punishment.
A157.1.1.	Thunderbolt as gods' weapon. God of thunder. Thunderbird.
A157.2.	God's arrows.
A157.3.	God's spear.
A157.4.	God's shield.
A157.5.	God's sword.
A157.6.	God's bow.
A157.7.	Hammer of thunder god.
A158.	Clothing of gods.
A159.	Daily life of the gods miscellaneous.
A159.1.	Deity's special drum. Animals produced when forbidden drum is beaten.
A160.	Mutual relations of the gods. Gods exchange forms.
A161.	Hierarchy of gods. Supreme god. Gods of darkness and of light.
A161.1.	Division of control of universe among gods.
A161.2.	King of the gods.
A161.3.	Queen of the gods. II passim.
A161.4.	God presides over all male spirits.
A161.5.	Eldest god born in front, younger at back.
A162.	Conflicts of the gods. Animals created through opposition of devil to God. Battle of the fairies and the gods.
A162.1.	Fight of the gods and giants. Gods of darkness and of light. Star deity and drought demon fight. Constant replacement of fighters. In contest between gods and demons, latter are constantly slain and replaced. Defeated giants imprisoned in lower world.
A162.1.0.1.	Recurrent battle (everlasting fight) (cf. Slain warriors revive nightly.
A162.2.	Combat between god of light and dragon of ocean.
A162.3.	Combat between thundergod and devil (cf. Devil as shoemaker is struck by lightning. Devil hides in the folds of clothes of people running from storm. Devil appears during thunder storm, seeking shelter among people. Dupe deceived concerning thunder. Man saves the unrecognized devil from thunder. Death by thunderbolt as punishment. Thunder slays people for disregard for him.
A162.3.1.	Devil (ogre) steals thunder's instruments.
A162.3.2.	Thunder and lightning slay devils.
A162.4.	Brahma cursed by other gods: now has no temples.
A162.5.	God reborn of human woman to avenge self on giant (cf.
A162.6.	Battle between God's orderly (giant) and plague.
A162.7.	Single combat between gods.
A162.8.	Rebellion of lesser gods against chief. Revolt of evil angels against God.
A163.	Contests among the gods. Judgment of Paris.
A163.1.	Game between gods.
A163.1.1.	Gods play chess. Marriage or liaison of gods.
A164.1.	Brother-sister marriage of the gods. Culture hero son of king's unmarried sister by her brother. Incest.
A164.1.1.	Mother-son marriage of the gods.
