type_id,ref_term,category,subcategory,confidence,resolution_method,geographic_region,manual_hints
1004,Mayan,ethnic_tribal,indigenous_group,0.85,indigenous_lookup,Mesoamerica,
1004,Mexican,geographic,country,0.95,demonym_lookup,Mexico,
1004,Ukrainian,geographic,country,0.95,demonym_lookup,Ukraine,
1005,Catalan,geographic,country,0.95,demonym_lookup,Spain/Catalonia,
1005,Irish,geographic,country,0.95,demonym_lookup,Ireland,
1005,Lappish,ethnic_tribal,indigenous_group,0.85,indigenous_lookup,Scandinavia/Sápmi,
1006,Frisian,geographic,country,0.95,demonym_lookup,Netherlands/Frisia,
1006,Irish,geographic,country,0.95,demonym_lookup,Ireland,
1006,Livonian,ethnic_tribal,indigenous_group,0.85,indigenous_lookup,Latvia/Estonia,
1006,Mexican,geographic,country,0.95,demonym_lookup,Mexico,
1006,Ukrainian,geographic,country,0.95,demonym_lookup,Ukraine,
1006*,Mordvinian,ethnic_tribal,indigenous_group,0.85,indigenous_lookup,Russia/Mordovia,
1006*,Ukrainian,geographic,country,0.95,demonym_lookup,Ukraine,
1007,Argentine,geographic,country,0.95,demonym_lookup,Argentina,
1007,Frisian,geographic,country,0.95,demonym_lookup,Netherlands/Frisia,
1007,Irish,geographic,country,0.95,demonym_lookup,Ireland,
1007,Livonian,ethnic_tribal,indigenous_group,0.85,indigenous_lookup,Latvia/Estonia,
1007,Mexican,geographic,country,0.95,demonym_lookup,Mexico,
1007,Ukrainian,geographic,country,0.95,demonym_lookup,Ukraine,
1008,Frisian,geographic,country,0.95,demonym_lookup,Netherlands/Frisia,
1009,Argentine,geographic,country,0.95,demonym_lookup,Argentina,
1009,Frisian,geographic,country,0.95,demonym_lookup,Netherlands/Frisia,
1009,Karelian,ethnic_tribal,indigenous_group,0.85,indigenous_lookup,Finland/Karelia,
1009,Livonian,ethnic_tribal,indigenous_group,0.85,indigenous_lookup,Latvia/Estonia,
1009,Mexican,geographic,country,0.95,demonym_lookup,Mexico,
1009,Yakut,ethnic_tribal,indigenous_group,0.85,indigenous_lookup,Russia/Sakha,
101,Catalan,geographic,country,0.95,demonym_lookup,Spain/Catalonia,
101,Flemish,geographic,country,0.95,demonym_lookup,Belgium/Flanders,
101,Frisian,geographic,country,0.95,demonym_lookup,Netherlands/Frisia,
101,Irish,geographic,country,0.95,demonym_lookup,Ireland,
101,Karelian,ethnic_tribal,indigenous_group,0.85,indigenous_lookup,Finland/Karelia,
101,Mexican,geographic,country,0.95,demonym_lookup,Mexico,
101,Ukrainian,geographic,country,0.95,demonym_lookup,Ukraine,
1010,Flemish,geographic,country,0.95,demonym_lookup,Belgium/Flanders,
1010,Frisian,geographic,country,0.95,demonym_lookup,Netherlands/Frisia,
1010,Irish,geographic,country,0.95,demonym_lookup,Ireland,
1010,Lappish,ethnic_tribal,indigenous_group,0.85,indigenous_lookup,Scandinavia/Sápmi,
1010,Udmurt,ethnic_tribal,indigenous_group,0.85,indigenous_lookup,Russia/Udmurtia,
1010,Ukrainian,geographic,country,0.95,demonym_lookup,Ukraine,
1011,Argentine,geographic,country,0.95,demonym_lookup,Argentina,
1011,Catalan,geographic,country,0.95,demonym_lookup,Spain/Catalonia,
1012,Lappish,ethnic_tribal,indigenous_group,0.85,indigenous_lookup,Scandinavia/Sápmi,
1012,Livonian,ethnic_tribal,indigenous_group,0.85,indigenous_lookup,Latvia/Estonia,
1012,Lydian,ethnic_tribal,indigenous_group,0.85,indigenous_lookup,Turkey/Ancient Anatolia,
1012,Ukrainian,geographic,country,0.95,demonym_lookup,Ukraine,
1012A,Ukrainian,geographic,country,0.95,demonym_lookup,Ukraine,
1013,Irish,geographic,country,0.95,demonym_lookup,Ireland,
1013,Mayan,ethnic_tribal,indigenous_group,0.85,indigenous_lookup,Mesoamerica,
1013,Ukrainian,geographic,country,0.95,demonym_lookup,Ukraine,
1015,Irish,geographic,country,0.95,demonym_lookup,Ireland,
1016,Irish,geographic,country,0.95,demonym_lookup,Ireland,
1016,Livonian,ethnic_tribal,indigenous_group,0.85,indigenous_lookup,Latvia/Estonia,
1017,Frisian,geographic,country,0.95,demonym_lookup,Netherlands/Frisia,
1017,Livonian,ethnic_tribal,indigenous_group,0.85,indigenous_lookup,Latvia/Estonia,
1017,Ukrainian,geographic,country,0.95,demonym_lookup,Ukraine,
102,Aramaic,linguistic,language,0.8,language_geographic,Middle East/Ancient,
102,Lappish,ethnic_tribal,indigenous_group,0.85,indigenous_lookup,Scandinavia/Sápmi,
102,Ukrainian,geographic,country,0.95,demonym_lookup,Ukraine,
1029,Catalan,geographic,country,0.95,demonym_lookup,Spain/Catalonia,
1029,Frisian,geographic,country,0.95,demonym_lookup,Netherlands/Frisia,
1029,Irish,geographic,country,0.95,demonym_lookup,Ireland,
1029,Lappish,ethnic_tribal,indigenous_group,0.85,indigenous_lookup,Scandinavia/Sápmi,
1029,Ukrainian,geographic,country,0.95,demonym_lookup,Ukraine,
103,Flemish,geographic,country,0.95,demonym_lookup,Belgium/Flanders,
103,Frisian,geographic,country,0.95,demonym_lookup,Netherlands/Frisia,
103,Lappish,ethnic_tribal,indigenous_group,0.85,indigenous_lookup,Scandinavia/Sápmi,
103,Livonian,ethnic_tribal,indigenous_group,0.85,indigenous_lookup,Latvia/Estonia,
103,Ukrainian,geographic,country,0.95,demonym_lookup,Ukraine,
1030,Catalan,geographic,country,0.95,demonym_lookup,Spain/Catalonia,
1030,Chuvash,ethnic_tribal,indigenous_group,0.85,indigenous_lookup,Russia/Chuvashia,
1030,Flemish,geographic,country,0.95,demonym_lookup,Belgium/Flanders,
1030,Frisian,geographic,country,0.95,demonym_lookup,Netherlands/Frisia,
1030,Irish,geographic,country,0.95,demonym_lookup,Ireland,
1030,Karelian,ethnic_tribal,indigenous_group,0.85,indigenous_lookup,Finland/Karelia,
1030,Livonian,ethnic_tribal,indigenous_group,0.85,indigenous_lookup,Latvia/Estonia,
1030,Lydian,ethnic_tribal,indigenous_group,0.85,indigenous_lookup,Turkey/Ancient Anatolia,
1030,Mordvinian,ethnic_tribal,indigenous_group,0.85,indigenous_lookup,Russia/Mordovia,
1030,Swiss,geographic,country,0.95,demonym_lookup,Switzerland,
1030,Ukrainian,geographic,country,0.95,demonym_lookup,Ukraine,
1030,Welsh,linguistic,language,0.8,language_geographic,Wales,
1030,Yakut,ethnic_tribal,indigenous_group,0.85,indigenous_lookup,Russia/Sakha,
1031,Lappish,ethnic_tribal,indigenous_group,0.85,indigenous_lookup,Scandinavia/Sápmi,
1035,Livonian,ethnic_tribal,indigenous_group,0.85,indigenous_lookup,Latvia/Estonia,
1036,Irish,geographic,country,0.95,demonym_lookup,Ireland,
1036,Ukrainian,geographic,country,0.95,demonym_lookup,Ukraine,
1037,Frisian,geographic,country,0.95,demonym_lookup,Netherlands/Frisia,
103A,Chuvash,ethnic_tribal,indigenous_group,0.85,indigenous_lookup,Russia/Chuvashia,
103A,Karelian,ethnic_tribal,indigenous_group,0.85,indigenous_lookup,Finland/Karelia,
103A,Lappish,ethnic_tribal,indigenous_group,0.85,indigenous_lookup,Scandinavia/Sápmi,
103A,Mordvinian,ethnic_tribal,indigenous_group,0.85,indigenous_lookup,Russia/Mordovia,
103A,Ukrainian,geographic,country,0.95,demonym_lookup,Ukraine,
103C*,Mexican,geographic,country,0.95,demonym_lookup,Mexico,
103C*,Ukrainian,geographic,country,0.95,demonym_lookup,Ukraine,
1045,Chuvash,ethnic_tribal,indigenous_group,0.85,indigenous_lookup,Russia/Chuvashia,
1045,Irish,geographic,country,0.95,demonym_lookup,Ireland,
1045,Karelian,ethnic_tribal,indigenous_group,0.85,indigenous_lookup,Finland/Karelia,
1045,Lappish,ethnic_tribal,indigenous_group,0.85,indigenous_lookup,Scandinavia/Sápmi,
1045,Livonian,ethnic_tribal,indigenous_group,0.85,indigenous_lookup,Latvia/Estonia,
1045,Lydian,ethnic_tribal,indigenous_group,0.85,indigenous_lookup,Turkey/Ancient Anatolia,
1045,Mordvinian,ethnic_tribal,indigenous_group,0.85,indigenous_lookup,Russia/Mordovia,
1045,Swiss,geographic,country,0.95,demonym_lookup,Switzerland,
1045,Ukrainian,geographic,country,0.95,demonym_lookup,Ukraine,
1048,Catalan,geographic,country,0.95,demonym_lookup,Spain/Catalonia,
1049,Argentine,geographic,country,0.95,demonym_lookup,Argentina,
1049,Buryat,ethnic_tribal,indigenous_group,0.85,indigenous_lookup,Russia/Buryatia,
1049,Catalan,geographic,country,0.95,demonym_lookup,Spain/Catalonia,
1049,Frisian,geographic,country,0.95,demonym_lookup,Netherlands/Frisia,
1049,Irish,geographic,country,0.95,demonym_lookup,Ireland,
1049,Lappish,ethnic_tribal,indigenous_group,0.85,indigenous_lookup,Scandinavia/Sápmi,
1049,Ukrainian,geographic,country,0.95,demonym_lookup,Ukraine,
105,Argentine,geographic,country,0.95,demonym_lookup,Argentina,
105,Flemish,geographic,country,0.95,demonym_lookup,Belgium/Flanders,
105,Frisian,geographic,country,0.95,demonym_lookup,Netherlands/Frisia,
105,Irish,geographic,country,0.95,demonym_lookup,Ireland,
105,Lappish,ethnic_tribal,indigenous_group,0.85,indigenous_lookup,Scandinavia/Sápmi,
105,Ukrainian,geographic,country,0.95,demonym_lookup,Ukraine,
105,Yakut,ethnic_tribal,indigenous_group,0.85,indigenous_lookup,Russia/Sakha,
105*,Ukrainian,geographic,country,0.95,demonym_lookup,Ukraine,
1050,Livonian,ethnic_tribal,indigenous_group,0.85,indigenous_lookup,Latvia/Estonia,
1050,Lydian,ethnic_tribal,indigenous_group,0.85,indigenous_lookup,Turkey/Ancient Anatolia,
1050,Udmurt,ethnic_tribal,indigenous_group,0.85,indigenous_lookup,Russia/Udmurtia,
1051,Catalan,geographic,country,0.95,demonym_lookup,Spain/Catalonia,
1051,Flemish,geographic,country,0.95,demonym_lookup,Belgium/Flanders,
1051,Frisian,geographic,country,0.95,demonym_lookup,Netherlands/Frisia,
1051,Lappish,ethnic_tribal,indigenous_group,0.85,indigenous_lookup,Scandinavia/Sápmi,
1051,Livonian,ethnic_tribal,indigenous_group,0.85,indigenous_lookup,Latvia/Estonia,
1051,Ossetian,ethnic_tribal,indigenous_group,0.85,indigenous_lookup,Caucasus/Ossetia,
1051,Swiss,geographic,country,0.95,demonym_lookup,Switzerland,
1051,Udmurt,ethnic_tribal,indigenous_group,0.85,indigenous_lookup,Russia/Udmurtia,
1051,Ukrainian,geographic,country,0.95,demonym_lookup,Ukraine,
1052,Catalan,geographic,country,0.95,demonym_lookup,Spain/Catalonia,
1052,Chuvash,ethnic_tribal,indigenous_group,0.85,indigenous_lookup,Russia/Chuvashia,
1052,Flemish,geographic,country,0.95,demonym_lookup,Belgium/Flanders,
1052,Frisian,geographic,country,0.95,demonym_lookup,Netherlands/Frisia,
1052,Irish,geographic,country,0.95,demonym_lookup,Ireland,
1052,Lappish,ethnic_tribal,indigenous_group,0.85,indigenous_lookup,Scandinavia/Sápmi,
1052,Livonian,ethnic_tribal,indigenous_group,0.85,indigenous_lookup,Latvia/Estonia,
1052,Lydian,ethnic_tribal,indigenous_group,0.85,indigenous_lookup,Turkey/Ancient Anatolia,
1052,Udmurt,ethnic_tribal,indigenous_group,0.85,indigenous_lookup,Russia/Udmurtia,
1052,Yakut,ethnic_tribal,indigenous_group,0.85,indigenous_lookup,Russia/Sakha,
1053,Argentine,geographic,country,0.95,demonym_lookup,Argentina,
106,Irish,geographic,country,0.95,demonym_lookup,Ireland,
106,Mexican,geographic,country,0.95,demonym_lookup,Mexico,
106*,Ukrainian,geographic,country,0.95,demonym_lookup,Ukraine,
1060,Argentine,geographic,country,0.95,demonym_lookup,Argentina,
1060,Buryat,ethnic_tribal,indigenous_group,0.85,indigenous_lookup,Russia/Buryatia,
1060,Catalan,geographic,country,0.95,demonym_lookup,Spain/Catalonia,
1060,Chuvash,ethnic_tribal,indigenous_group,0.85,indigenous_lookup,Russia/Chuvashia,
1060,Flemish,geographic,country,0.95,demonym_lookup,Belgium/Flanders,
1060,Frisian,geographic,country,0.95,demonym_lookup,Netherlands/Frisia,
1060,Irish,geographic,country,0.95,demonym_lookup,Ireland,
1060,Lappish,ethnic_tribal,indigenous_group,0.85,indigenous_lookup,Scandinavia/Sápmi,
1060,Livonian,ethnic_tribal,indigenous_group,0.85,indigenous_lookup,Latvia/Estonia,
1060,Lydian,ethnic_tribal,indigenous_group,0.85,indigenous_lookup,Turkey/Ancient Anatolia,
1060,Mexican,geographic,country,0.95,demonym_lookup,Mexico,
1060,Ukrainian,geographic,country,0.95,demonym_lookup,Ukraine,
1060,Yakut,ethnic_tribal,indigenous_group,0.85,indigenous_lookup,Russia/Sakha,
1060A,Irish,geographic,country,0.95,demonym_lookup,Ireland,
1061,Catalan,geographic,country,0.95,demonym_lookup,Spain/Catalonia,
1061,Frisian,geographic,country,0.95,demonym_lookup,Netherlands/Frisia,
1061,Irish,geographic,country,0.95,demonym_lookup,Ireland,
1061,Karelian,ethnic_tribal,indigenous_group,0.85,indigenous_lookup,Finland/Karelia,
1061,Livonian,ethnic_tribal,indigenous_group,0.85,indigenous_lookup,Latvia/Estonia,
1061,Mayan,ethnic_tribal,indigenous_group,0.85,indigenous_lookup,Mesoamerica,
1061,Ukrainian,geographic,country,0.95,demonym_lookup,Ukraine,
1062,Catalan,geographic,country,0.95,demonym_lookup,Spain/Catalonia,
1062,Flemish,geographic,country,0.95,demonym_lookup,Belgium/Flanders,
1062,Frisian,geographic,country,0.95,demonym_lookup,Netherlands/Frisia,
1062,Livonian,ethnic_tribal,indigenous_group,0.85,indigenous_lookup,Latvia/Estonia,
1062,Mayan,ethnic_tribal,indigenous_group,0.85,indigenous_lookup,Mesoamerica,
1062,Swiss,geographic,country,0.95,demonym_lookup,Switzerland,
1063,Argentine,geographic,country,0.95,demonym_lookup,Argentina,
1063,Chuvash,ethnic_tribal,indigenous_group,0.85,indigenous_lookup,Russia/Chuvashia,
1063,Irish,geographic,country,0.95,demonym_lookup,Ireland,
1063,Karelian,ethnic_tribal,indigenous_group,0.85,indigenous_lookup,Finland/Karelia,
1063,Lappish,ethnic_tribal,indigenous_group,0.85,indigenous_lookup,Scandinavia/Sápmi,
1063,Livonian,ethnic_tribal,indigenous_group,0.85,indigenous_lookup,Latvia/Estonia,
1063,Ukrainian,geographic,country,0.95,demonym_lookup,Ukraine,
1063A,Catalan,geographic,country,0.95,demonym_lookup,Spain/Catalonia,
1063A,Irish,geographic,country,0.95,demonym_lookup,Ireland,
1063A,Mexican,geographic,country,0.95,demonym_lookup,Mexico,
1063A,Swiss,geographic,country,0.95,demonym_lookup,Switzerland,
1064,Kazakh,ethnic_tribal,indigenous_group,0.85,indigenous_lookup,Kazakhstan,
1071,Chuvash,ethnic_tribal,indigenous_group,0.85,indigenous_lookup,Russia/Chuvashia,
1071,Karelian,ethnic_tribal,indigenous_group,0.85,indigenous_lookup,Finland/Karelia,
1071,Livonian,ethnic_tribal,indigenous_group,0.85,indigenous_lookup,Latvia/Estonia,
1071,Mordvinian,ethnic_tribal,indigenous_group,0.85,indigenous_lookup,Russia/Mordovia,
1071,Udmurt,ethnic_tribal,indigenous_group,0.85,indigenous_lookup,Russia/Udmurtia,
1071,Ukrainian,geographic,country,0.95,demonym_lookup,Ukraine,
1071,Yakut,ethnic_tribal,indigenous_group,0.85,indigenous_lookup,Russia/Sakha,
1072,Chuvash,ethnic_tribal,indigenous_group,0.85,indigenous_lookup,Russia/Chuvashia,
1072,Karelian,ethnic_tribal,indigenous_group,0.85,indigenous_lookup,Finland/Karelia,
1072,Lappish,ethnic_tribal,indigenous_group,0.85,indigenous_lookup,Scandinavia/Sápmi,
1072,Mordvinian,ethnic_tribal,indigenous_group,0.85,indigenous_lookup,Russia/Mordovia,
1072,Tungus,ethnic_tribal,indigenous_group,0.85,indigenous_lookup,Siberia,
1072,Udmurt,ethnic_tribal,indigenous_group,0.85,indigenous_lookup,Russia/Udmurtia,
1072,Ukrainian,geographic,country,0.95,demonym_lookup,Ukraine,
1072,Yakut,ethnic_tribal,indigenous_group,0.85,indigenous_lookup,Russia/Sakha,
1073,Irish,geographic,country,0.95,demonym_lookup,Ireland,
1073,Lappish,ethnic_tribal,indigenous_group,0.85,indigenous_lookup,Scandinavia/Sápmi,
1074,Catalan,geographic,country,0.95,demonym_lookup,Spain/Catalonia,
1074,Irish,geographic,country,0.95,demonym_lookup,Ireland,
1074,Lappish,ethnic_tribal,indigenous_group,0.85,indigenous_lookup,Scandinavia/Sápmi,
1074,Ukrainian,geographic,country,0.95,demonym_lookup,Ukraine,
1074,Welsh,linguistic,language,0.8,language_geographic,Wales,
1080*,Mexican,geographic,country,0.95,demonym_lookup,Mexico,
1080*,Ukrainian,geographic,country,0.95,demonym_lookup,Ukraine,
1082,Chuvash,ethnic_tribal,indigenous_group,0.85,indigenous_lookup,Russia/Chuvashia,
1082,Karelian,ethnic_tribal,indigenous_group,0.85,indigenous_lookup,Finland/Karelia,
1082,Lappish,ethnic_tribal,indigenous_group,0.85,indigenous_lookup,Scandinavia/Sápmi,
1082,Mordvinian,ethnic_tribal,indigenous_group,0.85,indigenous_lookup,Russia/Mordovia,
1082,Ukrainian,geographic,country,0.95,demonym_lookup,Ukraine,
1082A,Ukrainian,geographic,country,0.95,demonym_lookup,Ukraine,
1083,Argentine,geographic,country,0.95,demonym_lookup,Argentina,
1083,Kazakh,ethnic_tribal,indigenous_group,0.85,indigenous_lookup,Kazakhstan,
1083,Swiss,geographic,country,0.95,demonym_lookup,Switzerland,
1083,Ukrainian,geographic,country,0.95,demonym_lookup,Ukraine,
1083A,Ukrainian,geographic,country,0.95,demonym_lookup,Ukraine,
1084,Catalan,geographic,country,0.95,demonym_lookup,Spain/Catalonia,
1084,Chuvash,ethnic_tribal,indigenous_group,0.85,indigenous_lookup,Russia/Chuvashia,
1084,Karelian,ethnic_tribal,indigenous_group,0.85,indigenous_lookup,Finland/Karelia,
1084,Lappish,ethnic_tribal,indigenous_group,0.85,indigenous_lookup,Scandinavia/Sápmi,
1084,Livonian,ethnic_tribal,indigenous_group,0.85,indigenous_lookup,Latvia/Estonia,
1084,Lydian,ethnic_tribal,indigenous_group,0.85,indigenous_lookup,Turkey/Ancient Anatolia,
1084,Ukrainian,geographic,country,0.95,demonym_lookup,Ukraine,
1085,Buryat,ethnic_tribal,indigenous_group,0.85,indigenous_lookup,Russia/Buryatia,
1085,Catalan,geographic,country,0.95,demonym_lookup,Spain/Catalonia,
1085,Flemish,geographic,country,0.95,demonym_lookup,Belgium/Flanders,
1085,Lappish,ethnic_tribal,indigenous_group,0.85,indigenous_lookup,Scandinavia/Sápmi,
1085,Livonian,ethnic_tribal,indigenous_group,0.85,indigenous_lookup,Latvia/Estonia,
1085,Mayan,ethnic_tribal,indigenous_group,0.85,indigenous_lookup,Mesoamerica,
1085,Mexican,geographic,country,0.95,demonym_lookup,Mexico,
1086,Argentine,geographic,country,0.95,demonym_lookup,Argentina,
1086,Irish,geographic,country,0.95,demonym_lookup,Ireland,
1086,Kazakh,ethnic_tribal,indigenous_group,0.85,indigenous_lookup,Kazakhstan,
1087,Lappish,ethnic_tribal,indigenous_group,0.85,indigenous_lookup,Scandinavia/Sápmi,
1088,Catalan,geographic,country,0.95,demonym_lookup,Spain/Catalonia,
1088,Flemish,geographic,country,0.95,demonym_lookup,Belgium/Flanders,
1088,Frisian,geographic,country,0.95,demonym_lookup,Netherlands/Frisia,
1088,Irish,geographic,country,0.95,demonym_lookup,Ireland,
1088,Lappish,ethnic_tribal,indigenous_group,0.85,indigenous_lookup,Scandinavia/Sápmi,
1088,Livonian,ethnic_tribal,indigenous_group,0.85,indigenous_lookup,Latvia/Estonia,
1088,Mayan,ethnic_tribal,indigenous_group,0.85,indigenous_lookup,Mesoamerica,
1088,Swiss,geographic,country,0.95,demonym_lookup,Switzerland,
1088,Ukrainian,geographic,country,0.95,demonym_lookup,Ukraine,
1089,Irish,geographic,country,0.95,demonym_lookup,Ireland,
1089,Livonian,ethnic_tribal,indigenous_group,0.85,indigenous_lookup,Latvia/Estonia,
1089,Ukrainian,geographic,country,0.95,demonym_lookup,Ukraine,
1090,Frisian,geographic,country,0.95,demonym_lookup,Netherlands/Frisia,
1090,Irish,geographic,country,0.95,demonym_lookup,Ireland,
1091,Argentine,geographic,country,0.95,demonym_lookup,Argentina,
1091,Catalan,geographic,country,0.95,demonym_lookup,Spain/Catalonia,
1091,Flemish,geographic,country,0.95,demonym_lookup,Belgium/Flanders,
1091,Frisian,geographic,country,0.95,demonym_lookup,Netherlands/Frisia,
1091,Irish,geographic,country,0.95,demonym_lookup,Ireland,
1091,Karelian,ethnic_tribal,indigenous_group,0.85,indigenous_lookup,Finland/Karelia,
1091,Lappish,ethnic_tribal,indigenous_group,0.85,indigenous_lookup,Scandinavia/Sápmi,
1091,Namibian,geographic,country,0.95,demonym_lookup,Namibia,
1091,Ukrainian,geographic,country,0.95,demonym_lookup,Ukraine,
1091A,Frisian,geographic,country,0.95,demonym_lookup,Netherlands/Frisia,
1093,Argentine,geographic,country,0.95,demonym_lookup,Argentina,
1093,Karelian,ethnic_tribal,indigenous_group,0.85,indigenous_lookup,Finland/Karelia,
1094,Yakut,ethnic_tribal,indigenous_group,0.85,indigenous_lookup,Russia/Sakha,
1095,Frisian,geographic,country,0.95,demonym_lookup,Netherlands/Frisia,
1095,Ukrainian,geographic,country,0.95,demonym_lookup,Ukraine,
1096,Frisian,geographic,country,0.95,demonym_lookup,Netherlands/Frisia,
1096,Mexican,geographic,country,0.95,demonym_lookup,Mexico,
1098*,Ukrainian,geographic,country,0.95,demonym_lookup,Ukraine,
1099,Lappish,ethnic_tribal,indigenous_group,0.85,indigenous_lookup,Scandinavia/Sápmi,
110,Catalan,geographic,country,0.95,demonym_lookup,Spain/Catalonia,
110,Flemish,geographic,country,0.95,demonym_lookup,Belgium/Flanders,
110,Frisian,geographic,country,0.95,demonym_lookup,Netherlands/Frisia,
110,Irish,geographic,country,0.95,demonym_lookup,Ireland,
110,Livonian,ethnic_tribal,indigenous_group,0.85,indigenous_lookup,Latvia/Estonia,
110,Ossetian,ethnic_tribal,indigenous_group,0.85,indigenous_lookup,Caucasus/Ossetia,
110,Ukrainian,geographic,country,0.95,demonym_lookup,Ukraine,
111,Frisian,geographic,country,0.95,demonym_lookup,Netherlands/Frisia,
111,Irish,geographic,country,0.95,demonym_lookup,Ireland,
1115,Buryat,ethnic_tribal,indigenous_group,0.85,indigenous_lookup,Russia/Buryatia,
1115,Catalan,geographic,country,0.95,demonym_lookup,Spain/Catalonia,
1115,Flemish,geographic,country,0.95,demonym_lookup,Belgium/Flanders,
1115,Frisian,geographic,country,0.95,demonym_lookup,Netherlands/Frisia,
1115,Irish,geographic,country,0.95,demonym_lookup,Ireland,
1115,Karelian,ethnic_tribal,indigenous_group,0.85,indigenous_lookup,Finland/Karelia,
1115,Lappish,ethnic_tribal,indigenous_group,0.85,indigenous_lookup,Scandinavia/Sápmi,
1115,Lydian,ethnic_tribal,indigenous_group,0.85,indigenous_lookup,Turkey/Ancient Anatolia,
1115,Ossetian,ethnic_tribal,indigenous_group,0.85,indigenous_lookup,Caucasus/Ossetia,
1115,Yakut,ethnic_tribal,indigenous_group,0.85,indigenous_lookup,Russia/Sakha,
1116,Karelian,ethnic_tribal,indigenous_group,0.85,indigenous_lookup,Finland/Karelia,
