type_id	label	text
1029	The Woman as Cuckoo in the Tree	The Woman as Cuckoo in the Tree. The anger bargain between a master (ogre) and his farmhand is to end when the cuckoo calls. (Cf. Type 1000.) In order to hasten the contract's end, the master's wife climbs into a tree and imitates the cuckoo. The farmhand recognizes the trick and shoots (throws a stone) at the “bird”. The woman is killed . 
103	War between Wild Animals and Domestic Animals (previously The Wild Animals Hide from the Unfamiliar Animal)	War between Wild Animals and Domestic Animals (previously The Wild Animals Hide from the Unfamiliar Animal). (Including the previous Type 104.) A dog and a wolf are in conflict and look for allies. A cat and a rooster join the dog, and a fox and a boar join the wolf. The wild animals flee when the domestic animals arrive: The cat shrieks or raises her tail, and they believe it is a gun. The bear falls out of the tree and breaks his back . Cf. Type 222. 
1030	The Crop Division	The Crop Division. The devil (ogre, bear) and a farmer (God, saint, Gypsy, fox) want to divide the crop. In the first year, the devil claims what grows above the ground. The farmer plants turnips (potatoes), and the devil only gets the greens. In the following year they want to divide the other way. The farmer sows wheat (other kinds of grain, cabbage) and the devil, who gets what is growing beneath the ground, again comes away empty-handed . Cf. Types 9, 1633. 
1030*	Choice of Cows (previously Bargain: Choice of Cows which Go to Old or New Stable)	Choice of Cows (previously Bargain: Choice of Cows which Go to Old or New Stable). A clever and a foolish brother, who want to divide their livestock, build a new cow-shed: The foolish brother will get all animals which go into the new cow-shed, and the clever brother all those which go into the old one. Only one ox (usually old, blind, lame) goes into the new cow-shed. 
1031	Granary Roof Used as Threshing Flail	Granary Roof Used as Threshing Flail. A giant and his farmhand have a threshing contest. The giant's iron threshing flails are too heavy for the farmhand to lift. So the farmhand pretends to use the barn roof (rafter) as threshing flail. The giant gives up . Cf. Types 650A, 1049. 
1035	Clearing out Manure	Clearing out Manure. An ogre (devil) asks his farmhand to clear out the manure. The farmhand digs a hole for the manure  or piles it high . In some variants, the farmhand puts a cork in the ox's backside to keep the stable clean, or he kills the animal for soiling itself.
1036	Hogs with Curly Tails	Hogs with Curly Tails. The devil (giant, dragon) and a man (Gypsy) have a contest to see who is able to throw more hogs out of a stable (over a roof, fence). The man throws only one hog, the devil all the others. When they are about to divide the animals, the man pretends he can recognize the hogs he has thrown out by a sign: He had turned around their tails. Thus the man gets all hogs with curly tails, the devil only a sick one with a straight tail . 
1037	The Ogre Shears a Pig	The Ogre Shears a Pig. An ogre and a boy, who breed sheep and pigs, are going to divide what the animals produce. Of the sheep, the ogre gets the lambs to fatten, the boy gets the wool and the milk. Of the pigs, the boy gets the young ones, and the ogre is allowed to shear the pigs and take their milk . Cf. Type 1030. In a shorter version, an ogre (numskull, devil) tries to shear a pig and comments on this experience, “Much screaming, no wool.” 
103A	The Cat as She-Fox's Husband	The Cat as She-Fox's Husband. An old tom-cat is chased away by his master and marries a she-fox. When the other animals want to visit them, the she-fox tells them her husband is a dangerous beast and they should make offerings to him. They must lay these down in front of the fox-earth and then hide themselves. The tom-cat frightens the other animals so that they flee . Cf. Type 103. 
103A*	The Cat Claims to Be King and Receives Food from Other Animals	The Cat Claims to Be King and Receives Food from Other Animals. A cat is chased away by his master. He tells a fox that he is the king of the animals. The fox invites him to sleep and warns the other animals to be quiet. The other animals cook a meal and invite the cat to eat with them. When the crow tries to trap him, the cat gets up and the other animals flee in fright. 
103B*	The Cat Goes Hunting	The Cat Goes Hunting. A huntsman leaves a dead stag. A tom-cat licks its blood. The other animals, thinking he has killed the stag, bring him food. 
103C*	An Old Donkey Meets the Bear (previously Old Ass Turned out by Master Meets Bear or Lion)	An Old Donkey Meets the Bear (previously Old Ass Turned out by Master Meets Bear or Lion). An old donkey is chased away by his master and meets a bear (lion, tiger). They have various contests. The donkey frightens his opponent with dung called cannonballs, or by braying. Later, the bear describes or shows the “strange” animal to the fox or wolf. Cf. Types 118, 125B*, 1060, and 1074. 
104		
1045	Pulling the Lake Together	Pulling the Lake Together. (Including the previous Types 1046 and 1053A.) This tale exists chiefly in three different forms: (1) A man (workman, shepherd boy) threatens the devil (ogre) by pretending that he will pull together a lake (pull away a forest or mountains) with a rope (chain). The devil is intimidated (because he lives in the lake. He tries to kill the man, or gives him gold or other gifts to stop him) . Cf. Type 1650. (2) A man threatens an ogre (devil) by pretending to pull away a warehouse with a rope. The ogre is intimidated by the man's seeming power. (They tie a rope around the warehouse; the ogre pulls and is crushed beneath the house.) (Previously Type 1046.) (3) A man (farmhand) makes a long rope so he can lead home the whole herd of cattle. (Previously Type 1053A.) 
1046		
1048	Buying Wood	Buying Wood. A poor man (often the youngest of three brothers) becomes a farmhand of the devil (master, a red-haired man, God). The farmhand is ordered to get neither straight nor crooked wood, or semi-straight and semi-crooked wood, in equal parts (buy a forest). The farmhand cuts down the wood and thus does his master harm. The master discharges him immediately (gives him another order) . 
1049	The Heavy Axe	The Heavy Axe. A master (ogre, devil, bear) asks his farmhand (boy, old man, tailor) to fetch firewood and water, but the axe and the buckets are so heavy that the farmhand cannot lift them. The farmhand demands an axe heavy enough to cut down the whole forest and a bucket large enough to bring in the whole well. The master is frightened and does the work himself . Cf. Type 1031. 
105	The Cat's Only Trick	The Cat's Only Trick. The cat in danger saves herself by climbing a tree. A fox, who has boasted that he knows a thousand tricks, is captured by dogs . 
105*	The Hedgehog's Only Trick	The Hedgehog's Only Trick. (Including the previous Type 105B*.) A fox, who has boasted that he knows a thousand tricks, persuades a hedgehog to steal grapes with him. When the fox is caught in a trap the hedgehog advises him to play dead, so that the huntsman will throw him away and he can escape . When the hedgehog is caught in a trap, the fox refuses to help him. The hedgehog outwits him and escapes. In some variants a hawk (crane) and a fox live together. When huntsmen approach, the hawk plays dead. Thus the fox is also saved from the hunters. (Previously Type 105B*.) Cf. Types 33, 239. 
1050	Felling Trees	Felling Trees. (Including the previous Types 1065A* and 1065B*.) An ogre (giant, devil, dragon, bear) and a man (boy, old man, Gypsy, tailor) each try to fell a large tree in order to see who is faster and stronger. The man exchanges the ogre's axe with a dull one. In some variants, the man secretly saws into his tree in advance, uses an axe while the ogre uses his fists, or tricks the ogre into doing all the work . (Previously Types 1065A* and 1065B*.) Cf. Type 650A. 
1051	Bending a Tree	Bending a Tree. An ogre (giant, devil, dragon, bear) and a man (Gypsy, tailor) have a contest to see who is the stronger. The man is not able to bend a tree and to keep the tree-top down. He tricks the ogre into performing this task. When the tree-top springs up, the man is shot into the sky. He pretends to have made a high jump to fetch (catch) something. (The ogre is unable to imitate the jump, falls to his death, or gives up.) . 
1052	Carrying a Tree (previously Deceptive Contest in Carrying a Tree)	Carrying a Tree (previously Deceptive Contest in Carrying a Tree). An ogre (giant, devil, bear) and his helper (man, fox) are going to carry home the tree they have felled. The helper says that he is stronger (does not know the way) and will carry the top, while the ogre carries the bottom-end. The ogre goes first and carries the bottom-end. But instead of carrying the branches, the helper sits on them, and the ogre has to carry the whole burden alone . Cf. Type 1640. 
1053	Shooting Wild Boars	Shooting Wild Boars. An ogre (giant) asks his farmhand to shoot a wild boar or two. The farmhand asks, “Why not a thousand at one shot?” The ogre is frightened by the presumed power of his farmhand . 
1053A		
1059*	Riding on a Harrow (previously The Peasant Makes the Devil Sit on the Reversed Harrow)	Riding on a Harrow (previously The Peasant Makes the Devil Sit on the Reversed Harrow). A farmer (boy) makes the devil ride on a reversed harrow (roller, sit on the thorny end of a tree) . 
105B*		
106	Animals' Conversation	Animals' Conversation. (Including the previous Type 2075.) This miscellaneous type consists of various tales with imitations of animal sounds. Cf. Types 204, 211B*, 236*. 
106*	The Wolf and the Hog	The Wolf and the Hog. At night a sow goes out beyond the gate. A wolf eats her even though she promises to bear many piglets for him. Cf. Type 122D. 
1060	Squeezing the (Supposed) Stone	Squeezing the (Supposed) Stone. An ogre (giant, devil) and a (poor) man (tailor, Gypsy) have a contest to see which of them can squeeze water out of a stone. The ogre squeezes a stone; the man a cheese (egg, turnip) and thus intimidates the ogre . (In some variants, the actors are animals.) Cf. Type 1640. 
1060A	Squeezing the Hand	Squeezing the Hand. An ogre (giant) and a man (tailor, sailor) compete to determine whose handshake is stronger. The man wears an iron glove and wins . In some variants, the man holds out a (glowing) iron rod (fork, etc.). 
1061	Biting a Stone to Pieces	Biting a Stone to Pieces. An ogre (devil) and a man (boy, tailor, soldier) compete to see who can bite (bruise) a stone to pieces. The man takes a nut (pea) and bites it easily. The ogre, who is not able to bite the stone to pieces, is impressed by the man's strong teeth . In some variants, a tailor must stay for a night in the stable with a bear. The tailor makes the bear curious by cracking nuts and then gives him stones, which the bear cannot crack. Cf. Type 1640. 
1062	Throwing a Stone	Throwing a Stone. An ogre (giant, devil, dragon) and a man (boy, tailor, Gypsy) compete to determine who can throw a stone higher: The one whose stone falls first to the ground will lose. The ogre throws a stone. The man throws a bird (sparrow, lark, bat), which never comes back . Cf. Type 1640. 
1063	Throwing a Club (previously Throwing Contest with Golden Club)	Throwing a Club (previously Throwing Contest with Golden Club). An ogre (giant, devil) and a man (boy) compete in throwing a (golden, heavy) club (hammer, axe) higher. The ogre throws the club up high. The man hesitates, pretending to wait for a cloud to throw the club into (takes care not to hit a star, wants to throw the club up to a relative in heaven). The ogre gives up . Cf. Type 1640. In some variants, the man shows the ogre the club in a cloud, or he pretends that he had already thrown the club and it will not come back. 
1063A	Throwing Contest	Throwing Contest. (Including the previous Type 1063B.) An ogre (giant) and a man have a throwing contest. This tale exists chiefly in two different forms: (1) The man pretends to throw a stone (rock) so far that it will destroy a village (house) beyond the sea (mountains), or he warns Angel Gabriel (St. Peter) to look out . (2) The man pretends that he will throw a stone to a distant point (Constantinople) where it will strike one of the ogre's relatives. (Previously Type 1063B). 
1063B		
1064	Making Fire by Stamping on the Ground	Making Fire by Stamping on the Ground. An ogre (giant) and a (timid, old) man have a contest: They want to make fire (get water) by stamping on the ground. The man wins the contest because he prepared hot ashes beforehand (buried a tube filled with water in the earth), and thus he intimidates the ogre. 
1065A*		
1065B*		
1066		
107	Struggle between Dogs and Wolves (previously Dog Leader Fears Defeat Because his Forces are of Different Breeds)	Struggle between Dogs and Wolves (previously Dog Leader Fears Defeat Because his Forces are of Different Breeds). The leader of the dogs fears the wolves because they are all of one kind while the dogs are of different breeds and of different colors. In some variants the grey dogs join the wolves but after the fight the wolves kill them . 
1070	Wrestling Contest	Wrestling Contest. An ogre (giant, magician, dragon, demon, bear) and a man (Gypsy, famous wrestler) have a wrestling contest. The ogre squeezes the man so hard that his eyes bulge out. When the ogre asks him why he is staring, the man answers that he is looking for where to throw him. The ogre gives up (flees, promises money, swears eternal friendship) . 
1071	Wrestling Contest (with Old Grandfather)	Wrestling Contest (with Old Grandfather). An ogre (giant, devil) challenges a man (boy, farmer) to a wrestling contest. The man sends his “grandfather” (“brother”, “uncle”) – a bear – instead. The ogre loses . 
1072	Running Contest (previously Race with Little Son)	Running Contest (previously Race with Little Son). An ogre (giant) challenges a man to a race. The man persuades the ogre to run against his little son – a rabbit – instead of himself. The rabbit wins . Cf. Types 275, 275A, and 1074. 
1073	Climbing Contest	Climbing Contest. An ogre (giant) challenges a man to a climbing contest. The man persuades the ogre to compete with the man's child – a squirrel – instead of himself. The squirrel wins . 
1074	Race Won by Deception: Relatives as Helpers	Race Won by Deception: Relatives as Helpers. An ogre (giant, devil) challenges a man (a man challenges an animal) to a race. The man places his relatives (others that resemble him) along the course (at the finish). The ogre thinks that the man is just ahead of him (has won) . Cf. Type 1072. 
1080*	Laughing Contest	Laughing Contest. An ogre (giant) and a man have a laughing contest. The man puts a dead horse with a grinning mouth in his place. The ogre tries to laugh as long as the horse, and laughs till he dies . 
1082	Carrying the Horse	Carrying the Horse. An ogre (giant, devil) and a man (Gypsy, shoemaker) take turns in carrying a horse. The ogre carries it on his back and is soon exhausted. The man takes the horse between his legs, i.e. rides, and thus “carries” it without effort . Cf. Type 1640. 
1082A	Singing Contest (previously The Soldier Who Rode on Death)	Singing Contest (previously The Soldier Who Rode on Death). The devil (monk) and a man (soldier) come to an agreement: While one of them sings a song, the other must carry him on his back. The devil's song is short. The man, however, sings an endless song (continuously sings the same song). The devil gives up (bursts). 
1083	Duel with Long Pole and Cudgel	Duel with Long Pole and Cudgel. The devil (ogre, giant) and a (poor) man (smith, teacher, Gypsy, God, old woman) duel in a little room (stable, fold, forest). The man gives the devil a long pole and chooses a short cudgel (hammer) for himself. The devil cannot do anything with his pole, so the man beats him up . (After this, they continue the duel outside, but exchange weapons. So the man beats the devil up again.) 
1083A	Duel with Bayonet and Pitchfork	Duel with Bayonet and Pitchfork. The devil and a man want to fight. The devil has a bayonet (sword, pike), and the man has a pitchfork. The man threatens that he will inflict five wounds on the devil with each thrust, while the devil himself can give him only one wound. Therefore the devil wants to exchange weapons. The man stands behind a fence so that the devil cannot hit him. 
1084	Screaming or Whistling Contest (previously Contest in Shrieking or Whistling)	Screaming or Whistling Contest (previously Contest in Shrieking or Whistling). An ogre (giant, devil) and a man (boy) have a screaming (whistling) contest. The man binds up his head to prevent it from breaking in two when he screams. The ogre is frightened and begs the man to bind up his head, too. The man does so and then strikes him on his head. The ogre acknowledges the man to be the stronger . In some variants, the man blindfolds the ogre and strikes him with a hammer on his head (forehead). 
1085	Making a Hole in a Tree	Making a Hole in a Tree. An ogre (giant) and a man have a contest to see who can make a deeper hole in a tree with his head (fist). The man wins because he already had prepared the tree beforehand: He had cut a hole with his axe and replaced the bark . Cf. Types 1086, 1640. In some variants, the actors are animals. 
1086	Jumping into the Ground	Jumping into the Ground. An ogre (giant, devil) and a man (boy, Gypsy) have a contest to see who can jump deeper into the ground (can get the earth's bowels out). The man wins because he has dug a pit beforehand and covered it with boughs or a mat (buried fish guts in the ground) . Cf. Type 1085. 
1087	Rowing Contest	Rowing Contest. An ogre orders a man to row him to go fishing. The man tells him that he will break the oars. The ogre then rows himself. In some variants, the rowing contest is won by deception: The boat has already been sawn through . 
1088	Eating/Drinking Contest	Eating/Drinking Contest. (Including the previous Type 1088*.) This tale exists chiefly in two different forms: (1) An ogre (giant) and a man (boy) have an eating contest. The man slips his food (drink) into a concealed bag (behind his shirt) and makes the ogre believe he is the bigger eater. In many versions the hero cuts open the bag to eat even more; the ogre imitates and kills himself . (2) The devil (giant) and a man have a drinking contest. The man drinks water, the devil is given alcohol (vinegar, vitriol). The devil feels sick and acknowledges the man as the better drinker . (Previously Type 1088*). 
1088*		
1089	Threshing Contest	Threshing Contest. The devil (ogre, giant) and a (poor) man have a threshing contest. The man has a wooden flail, the devil one of iron. The old and weak man accomplishes less than the devil. When they finally divide the result, the devil chooses the big heap of chaff, while the man gets the smaller heap of grain . Cf. Type 1030. 
1090	Mowing Contest	Mowing Contest. The devil (ogre, giant) and a man (smith, farmer, boy) have a mowing contest. (The man takes the center of the field.) The devil is given a dull sickle (and he mows around the outside of the field, tiring himself out) . In some variants, during the night the man secretly prepares the part of the meadow the devil has to mow the next day: He sticks harrow-tines (teeth) among the grass. Thus the devil's scythe becomes chipped, and the man wins the contest. 
1091	Bringing an Unknown Animal (previously Who Can Bring an Unheard-of Riding-Horse)	Bringing an Unknown Animal (previously Who Can Bring an Unheard-of Riding-Horse). (Including the previous Types 1092 and 1183*.) This tale exists chiefly in two different forms: (1) The devil (dragon, death, bear) and a man make a deal (contest) to see who can present (after a certain space of time) a horse unlike any other. (The devil puts a mask on a sheep, but the man recognizes it.) The man brings his wife, naked but covered with tar and feathers (hair combed over her face), on hands and knees with her buttocks as the head. The devil has never seen such a horse and is defeated . Cf. Type 812. (2) Like (1) with the difference, that the man is to present an unknown game animal. He brings his wife covered with tar and feathers and pretends to shoot her . (Previously Types 1092, 1183*). 
1091A	Guessing the Name of the Devil's Secret Plant	Guessing the Name of the Devil's Secret Plant. The devil plants tobacco and asks a man who is unfamiliar with this plant to guess its name. (The devil threatens to kill him if he does not succeed.) The man's wife, covered with tar and feathers, approaches the plant (ruins part of the field), so that the devil orders the supposed animal to get away from his tobacco. Thus the name of the plant is discovered . 
1092		
1093	Talking Contest (previously Contest in Words)	Talking Contest (previously Contest in Words). The devil (ogre, giant) tries to outdo a girl (man, boy, shepherd, God) in a talking (counting) contest. He does not succeed (and bursts with rage). Cf. Type 875. 
1094	Cursing Contest	Cursing Contest. The devil (ogre, giant) and a (poor) man compete to see who can curse (insult, frighten) the other more. The devil frightens the man with hellish tortures or insults him until his clothes fall off his body. The man throws an iron flax-comb against the devil's back (sends arrows as curses against him) . 
1095	Scratching Contest	Scratching Contest. (Including the previous Type 1095A.) This tale exists chiefly in two different forms: (1) An ogre (giant, devil) and a man compete in a scratching contest. The man sends his wife to tell the ogre that her husband has gone to have his nails sharpened. She shows her vulva to the ogre pretending that it is a deep wound her husband has scratched into her body. The ogre flees . (2) An ogre (devil) and a man (boy) have a scratching contest. The man covers himself with several oxhides (wears iron gloves) . (Previously Type 1095A). 
1095A		
1096	Sewing Contest (previously The Tailor and the Ogre in a Sewing Contest)	Sewing Contest (previously The Tailor and the Ogre in a Sewing Contest). The devil (ogre, giant) and a tailor (shoemaker, Gypsy, woman) have a sewing contest. The devil sews with a very long thread: Making his first stitch, he has to run around the house (jump out of the window). When he returns, the tailor has already finished his task and wins the contest . 
1097		
1097*		
1098*	Exhaling	Exhaling. (Sometimes part of a contest: Who can exhale more strongly?) An ogre (dragon) exhales (sighs, sneezes) so intensely that a man is lifted up in the air. The man pretends that he jumped for joy (to catch a bird, look for his father's club).
1099	The Giant as Master Builder	The Giant as Master Builder. Miscellaneous type; the following version is the most common: A giant who is a master builder builds a cathedral in a certain city . As his payment, he demands something impossible or horrible (sun and moon, the eyes of the person who commissioned the building), unless someone can discover his name. This happens, and the giant loses not only his payment but also his life (he is stoned to death ). In some variants the giant (giants) destroys the building when someone calls his name and/or turns into a raven and flies away. Cf. Types 810A*, 1191. 
110	Belling the Cat	Belling the Cat. The mice want the cat to wear a bell, but they cannot find anyone to tie it on her . Cf. Types 40A*, 1208*. 
111	The Cat and the Mouse Converse	The Cat and the Mouse Converse. To escape from being eaten, a mouse tells a cat a tale or has a long dialog with her. Finally the cat announces that she will eat the mouse anyway . 
1115	Attempted Murder with a Hatchet	Attempted Murder with a Hatchet. In a contest, an ogre (giant, devil, bear) has been defeated by a (young, foolish, strong) man and wants to kill him while he is sleeping. The man learns about this plan und puts an object (e.g. butter cask) under his bedspread. The ogre strikes it with a weapon (often axe). In the morning, the man tells the ogre that he was troubled by vermin . 
1116	Attempted Burning	Attempted Burning. This tale exists chiefly in three different forms: (1) An ogre (giant, devil) has been defeated by a man in a contest and wants to burn him while he is sleeping. The man learns about this plan and hides in another place. When the ogre returns to the scene of fire, the man is found sitting in the ashes saying that it was a little hot . Cf. Type 1115. (2) The devil wants to burn his helper. He locks him up in the hot bathhouse, but the man knows how to escape (runs away, digs a hole under the floor). (3) The devil and a young man make a contest to see who can stand more heat. When both of them are getting hot, the man pretends that he is cold and asks for a pillow. The devil gives up. 
1117	The Ogre's Pitfall	The Ogre's Pitfall. An ogre (ogress, giant, demon) arranges a trap for a man (tells a man to climb a tree which the ogre has cut). The man tricks the ogre so that he falls into the trap himself (is killed by the falling tree) . In some variants, an ogre (animal) is tricked into a basket and then rolled down a mountain, or a demon is told to put a millstone around his neck to help him cross the sea. He drowns. 
1119	The Ogre Kills His Mother (Wife) (previously The Ogre Kills his Own Children)	The Ogre Kills His Mother (Wife) (previously The Ogre Kills his Own Children). An ogre (devil) intends to kill a (young) man who is staying in his house overnight. During the night the man exchanges his place with the ogre's mother (wife, daughter). The ogre mistakenly kills his mother instead of the man . Cf. Type 327B. 
111A	The Wolf Unjustly Accuses the Lamb and Eats him	The Wolf Unjustly Accuses the Lamb and Eats him. A lamb is accused of muddying water even though it is drinking downstream from the wolf (tiger, hyena) . 
111A*	A Drunkard's Promise	A Drunkard's Promise. A drunken mouse challenges a cat to fight. The cat is about to kill him when the mouse reminds the cat that, when the cat was drunk, he had promised the mouse never to kill him. “That was a drunkard's promise,” says the cat, and kills the mouse. Cf. Type 132. 
112	Country Mouse Visits Town Mouse	Country Mouse Visits Town Mouse. A town mouse is given hospitality by a country mouse but is shocked by his poor food. The town mouse persuades the country mouse to visit her and leads her into the pantry. They are interrupted by a cat or the owner of the house. The country mouse is frightened and prefers her own poverty . Cf. Type 201. 
112*	The Mice Carry the Egg	The Mice Carry the Egg. A mouse (rat) lies on her back and holds an egg between her legs. A second mouse pulls her into the cave by her tail. 
112**	The Mice and the Rooster	The Mice and the Rooster. The mother mouse warns her children about the cat and tells them that the rooster whom they fear is harmless . 
1120	The Ogre's Wife Thrown into the Water	The Ogre's Wife Thrown into the Water. While they spend the night near a river, an ogre (devil) and his wife want to drown their helper. During the night, the man changes places with the ogre's wife, so that the ogre mistakenly throws his own wife into the water. In some variants, the ogre is tricked into throwing his wife into a well . 
