type_id,ref_term,category,subcategory,confidence
10***,Norwegian,linguistic,language,0.9
10***,Rumanian,unknown,unclassified,0.1
10***,Serbian,geographic,country,0.9
10***,Spanish,linguistic,language,0.9
10***,Tuva,unknown,unclassified,0.1
100,Algerian,geographic,country,0.9
100,Argentine,unknown,unclassified,0.1
100,Byelorussian,geographic,country,0.9
100,Cheremis/Mari,unknown,unclassified,0.1
100,Croatian,geographic,country,0.9
100,Czech,geographic,country,0.9
100,Estonian,geographic,country,0.9
100,Finnish,linguistic,language,0.9
100,French,linguistic,language,0.9
100,German,linguistic,language,0.9
100,Greek,linguistic,language,0.9
100,Hungarian,linguistic,language,0.9
100,Indian,geographic,country,0.9
100,Irish,unknown,unclassified,0.1
100,Latvian,geographic,country,0.9
100,Lithuanian,geographic,country,0.9
100,Mexican,unknown,unclassified,0.1
100,Moroccan,unknown,unclassified,0.1
100,Oman,unknown,unclassified,0.1
100,Ossetian,unknown,unclassified,0.1
100,Russian,geographic,country,0.9
100,Serbian,geographic,country,0.9
100,Slovakian,geographic,country,0.9
100,Spanish,linguistic,language,0.9
100,Tatar,unknown,unclassified,0.1
100,Tibetan,geographic,country,0.9
100,Turkmen,unknown,unclassified,0.1
100,Ukrainian,unknown,unclassified,0.1
1000,Algerian,geographic,country,0.9
1000,Argentine,unknown,unclassified,0.1
1000,Austrian,geographic,country,0.9
1000,Basque,ethnic_tribal,group,0.7
1000,Brazilian,geographic,country,0.9
1000,Bulgarian,geographic,country,0.9
1000,Burmese,linguistic,language,0.9
1000,Byelorussian,geographic,country,0.9
1000,Cape Verdian,unknown,unclassified,0.1
1000,Catalan,unknown,unclassified,0.1
1000,Chilean,geographic,country,0.9
1000,Chinese,linguistic,language,0.9
1000,Chuvash,unknown,unclassified,0.1
1000,Czech,geographic,country,0.9
1000,Danish,linguistic,language,0.9
1000,Dominican,unknown,unclassified,0.1
1000,Dutch,linguistic,language,0.9
1000,Egyptian,geographic,country,0.9
1000,English,linguistic,language,0.9
1000,Estonian,geographic,country,0.9
1000,Finnish,linguistic,language,0.9
1000,Flemish,unknown,unclassified,0.1
1000,Frisian,unknown,unclassified,0.1
1000,German,linguistic,language,0.9
1000,Greek,linguistic,language,0.9
1000,Gypsy,ethnic_tribal,group,0.7
1000,Hungarian,linguistic,language,0.9
1000,Icelandic,geographic,country,0.9
1000,Indian,geographic,country,0.9
1000,Indonesian,geographic,country,0.9
1000,Iranian,geographic,country,0.9
1000,Iraqi,geographic,country,0.9
1000,Irish,unknown,unclassified,0.1
1000,Italian,linguistic,language,0.9
1000,Jewish,religious,religion,0.9
1000,Kalmyk,unknown,unclassified,0.1
1000,Karelian,unknown,unclassified,0.1
1000,Lappish,unknown,unclassified,0.1
1000,Latvian,geographic,country,0.9
1000,Lebanese,unknown,unclassified,0.1
1000,Libyan,unknown,unclassified,0.1
1000,Lithuanian,geographic,country,0.9
1000,Livonian,unknown,unclassified,0.1
1000,Mongolian,geographic,country,0.9
1000,Mordvinian,unknown,unclassified,0.1
1000,North American Indian,geographic,country,0.9
1000,Oman,unknown,unclassified,0.1
1000,Pakistani,geographic,country,0.9
1000,Persian Gulf,linguistic,language,0.9
1000,Polish,linguistic,language,0.9
1000,Portuguese,linguistic,language,0.9
1000,Puerto Rican,unknown,unclassified,0.1
1000,Qatar,unknown,unclassified,0.1
1000,Rumanian,unknown,unclassified,0.1
1000,Russian,geographic,country,0.9
1000,Saudi Arabian,unknown,unclassified,0.1
1000,Scottish,unknown,unclassified,0.1
1000,Siberian,geographic,region,0.8
1000,Slovakian,geographic,country,0.9
1000,Slovene,unknown,unclassified,0.1
1000,Sorbian,unknown,unclassified,0.1
1000,Spanish,linguistic,language,0.9
1000,Sri Lankan,unknown,unclassified,0.1
1000,Sudanese,geographic,country,0.9
1000,Swedish,linguistic,language,0.9
1000,Syrian,geographic,country,0.9
1000,Tadzhik,unknown,unclassified,0.1
1000,Tatar,unknown,unclassified,0.1
1000,Turkish,linguistic,language,0.9
1000,Ukrainian,unknown,unclassified,0.1
1000,Walloon,unknown,unclassified,0.1
1000,Wepsian,unknown,unclassified,0.1
1000,West Indies,unknown,unclassified,0.1
1001,Finnish,linguistic,language,0.9
1001,Swedish,linguistic,language,0.9
1001,Ukrainian,unknown,unclassified,0.1
1002,Catalan,unknown,unclassified,0.1
1002,Chinese,linguistic,language,0.9
1002,Chuvash,unknown,unclassified,0.1
1002,Croatian,geographic,country,0.9
1002,Czech,geographic,country,0.9
1002,Danish,linguistic,language,0.9
1002,Dutch,linguistic,language,0.9
1002,English,linguistic,language,0.9
1002,Finnish,linguistic,language,0.9
1002,Flemish,unknown,unclassified,0.1
1002,French,linguistic,language,0.9
1002,Frisian,unknown,unclassified,0.1
1002,German,linguistic,language,0.9
1002,Greek,linguistic,language,0.9
1002,Gypsy,ethnic_tribal,group,0.7
1002,Hungarian,linguistic,language,0.9
1002,Irish,unknown,unclassified,0.1
1002,Italian,linguistic,language,0.9
1002,Lappish,unknown,unclassified,0.1
1002,Latvian,geographic,country,0.9
1002,Lithuanian,geographic,country,0.9
1002,Norwegian,linguistic,language,0.9
1002,Polish,linguistic,language,0.9
1002,Russian,geographic,country,0.9
1002,Slovakian,geographic,country,0.9
1002,Spanish,linguistic,language,0.9
1002,Sri Lankan,unknown,unclassified,0.1
1002,Swedish,linguistic,language,0.9
1002,Syrian,geographic,country,0.9
1002,Tadzhik,unknown,unclassified,0.1
1003,Argentine,unknown,unclassified,0.1
1003,Bulgarian,geographic,country,0.9
1003,Byelorussian,geographic,country,0.9
1003,Catalan,unknown,unclassified,0.1
1003,Cheremis/Mari,unknown,unclassified,0.1
1003,Chilean,geographic,country,0.9
1003,Chuvash,unknown,unclassified,0.1
1003,Czech,geographic,country,0.9
1003,Danish,linguistic,language,0.9
1003,Estonian,geographic,country,0.9
1003,Finnish,linguistic,language,0.9
1003,German,linguistic,language,0.9
1003,Gypsy,ethnic_tribal,group,0.7
1003,Hungarian,linguistic,language,0.9
1003,Icelandic,geographic,country,0.9
1003,Indian,geographic,country,0.9
1003,Irish,unknown,unclassified,0.1
1003,Jewish,religious,religion,0.9
1003,Latvian,geographic,country,0.9
1003,Lithuanian,geographic,country,0.9
1003,Mordvinian,unknown,unclassified,0.1
1003,Norwegian,linguistic,language,0.9
1003,Pakistani,geographic,country,0.9
1003,Panamanian,unknown,unclassified,0.1
1003,Polish,linguistic,language,0.9
1003,Portuguese,linguistic,language,0.9
1003,Puerto Rican,unknown,unclassified,0.1
1003,Rumanian,unknown,unclassified,0.1
1003,Russian,geographic,country,0.9
1003,Siberian,geographic,region,0.8
1003,Slovakian,geographic,country,0.9
1003,Spanish,linguistic,language,0.9
1003,Swedish,linguistic,language,0.9
1003,Ukrainian,unknown,unclassified,0.1
1004,African American,geographic,region,0.8
1004,Algerian,geographic,country,0.9
1004,Argentine,unknown,unclassified,0.1
1004,Austrian,geographic,country,0.9
1004,Basque,ethnic_tribal,group,0.7
1004,Brazilian,geographic,country,0.9
1004,Bulgarian,geographic,country,0.9
1004,Burmese,linguistic,language,0.9
1004,Cape Verdian,unknown,unclassified,0.1
1004,Chinese,linguistic,language,0.9
1004,Czech,geographic,country,0.9
1004,Danish,linguistic,language,0.9
1004,Dutch,linguistic,language,0.9
1004,East African,geographic,region,0.8
1004,Estonian,geographic,country,0.9
1004,Finnish,linguistic,language,0.9
1004,Flemish,unknown,unclassified,0.1
1004,French,linguistic,language,0.9
1004,Frisian,unknown,unclassified,0.1
1004,German,linguistic,language,0.9
1004,Greek,linguistic,language,0.9
1004,Guatemalan,geographic,country,0.9
1004,Icelandic,geographic,country,0.9
1004,Indian,geographic,country,0.9
1004,Indonesian,geographic,country,0.9
1004,Irish,unknown,unclassified,0.1
1004,Italian,linguistic,language,0.9
1004,Lappish,unknown,unclassified,0.1
1004,Latvian,geographic,country,0.9
1004,Lithuanian,geographic,country,0.9
1004,Mayan,unknown,unclassified,0.1
1004,Mexican,unknown,unclassified,0.1
1004,North American Indian,geographic,country,0.9
1004,Norwegian,linguistic,language,0.9
1004,Portuguese,linguistic,language,0.9
1004,Puerto Rican,unknown,unclassified,0.1
1004,Rumanian,unknown,unclassified,0.1
1004,Russian,geographic,country,0.9
1004,Siberian,geographic,region,0.8
1004,Slovakian,geographic,country,0.9
1004,Slovene,unknown,unclassified,0.1
1004,Sorbian,unknown,unclassified,0.1
1004,Spanish,linguistic,language,0.9
1004,Sudanese,geographic,country,0.9
1004,Swedish,linguistic,language,0.9
1004,Turkish,linguistic,language,0.9
1004,Ukrainian,unknown,unclassified,0.1
1004,West Indies,unknown,unclassified,0.1
1005,Catalan,unknown,unclassified,0.1
1005,Croatian,geographic,country,0.9
1005,Czech,geographic,country,0.9
1005,Danish,linguistic,language,0.9
1005,Finnish,linguistic,language,0.9
1005,French,linguistic,language,0.9
1005,German,linguistic,language,0.9
1005,Gypsy,ethnic_tribal,group,0.7
1005,Hungarian,linguistic,language,0.9
1005,Icelandic,geographic,country,0.9
1005,Irish,unknown,unclassified,0.1
1005,Jewish,religious,religion,0.9
1005,Lappish,unknown,unclassified,0.1
1005,Norwegian,linguistic,language,0.9
1005,Rumanian,unknown,unclassified,0.1
1005,Scottish,unknown,unclassified,0.1
1005,Slovakian,geographic,country,0.9
1005,Spanish,linguistic,language,0.9
1005,Swedish,linguistic,language,0.9
1006,Danish,linguistic,language,0.9
1006,English,linguistic,language,0.9
1006,Estonian,geographic,country,0.9
1006,Faeroese,unknown,unclassified,0.1
1006,Finnish,linguistic,language,0.9
1006,Frisian,unknown,unclassified,0.1
1006,German,linguistic,language,0.9
1006,Greek,linguistic,language,0.9
1006,Guatemalan,geographic,country,0.9
1006,Gypsy,ethnic_tribal,group,0.7
1006,Icelandic,geographic,country,0.9
1006,Indian,geographic,country,0.9
1006,Irish,unknown,unclassified,0.1
1006,Italian,linguistic,language,0.9
1006,Jewish,religious,religion,0.9
1006,Latvian,geographic,country,0.9
1006,Livonian,unknown,unclassified,0.1
1006,Mexican,unknown,unclassified,0.1
1006,Norwegian,linguistic,language,0.9
1006,Scottish,unknown,unclassified,0.1
1006,Siberian,geographic,region,0.8
1006,Slovakian,geographic,country,0.9
1006,Spanish,linguistic,language,0.9
1006,Swedish,linguistic,language,0.9
1006,Ukrainian,unknown,unclassified,0.1
1006*,Armenian,geographic,country,0.9
1006*,Austrian,geographic,country,0.9
1006*,Bulgarian,geographic,country,0.9
1006*,Byelorussian,geographic,country,0.9
1006*,German,linguistic,language,0.9
1006*,Gypsy,ethnic_tribal,group,0.7
1006*,Hungarian,linguistic,language,0.9
1006*,Latvian,geographic,country,0.9
1006*,Lithuanian,geographic,country,0.9
1006*,Mordvinian,unknown,unclassified,0.1
1006*,Russian,geographic,country,0.9
1006*,Siberian,geographic,region,0.8
1006*,Sorbian,unknown,unclassified,0.1
1006*,Tatar,unknown,unclassified,0.1
1006*,Ukrainian,unknown,unclassified,0.1
1007,Argentine,unknown,unclassified,0.1
1007,Bulgarian,geographic,country,0.9
1007,Byelorussian,geographic,country,0.9
1007,Czech,geographic,country,0.9
1007,Dutch,linguistic,language,0.9
1007,Estonian,geographic,country,0.9
1007,Finnish,linguistic,language,0.9
1007,Frisian,unknown,unclassified,0.1
1007,Georgian,geographic,country,0.9
1007,German,linguistic,language,0.9
1007,Greek,linguistic,language,0.9
1007,Gypsy,ethnic_tribal,group,0.7
1007,Indian,geographic,country,0.9
1007,Iranian,geographic,country,0.9
1007,Iraqi,geographic,country,0.9
1007,Irish,unknown,unclassified,0.1
1007,Italian,linguistic,language,0.9
1007,Jewish,religious,religion,0.9
1007,Kalmyk,unknown,unclassified,0.1
1007,Latvian,geographic,country,0.9
1007,Lithuanian,geographic,country,0.9
1007,Livonian,unknown,unclassified,0.1
1007,Maltese,unknown,unclassified,0.1
1007,Mexican,unknown,unclassified,0.1
1007,Mongolian,geographic,country,0.9
1007,Portuguese,linguistic,language,0.9
1007,Puerto Rican,unknown,unclassified,0.1
1007,Rumanian,unknown,unclassified,0.1
1007,Russian,geographic,country,0.9
1007,Spanish,linguistic,language,0.9
1007,Swedish,linguistic,language,0.9
1007,Tadzhik,unknown,unclassified,0.1
1007,Turkish,linguistic,language,0.9
1007,Ukrainian,unknown,unclassified,0.1
1007,US-American,geographic,region,0.8
1007,Wepsian,unknown,unclassified,0.1
1008,Bulgarian,geographic,country,0.9
1008,Croatian,geographic,country,0.9
1008,Czech,geographic,country,0.9
1008,Danish,linguistic,language,0.9
1008,Estonian,geographic,country,0.9
1008,Finnish,linguistic,language,0.9
1008,Frisian,unknown,unclassified,0.1
1008,Georgian,geographic,country,0.9
1008,German,linguistic,language,0.9
1008,Gypsy,ethnic_tribal,group,0.7
1008,Hungarian,linguistic,language,0.9
1008,Indian,geographic,country,0.9
1008,Japanese,geographic,country,0.9
1008,Latvian,geographic,country,0.9
1008,Slovakian,geographic,country,0.9
1008,Slovene,unknown,unclassified,0.1
1008,Spanish,linguistic,language,0.9
1008,Swedish,linguistic,language,0.9
1009,African American,geographic,region,0.8
1009,Algerian,geographic,country,0.9
1009,Argentine,unknown,unclassified,0.1
1009,Bulgarian,geographic,country,0.9
1009,Byelorussian,geographic,country,0.9
1009,Cuban,unknown,unclassified,0.1
1009,Czech,geographic,country,0.9
1009,Danish,linguistic,language,0.9
1009,Dutch,linguistic,language,0.9
1009,Egyptian,geographic,country,0.9
1009,Estonian,geographic,country,0.9
1009,Faeroese,unknown,unclassified,0.1
1009,Finnish,linguistic,language,0.9
1009,Frisian,unknown,unclassified,0.1
1009,Georgian,geographic,country,0.9
1009,German,linguistic,language,0.9
1009,Greek,linguistic,language,0.9
1009,Indian,geographic,country,0.9
1009,Iranian,geographic,country,0.9
1009,Iraqi,geographic,country,0.9
1009,Italian,linguistic,language,0.9
1009,Jewish,religious,religion,0.9
1009,Karelian,unknown,unclassified,0.1
1009,Latvian,geographic,country,0.9
1009,Lithuanian,geographic,country,0.9
1009,Livonian,unknown,unclassified,0.1
1009,Maltese,unknown,unclassified,0.1
1009,Mexican,unknown,unclassified,0.1
1009,Rumanian,unknown,unclassified,0.1
1009,Russian,geographic,country,0.9
1009,Slovene,unknown,unclassified,0.1
1009,Spanish,linguistic,language,0.9
1009,Swedish,linguistic,language,0.9
1009,Tunisian,unknown,unclassified,0.1
1009,Turkish,linguistic,language,0.9
1009,Wepsian,unknown,unclassified,0.1
1009,Yakut,unknown,unclassified,0.1
101,Bulgarian,geographic,country,0.9
101,Byelorussian,geographic,country,0.9
101,Catalan,unknown,unclassified,0.1
101,Czech,geographic,country,0.9
101,Dutch,linguistic,language,0.9
101,Estonian,geographic,country,0.9
101,Ethiopian,geographic,country,0.9
101,Finnish,linguistic,language,0.9
101,Flemish,unknown,unclassified,0.1
101,French,linguistic,language,0.9
101,Frisian,unknown,unclassified,0.1
101,German,linguistic,language,0.9
101,Greek,linguistic,language,0.9
101,Irish,unknown,unclassified,0.1
101,Japanese,geographic,country,0.9
101,Karelian,unknown,unclassified,0.1
101,Latvian,geographic,country,0.9
101,Lithuanian,geographic,country,0.9
101,Macedonian,unknown,unclassified,0.1
101,Mexican,unknown,unclassified,0.1
101,Polish,linguistic,language,0.9
101,Russian,geographic,country,0.9
101,Slovakian,geographic,country,0.9
101,Slovene,unknown,unclassified,0.1
101,Sorbian,unknown,unclassified,0.1
101,Spanish,linguistic,language,0.9
101,Swedish,linguistic,language,0.9
101,Tatar,unknown,unclassified,0.1
101,Ukrainian,unknown,unclassified,0.1
1010,Byelorussian,geographic,country,0.9
1010,Czech,geographic,country,0.9
1010,Danish,linguistic,language,0.9
1010,Estonian,geographic,country,0.9
1010,Finnish,linguistic,language,0.9
1010,Flemish,unknown,unclassified,0.1
1010,French,linguistic,language,0.9
1010,Frisian,unknown,unclassified,0.1
1010,German,linguistic,language,0.9
1010,Greek,linguistic,language,0.9
1010,Gypsy,ethnic_tribal,group,0.7
1010,Hungarian,linguistic,language,0.9
1010,Irish,unknown,unclassified,0.1
1010,Italian,linguistic,language,0.9
1010,Lappish,unknown,unclassified,0.1
1010,Latvian,geographic,country,0.9
1010,Polish,linguistic,language,0.9
1010,Scottish,unknown,unclassified,0.1
1010,Siberian,geographic,region,0.8
1010,Slovakian,geographic,country,0.9
1010,Spanish,linguistic,language,0.9
1010,Swedish,linguistic,language,0.9
1010,Udmurt,unknown,unclassified,0.1
1010,Ukrainian,unknown,unclassified,0.1
1010,Uzbek,unknown,unclassified,0.1
1011,Argentine,unknown,unclassified,0.1
1011,Basque,ethnic_tribal,group,0.7
1011,Brazilian,geographic,country,0.9
1011,Bulgarian,geographic,country,0.9
1011,Catalan,unknown,unclassified,0.1
1011,Chilean,geographic,country,0.9
1011,French,linguistic,language,0.9
1011,Greek,linguistic,language,0.9
1011,Indian,geographic,country,0.9
1011,Jewish,religious,religion,0.9
1011,Latvian,geographic,country,0.9
1011,Panamanian,unknown,unclassified,0.1
1011,Portuguese,linguistic,language,0.9
1011,Puerto Rican,unknown,unclassified,0.1
1011,Serbian,geographic,country,0.9
1011,Spanish,linguistic,language,0.9
1011,Turkish,linguistic,language,0.9
1011,US-American,geographic,region,0.8
1012,Bulgarian,geographic,country,0.9
1012,Byelorussian,geographic,country,0.9
1012,Czech,geographic,country,0.9
1012,Danish,linguistic,language,0.9
1012,Estonian,geographic,country,0.9
1012,Faeroese,unknown,unclassified,0.1
1012,Finnish,linguistic,language,0.9
1012,German,linguistic,language,0.9
1012,Greek,linguistic,language,0.9
1012,Gypsy,ethnic_tribal,group,0.7
1012,Hungarian,linguistic,language,0.9
1012,Indian,geographic,country,0.9
1012,Italian,linguistic,language,0.9
1012,Jewish,religious,religion,0.9
1012,Kalmyk,unknown,unclassified,0.1
1012,Lappish,unknown,unclassified,0.1
1012,Latvian,geographic,country,0.9
1012,Lithuanian,geographic,country,0.9
1012,Livonian,unknown,unclassified,0.1
1012,Lydian,unknown,unclassified,0.1
1012,Norwegian,linguistic,language,0.9
1012,Rumanian,unknown,unclassified,0.1
1012,Russian,geographic,country,0.9
1012,Slovakian,geographic,country,0.9
1012,Swedish,linguistic,language,0.9
1012,Turkish,linguistic,language,0.9
1012,Ukrainian,unknown,unclassified,0.1
1012A,Byelorussian,geographic,country,0.9
1012A,Latvian,geographic,country,0.9
1012A,Lithuanian,geographic,country,0.9
1012A,Russian,geographic,country,0.9
1012A,Ukrainian,unknown,unclassified,0.1
1012A,Wepsian,unknown,unclassified,0.1
1013,Chinese,linguistic,language,0.9
1013,Dominican,unknown,unclassified,0.1
1013,Egyptian,geographic,country,0.9
1013,German,linguistic,language,0.9
1013,Greek,linguistic,language,0.9
1013,Gypsy,ethnic_tribal,group,0.7
1013,Indian,geographic,country,0.9
1013,Iranian,geographic,country,0.9
1013,Irish,unknown,unclassified,0.1
1013,Italian,linguistic,language,0.9
1013,Jewish,religious,religion,0.9
1013,Latvian,geographic,country,0.9
1013,Lithuanian,geographic,country,0.9
1013,Maltese,unknown,unclassified,0.1
1013,Mayan,unknown,unclassified,0.1
1013,Norwegian,linguistic,language,0.9
1013,Palestinian,unknown,unclassified,0.1
1013,Puerto Rican,unknown,unclassified,0.1
1013,Russian,geographic,country,0.9
1013,Spanish,linguistic,language,0.9
1013,Sudanese,geographic,country,0.9
1013,Swedish,linguistic,language,0.9
1013,Turkish,linguistic,language,0.9
1013,Ukrainian,unknown,unclassified,0.1
1013,West Indies,unknown,unclassified,0.1
1015,Estonian,geographic,country,0.9
1015,Finnish,linguistic,language,0.9
1015,Hungarian,linguistic,language,0.9
1015,Irish,unknown,unclassified,0.1
1015,Latvian,geographic,country,0.9
1016,Algerian,geographic,country,0.9
1016,Estonian,geographic,country,0.9
1016,German,linguistic,language,0.9
1016,Gypsy,ethnic_tribal,group,0.7
1016,Iranian,geographic,country,0.9
1016,Irish,unknown,unclassified,0.1
1016,Italian,linguistic,language,0.9
1016,Jewish,religious,religion,0.9
1016,Latvian,geographic,country,0.9
1016,Lithuanian,geographic,country,0.9
1016,Livonian,unknown,unclassified,0.1
1016,Moroccan,unknown,unclassified,0.1
1016,Russian,geographic,country,0.9
1016,Scottish,unknown,unclassified,0.1
1016,Turkish,linguistic,language,0.9
1017,Byelorussian,geographic,country,0.9
1017,Danish,linguistic,language,0.9
1017,Dutch,linguistic,language,0.9
1017,Finnish,linguistic,language,0.9
1017,Frisian,unknown,unclassified,0.1
1017,German,linguistic,language,0.9
1017,Hungarian,linguistic,language,0.9
1017,Latvian,geographic,country,0.9
1017,Lithuanian,geographic,country,0.9
1017,Livonian,unknown,unclassified,0.1
1017,Rumanian,unknown,unclassified,0.1
1017,Swedish,linguistic,language,0.9
1017,Ukrainian,unknown,unclassified,0.1
102,Algerian,geographic,country,0.9
102,Aramaic,unknown,unclassified,0.1
102,Cape Verdian,unknown,unclassified,0.1
102,Chad,unknown,unclassified,0.1
102,Czech,geographic,country,0.9
102,Egyptian,geographic,country,0.9
102,Estonian,geographic,country,0.9
102,Finnish,linguistic,language,0.9
102,German,linguistic,language,0.9
102,Gypsy,ethnic_tribal,group,0.7
102,Hungarian,linguistic,language,0.9
102,Iranian,geographic,country,0.9
102,Iraqi,geographic,country,0.9
102,Jewish,religious,religion,0.9
102,Jordanian,geographic,country,0.9
102,Kara-Kalpak,unknown,unclassified,0.1
102,Lappish,unknown,unclassified,0.1
102,Latvian,geographic,country,0.9
102,Lithuanian,geographic,country,0.9
102,Moroccan,unknown,unclassified,0.1
102,North African,geographic,region,0.8
102,Palestinian,unknown,unclassified,0.1
102,Polish,linguistic,language,0.9
102,Portuguese,linguistic,language,0.9
102,Qatar,unknown,unclassified,0.1
102,Russian,geographic,country,0.9
102,Slovakian,geographic,country,0.9
102,South African,geographic,region,0.8
102,Spanish,linguistic,language,0.9
102,Swedish,linguistic,language,0.9
102,Syrian,geographic,country,0.9
102,Tadzhik,unknown,unclassified,0.1
102,Ukrainian,unknown,unclassified,0.1
1029,Austrian,geographic,country,0.9
1029,Basque,ethnic_tribal,group,0.7
1029,Bulgarian,geographic,country,0.9
1029,Byelorussian,geographic,country,0.9
1029,Cape Verdian,unknown,unclassified,0.1
1029,Catalan,unknown,unclassified,0.1
1029,Czech,geographic,country,0.9
1029,Danish,linguistic,language,0.9
1029,Estonian,geographic,country,0.9
1029,Finnish,linguistic,language,0.9
1029,French,linguistic,language,0.9
1029,Frisian,unknown,unclassified,0.1
1029,Georgian,geographic,country,0.9
1029,German,linguistic,language,0.9
1029,Greek,linguistic,language,0.9
1029,Gypsy,ethnic_tribal,group,0.7
1029,Iranian,geographic,country,0.9
1029,Irish,unknown,unclassified,0.1
1029,Italian,linguistic,language,0.9
1029,Lappish,unknown,unclassified,0.1
1029,Latvian,geographic,country,0.9
1029,Lithuanian,geographic,country,0.9
1029,Mongolian,geographic,country,0.9
1029,Portuguese,linguistic,language,0.9
1029,Puerto Rican,unknown,unclassified,0.1
1029,Rumanian,unknown,unclassified,0.1
1029,Russian,geographic,country,0.9
1029,Slovakian,geographic,country,0.9
1029,Spanish,linguistic,language,0.9
1029,Swedish,linguistic,language,0.9
1029,Tatar,unknown,unclassified,0.1
1029,Ukrainian,unknown,unclassified,0.1
103,Bulgarian,geographic,country,0.9
103,Byelorussian,geographic,country,0.9
103,Croatian,geographic,country,0.9
103,Estonian,geographic,country,0.9
103,Finnish,linguistic,language,0.9
103,Flemish,unknown,unclassified,0.1
103,French,linguistic,language,0.9
103,Frisian,unknown,unclassified,0.1
103,Georgian,geographic,country,0.9
103,German,linguistic,language,0.9
103,Greek,linguistic,language,0.9
103,Gypsy,ethnic_tribal,group,0.7
103,Hungarian,linguistic,language,0.9
103,Indian,geographic,country,0.9
103,Italian,linguistic,language,0.9
103,Japanese,geographic,country,0.9
103,Lappish,unknown,unclassified,0.1
103,Latvian,geographic,country,0.9
103,Lithuanian,geographic,country,0.9
103,Livonian,unknown,unclassified,0.1
103,Malaysian,geographic,country,0.9
103,Polish,linguistic,language,0.9
103,Rumanian,unknown,unclassified,0.1
103,Russian,geographic,country,0.9
103,Serbian,geographic,country,0.9
103,Slovakian,geographic,country,0.9
103,Slovene,unknown,unclassified,0.1
103,Sorbian,unknown,unclassified,0.1
103,Spanish,linguistic,language,0.9
103,Swedish,linguistic,language,0.9
103,Tadzhik,unknown,unclassified,0.1
103,Turkish,linguistic,language,0.9
103,Ukrainian,unknown,unclassified,0.1
1030,African American,geographic,region,0.8
1030,Algerian,geographic,country,0.9
1030,Austrian,geographic,country,0.9
1030,Bulgarian,geographic,country,0.9
1030,Byelorussian,geographic,country,0.9
1030,Catalan,unknown,unclassified,0.1
1030,Chilean,geographic,country,0.9
1030,Chinese,linguistic,language,0.9
1030,Chuvash,unknown,unclassified,0.1
1030,Czech,geographic,country,0.9
1030,Danish,linguistic,language,0.9
