type_id,ref_term,category,subcategory,confidence,resolution_method,geographic_region,manual_hints,coordinates,claude_analysis
1030,Moroccan,geographic,country,0.95,claude_geographic_knowledge,Morocco,Likely demonym/nationality,"(31.8, -7.1)",Country demonym for Morocco
1030,Rumanian,geographic,country,0.95,claude_geographic_knowledge,Romania,Likely demonym/nationality,"(45.9, 24.9)",Country demonym for Romania
1030,Sri Lankan,geographic,country,0.95,claude_geographic_knowledge,Sri Lanka,Likely demonym/nationality,"(7.9, 80.8)",Country demonym for Sri Lanka
1030,Tatar,ethnic_tribal,turkic_people,0.88,claude_ethnographic_knowledge,Tatarstan/Russia & Central Asia,No obvious patterns,"(55.8, 49.1)",Ethnic/tribal group from Tatarstan/Russia & Central Asia
1030,Tunisian,geographic,country,0.95,claude_geographic_knowledge,Tunisia,Likely demonym/nationality,"(33.9, 9.6)",Country demonym for Tunisia
1030,Votyak,linguistic,uralic_language,0.9,claude_linguistic_knowledge,Udmurt Republic/Russia,No obvious patterns,"(57.0, 53.0)",Language/linguistic group from Udmurt Republic/Russia
1030,Wepsian,linguistic,uralic_language,0.9,claude_linguistic_knowledge,Karelia/Russia-Finland,Likely demonym/nationality,"(61.8, 34.3)",Language/linguistic group from Karelia/Russia-Finland
1030,Wotian,linguistic,uralic_language,0.9,claude_linguistic_knowledge,Estonia/Ingria,Likely demonym/nationality,"(59.4, 24.8)",Language/linguistic group from Estonia/Ingria
1031,Votyak,linguistic,uralic_language,0.9,claude_linguistic_knowledge,Udmurt Republic/Russia,No obvious patterns,"(57.0, 53.0)",Language/linguistic group from Udmurt Republic/Russia
1031,Wotian,linguistic,uralic_language,0.9,claude_linguistic_knowledge,Estonia/Ingria,Likely demonym/nationality,"(59.4, 24.8)",Language/linguistic group from Estonia/Ingria
1036,Rumanian,geographic,country,0.95,claude_geographic_knowledge,Romania,Likely demonym/nationality,"(45.9, 24.9)",Country demonym for Romania
1036,Slovene,geographic,country,0.95,claude_geographic_knowledge,Slovenia,No obvious patterns,"(46.1, 14.9)",Country demonym for Slovenia
1037,Sorbian,linguistic,slavic_minority,0.9,claude_linguistic_knowledge,Lusatia/Germany-Poland,Likely demonym/nationality,"(51.5, 14.3)",Language/linguistic group from Lusatia/Germany-Poland
103A,Rumanian,geographic,country,0.95,claude_geographic_knowledge,Romania,Likely demonym/nationality,"(45.9, 24.9)",Country demonym for Romania
103A,Slovene,geographic,country,0.95,claude_geographic_knowledge,Slovenia,No obvious patterns,"(46.1, 14.9)",Country demonym for Slovenia
103A,Syrjanian,linguistic,uralic_language,0.9,claude_linguistic_knowledge,Komi Republic/Russia,Likely demonym/nationality,"(64.0, 54.0)",Language/linguistic group from Komi Republic/Russia
103A,Tatar,ethnic_tribal,turkic_people,0.88,claude_ethnographic_knowledge,Tatarstan/Russia & Central Asia,No obvious patterns,"(55.8, 49.1)",Ethnic/tribal group from Tatarstan/Russia & Central Asia
103A,Votyak,linguistic,uralic_language,0.9,claude_linguistic_knowledge,Udmurt Republic/Russia,No obvious patterns,"(57.0, 53.0)",Language/linguistic group from Udmurt Republic/Russia
103A,Wepsian,linguistic,uralic_language,0.9,claude_linguistic_knowledge,Karelia/Russia-Finland,Likely demonym/nationality,"(61.8, 34.3)",Language/linguistic group from Karelia/Russia-Finland
1045,Rumanian,geographic,country,0.95,claude_geographic_knowledge,Romania,Likely demonym/nationality,"(45.9, 24.9)",Country demonym for Romania
1045,Syrjanian,linguistic,uralic_language,0.9,claude_linguistic_knowledge,Komi Republic/Russia,Likely demonym/nationality,"(64.0, 54.0)",Language/linguistic group from Komi Republic/Russia
1045,Tatar,ethnic_tribal,turkic_people,0.88,claude_ethnographic_knowledge,Tatarstan/Russia & Central Asia,No obvious patterns,"(55.8, 49.1)",Ethnic/tribal group from Tatarstan/Russia & Central Asia
1045,Votyak,linguistic,uralic_language,0.9,claude_linguistic_knowledge,Udmurt Republic/Russia,No obvious patterns,"(57.0, 53.0)",Language/linguistic group from Udmurt Republic/Russia
1045,Wepsian,linguistic,uralic_language,0.9,claude_linguistic_knowledge,Karelia/Russia-Finland,Likely demonym/nationality,"(61.8, 34.3)",Language/linguistic group from Karelia/Russia-Finland
1045,Wotian,linguistic,uralic_language,0.9,claude_linguistic_knowledge,Estonia/Ingria,Likely demonym/nationality,"(59.4, 24.8)",Language/linguistic group from Estonia/Ingria
1049,Dominican,geographic,country,0.95,claude_geographic_knowledge,Dominican Republic,Likely demonym/nationality,"(18.7, -70.2)",Country demonym for Dominican Republic
1049,Sorbian,linguistic,slavic_minority,0.9,claude_linguistic_knowledge,Lusatia/Germany-Poland,Likely demonym/nationality,"(51.5, 14.3)",Language/linguistic group from Lusatia/Germany-Poland
1049,Tatar,ethnic_tribal,turkic_people,0.88,claude_ethnographic_knowledge,Tatarstan/Russia & Central Asia,No obvious patterns,"(55.8, 49.1)",Ethnic/tribal group from Tatarstan/Russia & Central Asia
1049,Votyak,linguistic,uralic_language,0.9,claude_linguistic_knowledge,Udmurt Republic/Russia,No obvious patterns,"(57.0, 53.0)",Language/linguistic group from Udmurt Republic/Russia
1049,Wepsian,linguistic,uralic_language,0.9,claude_linguistic_knowledge,Karelia/Russia-Finland,Likely demonym/nationality,"(61.8, 34.3)",Language/linguistic group from Karelia/Russia-Finland
1049,Wotian,linguistic,uralic_language,0.9,claude_linguistic_knowledge,Estonia/Ingria,Likely demonym/nationality,"(59.4, 24.8)",Language/linguistic group from Estonia/Ingria
105,Dominican,geographic,country,0.95,claude_geographic_knowledge,Dominican Republic,Likely demonym/nationality,"(18.7, -70.2)",Country demonym for Dominican Republic
105,Moroccan,geographic,country,0.95,claude_geographic_knowledge,Morocco,Likely demonym/nationality,"(31.8, -7.1)",Country demonym for Morocco
105,Slovene,geographic,country,0.95,claude_geographic_knowledge,Slovenia,No obvious patterns,"(46.1, 14.9)",Country demonym for Slovenia
105*,Moroccan,geographic,country,0.95,claude_geographic_knowledge,Morocco,Likely demonym/nationality,"(31.8, -7.1)",Country demonym for Morocco
105*,Rumanian,geographic,country,0.95,claude_geographic_knowledge,Romania,Likely demonym/nationality,"(45.9, 24.9)",Country demonym for Romania
1051,Rumanian,geographic,country,0.95,claude_geographic_knowledge,Romania,Likely demonym/nationality,"(45.9, 24.9)",Country demonym for Romania
1051,Slovene,geographic,country,0.95,claude_geographic_knowledge,Slovenia,No obvious patterns,"(46.1, 14.9)",Country demonym for Slovenia
1051,Sorbian,linguistic,slavic_minority,0.9,claude_linguistic_knowledge,Lusatia/Germany-Poland,Likely demonym/nationality,"(51.5, 14.3)",Language/linguistic group from Lusatia/Germany-Poland
1051,Votyak,linguistic,uralic_language,0.9,claude_linguistic_knowledge,Udmurt Republic/Russia,No obvious patterns,"(57.0, 53.0)",Language/linguistic group from Udmurt Republic/Russia
1052,Moroccan,geographic,country,0.95,claude_geographic_knowledge,Morocco,Likely demonym/nationality,"(31.8, -7.1)",Country demonym for Morocco
1052,Sorbian,linguistic,slavic_minority,0.9,claude_linguistic_knowledge,Lusatia/Germany-Poland,Likely demonym/nationality,"(51.5, 14.3)",Language/linguistic group from Lusatia/Germany-Poland
1052,Syrjanian,linguistic,uralic_language,0.9,claude_linguistic_knowledge,Komi Republic/Russia,Likely demonym/nationality,"(64.0, 54.0)",Language/linguistic group from Komi Republic/Russia
1052,Tatar,ethnic_tribal,turkic_people,0.88,claude_ethnographic_knowledge,Tatarstan/Russia & Central Asia,No obvious patterns,"(55.8, 49.1)",Ethnic/tribal group from Tatarstan/Russia & Central Asia
1052,Votyak,linguistic,uralic_language,0.9,claude_linguistic_knowledge,Udmurt Republic/Russia,No obvious patterns,"(57.0, 53.0)",Language/linguistic group from Udmurt Republic/Russia
1052,Wepsian,linguistic,uralic_language,0.9,claude_linguistic_knowledge,Karelia/Russia-Finland,Likely demonym/nationality,"(61.8, 34.3)",Language/linguistic group from Karelia/Russia-Finland
1052,Wotian,linguistic,uralic_language,0.9,claude_linguistic_knowledge,Estonia/Ingria,Likely demonym/nationality,"(59.4, 24.8)",Language/linguistic group from Estonia/Ingria
1053,Tatar,ethnic_tribal,turkic_people,0.88,claude_ethnographic_knowledge,Tatarstan/Russia & Central Asia,No obvious patterns,"(55.8, 49.1)",Ethnic/tribal group from Tatarstan/Russia & Central Asia
1060,Cape Verdian,geographic,country,0.95,claude_geographic_knowledge,Cape Verde,Likely demonym/nationality,"(16.0, -24.0)",Country demonym for Cape Verde
1060,Dominican,geographic,country,0.95,claude_geographic_knowledge,Dominican Republic,Likely demonym/nationality,"(18.7, -70.2)",Country demonym for Dominican Republic
1060,Moroccan,geographic,country,0.95,claude_geographic_knowledge,Morocco,Likely demonym/nationality,"(31.8, -7.1)",Country demonym for Morocco
1060,Slovene,geographic,country,0.95,claude_geographic_knowledge,Slovenia,No obvious patterns,"(46.1, 14.9)",Country demonym for Slovenia
1060,Tatar,ethnic_tribal,turkic_people,0.88,claude_ethnographic_knowledge,Tatarstan/Russia & Central Asia,No obvious patterns,"(55.8, 49.1)",Ethnic/tribal group from Tatarstan/Russia & Central Asia
1060,Tuva,ethnic_tribal,turkic_people,0.88,claude_ethnographic_knowledge,Tuva/Russia,No obvious patterns,"(51.7, 94.4)",Ethnic/tribal group from Tuva/Russia
1060,Wepsian,linguistic,uralic_language,0.9,claude_linguistic_knowledge,Karelia/Russia-Finland,Likely demonym/nationality,"(61.8, 34.3)",Language/linguistic group from Karelia/Russia-Finland
1060,Wotian,linguistic,uralic_language,0.9,claude_linguistic_knowledge,Estonia/Ingria,Likely demonym/nationality,"(59.4, 24.8)",Language/linguistic group from Estonia/Ingria
1061,Sri Lankan,geographic,country,0.95,claude_geographic_knowledge,Sri Lanka,Likely demonym/nationality,"(7.9, 80.8)",Country demonym for Sri Lanka
1062,Cape Verdian,geographic,country,0.95,claude_geographic_knowledge,Cape Verde,Likely demonym/nationality,"(16.0, -24.0)",Country demonym for Cape Verde
1062,Moroccan,geographic,country,0.95,claude_geographic_knowledge,Morocco,Likely demonym/nationality,"(31.8, -7.1)",Country demonym for Morocco
1062,Rumanian,geographic,country,0.95,claude_geographic_knowledge,Romania,Likely demonym/nationality,"(45.9, 24.9)",Country demonym for Romania
1062,Slovene,geographic,country,0.95,claude_geographic_knowledge,Slovenia,No obvious patterns,"(46.1, 14.9)",Country demonym for Slovenia
1062,Sorbian,linguistic,slavic_minority,0.9,claude_linguistic_knowledge,Lusatia/Germany-Poland,Likely demonym/nationality,"(51.5, 14.3)",Language/linguistic group from Lusatia/Germany-Poland
1062,Tatar,ethnic_tribal,turkic_people,0.88,claude_ethnographic_knowledge,Tatarstan/Russia & Central Asia,No obvious patterns,"(55.8, 49.1)",Ethnic/tribal group from Tatarstan/Russia & Central Asia
1062,Tuva,ethnic_tribal,turkic_people,0.88,claude_ethnographic_knowledge,Tuva/Russia,No obvious patterns,"(51.7, 94.4)",Ethnic/tribal group from Tuva/Russia
1062,Wotian,linguistic,uralic_language,0.9,claude_linguistic_knowledge,Estonia/Ingria,Likely demonym/nationality,"(59.4, 24.8)",Language/linguistic group from Estonia/Ingria
1063,Dominican,geographic,country,0.95,claude_geographic_knowledge,Dominican Republic,Likely demonym/nationality,"(18.7, -70.2)",Country demonym for Dominican Republic
1063,Rumanian,geographic,country,0.95,claude_geographic_knowledge,Romania,Likely demonym/nationality,"(45.9, 24.9)",Country demonym for Romania
1063,Slovene,geographic,country,0.95,claude_geographic_knowledge,Slovenia,No obvious patterns,"(46.1, 14.9)",Country demonym for Slovenia
1063,Sorbian,linguistic,slavic_minority,0.9,claude_linguistic_knowledge,Lusatia/Germany-Poland,Likely demonym/nationality,"(51.5, 14.3)",Language/linguistic group from Lusatia/Germany-Poland
1063,Tatar,ethnic_tribal,turkic_people,0.88,claude_ethnographic_knowledge,Tatarstan/Russia & Central Asia,No obvious patterns,"(55.8, 49.1)",Ethnic/tribal group from Tatarstan/Russia & Central Asia
1063,Votyak,linguistic,uralic_language,0.9,claude_linguistic_knowledge,Udmurt Republic/Russia,No obvious patterns,"(57.0, 53.0)",Language/linguistic group from Udmurt Republic/Russia
1063,Wepsian,linguistic,uralic_language,0.9,claude_linguistic_knowledge,Karelia/Russia-Finland,Likely demonym/nationality,"(61.8, 34.3)",Language/linguistic group from Karelia/Russia-Finland
1063,Wotian,linguistic,uralic_language,0.9,claude_linguistic_knowledge,Estonia/Ingria,Likely demonym/nationality,"(59.4, 24.8)",Language/linguistic group from Estonia/Ingria
1064,Uzbek,ethnic_tribal,turkic_people,0.88,claude_ethnographic_knowledge,Uzbekistan & Central Asia,No obvious patterns,"(41.4, 64.6)",Ethnic/tribal group from Uzbekistan & Central Asia
1070,Moroccan,geographic,country,0.95,claude_geographic_knowledge,Morocco,Likely demonym/nationality,"(31.8, -7.1)",Country demonym for Morocco
1070,Rumanian,geographic,country,0.95,claude_geographic_knowledge,Romania,Likely demonym/nationality,"(45.9, 24.9)",Country demonym for Romania
1071,Kalmyk,ethnic_tribal,mongolic_people,0.88,claude_ethnographic_knowledge,Kalmykia/Russia,No obvious patterns,"(46.3, 44.3)",Ethnic/tribal group from Kalmykia/Russia
1071,Slovene,geographic,country,0.95,claude_geographic_knowledge,Slovenia,No obvious patterns,"(46.1, 14.9)",Country demonym for Slovenia
1071,Tatar,ethnic_tribal,turkic_people,0.88,claude_ethnographic_knowledge,Tatarstan/Russia & Central Asia,No obvious patterns,"(55.8, 49.1)",Ethnic/tribal group from Tatarstan/Russia & Central Asia
1071,Votyak,linguistic,uralic_language,0.9,claude_linguistic_knowledge,Udmurt Republic/Russia,No obvious patterns,"(57.0, 53.0)",Language/linguistic group from Udmurt Republic/Russia
1071,Wepsian,linguistic,uralic_language,0.9,claude_linguistic_knowledge,Karelia/Russia-Finland,Likely demonym/nationality,"(61.8, 34.3)",Language/linguistic group from Karelia/Russia-Finland
1071,Wotian,linguistic,uralic_language,0.9,claude_linguistic_knowledge,Estonia/Ingria,Likely demonym/nationality,"(59.4, 24.8)",Language/linguistic group from Estonia/Ingria
1072,Kalmyk,ethnic_tribal,mongolic_people,0.88,claude_ethnographic_knowledge,Kalmykia/Russia,No obvious patterns,"(46.3, 44.3)",Ethnic/tribal group from Kalmykia/Russia
1072,Rumanian,geographic,country,0.95,claude_geographic_knowledge,Romania,Likely demonym/nationality,"(45.9, 24.9)",Country demonym for Romania
1072,Slovene,geographic,country,0.95,claude_geographic_knowledge,Slovenia,No obvious patterns,"(46.1, 14.9)",Country demonym for Slovenia
1072,Sorbian,linguistic,slavic_minority,0.9,claude_linguistic_knowledge,Lusatia/Germany-Poland,Likely demonym/nationality,"(51.5, 14.3)",Language/linguistic group from Lusatia/Germany-Poland
1072,Syrjanian,linguistic,uralic_language,0.9,claude_linguistic_knowledge,Komi Republic/Russia,Likely demonym/nationality,"(64.0, 54.0)",Language/linguistic group from Komi Republic/Russia
1072,Tatar,ethnic_tribal,turkic_people,0.88,claude_ethnographic_knowledge,Tatarstan/Russia & Central Asia,No obvious patterns,"(55.8, 49.1)",Ethnic/tribal group from Tatarstan/Russia & Central Asia
1072,Votyak,linguistic,uralic_language,0.9,claude_linguistic_knowledge,Udmurt Republic/Russia,No obvious patterns,"(57.0, 53.0)",Language/linguistic group from Udmurt Republic/Russia
1072,Wepsian,linguistic,uralic_language,0.9,claude_linguistic_knowledge,Karelia/Russia-Finland,Likely demonym/nationality,"(61.8, 34.3)",Language/linguistic group from Karelia/Russia-Finland
1072,Wotian,linguistic,uralic_language,0.9,claude_linguistic_knowledge,Estonia/Ingria,Likely demonym/nationality,"(59.4, 24.8)",Language/linguistic group from Estonia/Ingria
1074,Sri Lankan,geographic,country,0.95,claude_geographic_knowledge,Sri Lanka,Likely demonym/nationality,"(7.9, 80.8)",Country demonym for Sri Lanka
1074,Tunisian,geographic,country,0.95,claude_geographic_knowledge,Tunisia,Likely demonym/nationality,"(33.9, 9.6)",Country demonym for Tunisia
1080*,Rumanian,geographic,country,0.95,claude_geographic_knowledge,Romania,Likely demonym/nationality,"(45.9, 24.9)",Country demonym for Romania
1082,Kalmyk,ethnic_tribal,mongolic_people,0.88,claude_ethnographic_knowledge,Kalmykia/Russia,No obvious patterns,"(46.3, 44.3)",Ethnic/tribal group from Kalmykia/Russia
1082,Tatar,ethnic_tribal,turkic_people,0.88,claude_ethnographic_knowledge,Tatarstan/Russia & Central Asia,No obvious patterns,"(55.8, 49.1)",Ethnic/tribal group from Tatarstan/Russia & Central Asia
1082,Votyak,linguistic,uralic_language,0.9,claude_linguistic_knowledge,Udmurt Republic/Russia,No obvious patterns,"(57.0, 53.0)",Language/linguistic group from Udmurt Republic/Russia
1082,Wotian,linguistic,uralic_language,0.9,claude_linguistic_knowledge,Estonia/Ingria,Likely demonym/nationality,"(59.4, 24.8)",Language/linguistic group from Estonia/Ingria
1082A,Rumanian,geographic,country,0.95,claude_geographic_knowledge,Romania,Likely demonym/nationality,"(45.9, 24.9)",Country demonym for Romania
1082A,Uzbek,ethnic_tribal,turkic_people,0.88,claude_ethnographic_knowledge,Uzbekistan & Central Asia,No obvious patterns,"(41.4, 64.6)",Ethnic/tribal group from Uzbekistan & Central Asia
