ref_term,usage_count,category,subcategory,confidence,toponym,explanation,coordinates,notes
Rumanian,577,geographic,country,0.9,Romania,"Refers to people, culture, and folklore from Romania (historical spelling 'Rumania'). This is an older English spelling variant of 'Romanian', relating to the country of Romania and its cultural sphere.","[45.9432, 24.9668]",
Catalan,576,linguistic,language_and_culture,0.95,Catalonia,"Refers to the language, people, and culture of Catalonia, a region in northeastern Spain. Catalan is a Romance language spoken in Catalonia, Valencia, the Balearic Islands, and parts of southern France.","[41.8, 1.7]",
Czech,572,geographic,country,0.95,Czech Republic,"Refers to the people, culture, and language of the Czech Republic (historically part of Bohemia and later Czechoslovakia), a Central European nation with distinct cultural and linguistic traditions","[49.8175, 15.473]",
Egyptian,551,geographic,country,0.9,Egypt,"Refers to people, culture, and folklore from Egypt, particularly associated with ancient Egyptian civilization along the Nile River Valley but also modern Egypt. Major source of myths, legends and folklore involving pharaohs, gods like Ra and Osiris, and iconic cultural elements.","[26.8206, 30.8025]",
Germany,549,geographic,country,1.0,Germany,"Modern nation-state in central Europe, historically comprised of various Germanic kingdoms, duchies and states before unification in 1871. Major source of European folklore and fairy tales, particularly through collectors like the Brothers Grimm.","[51.1657, 10.4515]",
Byelorussian,538,geographic,country,0.95,Belarus,"Historical English spelling variant for 'Belarusian', referring to people, language and culture of Belarus (formerly known as Byelorussia/White Russia). This spelling was common during Soviet era but is now largely obsolete.","[53.9, 27.5]",
Chinese,522,geographic,country,0.9,China,"Refers to people, culture, and traditions associated with China, particularly Han Chinese culture and civilization. While this can refer to both ethnic and linguistic aspects, in folklore collections it most commonly refers to traditions from within China's geographic and cultural sphere.","[35.8617, 104.1954]",
English,514,geographic,country,0.95,England,"Refers to the people, culture, language and folklore of England, the largest country within Great Britain. Also commonly refers to the English language and Anglo-Saxon cultural heritage.","[52.3555, -1.1743]",
Gypsy,498,ethnic_tribal,nomadic_ethnic_group,0.9,Rajasthan,"Gypsy (now considered a pejorative term) refers to the Romani people, an ethnic group originating in northern India who migrated to Europe starting around 1000 CE. The preferred term is Roma or Romani. They have historically been a nomadic people maintaining distinct cultural traditions across many countries.","[26.5, 73.8]",
Finland,488,geographic,country,1.0,Finland,"Modern sovereign nation in Northern Europe, historically known for distinctive folklore traditions including the Kalevala epic. One of the Nordic countries bordering Sweden, Norway and Russia.","[61.92, 25.75]",
Slovakian,485,geographic,country,0.95,Slovakia,"Refers to people, culture, or things originating from Slovakia, a country in Central Europe. Historically part of Czechoslovakia until 1993, Slovakia has a distinct cultural and linguistic heritage within the West Slavic group.","[48.669, 19.699]",
Hawaii,482,geographic,state,1.0,Hawaii,"The 50th U.S. state, consisting of an archipelago of volcanic islands in the Pacific Ocean. Has rich Polynesian cultural heritage and folklore through its native Hawaiian population.","[21.3099, -157.8581]",
Norwegian,462,geographic,country,0.95,Norway,"Refers to people, culture, and language from Norway, a Nordic country in Northern Europe. Can refer to both the ethnic Norwegian people and citizens of Norway more broadly.","[61.472, 8.4689]",
Buddhist,453,religious,world_religion,1.0,Bodh Gaya,"Follower or practitioner of Buddhism, a major world religion founded by Siddhartha Gautama (the Buddha) in ancient India. While Buddhism spread widely across Asia, Bodh Gaya in India is considered the birthplace of Buddhism where Buddha achieved enlightenment.","[24.6959, 84.9911]",
Turkish,440,geographic,country,0.9,Turkey,"Relating to Turkey (formerly Ottoman Empire) and its people, culture, and language. Turkish refers to both citizens of Turkey and speakers of the Turkish language, which belongs to the Turkic language family.","[39.0, 35.2]",
Serbian,436,geographic,country,0.95,Serbia,"Relating to Serbia and its people, culture, and language. Serbia is a country in southeastern Europe that was historically part of Yugoslavia. The Serbian people are a South Slavic ethnic group.","[44.0165, 21.0059]",
Japan,435,geographic,country,1.0,Japan,"The island nation of Japan, officially the State of Japan (Nippon/Nihon), an East Asian country with a rich cultural heritage and folklore tradition spanning thousands of years","[36.2048, 138.2529]",
Eskimo (Greenland),429,ethnic_tribal,indigenous_group,0.9,Greenland,Term refers specifically to Inuit peoples of Greenland (now generally preferred over 'Eskimo'). The parenthetical qualifier makes clear this refers to Greenlandic Inuit rather than other Arctic indigenous peoples historically called 'Eskimo'.,"[71.7069, -42.6043]",
US-American,422,geographic,country,0.95,United States of America,"Refers to people, culture, or folklore from the United States of America. The hyphenated form 'US-American' is sometimes used to distinguish from broader American continental references.","[39.8, -98.6]",
Livonian,406,ethnic_tribal,indigenous_group,0.9,Livonia,"The Livonians are a Finno-Ugric indigenous people native to the historical coastal regions of Latvia and Estonia, particularly Courland. They had their own distinct language and culture. The historical region they inhabited was called Livonia.","[57.5, 24.3]",
Moroccan,399,geographic,country,0.99,Morocco,"Refers to people, culture, and traditions from the Kingdom of Morocco in North Africa. Morocco has a rich folklore tradition blending Berber, Arab, and African influences.","[31.7917, -7.0926]",
No. Am. Indian,399,ethnic_tribal,indigenous_peoples,0.9,North America,"General term referring to indigenous peoples and cultures of North America, including Native American, First Nations, and other aboriginal groups north of Mexico. This is a broad historical/anthropological classification term used in older folklore indexes.","[48.0, -100.0]",
Brittany,395,geographic,region,0.95,Brittany,"A cultural region and former independent duchy in northwestern France, with distinct Celtic heritage and traditions. The region maintains a strong cultural identity and folklore influenced by Celtic and medieval French traditions.","[48.2, -2.9]",
Slovene,390,geographic,nationality_language,0.95,Slovenia,"Refers to the people, language, and culture of Slovenia, a country in Central Europe. Slovenes are a South Slavic ethnic group native to Slovenia, and Slovene is also the name of their language.","[46.1512, 14.9955]",
Lappish,380,ethnic_tribal,indigenous_group,0.9,Sápmi,"Refers to the Sámi (formerly known as Lapp) people, an indigenous group traditionally inhabiting Sápmi, which spans northern Scandinavia and the Kola Peninsula. 'Lappish' is now considered outdated terminology, with 'Sámi' being the preferred term.","[68.3, 18.5]",
West Indies,354,geographic,archipelago_region,0.95,Caribbean Islands,"The West Indies refers to the archipelago between North and South America comprising the Greater Antilles, Lesser Antilles, and Bahamas. The term originated from European colonizers who sought to distinguish these islands from the East Indies (Southeast Asia). Historically and culturally significant in Caribbean folklore and literature.","[18.735693, -70.162651]",
Japanese,350,geographic,country,0.95,Japan,"Refers to the people, culture, and language of Japan, a nation comprising four main islands in East Asia. The term encompasses both ethnic Japanese people and their cultural traditions, including folklore, mythology, and customs developed over centuries.","[36.2048, 138.2529]",
Georgian,343,geographic,country,0.9,Georgia,"Refers to people, culture, and language of Georgia, a country in the Caucasus region between Eastern Europe and Western Asia. The term can also refer to the Georgian language, which is part of the Kartvelian language family.","[41.7, 44.8]",
Iranian,340,geographic,country,0.9,Iran,"Refers to people, culture, or folklore from Iran (historically known as Persia), including both modern nation-state inhabitants and historical Persian cultural sphere","[32.4279, 53.688]",
Croatian,338,geographic,country,0.95,Croatia,"Refers to people, language, and culture of Croatia, a country in southeastern Europe. The Croatian identity emerged from South Slavic peoples who settled in the region during the 6th-7th centuries CE.","[45.1, 15.2]",
Missouri French,338,linguistic,dialect,0.9,Missouri,"A dialect of French spoken historically by French settlers and their descendants in the Missouri region, particularly around Old Mines and other early French settlements. It developed from the French spoken by colonists from Canada and France who settled in the Mississippi River Valley during the 17th and 18th centuries.","[37.9643, -91.8318]",
Mexican,337,geographic,country,0.95,Mexico,"Refers to people, culture and folklore from Mexico, a country in North America with a rich indigenous and colonial heritage that has produced distinct cultural traditions","[23.6345, -102.5528]",
Iraqi,336,geographic,country,0.95,Iraq,"Refers to people, culture, or folklore from the modern nation of Iraq, historically part of Mesopotamia. The term encompasses various ethnic and religious groups within Iraq's borders including Arabs, Kurds, and others.","[33.2232, 43.6793]",
Austrian,335,geographic,country,0.95,Austria,"Refers to people, culture, or folklore from the nation of Austria in Central Europe, historically the center of the Habsburg Empire and Austrian Empire","[47.5162, 14.5501]",
Algerian,328,geographic,country,0.95,Algeria,"Refers to people, culture, or folklore from Algeria, a country in North Africa. The term encompasses both Arab and Berber cultural elements within the modern nation-state's boundaries.","[36.7, 3.2]",
Palestinian,315,geographic,regional_ethnic,0.95,Palestine,"Refers to people, culture and folklore from the historical and modern region of Palestine, particularly in the West Bank and Gaza Strip areas. The term has strong ethnic, cultural and national identity connotations beyond just geography.","[31.9, 35.2]",
Syrian,297,geographic,country,0.95,Syria,"Refers to people, culture, or folklore from Syria, a country in the Middle East with ancient civilizational history. The term can refer both to modern Syrian nationality and historical Syrian cultural identity from the region.","[35.0, 38.0]",
Indonesia,274,geographic,country,1.0,Indonesia,"The Republic of Indonesia is a sovereign state and archipelagic country in Southeast Asia, consisting of over 17,000 islands including Java, Sumatra, Sulawesi, and parts of Borneo. It is the world's largest archipelagic state and fourth most populous country.","[-0.7893, 113.9213]",
Macedonian,268,geographic,country,0.9,North Macedonia,"Refers to people, culture and language from the country of North Macedonia (formerly known as Macedonia), a region with ancient history in southeastern Europe. Can also refer more broadly to the historical region of Macedonia which includes parts of modern Greece and Bulgaria.","[41.6086, 21.7453]",
Karelian,265,ethnic_tribal,finno_ugric_people,0.9,Republic of Karelia,"Refers to the Karelian people, a Baltic-Finnic ethnic group native to the historical region of Karelia, now split between Russia and Finland. They have their own distinct culture, language and folk traditions.","[63.0, 32.0]",
Hindu,264,religious,major_world_religion,0.95,India,"Refers to practitioners and cultural aspects of Hinduism, one of the world's major religions that originated in the Indian subcontinent. While Hinduism is practiced globally, it remains most concentrated in India where it originated and evolved over several millennia.","[20.5937, 78.9629]",
Swiss,257,geographic,country,0.95,Switzerland,"Refers to people, culture, and folklore from Switzerland (officially the Swiss Confederation), a sovereign country in Central Europe known for its Alps, multilingual heritage, and distinct cultural traditions","[46.8, 8.2]",
Sudanese,254,geographic,country,0.9,Sudan,"Refers to people, culture and folklore from Sudan, a country in Northeast Africa. Historically could refer to both modern Sudan and South Sudan before the latter's independence in 2011, but typically refers to the Republic of Sudan in modern usage.","[15.5007, 32.5599]",
Canada,247,geographic,country,1.0,Canada,"The nation of Canada, a country in North America extending from the Atlantic to Pacific oceans and northward into the Arctic Circle. The second-largest country by total area.","[56.1304, -106.3468]",
Puerto Rican,245,geographic,nationality,0.95,Puerto Rico,"Refers to people and culture from Puerto Rico, a Caribbean island and unincorporated U.S. territory with distinct cultural heritage blending Spanish, African, and Taíno influences","[18.2208, -66.5901]",
Scotland,239,geographic,country,1.0,Scotland,"A country that is part of the United Kingdom, occupying the northern third of the island of Great Britain. Has a distinct cultural and historical identity with rich folklore traditions including Highland culture, clan system, and Celtic influences.","[56.4907, -4.2026]",
Maltese,237,geographic,country,0.95,Malta,"Refers to people, culture, and language from the Mediterranean island nation of Malta. The Maltese people have a distinct culture influenced by Phoenician, Roman, Arab, Norman, and British heritage.","[35.9375, 14.3754]",
South African,237,geographic,country,0.9,South Africa,"Refers to people, traditions, and folklore from the Republic of South Africa, a country at the southern tip of the African continent with diverse indigenous and colonial cultural influences","[-30.5595, 22.9375]",
Cheremis,235,ethnic_tribal,indigenous_group,0.9,Mari El Republic,"Cheremis is an exonym (outdated term) for the Mari people, a Finno-Ugric ethnic group indigenous to the Mari El Republic in Russia. The Mari people have their own language and traditional beliefs mixed with Orthodox Christianity.","[56.6324, 47.8818]",
Wales,228,geographic,country,1.0,Wales,"Wales is a country that is part of the United Kingdom, located on the western side of Great Britain. It has a distinct Celtic culture, language (Welsh), and rich folklore tradition including the Mabinogion tales.","[52.1307, -3.7837]",
French-Canadian,223,ethnic_tribal,settler_colonial,0.95,Quebec,"People of French colonial descent who settled in Canada, primarily in Quebec, and their descendants. They maintain a distinct cultural and linguistic identity combining French heritage with North American influences.","[46.8, -71.2]",
Siberian,218,geographic,region,0.95,Siberia,"Relating to Siberia, a vast geographical region in Russia extending from the Ural Mountains in the west to the Pacific Ocean in the east, and from the Arctic Ocean in the north to the hills of north-central Kazakhstan and the borders of Mongolia and China in the south","[60.0, 100.0]",
Sweden,215,geographic,country,1.0,Sweden,"A Nordic sovereign state in Northern Europe, historically home to Germanic peoples including the Swedes. Modern Sweden emerged as an independent nation in the 16th century.","[62.0, 15.0]",
Tunisian,215,geographic,country,1.0,Tunisia,"Relating to people, culture, or folklore from Tunisia, a country in North Africa with a rich history including Carthaginian, Roman, Arab, Ottoman and French influences","[34.0, 9.0]",
Cheremis/Mari,210,ethnic_tribal,indigenous_group,0.95,Mari El Republic,"The Cheremis (now known as Mari) are a Finno-Ugric ethnic group native to the Mari El Republic in Russia. They have their own language and traditional culture. The term 'Cheremis' is an older exonym, while 'Mari' is their self-designation.","[56.6324, 47.8818]",
Chilean,210,geographic,country,0.98,Chile,"Relating to or originating from the country of Chile, a South American nation stretching along the western coast of the continent between the Andes Mountains and the Pacific Ocean","[-33.4489, -70.6693]",
Estonia,207,geographic,country,1.0,Estonia,"Estonia is a country in Northern Europe on the Baltic Sea, with a distinct cultural and linguistic heritage. It has been an independent nation since 1991 after regaining independence from the Soviet Union. The country has a rich folklore tradition including songs, tales, and mythology.","[58.5953, 25.0136]",
Icelandic,207,geographic,country,1.0,Iceland,"Relating to the people, culture, and language of Iceland, a Nordic island country in the North Atlantic Ocean","[64.9631, -19.0208]",
Switzerland,206,geographic,country,1.0,Switzerland,"The Swiss Confederation, a sovereign country in Central Europe known for its Alps, neutrality, banking system, and distinct cultural traditions blending German, French, Italian and Romansh influences","[46.8182, 8.2275]",
Finnish-Swedish,200,linguistic,language_minority,0.9,Finland,Refers to the Swedish-speaking minority population of Finland and their distinct cultural traditions. This population has historically lived along the coastal regions of Finland and forms a recognized linguistic minority group.,"[60.1699, 24.9384]",
Scottish,189,geographic,country,0.95,Scotland,"Relating to Scotland, its people, culture and traditions. Refers to the northernmost country in the United Kingdom, with a distinct Celtic heritage and cultural identity.","[56.4907, -4.2026]",
Wepsian,182,linguistic,finno_ugric_language,0.9,Republic of Karelia,"Vepsian/Wepsian refers to the language and people (Veps) of a Finnic ethnic group native to the region between Lake Onega and Lake Ladoga in northwestern Russia, primarily in the Republic of Karelia and surrounding areas","[61.5, 33.5]",
Qatar,174,geographic,country,1.0,Qatar,"Qatar is a sovereign country located on the Qatar Peninsula in Western Asia, bordering Saudi Arabia. It is an Arab state known for its modern cities, petroleum-based economy, and rich cultural heritage along the Persian Gulf.","[25.3548, 51.1839]",
Korea,172,geographic,country,0.9,Korean Peninsula,"Geographic and cultural region historically encompassing what is now North and South Korea, with a distinct cultural and linguistic heritage dating back thousands of years. In folklore contexts, usually refers to traditional Korean culture before the peninsula's division.","[37.5, 127.0]",
Walloon,167,linguistic,regional_language,0.9,Wallonia,Refers to the French-speaking people and their Romance language/dialect of southern Belgium and adjacent parts of France. Walloons are historically and culturally distinct from the Dutch-speaking Flemish people of northern Belgium.,"[50.4, 4.5]",
Brazilian,164,geographic,country,0.95,Brazil,"Refers to people, culture, or folklore originating from Brazil, the largest country in South America. Brazilian folklore represents a blend of indigenous, European (primarily Portuguese), and African cultural influences.","[-14.235, -51.925]",
Tadzhik,163,ethnic_tribal,central_asian_ethnic_group,0.9,Tajikistan,"The Tajiks are an Iranian ethnic group native to Central Asia, primarily Tajikistan and parts of Afghanistan and Uzbekistan. They speak the Tajik language, a variety of Persian. The term 'Tadzhik' is an alternative spelling of 'Tajik'.","[38.861, 71.2761]",
Mongolian,162,geographic,country,0.9,Mongolia,"Refers to people, culture, and language of Mongolia, historically associated with the Mongol Empire and modern-day Mongolia. Can refer to both the ethnic group and the national/geographic identity.","[46.8625, 103.8467]",
Sardinian,159,geographic,regional,0.95,Sardinia,"Relating to the people, culture, or language of Sardinia, a major Italian island in the Mediterranean Sea with distinct cultural traditions and folklore","[40.0, 9.0]",
Ladinian,158,linguistic,romance_language,0.9,Dolomites,"Ladinian refers to both a language and the people who speak it, primarily found in the Dolomite mountains of northern Italy. It is a Rhaeto-Romance language closely related to Romansh and Friulian, spoken in several valleys of the Dolomites including Val Gardena and Val Badia.","[46.5, 11.9]",
Sri Lankan,158,geographic,country,0.95,Sri Lanka,"Refers to people, culture, or things originating from or associated with Sri Lanka, an island nation in South Asia known historically as Ceylon","[7.8731, 80.7718]",
Africa (Ekoi),156,ethnic_tribal,indigenous_group,0.9,Cross River State,"The Ekoi (also known as Ejagham) are an ethnic group primarily located in southeastern Nigeria and southwestern Cameroon, particularly in Nigeria's Cross River State. They are known for their traditional art forms including nsibidi script and masquerade traditions.","[5.87, 8.6]",
African American,155,ethnic_tribal,diaspora_group,0.95,United States,"Term referring to Americans of African descent, particularly those whose ancestors were enslaved people in the United States. Emerged as a preferred term in the late 20th century, replacing older terms. Represents a distinct cultural group with roots in both African heritage and American experience.","[39.8283, -98.5795]",
Yakut,154,ethnic_tribal,indigenous_group,0.95,Sakha Republic,The Yakut (also known as Sakha) are a Turkic ethnic group native to the Sakha Republic (Yakutia) in northeastern Siberia. They are historically semi-nomadic people known for horse and cattle breeding who speak the Yakut language.,"[62.0, 130.0]",
Kurdish,151,ethnic_tribal,ethnic_group,0.95,Kurdistan Region,"Refers to the Kurdish people, an Indo-European ethnic group native to a mountainous region of Western Asia known as Kurdistan, spanning parts of Turkey, Syria, Iraq and Iran. They have a distinct culture, language and history.","[36.5, 44.0]",
So. Am. Indian (Toba),150,ethnic_tribal,indigenous_group,0.9,Gran Chaco,"The Toba (also known as Qom) are an indigenous people of the Gran Chaco region, primarily in northern Argentina, Paraguay and Bolivia. They are one of the larger indigenous groups of the South American Chaco region.","[-25.2868, -59.9367]",
Africa,149,geographic,continent,1.0,Africa,"The second-largest continent, encompassing diverse cultures, ethnicities, and traditions across northern, western, central, eastern and southern regions. In folklore studies, often used as a broad geographic/cultural designator though this masks significant regional variation.","[1.0, 23.0]",
Argentine,147,geographic,country,0.95,Argentina,"Relating to the country of Argentina or its people, culture and customs. In folklore contexts, typically refers to traditions and stories from this South American nation.","[-34.6037, -58.3816]",
Tuamotu,147,geographic,archipelago,0.95,Tuamotu Archipelago,"The Tuamotu Archipelago is a chain of coral atolls in French Polynesia in the South Pacific Ocean. It is the largest chain of atolls in the world, consisting of 78 islands and atolls spanning about 1,500 kilometers.","[-15.9, -142.2]",
Mordvinian,146,linguistic,finno_ugric_language,0.9,Republic of Mordovia,"Refers to the Mordvin people and their Finno-Ugric languages (Erzya and Moksha) native to the Middle Volga region of Russia, primarily in the Republic of Mordovia","[54.1838, 45.1831]",
Africa (Fang),145,ethnic_tribal,indigenous_group,0.9,Gabon,"The Fang are a Central African ethnic group primarily found in Gabon, Equatorial Guinea, and southern Cameroon. They are known for their distinctive art, particularly masks and sculptures, and have a rich oral tradition.","[-0.8037, 11.6094]",
Tonga,144,geographic,country,0.95,Kingdom of Tonga,"A Polynesian sovereign state and archipelago in the South Pacific Ocean, consisting of 169 islands. Has a rich folkloric tradition including stories of gods, supernatural beings, and origin myths passed down through oral traditions.","[-21.178986, -175.198242]",
Denmark,143,geographic,country,1.0,Denmark,"Sovereign state and constitutional monarchy in Northern Europe, consisting of the Jutland Peninsula and numerous islands. Home to historic Norse/Viking culture and Danish language/people.","[56.2639, 9.5018]",
Sorbian,142,linguistic,west_slavic_language,0.95,Lusatia,"Refers to the West Slavic language and people (also known as Wends) native to Lusatia, a historical region spanning parts of eastern Germany (Saxony and Brandenburg). There are two main varieties: Upper and Lower Sorbian.","[51.7, 14.3]",
Dominican,138,geographic,country,0.9,Dominican Republic,"Refers to people, culture and folklore from the Dominican Republic, a country occupying the eastern two-thirds of the island of Hispaniola in the Caribbean. Can also refer to members of the Dominican religious order, but in folklore context more commonly refers to the national/cultural identity.","[18.7357, -70.1627]",
Mayan,138,ethnic_tribal,indigenous_civilization,0.95,Yucatan Peninsula,"Refers to the indigenous peoples and cultures of Mesoamerica who built a sophisticated civilization characterized by advanced architecture, mathematics, astronomy and writing systems. The Maya civilization flourished in southern Mexico, Guatemala, Belize and parts of Honduras and El Salvador.","[20.0, -89.0]",
Pakistani,138,geographic,country,0.95,Pakistan,"Refers to people, culture, and folklore originating from the modern nation of Pakistan, formed in 1947 after the partition of British India. The term encompasses multiple ethnic groups and cultures within Pakistan's borders, including Punjabi, Sindhi, Pashtun, and others.","[30.3753, 69.3451]",
Saudi Arabian,138,geographic,country,1.0,Saudi Arabia,"Refers to people, culture, or items originating from the Kingdom of Saudi Arabia, a sovereign state occupying most of the Arabian Peninsula","[24.0, 45.0]",
Indonesian,134,geographic,country,0.9,Indonesia,"Refers to people, culture, or folklore from the nation of Indonesia, a country comprising over 17,000 islands in Southeast Asia between the Indian and Pacific oceans","[-0.7893, 113.9213]",
Syrjanian,134,linguistic,finno_ugric_language,0.9,Komi Republic,"Syrjanian is an older term for the Komi language and people, a Finno-Ugric ethnic group native to the Komi Republic in northern Russia. They speak the Komi language, which belongs to the Permian branch of Finno-Ugric languages.","[64.0, 54.0]",
