Skipped line. No motif ID found. Original line: F645.	Marvelously wise man.
Skipped line. No motif ID found. Original line: P251.4.	Brothers scorn brother's wise counsel. "Consider the end": counsel proved wise by experience. Barber hired to cut king's throat sees on the bottom of the basin the words "Whatever you do, do wisely and think of the consequences.” He drops the razor and confesses. *Type 910C; *Krappe Bulletin Hispa- nique XXXIX 20 No. 69; Alphabet No. 156; Spanish Exempla: Kel- ler; Jewish: bin Gorion Born Judas IV 172, 283; India: *Thompson- Balys.
Skipped line. No motif ID found. Original line: J21.2.	"Do not act when angry": counsel proved wise by experience. Man returns home and sees someone sleeping with his wife. Though he thinks it is a paramour, he restrains himself and finds that it is a newborn son. *Type 910B; Chauvin II 157; Irish myth: Cross; Icelandic: Boberg; Spanish Exempla: Keller; Italian Novella: *Rotunda; India: *Thompson-Balys. Cf. Wienert FFC LVI 37; Phae- Idrus III No. 10.
Skipped line. No motif ID found. Original line: J571.1.	When in anger say the alphabet. Man thus restrained from hasty judgment.
Skipped line. No motif ID found. Original line: J571.4.2.	Master when angry will not punish servant who has ruined him.
Skipped line. No motif ID found. Original line: N321.	Son returning home after long absence killed unwittingly by parents.
Skipped line. No motif ID found. Original line: N340.	Hasty killing or condemnation.
Skipped line. No motif ID found. Original line: J21.2.1.	"Never attack anyone before unsheathing and returning sword three times": counsel proved wise by experience. Italian Novella: Rotunda.
Skipped line. No motif ID found. Original line: J21.2.2.	Sleep before committing suicide. After sleeping you will feel differently about suicide. Spanish: Childers.
Skipped line. No motif ID found. Original line: J21.2.3.	"Do not draw your sword against the innocent": counsel proved wise by experience. India: Thompson-Balys.
Skipped line. No motif ID found. Original line: J21.2.4.	"Do not uncover weapon in an assembly": counsel proved wise by experience. India: Thompson-Balys.
Skipped line. No motif ID found. Original line: J21.2.5.	"Do not shed the blood of women": counsel proved wise by ex- perience. India: Thompson-Balys.
Skipped line. No motif ID found. Original line: J21.2.6.	"Control your anger at the beginning": counsel proved wise by experience. India: Thompson-Balys.
Skipped line. No motif ID found. Original line: J21.3.	"Do not go where an old man has a young wife": counsel proved wise by experience. Discovers a murder in an inn. *Type 910B; Chris- tiansen Norske Eventyr 115; Irish myth: *Cross.
Skipped line. No motif ID found. Original line: J414.	Marriage with equal or with unequal.
Skipped line. No motif ID found. Original line: J445.2.	Foolish marriage of old man and young girl.
Skipped line. No motif ID found. Original line: J1457.	The gray fox. An old husband tells his young wife, who is concerned about his gray hair, "A gray fox is as good as a red one." "But an old gray fox is not so good as a young red one."
Skipped line. No motif ID found. Original line: K2213.12.	Young queen murders her old husband in order to get a new.
Skipped line. No motif ID found. Original line: T91.	Unequals in love. -
Skipped line. No motif ID found. Original line: J21.4.	"Do not marry a girl from abroad": counsel proved wise by ex- perience. *Type 910A; Christiansen Norske Eventyr 115; Cent Nouvelles Nouvelles No. 52; Italian Novella: *Rotunda.
Skipped line. No motif ID found. Original line: J21.5.	“Do not leave the highway": counsel proved wise by experience. Robbers encountered. *Type 910B; Scala Celi No. 788; Herbert III 99; Irish myth: *Cross; Spanish Exempla: Keller.   ## p. 11 (#15) ##############################################  J. The wise and the foolish 11
Skipped line. No motif ID found. Original line: J21.5.1.	"Do not prefer a new road to an old one." Those who take the new one are killed by robbers. Italian Novella: Rotunda.
Skipped line. No motif ID found. Original line: J21.5.2.	"Take side road rather than main one where three roads meet": counsel proved wise by experience. India: Thompson-Balys.
Skipped line. No motif ID found. Original line: J21.5.3.	"A way short yet long": counsel proved wise by experience. (Cf.
Skipped line. No motif ID found. Original line: J266.	) Jewish: Neuman.
Skipped line. No motif ID found. Original line: J21.6.	"Do not ask questions about extraordinary things": counsel pro- ved wise by experience. Those who ask question killed. Köhler-Bolte Zs. f. Vksk. VI 169ff. (Gonzenbach No. 81); Spanish Exempla: Keller.
Skipped line. No motif ID found. Original line: C411.	Tabu: asking about marvels which one sees.
Skipped line. No motif ID found. Original line: C651.	The one compulsory question. Percival must ask the meaning of the strange sights he sees; else the Fisher King will not be healed.
Skipped line. No motif ID found. Original line: J21.7.	"Do not cross a bridge without dismounting from your horse"; counsel proved wise by experience. Man breaks leg. Type 910B; Wesselski Märchen 219 No. 32.
Skipped line. No motif ID found. Original line: J21.8.	"Never wager more than a groat": counsel proved wise by ex- perience. Man loses wife on wager. Wesselski Märchen 219 No. 32.
Skipped line. No motif ID found. Original line: H588.5.	Father's counsel: if you want to gamble, then gamble with ex- perienced gamblers (if you see how wretched professional gamblers are, you will not want to gamble).
Skipped line. No motif ID found. Original line: J21.8.1.	"Do not bet": counsel proved wise by experience. India: Thomp- son-Balys.
Skipped line. No motif ID found. Original line: J21.9.	"Do not visit your friends often": counsel proved wise by ex- perience. At last the man is treated shamefully. *Type 910A; Chris- tiansen Norske Eventyr 115.
Skipped line. No motif ID found. Original line: J21.9.1.	"Do not prolong a friendly visit." Guest stays so long that host gives him black bread instead of white. Cent Nouvelles Nouvelles No. 52; Italian Novella: *Rotunda.
Skipped line. No motif ID found. Original line: P320.	Hospitality.
Skipped line. No motif ID found. Original line: J21.10.	"Do not lend out your horse": counsel proved wise by experience. Type 910A; Christiansen Norske Eventyr 115.
Skipped line. No motif ID found. Original line: J21.11.	"Do not walk half a mile with a man without asking his name": counsel proved wise by experience. Man runs race unwittingly with his wife's paramour and loses his wife on the wager. (Cf.
Skipped line. No motif ID found. Original line: J21.8.	) *Type 910B; Wesselski Märchen 219 No. 32.
Skipped line. No motif ID found. Original line: J21.12.	"Rue not a thing that is past": counsel proved wise by experience. Man lets bird go and then, having listened to bird's false declaration that she had a precious gem in her body, he tries to climb a tree after her and falls. *BP IV 149 n. 2; Gaster Exempla 256 No. 390; *Paris Légendes du moyen âge 225ff.; *Krappe Bulletin Hispanique XXXIX 24; Alphabet No. 191; Oesterley Gesta Romanorum No. 167.
Skipped line. No motif ID found. Original line: K604.	The three teachings of the fox (bird).
Skipped line. No motif ID found. Original line: J21.13.	"Never believe what is beyond belief": counsel proved wise by experience. Man believes when bird tells him that she has a pre- cious gem in her body. (Cf.
Skipped line. No motif ID found. Original line: J21.	12,
Skipped line. No motif ID found. Original line: K604.	) *BP IV 149 n. 2; Alphabet No. 191; Gaster Exempla 256 No. 390; Paris Légendes du moyen âge 225ff.; Oesterley Gesta Romanorum No. 167; Spanish Exempla: Keller.
Skipped line. No motif ID found. Original line: J21.14.	"Never try to reach the unattainable": counsel proved wise by experience. (Cf.
Skipped line. No motif ID found. Original line: K604.	) *BP IV 149 n. 2; Alphabet No. 191; Gaster Exempla 256 No. 390; *G. Paris Légendes du moyen âge 225ff.   ## p. 12 (#16) ##############################################  12 Motif-Index of Folk-Literature
Skipped line. No motif ID found. Original line: J21.15.	"If you wish to hang yourself, do so by the stone which I point out": counsel proved wise by experience. Father has left money which will fall out when the spendthrift son goes to hang himself in despair. "The Heir of Linne." *Type 910D; *Pauli (ed. Bolte) No. 709; Chauvin V 133 No. 63, *VIII 94 No. 65; Child V 12f.; Clouston Tales II 53; Italian: Basile Pentamerone IV No. 2, Rotunda; Jap- anese: Ikeda.
Skipped line. No motif ID found. Original line: N500.	Treasure trove.
Skipped line. No motif ID found. Original line: N545.	Man in despair digging own grave finds treasure.
Skipped line. No motif ID found. Original line: J21.16.	"Go to Goosebridge": counsel proved wise by experience. Man with disobedient wife finds mules beaten there and made to cross bridge. Boccaccio Decameron IX No. 9 (*Lee 289); Italian Novella: *Rotunda.
Skipped line. No motif ID found. Original line: T252.2.	Cock shows brow-beaten husband how to rule his wife.
Skipped line. No motif ID found. Original line: J21.17.	"Stay at church till mass is finished": counsel proved wise by experience. Delay saves youth from death. *Cosquin Études 73ff.; Irish: Beal XXI 314, O'Suilleabhain 38; Icelandic: Boberg; Japanese: Ikeda.
Skipped line. No motif ID found. Original line: J21.19.
Skipped line. No motif ID found. Original line: K1612.	Message of death fatal to sender.
Skipped line. No motif ID found. Original line: J21.18.	"Do not trust the over-holy": counsel proved wise by experi- ence. Wife so modest she will not travel with husband (adulteress); priest so pious he will not tread on worm (thief). Jewish: bin Gorion Born Judas IV 22, 275, Neuman.
Skipped line. No motif ID found. Original line: K2051.	Adulteress feigns unusual sensitiveness. "Start your journey early in the day": counsel proved wise by experience. Jewish: bin Gorion Born Judas III 100, 304, Neuman.
Skipped line. No motif ID found. Original line: J21.20.	"Prepare for night camp while it is still day": counsel proved wise by experience. Jewish: bin Gorion Born Judas III 100, 304, Neuman.
Skipped line. No motif ID found. Original line: J21.21.	"Do not cross a swollen stream until it has run down": counsel proved wise by experience. Jewish: bin Gorion Born Judas III 100, 304, Neuman.
Skipped line. No motif ID found. Original line: J21.22.	"Do not tell a secret to a woman": counsel proved wise by experience. Nouvelles de Sens No. 7; Irish myth: *Cross; Lithuanian: Balys Index No. *911; Italian Novella: Rotunda; Jewish: bin Gorion Born Judas III 100, 304, *Neuman; India: *Thompson-Balys.
Skipped line. No motif ID found. Original line: C420.	Tabu: uttering secrets.
Skipped line. No motif ID found. Original line: J21.37.	Do not take a woman's advice.
Skipped line. No motif ID found. Original line: J21.23.	"Rise earlier": counsel proved wise by experience. Man seeking explanation for being in debt arises earlier and catches his servants stealing. (Cf.
Skipped line. No motif ID found. Original line: H588.1.	) Italian Novella: Rotunda.
Skipped line. No motif ID found. Original line: P365.	Faithless servants.
Skipped line. No motif ID found. Original line: J21.24.	“Do not make a horse run down hill": counsel proved wise by experience. Horse breaks its neck. Cent Nouvelles Nouvelles No. 52; Italian Novella: *Rotunda.
Skipped line. No motif ID found. Original line: J21.25.	"Do not keep bad company": counsel proved wise by experience. Breaking of father's first counsel causes the breaking of all the others. Italian Novella: Rotunda.
Skipped line. No motif ID found. Original line: J154.	Wise words of dying father.
Skipped line. No motif ID found. Original line: J485.	The three sins of the hermit.
Skipped line. No motif ID found. Original line: J21.26.	"Don't be too greedy in making a trade": counsel proved wise by experience. Man refuses fifty ducats for horse. Horse suddenly dies. Italian Novella: Rotunda.   ## p. 13 (#17) ##############################################  J. The wise and the foolish 13
Skipped line. No motif ID found. Original line: J21.27.	"Do not adopt a child": counsel proved wise by experience. Lithuanian: Balys Index No. *911; Italian Novella: Rotunda.
Skipped line. No motif ID found. Original line: J21.28.	"Do not trust a ruler who rules by reason alone": counsel proved wise by experience. Lithuanian: Balys Index No. *911; Italian No- vella: Rotunda.
Skipped line. No motif ID found. Original line: J21.29.	"Keep head dry, feet warm, and eat meat": counsel proved wise by experience. King recovers from illness. Italian Novella: Rotunda.
Skipped line. No motif ID found. Original line: J21.30.	"Never have to do with a woman unless wed to her": counsel proved wise by experience. Italian Novella: Rotunda.
Skipped line. No motif ID found. Original line: J21.31.	"Do not marry a woman before seeing her and finding her to be your equal": counsel proved wise by experience. Italian Novella: Rotunda.
Skipped line. No motif ID found. Original line: J21.32.	"Do not marry more than one woman". Man who wanted three, marries one and is weakened greatly. Spanish Exempla: Keller.
Skipped line. No motif ID found. Original line: T145.	Polygamous marriage.
Skipped line. No motif ID found. Original line: J21.33.	"Bathe by yourself and not in the common bathing place": counsel proved wise by experience. Man forgets purse in bath house. India: Thompson-Balys.
Skipped line. No motif ID found. Original line: J21.34.	"Move stool before sitting on it”: counsel proved wise by experi- ence. Man thus saves self from falling into well. India: *Thompson- Balys.
Skipped line. No motif ID found. Original line: J21.34.1.	"When in a strange place look about you": counsel proved wise by experience. India: Thompson-Balys.
Skipped line. No motif ID found. Original line: J21.34.2.	"Do not sit on a bed without touching it first”: counsel proved wise by experience. India: Thompson-Balys.
Skipped line. No motif ID found. Original line: J21.35.	"Ruler should follow advice of majority" (not his own fancy): counsel proved wise by experience. Thus finds money on body of dead traveler. India: Thompson-Balys.
Skipped line. No motif ID found. Original line: J21.35.1.	"Neglect not what four or five people say”: counsel proved wise by experience. India: Thompson-Balys.
Skipped line. No motif ID found. Original line: J21.36.	"Do not go alone on journey": counsel proved wise by experi- ence. Helpful crab saves from attack by crocodile. India: *Thomp- son-Balys.
Skipped line. No motif ID found. Original line: J21.37.	"Do not take a woman's advice": counsel proved wise by experi- ence. (Cf.
Skipped line. No motif ID found. Original line: J21.22.	) India: Thompson-Balys.
Skipped line. No motif ID found. Original line: C195.	Tabu: taking advice of a woman.
Skipped line. No motif ID found. Original line: J155.4.	Wife as adviser.
Skipped line. No motif ID found. Original line: J21.38.	"May God spare you from an evil man or evil woman." To teach a friend the wisdom of this greeting a man borrows money and then his creditor's coat from him. In court the lender is discredited. Spanish: Childers.
Skipped line. No motif ID found. Original line: J1151.2.	Witness claims the borrowed coat: discredited.
Skipped line. No motif ID found. Original line: J21.39.	"Do not travel without money": counsel proved wise by experi- ence. India: *Thompson-Balys.
Skipped line. No motif ID found. Original line: J21.40.	Don't require honor from a strange country": counsel proved wise by experience. India: Thompson-Balys.
Skipped line. No motif ID found. Original line: J21.41.	"Be cautious before allowing yourself to fall asleep in a strange place": counsel proved wise by experience. India: Thompson-Balys.   ## p. 14 (#18) ##############################################  14 Motif-Index of Folk-Literature
Skipped line. No motif ID found. Original line: J21.41.1.	"Sleep not in an inn": counsel proved wise by experience. India: Thompson-Balys.
Skipped line. No motif ID found. Original line: J21.41.2.	“A stranger does not close his eyes in sleep lest he close them in death": counsel proved wise by experience. India: Thompson- Balys.
Skipped line. No motif ID found. Original line: J21.41.3.	"He who lies awake gains; he who sleeps loses": counsel proved wise by experience. India: *Thompson-Balys.
Skipped line. No motif ID found. Original line: J21.42.	"Before eating food at a strange place throw some at an animal and watch": counsel proved wise by experience. India: Thompson- Balys.
Skipped line. No motif ID found. Original line: J21.43.	"A country not examined in disguise will always be ruined": counsel proved wise by experience. India: Thompson-Balys.
Skipped line. No motif ID found. Original line: K1812.	King in disguise.
Skipped line. No motif ID found. Original line: J21.44.	"Lean upon no relation in the hour of distress": counsel proved wise by experience. India: *Thompson-Balys.
Skipped line. No motif ID found. Original line: P310.	Friendships.
Skipped line. No motif ID found. Original line: J21.45.	"Do not undertake to be an arbitrator without being asked": counsel proved wise by experience. India: Thompson-Balys.
Skipped line. No motif ID found. Original line: J21.46.	"Do not make friends with a policeman (soldier)": counsel proved wise by experience. India: *Thompson-Balys.
Skipped line. No motif ID found. Original line: J21.47.	"You can only call your wife your ovn so long as she is with you": counsel proved wise by experience. India: *Thompson-Balys.
Skipped line. No motif ID found. Original line: J21.47.1.	"Do not send your wife for a long visit to her parents": coun- sel proved wife by experience. India: *Thompson-Balys.
Skipped line. No motif ID found. Original line: J21.48.	"Don't do anything without investigation": counsel proved wise by experience. A purse full of money was found in dead man's pocket by gravedigger. India: Thompson-Balys.
Skipped line. No motif ID found. Original line: J21.49.	"Never give a cup made of a single ruby as a present to the king": counsel proved wise by experience. India: Thompson-Balys.
Skipped line. No motif ID found. Original line: J1218.	King possessing one marvelous object sends hero on quest for another like it.
Skipped line. No motif ID found. Original line: J21.50.	"Idleness begets woe; work brings happiness": counsel proved wise by experience. India: Thompson-Balys.
Skipped line. No motif ID found. Original line: J21.51.	"Do not stand and watch two people fighting": counsel proved wise by experience. Man does so and is called by both parties to depose in favor of both or he will be beheaded. India: Thompson- Balys.
Skipped line. No motif ID found. Original line: J21.52.	Counsels proved wise by experience-miscellaneous.
Skipped line. No motif ID found. Original line: J21.52.1.	Disciple who stays in a city where everything is sold at one price finds justice is not even there. (Cf.
Skipped line. No motif ID found. Original line: F769.1.	) India: Thompson- Balys.
Skipped line. No motif ID found. Original line: J21.52.2.	"Never be rude to a self-made man of low birth": counsel proved wise by experience. India: Thompson-Balys.
Skipped line. No motif ID found. Original line: J21.52.3.	"Hardened clay is hard to mold": counsel proved wise by experience. India: Thompson-Balys.
Skipped line. No motif ID found. Original line: J21.52.4.	"Never publish a man's sin if you can help it": counsel proved wise by experience. India: Thompson-Balys.
Skipped line. No motif ID found. Original line: J21.52.5.	"Never dismiss and old servant for his first fault": counsel proved wise by experience. India: Thompson-Balys.   ## p. 15 (#19) ##############################################  J. The wise and the foolish 15
Skipped line. No motif ID found. Original line: J21.52.6.	"When a man attacks you, kill him whether he be king or prince": counsel proved wise by experience. India: Thompson-Balys.
Skipped line. No motif ID found. Original line: J21.52.7.	Boy who says “I know" gets into all sort of difficulties; now says "I don't know." India: Thompson-Balys.
Skipped line. No motif ID found. Original line: J21.52.8.	"Nothing happens that does not work for one's good": counsel proved wise is experience. India: Thompson-Balys.
