motif_id	text
A1061.1.	Earthquakes at the end of the world.
A1062.	Mountains fall together at end of world.
A1063.	Water-disturbances at end of world.
A1063.1.	Sea makes extraordinary noise and throws out fishes at end of world.
A1063.2.	Sea water mixes with fresh water at end of the world.
A1065.	Continuous drought at end of world.
A1066.	Sun will lock moon in deep ditch in earth's bottom and will eat up stars at end of world.
A1067.	Extraordinary wind at end of the world.
A1068.	Sun thrown on fire: period of darkness, rain.
A1069.	Flow of molten metal at end of world.
A107.	Darkness thought of as evil, light as good. Gods of darkness and of light.
A1070.	Fettered monster's escape at end of world. Fettered monster. Giant, or monster, is fettered in depths of the earth. His movement causes earthquakes. When he succeeds in freeing himself from the fetters and escapes, the world will end. Zingerle Zs.
A1070.1.	Birth of monsters as sign at end of world.
A1071.	Fettered monster. Fettering of underground monster. Zeus has embassy of dogs imprisoned for fouling his court.
A1071.1.	; Lithuanian: Balys Lithuanian Legends of the Devil in Chains Tautosakos Darbai III. Devil fettered by trick. Is persuaded to try on fetters. Underground monster fettered by trick.
A1071.2.	Forging of chain for fettered monster. Smiths hit once in three or four times on the bare anvil. All of these blows go to forging chains for the monster devil.
A1072.	Form of fettered monster.
A1072.1.	Fettered monster in human form.
A1072.2.	Fettered monster as ferocious animal.
A1072.3.	Fettered monster as snake.
A1072.4.	Fettered monster as dragon.
A1074.1.	Monster fettered with sword just out of reach. If he reaches it he will free himself.
A1074.2.	Fettered monster's vain attempt to reach sword with man's help. Could he reach it he would escape.
A1074.3.	Fettered monster questions visitor. He must remain fettered till he hears that nature's laws no longer hold.
A1074.4.	Fettered monster preyed upon by vulture.
A1074.5.	Fettered monster kept just out of reach of water. The water is always drunk by vulture as he is ready to take it.
A1074.6.	Fettered monster vainly loosens his stake. Each time he loosens it, it is driven in the ground.
A1074.7.	Fettered monster's weakened chains renewed by supernatural power. Are almost licked in two by dog but then renewed.
A1074.8.	Fettered monster's weakened chains renewed by stroke of a smith.
A1075.	End of world heralded by coming of Antichrist, a gigantic destructive one-eyed monster. End of world heralded by coming of Antichrist.
A1075.1.	Signs before the birth of Antichrist.
A108.	God of the living and the dead in the otherworld.
A108.1.	God of the dead.
A1080.	Battle at end of world. Armageddon.
A1080.1.	Horse shall wade in blood at Armageddon.
A1081.	Battle of the gods at end of world.
A1082.	Battle of gods and monster at end of world.
A1082.1.	Battle of gods and giants at end of world.
A1082.2.	Odin battles Fenris Wolf at end of world.
A1082.2.1.	Other gods battle Fenris wolf at end of world. Boberg.
A1082.2.2.	God battles hound of hell at end of world. Boberg.
A1082.3.	Thor battles Midgard serpent at end of world.
A1082.3.1.	End of world to come at disease and death of snake encircling the world.
A1082.4.	God battles Leviathan at end of world.
A1082.5.	God conquers Satan at end of world.
A1082.6.	Battle of saints with Lucifer at end of world. d. Abergl.
A1082.7.	Battle of angels with Leviathan and Behemoth at end of world.
A1084.	Prophecy of defeat in battle as sign of end of the world.
A1085.	End of the gods.
A1087.	Monsters kill each other off at end of world.
A109.1.	God as a triad.
A109.2.	Goddess as mother of Pacific Ocean.
A1090.	World calamities and renewals: miscellaneous motifs.
A1091.	Natural laws inoperative at end of world.
A1091.1.	Three horses from dove's egg on last day.
A1093.	End of world announced by trumpet.
A1095.	The Messianic Age.
A1097.	Extraordinary man at end of the world.
A1099.	World calamities additional motifs. World calamities and renewals.
A1099.1.	World destroyed by rain of stones.
A1099.2.	World devoured by ogre.
A1099.3.	World turned topsy-turvy and eaten by an earthworm.
A11.	Invisible creator.
A11.1.	Invisibility of creator learned from the impossibility of staring at the sun, his servant.
A110.	Origin of the gods.
A1100.	Establishment of natural order.
A1101.	A development of the present order through four stages or periods, the golden, silver, bronze, and iron ages, or the like. Religion and Ethics. The four ages of the world.
A1101.1.	Golden age. A former age of perfection.
A1101.1.1.	Reign of peace and justice under certain king.
A1101.1.2.	Even trees could speak in golden age.
A1101.1.3.	Former age: spirits and ogres lived with men, and gods appeared in human guise.
A1101.2.	Reversal of nature in former age.
A1101.2.1.	Formerly men plowed and cattle were their masters.
A1101.2.2.	Formerly men ate grass: cattle ate rice and pulse.
A1101.2.3.	Formerly men dumb: birds and animals talked.
A1101.2.4.	Formerly men could go safely beneath the sea.
A1102.	Why powers of nature work on Sabbath.
A1103.	Nature transformed by God once in seven years.
A111.	Mother of the gods. Parents of the gods.
A111.1.	Mother of the gods
A111.2.	Father of the gods.
A111.3.	Ancestor of the gods.
A111.3.0.1.	God of double sex carries within him seed of gods. God of double sex.
A111.3.1.	God dwells with his grandfathers.
A111.3.2.	Sea creatures as ancestors of goddess.
A111.3.3.	Great bird as ancestor of gods.
A1110.	Establishment of present order: waters.
A1111.	A hero defeats the monster and releases the water. Human sacrifice to water serpent to secure tribal prosperity. Impounded water. The monster is sometimes a giant frog. Treasure-producing bird killed to please a paramour. Water is kept by a monster so that mankind cannot use it.
A1113.	God promises never again to destroy world by water.
A1115.	It will stop only for its master; ship sinks and mill keeps grinding salt. Magic salt mill is stolen by seacaptain, who takes it aboard and orders it to grind. Why the sea is salt.
A1115.1.	Why the sea is salt: because of wrecked salt ship.
A1115.2.	It will stop only for its master; ship sinks and mill keeps grinding salt. Magic salt mill is stolen by sea-captain, who takes it aboard and orders it to grind. Why the sea is salt. Why the sea is salt: magic salt mill.
A1115.3.	Why the sea is salt: heavy rain showers on ashes of wood burnt by primeval fire.
A1117.	Origin of foam on waters.
A1118.	Origin of swirling motion of water. Animals and birds scratch in it.
A1119.	Establishment of present order: waters
A1119.1.	Why sea is blue. miscellaneous.
A1119.2.	Why sea waters are warm: kept so by Leviathan.
A1119.3.	Origin of sea's unpleasant odor.
A112.	Birth of gods.
A112.1.	God from incestuous union.
A112.1.1.	God from father-daughter incest. Adonis.
A112.1.1.1.	Goddess of music and dance born of incestuous union Brahma and daughter.
A112.10.	Divine child cast out at birth.
A112.11.	Child born from union of God with hen.
A112.2.	Male and female creators beget gods.
A112.3.	Gods born from various parts of creator's body.
A112.4.	God as son of giant.
A112.4.1.	God as son of giantess. Boberg.
A112.4.2.	Goddess as daughter of giant. Boberg.
A112.5.	God as son of nine giantesses.
A112.6.	Gods as sons of supreme god.
A112.7.	God born from peculiar part of parent's body.
A112.7.1.	God born from mother's ear.
A112.7.2.	God born from mother's armpit.
A112.7.3.	Goddess born from mother's eyes.
A112.7.4.	God born after prematurely short pregnancy.
A112.8.	God from adulterous union.
A112.9.	Gods borne by human woman.
A112.9.1.	Elementary spirits borne by human woman.
A1120.	Establishment of present order: winds.
A1122.	Cave of winds. Winds originally confined in caves.
A1122.1.	Hole of winds: stopper destroyed. The hole is stopped with a wooden stopper, which is destroyed. The country dries up.
A1122.2.	Wind a bird dwelling in mountain-hole.
A1122.3.	Lost wind found in hollow tree: has been banished and is needed by men.
A1122.4.	Wind comes through holes in sky when gut covering is cut.
A1125.	A giant bird causes the wind with his wings. Culture hero tames the monster bird. The wings are cut by the culture hero so that the bird cannot flap so hard. Winds caused by flapping wings.
A1125.1.	Wind caused by flapping of ears of giant. Peigan: Uhlenbeck Verhandelingen der Koninklijke Akademie van Wetenshappen XIII 1 64.
A1126.	Wind caused by wind-god's wind lies down, the wind blows. movements. When the son of the Bushman: Bleek and Lloyd 101ff.
A1127.	Winds of the four quarters established.
A1127.1.	Effect of the four winds on weather.
A1127.1.1.	North wind tempers fury of south wind.
A1127.1.2.	South wind causes heat and hurricanes.
A1127.2.	Gentle west wind said to be exhausted from fleeing deity.
A1128.	Regulation of winds.
A1128.2.	When wind-spirit is awake it storms; asleep, it is calm.
A1129.	Establishment of present order: winds miscellaneous.
A1129.1.	Colors of winds.
A1129.1.1.	Creator establishes twelve winds, each a different color.
A1129.2.	Origin of monsoon: from chewed skin and spit of pair of divine friends eating guavas.
A1129.3.	Wind is blind.
A113.	Gods which have animal associations; e.g., Athena with the owl, Venus with the sparrow. Totemistic gods, having animal associations. Totemistic gods.
A1130.	Establishment of present order: weather phenomena.
A1131.	Origin of rain.
A1131.0.1.	ham. Regulation of rains.
A1131.0.2.	Why it rains most in the hills.
A1131.1.	Rain from tears.
A1131.1.1.	Rain from urine.
A1131.2.	Rainy weather sent by saint as punishment.
A1131.3.	Rain from sea in upper world.
A1131.4.	Rain from container in sky.
A1131.4.1.	Rain kept in waterskin dragged along sky floor.
A1131.5.	See all references to
A1131.6.	Rain shed by stars.
A1132.	Origin of dew. Knoop Zs.
A1133.	Origin of clouds.
A1133.1.	Origin of clouds from Ymir's brain.
A1133.2.	Origin of clouds: creator ornaments the sky with clouds so that the mountains are sometimes shaded.
A1133.3.	Clouds as smoke rising to sky.
A1133.4.	Clouds as God's shield.
A1135.	Origin of wintry weather.
A1135.1.	Origin of cold in winter.
A1135.1.1.	Origin of cold: sun turns fiery face upward.
A1135.2.	Origin of snow.
A1135.2.1.	Snow from feathers or clothes of a witch Frau Holle.
A1135.3.	Origin of frost.
A1135.4.	Origin of hail.
A1137.	Causes of hot weather: God bores hole in hell.
A114.	Goddess born from sea-foam. Gods born from object.
A114.1.	Aphrodite. Goddess born from sea-foam. Goddess born from sweat of rock washed by sea.
A114.1.1.	Goddess born from sweat of rock washed by sea.
A114.1.1.1.	God born of another god's sweat.
A114.1.1.2.	Origin of lesser gods from spittle of great god.
A114.2.	God born from egg. 
A114.2.1.	Deity born in shape of egg.
A114.3.	Deity born from skull.
A114.4.	Deity born from tree.
A1141.	Origin of lightning.
A1141.1.	Lightning as fiery snake.
A1141.2.	Lightning from flashing sword.
A1141.3.	Lightning from heavenly horses striking hoofs against stars.
A1141.4.	Lightning as god's whip.
A1141.5.	Lightning as God's messenger.
A1141.6.	Lightning produced by deity.
A1141.7.	Lightning from fire.
A1141.7.1.	Lightning as torches of invisible dancers.
A1141.8.	Origin of lightning other motifs.
A1142.	Origin of thunder.
A1142.0.1.	Origin of thunderbolt.
A1142.1.	Origin of thunder.
A1142.2.	Thunder from flying dragon.
A1142.3.	Persons escape to sky and become thunder.
A1142.4.	Origin of thunder clouds: from wings of mountains.
A1142.5.	Thunder is sound of God's gun.
A1142.5.1.1.	Thunder from crashing of stones in moon as goddess beats tapa.
A1142.5.1.2.	Thunder from thunder-spirit beating his children.
A1142.6.	Cause of thunder: sounds of the horses' hoofs as gods play ball.
A1142.6.1.	Thunder from clashing weapons of warring spirits in sky.
A1142.7.	Thunder from deity separating the winds which try to unite.
A1142.8.	Thunder is noise of waterskin which rain-god drags along sky floor.
A1142.9.	Thunder made by giants in sky.
A1142.9.1.	Thunder the drums of dead.
A1145.	Cause of earthquakes. Earthquakes from movements of monster.
A1145.1.	Earthquakes from movements of subterranean monster.
A1145.2.	Earthquakes from movements from sea monster.
A1147.	Origin of stormy sky.
A1148.	Origin of tornado sunsets; i. e., peculiar sunsets foreboding tornadoes.
A115.	Emergence of deity. First deity grows out of primeval chaos. So.
A115.1.	First deity grows out of primeval chaos.
A115.2.	God issues from earth.
A115.3.	Deity arises from mist.
A115.4.	Deity emerges from darkness of underworld.
A115.5.	Emergence of gods from above and below.
A115.6.	Deity arises from shell of darkness where he has been for million ages.
A115.7.	Gods emerge from hole in tree.
A1150.	Determination of seasons.
A1150.1.	Establishment of times for sowing and reaping.
A1151.	A culture hero steals the season from a monster and brings it to his people. Certain seasons are lacking. Theft of the seasons.
A1152.	Boneless man turned over to produce seasons.
A1153.	Seasons produced by marriage of North and South.
A1154.	Genealogy of summer and winter. Boberg.
A1155.	Why days lengthen in spring.
A1156.	Why days shorten in autumn: the real sun sets very early because the red cockscomb plant, used to kill his brother sun with, grows to its full height during this time.
A1157.	Causes of seasons deities push sun back and forth at solstices.
A116.	Ehrenreich International Cong. Twin gods.
A116.2.1.	Twin daughters of a god.
A1160.	Determination of the months.
A1161.	February's shortage of days. Days stolen by January and March.
A117.	Mortals become gods.
A117.1.	First men created with eternal life become gods.
A117.2.	Mortal translated to heaven and deified.
A117.3.	In extreme old age spirits become gods.
A117.4.	Mortal transfigured to god on mountain top.
A117.5.	Gods are spirits of deified dead.
A1170.	Origin of day and night. Origin of night and day.
A1171.	Origin of day.
A1171.1.	Opening of creator's eyes creates day. Windows in firmament shed light.
A1171.2.	Windows in firmament shed light.
A1171.4.	Origin of day: son of the night and the dawn. Boberg.
A1172.	Determination of night and day. After much discussion, the relative length of these divisions is determined.
A1172.1.	Regulation of sunshine.
A1172.2.	Wallet containing night and day.
A1172.3.	Night and day have steeds and chase each other.
A1173.	Wallet containing night and day.
A1174.	Origin of night.
A1174.1.	Released.
A1174.2.	Why some nights are dark and some light.
A1174.3.	Purchase of night. Originally no night. Culture hero goes to distant land and buys it. He introduces sleep, etc. Cock to crow for day.
A1174.3.1.	Night stolen and kept in jar.
A1174.4.	Night caused by deity wrapping himself in dark mantle.
A1175.	Purchase of night by culture hero.
A1179.	Origin of night and day miscellaneous.
A1179.1.	Origin of twilight.
A1179.1.1.	Twilight reflection of fires of hell.
A1179.2.	Origin of dawn.
A1179.2.1.	Dawn reflection of roses of paradise.
A1180.	Establishment of present order -miscellaneous motifs.
A1181.	By reaching to its ends. Determination of world center.
A1182.	Determination of world quarters. Effect of the four winds on weather. The four cardinal points.
A1185.	In beginning mountains have wings. They are cut off by thunderbolt. Wings cut from flying mountains.
A1187.	A1210, Creation of man by creator. Creator appoints a chief for each class of created things: Lucifer for demons, Sion for mountains, etc.
A119.	Origin of gods miscellaneous.
A119.1.	God made by magic. So.
A119.2.	Goddess produced by heat of earth.
A119.3.	Arrival of the gods in particular country.
A1191.	All things receive names.
A1195.	Origin of echo.
A1196.	Why salt disappeared from forests.
A1199.	Establishment of natural order.
A12.	Hermaphroditic creator. The creator is half man and half woman or is thought of as both male and female.
A120.	Nature and appearance of the gods.
A120.3.	Incorporeal god.
A120.4.	Formless gods.
A1200.	Creation of man.
A1201.	Man created to rule the earth.
A1205.	Unacceptable gods as first inhabitants of earth.
A121.	Stars as deities.
A1210.	Creation of man by creator.
A1211.	Man made from creator's body.
A1211.0.1.	Man springs into existence from deity's body by his mere thinking. New
A1211.1.	Man from dirt mixed with creator's blood. Eitrem Opferritus und Voropfer der Griechen und Rmer Skrifter Akad. Dixon 107 figures drawn on ground and sprinkled with creator's blood.
A1211.2.	Man from sweat of creator.
A1211.3.	Man from spittle of creator.
A1211.3.1.	Being made from spittle of the gods.
A1211.4.	Man made from creator's eye.
A1211.5.1.	Man made from broken off toenail of creator.
A1211.6.	Primeval human pair spring from two drops of urine of creator woman from half-drop.
A1211.7.	First man the result of maid having licked semen-stained loin cloth of creator's teacher.
A1211.8.	Primeval crab pulls first five living creatures out of his side.
A1212.	Man created in creator's image.
A1215.	Man originates from god who comes to earth.
A1216.	Man as offspring of creator.
A1216.1.	Mankind from masturbation of creator with earth.
A1217.	Devil's unsuccessful attempt to vivify his creations as God has done. Succeeds only in making animal.
A1217.1.	Rebel angels oppose creation of man.
A1218.	Man created by co-operation of the gods.
A122.	God half mortal; half immortal.
A1220.	Creation of man through evolution.
A1220.1.	Man created after series of unsuccessful experiments. Progressive degeneration to present race of men.
A1221.	Mankind from unusual primeval mating.
A1221.1.	Mankind begotten by giant's two feet. He touches one foot with the other and begets progeny.
A1221.2.	"Mankind from ""Peace and Quiet fructified by Light."""
A1221.3.	Mankind from mating of pairs of reeds.
A1221.4.	Mankind from mating of tree and vine.
A1221.5.	"Mankind from mating of frog and daughter of fire."""
A1221.6.	Mankind from human-animal mating.
A1222.	Eros escapes as they are separated. IndoHeaven and earth from egg. Mankind originates from eggs. They are the two halves of an egg shell.
A1224.	Abergl. Descent of man from animals. d.
A1224.0.1.	Mankind is descended from marriage of human being and animal. Thompson Tales n. 2;
A1224.1.	Mankind descended from tadpoles.
A1224.2.	Mankind descended from worms or larvae.
A1224.3.	Woman created from dog's tail. Eve.
A1224.4.	Mankind born from a cow.
A1224.5.	Descent of men from monkeys.
A1224.5.1.	Men are monkeys who have lost their tails.
A1224.6.	Mankind descended from fish.
A1224.7.	Creation of man by creator from ants. He commands them to become men.
A1225.	First men undeveloped. Rudimentary and amorphous, gradually assume present shape.
A1225.1.	First couple organically united. Like Siamese twins.
A1225.2.	Man originally without hands and feet. Boy steals them from Python, and afterward men have them.
A1225.2.1.	Man given hands, feet, mouth and nose by monkey.
A1226.	Man created after series of unsuccessful experiments.
A1226.1.	Creator makes man out of butter first; it would not stand up and melted.
A1227.	Different types of men produced from one original type.
A123.	Monstrous gods.
A123.1.	God monstrous as to body.
A123.1.1.	Hekate has three bodies standing back to back and looking in three directions.
A123.1.2.	God with two joined bodies.
A123.1.3.	God with good looking and ugly bodies.
A123.1.5.	God with body of caterpillars.
A123.1.6.	God with body of stream of blood.
A123.10.	God deity girdled with snakes; on his forehead shines the moon.
A123.11.	God with tail.
A123.2.	God unusual as to face.
A123.2.1.	God with many faces.
A123.2.1.1.	God with two faces.
A123.2.1.2.	God with three faces.
A123.2.1.3.	God with four faces.
A123.2.1.4.	God with five faces.
A123.2.1.5.	God with six faces.
A123.2.2.1.	Maggots squirm from mouth of man-eating god.
A123.2.2.2.	Goddess with eight mouths.
A123.3.	God unusual as to eyes. God with many eyes.
A123.3.1.	God with many eyes.
A123.3.1.2.	Balys.
A123.3.1.3.	God with hundred eyes.
A123.3.1.4.	God with thousand eyes.
A123.3.1.4.1.	Goddess with thousand eyes.
A123.3.2.	God with flashing eyes.
A123.4.	God monstrous as to head.
A123.4.1.	God with many heads.
A123.4.1.1.	God with three heads.
A123.4.1.2.	God with seven heads.
A123.4.1.3.	God with eight heads.
A123.4.2.	God with head of stone.
A123.5.	God unusual as to arms.
A123.5.1.	God with many arms. Siva has ten arms.
A123.5.2.	Marvels concerning God's arm and fingers.
A123.6.1.	God with three legs.
A123.7.	God unusual as to color.
A123.9.	Lotus plants grow from navel of Vishnu.
A1230.	Emergence or descent of first man to earth.
A1231.	First man descends from sky.
A1231.1.	Mankind from featherless bird sent from sky.
A1232.	Mankind ascends from under the earth.
A1232.1.	Mankind from bones of dead brought from underworld.
A1232.2.	Mankind emerges from lake. A woman and boy. They marry and populate earth.
A1232.2.1.	Mankind emerges from water.
A1232.3.	Mankind emerges from caves.
A1232.3.1.	Mankind emerges from a pit.
A1234.	Mankind emerges from ground.
A1234.1.	Denk Zs. Earth as virgin mother of Adam.
A1234.1.1.	Primeval human pair spring from womb of Mother Earth.
A1234.2.	Mankind emerges from mountain.
A1234.3.	Spontaneous generation. Scientists find child on deserted island. They suggest that he has emerged from the ground.
A1234.4.	Earth gives birth to woman.
A1236.	Mankind emerges from tree.
A1236.1.	Mankind emerges from buds on trees.
A1236.2.	Tribes emerge from melon.
A124.	Luminous god.
A124.0.1.	God with luminous countenance.
A124.1.	God with blazing eye.
A124.2.	White god.
A124.3.	Goddess with body full of fire.
A124.5.	God in form of comet.
A1240.	Man made from mineral substance.
A1241.1.	Man made from piece of clay thrown on ground.
A1241.2.	Man made from sand sprinkled with water.
A1241.3.	Man made from clay image and vivified.
A1241.4.	Man made from earth reddened with blood of human sacrifice.
A1241.4.1.	Man from clay and animal's blood.
A1241.5.	Man made of earth brought from four different places.
A1245.	Abergl. Am. Central American: Van Cappelle Mythen en Sagen uit West Indi 19;. Hdwb. Man created from stones. d.
A1245.1.	New race from stones thrown over head after deluge.
A1245.2.	Mankind from vivified stone image.
A1245.3.	Mankind from cleft rock.
A1245.4.	Mankind from salty stone ice block licked by cow. and.
A1245.5.	Man born from mountains.
A1246.	Mankind originates from shell.
A1247.	Mankind originates from metals.
A125.	Deity in human form.
A125.1.	Goddess of war in shape of hag.
A125.1.1.	Goddess of war in shape of red woman.
A125.2.	God with red beard.
A125.3.	God with gold teeth.
A125.4.	Beautiful goddess. So.
A1250.	Man made from vegetable substance.
A1251.	Creation of man from tree. S.
A1252.	Animals created from earth. Creation of man from wood.
A1252.1.	Creation of a person by cooperation of skillful men. Mankind from vivified wooden image. Young man betrothed to statue.
A1253.1.	Creation of man from fruit.
A1253.1.1.	Creation of man from fig.
A1253.1.2.	First man born from apple.
A1253.2.	Creation of man from nut.
A1253.2.1.	Creation of woman from coconut. The first man throws a coconut on the ground and thus creates the first woman.
A1253.2.2.	Men from long nuts, women from short ones.
