rownum	motif_id	motif_text_with_references
42	A1010.2	Great flood lasts eight months. Linked to Maori
43	A1011	Local deluges. Linked to Ireland, Referenced in Jewish religious texts, Linked to Greece
44	A1011.1	Flood partially caused by breaking forth of springs. Linked to India, Linked to Ireland
45	A1011.2	Flood caused by rising of river. Associated with the tribe So. Am. Indian (Chiriguano)
46	A1011.3	God's promise never to destroy world by water does not apply to local floods. Referenced in Jewish religious texts
47	A1012	Flood from fluids of the body.
48	A1012.1	Flood from tears. Linked to No. Am. Indian, Linked to India
49	A1012.1.1	Flood from Adam's tears of repentance.
50	A1012.1.2	Flood from tears of grieving lover. Associated with the tribe So. Am. Indian (Chaco), Associated with the tribe No. Am. Indian (N'tlaka'panaq)
51	A1012.2	Flood from urine.
52	A1012.2.1	Flood caused by loosing fairy horse and allowing it to stale. Linked to Ireland
53	A1012.3	Flood from blood. Associated with the tribe American Indian (Mono)
54	A1012.3.1	Flood from slain giant's blood. Linked to Iceland
55	A1013	Flood from belly. It flows from pierced belly of monster. Associated with the tribe So. Am. Indian (Toba)
56	A1013.1	Vomiting of a whale causes flood. Associated with the tribe No. Am. Indian (Dini)
57	A1015	Flood caused by gods or other superior beings. Associated with the tribe So. Am. Indian (Tupinamba)
58	A1015.1	Flood from conflict of gods. Sea god and rain god. Associated with the tribe So. Am. Indian (Chiriguano)
59	A1015.1.1	Flood from conflict of monsters (giant animals). Associated with the tribe So. Am. Indian (Araucanian)
60	A1015.2	Spirit causes deluge. Linked to Brazil, Located in Easter Island, Linked to India, On the continent of So. Am. Indian, From the region of Eastern Brazil
61	A1015.3	Flood caused by deity stamping on floor of heavens. Linked to Maori
62	A1016	Pseudo-scientific explanations of the flood. Associated with the tribe Am. Indian (Cashinawa), Associated with the tribe Indian (Cashinawa), Associated with the tribe So. Am. Indian (Cashinawa)
63	A1016.1	Flood from animals' boring into ground (turtles, crawfishes, etc.). Found in American Negro (Georgia)
64	A1016.2	Deluge produced by hot liquid which burns as it floods. Associated with the tribe American Indian (Salinan)
65	A1016.3	Flood caused by melting of ice after great spell of cold. Associated with the tribe No. Am. Indian (Dini), Associated with the tribe So. Am. Indian (Gusinde)
66	A1016.4	Flood from broken calabashes of water. Linked to American Indian (Puerto Rico)
67	A1016.5	Making mountains out of flat earth causes flood. Associated with the tribe No. Am. Indian (Apache)
68	A1016.6	Moon falls into sea and causes flood by overflowing. Associated with the tribe So. Am. Indian (Fueginos)
69	A1016.7	Flood whenever shard at earth's core moves. Referenced in Jewish religious texts
70	A1017	Flood caused to satisfy emotional need.
71	A1017.1	Desire of man for sun causes flood. Associated with the tribe So. Am. Indian (Chaco)
72	A1017.2	Flood caused by prayer. Linked to Maori
73	A1017.3	Flood caused by curse. Associated with the tribe So. Am. Indian (Chiriguano)
74	A1018	Flood as punishment. Associated with the tribe So. Am. Indian (Chaco), Linked to Caribbean (Cuan)
75	A1018.1	Flood as punishment for breaking tabu. Associated with the tribe So. Am. Indian (Lengua), Associated with the tribe So. Am. Indian (Toba), Associated with the tribe So. Am. Indian (Mataco)
76	A1018.2	Flood as punishment for incest. Associated with the tribe American Indian (Namba)
77	A1018.3	Flood brought as revenge for injury. Associated with the tribe So. Am. Indian (Cahita), Associated with the tribe No. Am. Indian (Carrier)
78	A1019	Deluge miscellaneous.
79	A1019.1	Subsidence of earth beneath flood. Linked to India
80	A1019.2	Serpent king causes flood by damming rivers. Linked to India
81	A1019.3	Flood because earth has become too thickly populated. Linked to India
82	A1019.4	Flood puts out world-fire. Associated with the tribe So. Am. Indian (Tupinamba)
83	A102	Characteristics of deity.
84	A102.1	Omniscient god. Associated with the tribe So. Am. Indian (Chiriguano)
85	A102.10	Unity of God. Referenced in Jewish religious texts
86	A102.11	Purity of God. Referenced in Jewish religious texts
87	A102.12	Perfect God. Referenced in Jewish religious texts
88	A102.13	Loving kindness of God. Referenced in Jewish religious texts
89	A102.14	Goodness of God. Referenced in Jewish religious texts
90	A102.15	Modesty of God. Referenced in Jewish religious texts
91	A102.16	Justice of God. Referenced in Jewish religious texts
92	A102.17	Anger of God. Referenced in Jewish religious texts
93	A102.18	Imperfect god, subject to death and rebirth. Referenced in Buddhist religious texts
94	A102.19	Conflict between God's justice and mercy. Referenced in Jewish religious texts
95	A102.2	All-seeing god. Referenced in Jewish religious texts, Linked to Greece
96	A102.3	Immutable god. Referenced in Jewish religious texts
97	A102.4	Omnipotent god. Referenced in Jewish religious texts
98	A102.5	Omnipresent god. Referenced in Jewish religious texts, Linked to India
99	A102.6	Eternal god. Referenced in Jewish religious texts
100	A102.7	Holy god. Referenced in Jewish religious texts
101	A102.8	Sleepless god. Referenced in Jewish religious texts
102	A102.9	Invisible god. Referenced in Jewish religious texts
103	A1020	Escape from deluge.
104	A1021	Deluge: escape in boat (ark). Linked to India, Linked to American Indian, In languages spoken in Hebrew, Linked to Iceland, Linked to Ireland, Linked to Maori, Spanning multiple countries: Micronesia, In languages spoken in Spanish, Linked to Spanish Exempla, Linked to Greece
105	A1021.0.1	Persons excluded from Noah's ark build another ark and sail to Ireland. Linked to Ireland
106	A1021.0.2	Escape from deluge in wooden cask (drum). Associated with the tribe So. Am. Indian (Guapori River)
107	A1021.0.3	Deluge: escape in gourd. Linked to India
108	A1021.0.4	Deluge: escape on floating tree. Spanning multiple countries: Korea
109	A1021.0.5	Deluge: escape in hollow tree trunk. Associated with the tribe American Indian (Seneca)
110	A1021.0.6	Deluge: escape on floating building. Associated with the tribe American Indian (Tlingit)
111	A1021.1	Pairs of animals in ark. In the historic region of Aztec, In the historic region of Babylonia, In languages spoken in Hebrew, Referenced in Hindu religious texts, Linked to Ireland
112	A1021.2	Bird scouts sent out from ark. Linked to Ireland, In the historic region of Babylonia, In languages spoken in Hebrew
113	A1022	Escape from deluge on mountain. Associated with the tribe So. Am. Indian (Araucanian), Associated with the tribe No. Am. Indian (Bella-Bella)
114	A1023	Escape from deluge on tree. Associated with the tribe American Indian (Paiute)
115	A1024	Escape from deluge in cave. Associated with the tribe American Indian (Cheyenne)
116	A1025	Escape from deluge on island. Located in Society Islands
117	A1026	Escape from deluge on foot. Linked to China
118	A1027	Rescue from deluge by fish. Referenced in Hindu religious texts
119	A1028	Bringing deluge to end.
120	A1028.1	Trickster sticks spear in ground and leads water to sea, ending deluge. Associated with the tribe So. Am. Indian (Chaco)
121	A1028.2	Birds fill sea with dirt and overcome flood. Associated with the tribe So. Am. Indian (Kaingang)
122	A1029	Escape from deluge miscellaneous.
123	A1029.1	Marvelous tree survives deluge. Linked to Ireland
124	A1029.2	(Four) persons who, in four quarters of the world, survived the flood and thus preserved ancient tradition. Linked to Ireland
125	A1029.3	Escape from deluge in pot or jar. Associated with the tribe So. Am. Indian (Chiriguano)
126	A1029.4	Flood: refuge in huge gourds with seven rooms in each. Linked to India
127	A1029.5	Escape from deluge in box or basket. Associated with the tribe American Indian (Thompson River)
128	A1029.6	Survivors of flood establish homes. Associated with the tribe So. Am. Indian (Chiriguano)
129	A103	Father-god. Linked to Greece, Linked to India, Referenced in Hindu religious texts
130	A1030	World-fire. A conflagration destroys the earth. Sometimes (as with the flood legends) the tradition is somewhat local and does not refer to an actual destruction of the whole earth; sometimes the fire marks the end of the world. From the region of So. Am. Indian (W. Brazil), Associated with the tribe So. Am. Indian (Yuracaré)
131	A1031	Causes of world-fire.
132	A1031.1	"A ""flame of fire swifter than a blast of wind"" as punishment for the sin of the Irish." Linked to Ireland
133	A1031.2	World-fire after theft of fire. Linked to India
134	A1031.3	Evil demons set world on fire. Associated with the tribe So. Am. Indian (Yuracaré), Associated with the tribe So. Am. Indian (Tupinamba), Associated with the tribe So. Am. Indian (Arawak)
135	A1031.4	Fall of sun causes world-fire. Associated with the tribe So. Am. Indian (Mataco), Associated with the tribe So. Am. Indian (Toba), Associated with the tribe So. Am. Indian (Lengua)
136	A1031.4.1	All countries burned while the wife of sun god pours fire from a small bowl. Linked to India
137	A1031.5	World-fire because of man's arrogance. Associated with the tribe Africa (Fang), Associated with the tribe Africa (Fang)
138	A1031.6	Miscellaneous reasons for world-fire. Associated with the tribe So. Am. Indian (Apapocuva), Associated with the tribe So. Am. Indian (Witoto)
139	A1035	Quenching the world-fire.
140	A1035.1	Rain invoked to destroy world-fire. From the region of Melanesia
141	A1035.2	Creator puts out world-fire with his staff. In the historic region of Inca, In the historic region of Inca
142	A1036	Earth recreated after world-fire. Associated with the tribe So. Am. Indian (Munduruku)
143	A1038	Men hide from world-fire and renew race. Associated with the tribe So. Am. Indian (Tupinamba), Associated with the tribe So. Am. Indian (Arawak), Associated with the tribe So. Am. Indian (Toba), Associated with the tribe Africa (Fang), Associated with the tribe So. Am. Indian (Mura), Associated with the tribe So. Am. Indian (Yuracaré), Associated with the tribe Africa (Fang)
144	A1039	World-fire miscellaneous.
145	A1039.1	Vulture sent out as scout to see whether earth has cooled from world-fire.
146	A104	The making of gods.
147	A104.1	Living person becomes god. Found in Hawaii
148	A104.2	Dead body becomes god. Found in Hawaii
149	A104.3	Miscellaneous objects become gods. Found in Hawaii
150	A104.4	Spirits become gods. Found in Hawaii
151	A1040	"Continuous winter destroys the race. Spoken of as ""Fimbulwinter"". It ushers in the end of the world." Associated with the tribe So. Am. Indian (Tierra del Fuego), Associated with the tribe So. Am. Indian (Pilagb), Associated with the tribe So. Am. Indian (Toba)
152	A1045	One pair escapes continuous winter and renews race.
153	A1046	Continuous world-eclipse. Associated with the tribe So. Am. Indian (Toba), Associated with the tribe So. Am. Indian (Choroti), Associated with the tribe So. Am. Indian (Mocovi), Associated with the tribe So. Am. Indian (Mataco)
154	A1046.1	World-eclipse ended by bat making sun smile. Linked to India
155	A1050	Heavens break up at end of world.
156	A1051	Behavior of stars at end of world.
157	A1051.1	Stars fall down at end of world. Linked to Ireland
158	A1051.2	End of world when stars in one constellation overtake those in another. From the region of Siberia
159	A1052	Behavior of sun at end of world.
160	A1052.1	Sun devoured by monster at end of world.
161	A1052.2	Sun shining at night as sign of Doomsday. Referenced in Jewish religious texts
162	A1052.3	End of world when four (seven) suns appear in sky. Referenced in Buddhist religious texts
163	A1053	Behavior of moon at end of world.
164	A1053.1	Moon shining by day as sign of Doomsday. Referenced in Jewish religious texts
165	A1057	Seven days silence in whole universe at the end of the world. Referenced in Jewish religious texts
166	A1058	End of world when culture hero removes one of the world-props. Associated with the tribe So. Am. Indian (Guaraní)
167	A106	Opposition of good and evil gods. Associated with the tribe Indians (Antioquians)
168	A106.0.1	Gods and the demons quarrel over supremacy. Linked to India
169	A106.1	Revolt of bad gods against good. In the historic region of Babylonia
170	A106.1.1	Goddess rebels against her father for forbidding her marriage. Linked to India
171	A106.2	Revolt of evil angels against God.
172	A106.2.1	Revolting devil banished to hell. Linked to India, Referenced in Jewish religious texts
173	A106.2.1.1	Banished devil appears on earth only on day of dark moon. Linked to India
174	A106.2.1.2	Demon (opposed to God) allowed to earth four times a year (but must let people know who he is and not deceive them). Linked to India
175	A106.2.2	Satan's fall from heaven. Referenced in Jewish religious texts
176	A106.3	Created beings rebel against God. Referenced in Jewish religious texts
177	A1060	Earth-disturbances at end of world. Referenced in Jewish religious texts, Linked to Ireland
178	A1061	Earth sinks into sea at end of world.
179	A1061.1	Earthquakes at the end of the world. Associated with the tribe So. Am. Indian (Chiriguano)
180	A1062	Mountains fall together at end of world.
181	A1063	Water-disturbances at end of world.
182	A1063.1	Sea makes extraordinary noise and throws out fishes at end of world. Referenced in Jewish religious texts
183	A1063.2	Sea water mixes with fresh water at end of the world. Referenced in Jewish religious texts
184	A1065	Continuous drought at end of world. Associated with the tribe So. Am. Indian (Chiriguano)
185	A1066	Sun will lock moon in deep ditch in earth's bottom and will eat up stars at end of world. Associated with the tribe Africa (Fang)
186	A1067	Extraordinary wind at end of the world. Referenced in Jewish religious texts
187	A1068	Sun thrown on fire: period of darkness, rain. Found in California, Linked to India
188	A1069	Flow of molten metal at end of world. In the historic region of Persia
189	A107	Gods of darkness and light. Darkness thought of as evil, light as good. Linked to Ireland, Referenced in Jewish religious texts, In the historic region of Babylonia
190	A1070	Fettered monster's escape at end of world. Giant, or monster, is fettered in depths of the earth. His movement causes earthquakes. When he succeeds in freeing himself from the fetters and escapes, the world will end. In the historic region of Babylonia, Spanning multiple countries: Lettish and Lithuanian, In languages spoken in Lettish, Linked to Ireland, In the historic region of Persia, Linked to Iceland, Linked to Lithuania
191	A1070.1	Birth of monsters as sign at end of world. Referenced in Jewish religious texts
192	A1071	Fettering of underground monster.
193	A1071.1	Underground monster fettered by trick. Is persuaded to try on fetters. Linked to Lithuania
194	A1071.2	Forging of chain for fettered monster. Smiths hit once in three or four times on the bare anvil. All of these blows go to forging chains for the monster (devil).
195	A1072	Form of fettered monster.
196	A1072.1	Fettered monster in human form.
197	A1072.2	Fettered monster as ferocious animal. Associated with the tribe So. Am. Indian (Guaraní)
198	A1072.3	Fettered monster as snake.
199	A1072.4	Fettered monster as dragon. Linked to Ireland
200	A1074	Fettered monster's captivity.
201	A1074.1	Monster fettered with sword just out of reach. If he reaches it he will free himself.
202	A1074.2	Fettered monster's vain attempt to reach sword with man's help. Could he reach it he would escape.
203	A1074.3	"Fettered monster questions visitor. He asks ""Are lambs still being produced?"" or the like; i.e. is nature still normal? He must remain fettered till he hears that nature's laws no longer hold."
204	A1074.4	Fettered monster preyed upon by vulture.
205	A1074.5	Fettered monster kept just out of reach of water. The water is always drunk by vulture as he is ready to take it.
206	A1074.6	Fettered monster vainly loosens his stake. Each time he loosens it, it is driven in the ground.
207	A1074.7	Fettered monster's weakened chains renewed by supernatural power. Are almost licked in two by dog but then renewed.
208	A1074.8	Fettered monster's weakened chains renewed by stroke of a smith.
209	A1075	End of world heralded by coming of Antichrist, a gigantic destructive one-eyed monster. Linked to Ireland
210	A1075.1	Signs before the birth of Antichrist. Linked to Ireland
211	A108	God of the living and the dead in the otherworld. Linked to China
212	A108.1	God of the dead. Linked to Ireland, Found in Hawaii
213	A1080	Battle at end of world. Armageddon. Linked to Ireland, Referenced in Jewish religious texts
214	A1080.1	Horse shall wade in blood at Armageddon.
215	A1081	Battle of the gods at end of world.
216	A1082	Battle of gods and monster at end of world. Referenced in Jewish religious texts
217	A1082.1	Battle of gods and giants at end of world.
218	A1082.2	Odin battles Fenris Wolf at end of world.
219	A1082.2.1	Other gods battle Fenris wolf at end of world. Linked to Iceland
220	A1082.2.2	God battles hound of hell at end of world. Linked to Iceland
221	A1082.3	Thor battles Midgard serpent at end of world.
222	A1082.3.1	End of world to come at disease and death of snake encircling the world. Linked to India
223	A1082.4	God battles Leviathan at end of world. Referenced in Jewish religious texts
224	A1082.5	God conquers Satan at end of world. Referenced in Jewish religious texts
225	A1082.6	Battle of saints with Lucifer at end of world.
226	A1082.7	Battle of angels with Leviathan and Behemoth at end of world. Referenced in Jewish religious texts
227	A1084	Prophecy of defeat in battle as sign of end of the world. Referenced in Jewish religious texts
228	A1085	End of the gods. Linked to Ireland
229	A1087	Monsters kill each other off at end of world. Referenced in Jewish religious texts
230	A109	Deity: miscellaneous motifs.
231	A109.1	God as a triad. Found in Hawaii, Linked to Iceland
232	A109.2	Goddess as mother of Pacific Ocean. Linked to Maori
233	A1090	World calamities and renewals: miscellaneous motifs.
234	A1091	Natural laws inoperative at end of world. Linked to Ireland, Linked to China
235	A1091.1	Three horses from dove's egg on last day.
236	A1093	End of world announced by trumpet.
237	A1095	The Messianic Age. Referenced in Jewish religious texts
238	A1097	Extraordinary man at end of the world. Referenced in Jewish religious texts
239	A1099	World calamities additional motifs.
240	A1099.1	World destroyed by rain of stones. Linked to India
241	A1099.2	World devoured by ogre. Linked to China, Linked to India
242	A1099.3	World turned topsy-turvy and eaten by an earthworm. Linked to India
243	A11	Invisible creator. Referenced in Jewish religious texts
244	A11.1	Invisibility of creator learned from the impossibility of staring at the sun, his servant. Referenced in Jewish religious texts
245	A110	Origin of the gods.
246	A1100	Establishment of natural order.
247	A1101	The four ages of the world. A development of the present order through four stages or periods, the golden, silver, bronze, and iron ages, or the like. Linked to Ireland, Linked to Greece, Linked to China, Referenced in Hindu religious texts
248	A1101.1	Golden age. A former age of perfection. Linked to Tuamotu, In the historic region of Persia, In languages spoken in Lappish, Referenced in Jewish religious texts, Linked to Ireland, Linked to India, Linked to Iceland, Referenced in Hindu religious texts, Linked to Greece, In the historic region of Aztec
249	A1101.1.1	Reign of peace and justice (under certain king). Referenced in Jewish religious texts, In the historic region of Persia, Linked to Iceland, Linked to Ireland, Linked to China
250	A1101.1.2	Even trees could speak in golden age. Linked to India
251	A1101.1.3	Former age: spirits and ogres lived with men, and gods appeared in human guise. Linked to India
252	A1101.2	Reversal of nature in former age.
253	A1101.2.1	Formerly men plowed and cattle were their masters. Linked to India
254	A1101.2.2	Formerly men ate grass: cattle ate rice and pulse. Linked to India
255	A1101.2.3	Formerly men dumb: birds and animals talked. Linked to India
256	A1101.2.4	Formerly men could go safely beneath the sea. Linked to Tuamotu
257	A1102	Why powers of nature work on Sabbath. Referenced in Jewish religious texts
258	A1103	Nature transformed by God once in seven years. Referenced in Jewish religious texts
259	A111	Parents of the gods. Found in Hawaii
260	A111.1	Mother of the gods. Associated with the tribe So. Am. Indian (Apapocuva)
261	A111.2	Father of the gods. Linked to Iceland
262	A111.3	Ancestor of the gods. Located in Tahiti
263	A111.3.0.1	God of double sex carries within him seed of gods. Linked to Greece
264	A111.3.1	God dwells with his grandfathers. Located in Marquesas
265	A111.3.2	Sea creatures as ancestors of goddess. Linked to Tuamotu
266	A111.3.3	Great bird as ancestor of gods. Found in Hawaii
267	A1110	Establishment of present order: waters.
268	A1111	Impounded water. Water is kept by monster so that mankind cannot use it. A hero defeats the monster and releases the water. (The monster is sometimes a giant frog.) From the region of Indian (Amazon), Associated with the tribe So. Am. Indian (Bakairi), Associated with the tribe Indian (Bacairi)
269	A1113	God promises never again to destroy world by water. Referenced in Jewish religious texts
270	A1115	Why the sea is salt. Located in New Guinea, Found in Hawaii
271	A1115.1	Why the sea is salt: because of wrecked salt ship. Linked to Netherlands
272	A1115.2	Why the sea is salt: magic salt mill. Stolen by sea-captain, who takes it aboard and orders it to grind. It will stop only for its master; ship sinks and mill keeps grinding salt. Linked to Iceland, Linked to China
273	A1115.3	Why the sea is salt: heavy rain showers on ashes of wood burnt by primeval fire. Associated with the tribe So. Am. Indian (Tupi)
274	A1116	Origin of sea-waves.
275	A1116.1	Sea-waves are (manes of) sea-god's horses. Linked to Ireland
276	A1117	Origin of foam on waters. Linked to India, From the region of West Indies
277	A1118	Origin of swirling motion of water. Animals and birds scratch in it. Linked to Finland, From the region of Livonian, Linked to Iceland, Linked to Estonia
278	A1119	Establishment of present order: waters miscellaneous.
279	A1119.1	Why sea is blue. Located in New Guinea
280	A1119.2	Why sea waters are warm: kept so by Leviathan. Referenced in Jewish religious texts
281	A1119.3	Origin of sea's unpleasant odor. Referenced in Jewish religious texts
282	A112	Birth of gods. Linked to India
283	A112.1	God from incestuous union. Linked to India
284	A112.1.1	God from father-daughter incest. Adonis. Linked to Iceland, Linked to Greece
285	A112.1.1.1	Goddess of music and dance born of incestuous union (Brahma and daughter). Linked to India
286	A112.10	Divine child cast out at birth. From the region of Polynesia
287	A112.11	Child born from union of God with hen. Located in Easter Island
288	A112.2	Male and female creators beget gods. Linked to Japan
289	A112.3	Gods born from various parts of creator's body. Linked to Japan
290	A112.4	God as son of giant. Linked to Iceland
291	A112.4.1	God as son of giantess. Linked to Iceland
292	A112.4.2	Goddess as daughter of giant. Linked to Iceland
293	A112.5	God as son of nine giantesses. Linked to Iceland
294	A112.6	Gods as sons of supreme god. Linked to Iceland, Located in Tahiti
295	A112.7	God born from peculiar part of parent's body.
296	A112.7.1	God born from mother's ear. Located in Marquesas
297	A112.7.2	God born from mother's armpit. Located in Marquesas
298	A112.7.3	Goddess born from mother's eyes. Found in Hawaii
299	A112.7.4	God born after prematurely short pregnancy. Located in Marquesas
300	A112.8	God from adulterous union. Linked to Ireland
301	A112.9	Gods borne by human woman. Linked to India
302	A112.9.1	Elementary spirits borne by human woman. Linked to India
303	A1120	Establishment of present order: winds. Linked to Quileute, Linked to Tahlti, Referenced in Jewish religious texts, Linked to India, Located in Tonga
304	A1121	Breathing of deity (spirit) causes winds. Associated with the tribe So. Am. Indian (Toba), Linked to Eskimo (Bering Strait)
305	A1122	Cave of winds. Winds originally confined in caves. From the region of Siberia, Linked to Maori, Linked to Western Mono, In the historic region of Roman, Associated with the tribe Mono
306	A1122.1	Hole of winds: stopper destroyed. The hole is stopped with a wooden stopper, which is destroyed. The country dries up.
307	A1122.2	Wind a bird dwelling in mountain-hole. Associated with the tribe Africa (San)
308	A1122.3	Lost wind found in hollow tree: has been banished and is needed by men. Linked to India
309	A1122.4	Wind comes through holes in sky when gut covering is cut. Linked to Eskimo (Bering Strait)
310	A1123	Winds as children of titans (giants). Linked to Greece
311	A1125	Winds caused by flapping wings. A giant bird causes the wind with his wings. The wings are cut by the culture hero so that the bird cannot flap so hard. Found in American Negro (Georgia)
312	A1125.1	Wind caused by flapping of ears of giant. Associated with the tribe No. Am. Indian (Piegan)
313	A1126	Wind caused by wind-god's movements. When the son of the wind lies down, the wind blows. Associated with the tribe Africa (San)
314	A1127	Winds of the four quarters established. Associated with the tribe Omaha
315	A1127.1	Effect of the four winds on weather. Linked to Tahlti, Referenced in Jewish religious texts, Associated with the tribe Ojibwa
316	A1127.1.1	North wind tempers fury of south wind. Referenced in Jewish religious texts
317	A1127.1.2	South wind causes heat and hurricanes. Referenced in Jewish religious texts
318	A1127.2	Gentle west wind said to be exhausted from fleeing deity. Linked to Maori
319	A1128	Regulation of winds. Linked to India
320	A1128.1	Angels' wings protect earth from winds. Referenced in Jewish religious texts
321	A1128.2	When wind-spirit is awake it storms; asleep, it is calm. Located in Tonga
322	A1129	Establishment of present order: winds miscellaneous.
323	A1129.1	Colors of winds. Linked to Ireland
324	A1129.1.1	Creator establishes twelve winds, each a different color. Linked to Ireland
325	A1129.2	Origin of monsoon: from chewed skin and spit of pair of divine friends eating guavas. Linked to India
326	A1129.3	Wind is blind. Linked to India
327	A113	Totemistic gods. Gods which have animal associations; e.g., Athena with the owl, Venus with the sparrow. Linked to Ireland, Linked to India, In the historic region of Babylonia
328	A1130	Establishment of present order: weather phenomena.
329	A1130.1	Angels set over clouds, winds, and rains. Referenced in Jewish religious texts
330	A1130.2	Origin of storms in sixth heaven. Referenced in Jewish religious texts
331	A1131	Origin of rain. Associated with the tribe Africa (San)
332	A1131.0.1	Regulation of rains. Linked to India, Linked to China
333	A1131.0.2	Why it rains most in the hills. Linked to India
334	A1131.1	Rain from tears. Referenced in Jewish religious texts, Linked to Kaska, Linked to Maori, Linked to Ekoi
335	A1131.1.1	Rain from urine. Linked to Eskimo (Cape York)
336	A1131.2	Rainy weather sent by saint as punishment.
337	A1131.3	Rain from sea in upper world. From the region of Eskimo (East Greenland), Associated with the tribe So. Am. Indian (Toba)
338	A1131.4	Rain from container in sky. Linked to Eskimo (Ungava), Associated with the tribe So. Am. Indian (Chamacoco), Associated with the tribe So. Am. Indian (Ashluslay)
339	A1131.4.1	Rain kept in waterskin dragged along sky floor. Linked to India
340	A1131.5	Rain from rain-god (rain spirit). Associated with the tribe So. Am. Indian (Toba), Associated with the tribe So. Am. Indian (Chamacoco), Associated with the tribe So. Am. Indian (Mataco)
341	A1131.6	Rain shed by stars.
342	A1132	Origin of dew.
343	A1133	Origin of clouds. Located in Eskimo (Labrador), Associated with the tribe So. Am. Indian (Chamacoco)
344	A1133.1	Origin of clouds from Ymir's brain. Linked to Iceland
345	A1133.2	Origin of clouds: creator ornaments the sky with clouds so that the mountains are sometimes shaded. Linked to India
346	A1133.3	Clouds as smoke rising to sky. Associated with the tribe So. Am. Indian (Toba)
347	A1133.4	Clouds as God's shield. Referenced in Jewish religious texts
348	A1134	Origin of mist (fog). Linked to Eskimo (Cumberland Sound)
349	A1135	Origin of wintry weather.
350	A1135.1	Origin of cold in winter.
351	A1135.1.1	Origin of cold: sun turns fiery face upward. Referenced in Jewish religious texts
352	A1135.2	Origin of snow. From the region of Eskimo (West Greenland)
353	A1135.2.1	Snow from feathers or clothes of a witch (Frau Holle).
